"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", ".NET", ".NET开发（ERP）", "10000-14999/月", "大专", "广州-天河区", "3-4年经验", "职位描述：岗位职责：1、参与公司ERP及MES系统的需求调研工作；2、负责公司ERP及MES系统的编码实现及维护；3、协助管理项目开发进度；4、协助管理与开发相关的服务器和数据库等资源；5、协助测试及修复BUG工作。岗位要求：1、大专及以上学历，软件相关专业，有三年以上相关开发经验；2、熟悉.Net平台（C#），B/S架构开发，能够熟练使用VS等开发工具；3、熟悉SQL SERVER 数据库及相关编程，熟悉数据库设计及性能调优，有大数据处理经验者优先；4、有家具、家装工厂类ERP开发经验优先。职能类别：高级软件工程师软件工程师关键字：ERPMES开发工厂举报分享", "广州云作科技有限公司", "50-150人            ", "民营公司        ", "计算机软件    ", "", "招聘2人"
"前程无忧", ".NET", ".NET软件工程师", "8000-15000/月", "大专", "上海-虹口区", "2年经验", "职位描述：1. 从事基于.NET项目的开发维护；2. 根据公司技术文档规范编写相应的技术文档；3. 诊断和解决现有系统可能存在的问题，保证项目的可靠运行；职位要求：1. 大专以上学历，有扎实的编程基础知识；2. 具有2年以上C#, ASP.NET web项目开发经验，具备MVC开发及后台代码编写经验；3. 熟练运用HTML/CSS/JavaScript/jQuery/AJAX/Bootstrap等Web前端技术或工具；4. 做事严谨踏实，责任心强，条理清楚，善于学习总结，有进取心；5. 有良好的团队合作精神和沟通协调能力。职能类别：软件工程师举报分享", "上海启匙信息技术咨询有限公司", "少于50人            ", "民营公司        ", "计算机软件,专业服务(咨询、人力资源、财会)    ", "", "招聘2人"
"前程无忧", ".NET", "asp.net开发工程师", "6000-7999/月", "大专", "郑州", "", "职位描述：任职条件：1. 根据公司发展要求，参与公司内部业务系统的讨论、定义、设计、开发等工作，为其他部门提供技术咨询和支持；2. 按照公司软件开发管理规范等的要求，根据上级分配的任务，沟通所需资源，编制软件开发详细设计文档，保证开发过程的透明度与可控性；3. 根据开发文档,进行重要子系统/模块的软件编码工作，并根据系统中具体的难点问题，参与针对具体技术难点的技术攻关，按阶段有计划地完成代码开发计划，确保项目的高质量完成；4. 协助完成项目的测试工作；5. 参与方案讨论和技术调研、负责方案升级、更新。任职要求：1. 计算机软件相关专业，一年以上软件开发经验；2. 精通软件开发流程和相关规范，具备一定的架构设计理念；3. 有良好的编码风格，理解面向对象的编程思想；4. 良好的沟通能力和较强的文档撰写能力；5. 熟悉.NET开发环境，具有C++/C#一年以上开发经验；6. 精通C#/ASP.NET、XML、WebService等相关的WEB开发技术；7. 精通常用数据库的设置和使用；8. 精通多线程，dll，串口通信等。中国已进入老龄化社会，国内本行业开始了萌芽发展阶段，全国目前只有数十家同类企业，在政府的政策倾斜和扶持下发展前景无可限量。这里有无限大的平台等着你来施展才华！有年轻活力的团队等着你来合作！有高档优雅的办公环境等着你来享用！有完善的培训帮你提升职业素养！我们力争成为国内居家养老的领军品牌，你还在犹豫什么！工作地址：郑州市郑州市管城区航海路与未来路交汇处启航大厦A座3楼职能类别：软件工程师关键字：asp.netC++C#软件开发软件工程师程序员举报分享", "河南金马电子商务股份有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务    ", "", "招聘1人"
"前程无忧", ".NET", "高级.NET开发工程师", "10000-14999/月", "大专", "上海", "3-4年经验", "职位描述：岗位职责：1. 参与公司医疗行业的产品和项目的相关系统设计、核心代码开发；2. 协助技术经理管理产品开发过程和技术团队，指导技术人员工作和发展；任职要求：1、计算机相关专业，本科以上学历；2、精通.NET Framework、ASP.NET、AJAX、Web Service等开发技术；3、精通SQL server或Oracle数据库分析、设计；4、三年以上软件项目工作经验和一定的团队管理经验；5、具有良好的团队精神和服务意识，学习能力强；6、有医疗行业项目经验者优先考虑。职能类别：高级软件工程师系统架构设计师关键字：NET软件开发工程师C#JQUERY举报分享", "上海互软医康信息技术有限公司", "少于50人            ", "民营公司        ", "计算机软件,医疗/护理/卫生    ", "", "招聘3人"
"前程无忧", ".NET", ".Net工程师实习生", "3000-5000/月", "", "杭州-拱墅区", "", "职位描述：任职要求：1、专科及以上学历，应届毕业生优先；2、较强学习能力，饱满的工作热情，积极向上有事业心，具有团队协作意识，良好的综合素质；3、对IT行业有浓厚的兴趣，并致力于IT行业发展；4、服从公司安排，具有高度责任感与协调能力。5、年龄18-32岁；6、入职统一进行岗前实训，让基础薄弱者快速进入工作状态。岗位职责：1、协助参与软件的设计、代码实现和单元测试等工作的具体实现；2、协助软件产品配置管理和代码管理；3、参与项目实施过程中对客服部的技术支持；4、较强学习能力，饱满的工作热情，积极向上有事业心，具有团队协作意识，良好的综合素质。福利待遇：1、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！2、为员工购买五险一金，让员工无后顾之忧！3、人性化的培训管理制度、一对一的指定帮助让员工快速融入新环境并成长！4、五天七小时工作制、周末双休、法定节假日之外的带薪病假、年休假，让员工与家人共享美好生活！工作时间：1、周一至周五，早上9：00-下午17:00，周末双休；2、针对连续工作满1年的员工提供带薪5天年假；3、国家法定节假日正常休息岗位发展方向：工程师实习生、助理—初级工程师—.NET工程师—高级工程师-技术总监，后期也可往其他岗位方向发展。公司提供广阔的发展前景有良好的执行力和学习能力者优先入职后签订劳动就业合同职能类别：网络管理(Helpdesk)无线通信工程师举报分享", "中软卓越教育服务有限公司", "10000人以上            ", "上市公司        ", "计算机软件,外包服务    ", "", "招聘12人"
"前程无忧", ".NET", ".NET软件开发工程师", "8000-9999/月", "大专", "广州-南沙区", "1年经验", "职位描述：技能要求：1、一年及以上.Net开发经验，有Web网站设计和开发经验；有独立制作过完整网站的优先。2、熟练掌握C#及ASP.NET，熟悉Javascript和JQuery，精通HTML/CSS/Ajax应用知识；3、熟悉WCF或Web Service。4、精通SQL语言，熟练使用SQL Server，有数据库设计和优化的能力；5、有SEO或SEM网站优化经验者优先。工作内容：1、负责公司旗下网站页面制作，对完成的页面进行维护和对网站前端性能做相应的优化。2、网站功能修改和升级。保证网站的运行效率。3、网站测试。网站开发前期必需先测试，测试成功后方可上传。4、具有一定的审美能力和基础的美工操作能力，能很好的与交互及视觉协作。一、加入芬尼（准上市公司），为您提供：●职业发展：多通道职业发展，稳定完善的职涯规划；●培     训：集团成立了“芬尼学院”，配有高质量、专业培训；●个人价值：月度、年度杰出员工评选；●福     利：1、专项奖励：提供优厚工资待遇，绩效奖励，以及其他项目奖励（如：杰出员工表彰、项目奖，员工梦想计划汽车奖励、开发奖，专项奖）。2、持股计划：提供骨干员工持股计划（目前公司已有一部分员工，成为持股人），让员工分享企业成果3、企业裂变式发展：集团成立十二年，裂变出11个子公司，内部培养了大批总经理及高管。4、各项创业大赛：别人玩娱乐，我们玩创业，毕业两年也能做总经理，普通员工也能成高管。5、生活福利：园区有食堂，为全员提供工作餐；管理人员、职员提供住宿6、爱心基金：公司内部设立爱心基金，帮助有困难的员工7、其他福利：五险一金、完善的休假制度、旅游、各种文体比赛、团建活动、聚餐、年度免费体检、节目福利（春节、中秋节、妇女节）、话费报销（根据员工级别）、全勤奖二、我们需要什么样的人员工，特别是优秀员工，是公司最宝贵的资产。1，有社会责任感，对企业核心理念有高度的认同；2、有远大理想，不计眼前功利；3、兢兢业业从小事作起，并持之以恒；4、良好的性格基础；（你的成功取决于有多少人喜欢你，能够和你同甘苦共患难）；5、用脑工作；合作精神；6、超强的学习欲望、坚定的学习信念、无畏的学习精神；7、精通核心业务；8、能做决策（领军人物的重要条件）；9、如果你还有一些互联网思维、有创意、幽默，就更好了联系方式：联系人：朱小姐 咨询电话：020-31155038邮箱：2741843970@qq.com地址：广州市南沙区涌岭路6号芬尼克兹南沙工业园企业网址：www.phnix.com职能类别：Web前端开发网站维护工程师举报分享", "广东芬尼科技股份有限公司", "150-500人            ", "民营公司        ", "机械/设备/重工,互联网/电子商务    ", "", "招聘1人"
"前程无忧", ".NET", ".net软件工程师", "6000-9000/月", "大专", "杭州-余杭区", "1年经验", "职位描述：岗位职责：1、根据开发计划、项目详细设计编写代码、完成技术文档编写及相关技术工作；2、按时保质完成上级交给的工作任务；3、按照公司流程提交代码和更新代码。任职条件：1、精通C#语言，熟悉.net平台框架(C#)，熟练使用Visual Studio开发WinForm程序；2、熟悉SQL语言，熟练使用MS SQLServer或Oracle等关系数据库，包括存储过程编写及优化；3、掌握html、javascript、xml等相关开发技术，了解多线程、Socket通讯、WebService等；4、具有良好的编码习惯和严谨的思维，对面向对象编程思想有深刻理解，热爱软件研发工作。5、有国土资源软件开发经验优先，计算机、软件工程等相关专业。工作时间：双休八小时享有国家法定节日假期、工龄工资、交通补贴、节日福利、生日礼品等一经聘用，公司提供具有市场竞争力的薪酬，富有发展前景的机会平台。职能类别：软件工程师关键字：.net开发举报分享", "杭州今奥信息科技股份有限公司", "50-150人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘2人"
"前程无忧", ".NET", ".Net高级软件程序员", "10000-14999/月", "本科", "上海-杨浦区", "3-4年经验", "职位描述：职位描述：1、负责大数据平台的架构调整与平台优化，编写相关设计文档2、设计和优化项目中所需的各种算法3、独立解决技术难点，把握项目开发质量4、良好的编码规范，对工作负责，能和团队其他成员良好沟通，融洽相处。5、开发适用于运维部门的维护工具任职资格：1、3-5年以上软件开发经验2、对C#语言有较好的理解与运用，有 NoSql经验者优先3、能独立负责中小型项目的设计和开发,能独立承担项目4、有责任心，对业务有较强的理解力，能独立与项目经理交流薪资待遇：10000--15000，能力优异者面议职能类别：高级软件工程师软件工程师举报分享", "上海态格信息技术有限公司", "少于50人            ", "民营公司        ", "计算机服务(系统、数据服务、维修),计算机软件    ", "", "招聘1人"
"前程无忧", ".NET", "C#.net软件工程师", "7000-15000/月", "大专", "上海-徐汇区", "2年经验", "职位描述：岗位职责：1、 熟悉C#语言和.NET Framework框架, 能开发B/S与C/S架构的应用程序；2、 对webform、winform开发具备较好的功底。3、 熟练掌握SQL Server 2008数据库的设计和开发4、 熟悉面向对象的程序开发，具备良好的编程规范；5、 较强的学习能力和解决问题的能力；6、 良好的沟通和表达能力，有高度的责任心和敬业精神，能承受较大的工作压力。岗位要求：1、 对ASP.NET、AJAX、WINFORM较好的功底。了解WPF与WCF优先考虑；2、 熟练掌握SQL Server 2008数据库的设计和开发3、 熟悉面向对象的程序开发，具备良好的编程规范；4、 较强的学习能力和解决问题的能力；5、 良好的沟通和表达能力，有高度的责任心和敬业精神，能承受较大的工作压力。6、 2年以上C#开发经验，能独立完成开发任务。职能类别：互联网软件开发工程师软件工程师关键字：c#.netwebjquerywcfbscsweb前端举报分享", "上海路辉电子科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,电子技术/半导体/集成电路    ", "", "招聘1人"
"前程无忧", ".NET", ".Net高级开发工程师", "15000-25000/月", "本科", "深圳", "5-7年经验", "职位描述：岗位要求：1、参与功能需求分析；2、核心业务功能开发；3、架构拓展开发及维护；4、业务数据表设计，数据库性能及结构优化；5、代码质量监管；6、技术创新应用及分享。任职要求：1、计算机相关专业本科及以上学历；2、4年及以上互联网企业级项目开发经验（项目核心开发成员）；3、精通ASP.Net平台企业级相关框架的应用与开发；4、熟练数据库的设计、开发及性能调优；5、熟悉高并发场景及分布式应用、SOA设计相关技术；6、深刻理解面向对象编程的核心思想，熟悉设计模式，能撰写规范的技术文档；7、认真严谨、责任心强，具有良好的人际沟通能力，性格开朗，善于分享；8、有金融行业及大型互联网相关工作经验优先。职能类别：高级软件工程师数据库工程师/管理员关键字：大型互联网.net开发金融证券举报分享", "深圳荷包金融信息咨询有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务,金融/投资/证券    ", "", "招聘2人"
