"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "Android", "Java、.net、android软件开发实习人员储备+双休", "3000-4499/月", "大专", "武汉-洪山区", "", "职位描述：岗位职责与要求：大专及以上学历，计算机、电子、通信等理工类专业，应届毕业生均可；协助软件工程师进行Java、.net、Android的应用设计及开发规划；协助软件工程师撰写设计开发及实现文档、流程；热爱软件开发行业，工作热情主动，能够从工作中找到乐趣；能够保证3个月的实习期，全身心的投入到工作中；能够快速融入团队，积极、有效地开展工作。工作时间工作时间;朝九晚五  双休福利待遇：1、薪酬待遇=基本工资+绩效奖金+餐补房补+加班补助；2、实习期满后会通过考核，考核通过可转为正式员工；3、公司有完善的考核机制、晋升机制、加薪机制；4、公司定期会有专业技能培训，提升员工的专业知识。乘车路线：1.地铁路线地铁2号线光谷广场站是终点站，如果你在汉口，就可以在汉口转车或直接乘坐2号线到达终点站——光谷广场站；如果你是在武昌，也可以在武昌转车或直接乘坐2号线到达终点站——光谷广场站，乘坐地铁二号线到达光谷广场站，E出站口左转前行100米到达珞喻路鲁巷站台即到达公司。2.公交路线珞喻路鲁巷公交站：15路、18路、25路、59路、72路、340路、401路、510路、518路、521路、536路、583路、591路、593路、702路、703路、709路、728路、810路、901路、912路、913路导航： 鲁广购物中心，武汉数码港面试可直接联系余经理：15007152024职能类别：软件工程师互联网软件开发工程师举报分享", "武汉斯泽维信息技术有限公司", "150-500人            ", "民营公司        ", "计算机软件    ", "", "招聘12人"
"前程无忧", "Android", "安卓Android软件开发实习生", "5000-10000/月", "大专", "深圳", "", "职位描述：岗位要求：1）大专以上学历，专业不限，要有一定的逻辑思维,热爱互联网工作；2）经验不限，但必须对Android手机开发有兴趣；喜欢从事Android手机开发工作；3）要求工作认真严谨、富有责任感，在高级工程师的指导下完成工作内容；4）.本岗位欢迎优秀应届毕业生前来应聘。薪资待遇：1）实习期间包吃住，薪资为基本工资+项目提成；2）试用期薪资5000至8000元+项目提成，五险一金；3）五天制，早上九点到下午六点，中午休息两小时，周六日双休。职能类别：手机应用开发工程师手机软件开发工程师关键字：安卓Android软件开发实习生互联网电子商务举报分享", "深圳市可及云信息技术有限公司", "150-500人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘6人"
"前程无忧", "Android", "AndroidUI/APPSystemTestManager", "", "本科", "上海-浦东新区", "", "职位描述：Job FunctionBe part of the exciting team in Shanghai working on cutting edge Android Smartphone system testing and work with global team supporting China/local customer UI/APP issues.As an APSS UI/APP system test manager, working scope includes:?Responsible for the test strategy, scope, planning and execution management?UI/APP feature test includes Camera app, Gallery, Browser, Launcher, Messenger, File Explorer, IMS etc.?UI/APP system test from user perspective?UI/APP automation test?3rd party app compatibility and function test?App memory/app security test?Define UI/APP test requirements and design/optimize test cases?UI/APP customer support, troubleshooting customer issues with high priorityRequirements:?8+ years of handset test experience or software development experience?Team management or project management experience?Good understanding of Linux, android architecture and framework?Rich experiences in testing smartphone applications like Camera/Gallery/Browser/Email/Contacts/Messenger?Knowledge on wireless technology as LTE/UMTS/TD-SCDMA/GSM?Script programming skills like Perl and Python is a plus?Carrier pre-test (CMCC/CU/CT/CTA) experience is a plush?Must be a self-motivated, creative and initiative individual with strong interest in trouble shooting and taking on new challenges?Excellent written and oral communication skills in English.Education RequirementsBS/MS in Computer Engineering/Computer Science/Electrical Engineering职能类别：系统测试举报分享", "QUALCOMM", "1000-5000人            ", "外资（欧美）        ", "通信/电信/网络设备    ", "", "招聘1人"
"前程无忧", "Android", "Android软件工程师", "5000-6000/月", "大专", "沈阳-铁西区", "3-4年经验", "职位描述：职位描述岗位职责：1、完成安卓系统代码的实现，编写代码注释和开发文档；2、辅助进行在安卓系统的功能定义,程序设计；3、根据设计文档或需求说明完成代码编写，调试，测试和维护；4、分析并解决软件开发过程中的问题；5、协助测试工程师制定测试计划，定位发现的问题；6、配合项目经理完成相关任务目标。任职资格：1、计算机或相关专业专科学历以上；2、1年以上安卓APP开发经验；3、熟悉面向对象思想，精通编程，调试和相关技术；4、熟悉应用服务器的安装、调试、配置及使用；5、具备需求分析和系统设计能力，、以及较强的逻辑分析和独立解决问题能力；6、最好有过地图轨迹记录、支付功能的开发经历。7、肯于学习、有责任心、有团队意识，有志于参与到初创公司共同发展的欢迎加入！职能类别：手机软件开发工程师关键字：Android开发举报分享", "北京中视亚信科技有限公司", "少于50人            ", "民营公司        ", "计算机软件,通信/电信/网络设备    ", "", "招聘1人"
"前程无忧", "Android", "Android软件工程师", "8000-15000/月", "", "济南-高新区", "", "职位描述：岗位职责：1. 设计、开发及测试全新开发或重构应用；2. 能够独立完成Android软件开发、验证和修正测试中发现的问题；3. 对Android平台开发技术进行研究，根据开发过程中的体验对产品提出改进建议；4. 要有责任心按时按质完成项目和团队合作精神。任职要求：1. 熟悉Android系统架构及相关技术，两年以上Android应用开发经验；2. 熟悉Android下的网络通信机制，具有丰富的UI开发经验, 了解基本数据层传输协议；3.熟悉Java的多线程，熟悉Android下线程与线程，进程与进程的通信机制；4.熟悉常用的手机软件调试方法和技巧；5.熟悉Oracle, MsSql, mySQL,SqlServer等其中一种数据库；6.有教育、移动互联网行业背景开发经验的优先考虑。工作地点：济南市高新区三庆财富中心A2座7层，待遇面议，不低于同行业水平。职能类别：软件工程师举报分享", "山东百川图书有限公司", "150-500人            ", "民营公司        ", "文字媒体/出版    ", "", "招聘3人"
"前程无忧", "Android", "移动开发工程师-安卓-Android", "10000-20000/月", "本科", "杭州-西湖区", "3-4年经验", "职位描述：1.参与移动端产品研发；2.持续的优化相关的产品的质量、性能、用户体验。职位要求:1.本科及以上学历，3年以上安卓开发经验；2.有扎实的java-android基础，精通常用数据结构和算法；3.理解面向对象设计的基本原则，熟悉常用的设计模式；4.对产品有较强的敏感度，有较强的沟通能力；5.具有React-Native开发经验者优先。其他福利：1.公司缴纳养老保险、医疗保险、失业保险、生育保险、工伤保险；2.提供行业国内外顶尖级培训，费用由公司承担；3.每年2次以上国内外旅游；4.每季度小组团队活动（KTV、爬山等）；5.月度奖金、季度奖金、年终奖；6.只有获得优秀员工称号才会奖励一定数额的期权股份（每年评比一次）；7.孕妇、产妇除按照国家法定享受一定带薪假期外，公司还会给予额外特殊照顾；8.公司团队气氛良好，快乐工作，快乐生活；职能类别：高级软件工程师手机应用开发工程师关键字：移动开发安卓AndroidReact-Native举报分享", "杭州飞牛科技有限公司", "50-150人            ", "民营公司        ", "互联网/电子商务,金融/投资/证券    ", "", "招聘3人"
"前程无忧", "Android", "android应用终端开发工程师", "12000-20000/月", "本科", "深圳-南山区", "3-4年经验", "职位描述：工作职责： 1.参与Android终端应用的技术选型和架构设计； 2.负责跟进产品功能需求的开发与实现，与后台服务器对接各种需求，能独立承担整体项目开发工作； 3.负责Android平台应用及中间SDK等终端软件架构设计、开发； 4.负责Android应用软件的性能优化。 工作要求： 1.3年以上Android平台app开发经验； 2.精通常用数据结构与算法，熟悉面向对象开发和设计，基础扎实； 3.精通Android工作机制和架构体系，精通JAVA/C/C++； 4.熟练掌握Android平台上app性能优化的工具和方法； 5.熟悉各类网络协议, 熟悉无线网络特性； 6.具备良好的学习能力和分析解决问题能力； 7.工作认真负责，尽职尽责，沟通协作意识良好，能够承担工作压力； 8.具备移动互联网行业经验者优先。职能类别：软件工程师举报分享", "北京真时科技有限公司", "150-500人            ", "民营公司        ", "计算机硬件,互联网/电子商务    ", "", "招聘1人"
"前程无忧", "Android", "Android开发工程师", "15000-20000/月", "本科", "深圳", "2年经验", "职位描述：岗位职责：1、负责android客户端的产品开发与维护；2、负责公司产品客户端的技术架构设计、性能优化以及核心特性开发；3、承担部分项目管理职能，对研发质量和进度负责；4、负责相关技术文档的编写工作；5、参与对公司其他部门的技术支持工作。岗位要求：1、4年以上andriod开发经验，熟悉android框架及各种组件；2、熟悉linux开发环境，有良好编码风格，追求代码执行效率，精通数据结构、算法、软件设计，对android终端优化有深入了解；3、精通常用网络通讯机制，http、https、tcp/ip、udp协议，socket通信。职能类别：互联网软件开发工程师手机应用开发工程师关键字：android开发SDK开发举报分享", "深圳爱加密科技有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务,计算机软件    ", "", "招聘1人"
"前程无忧", "Android", "Android高级开发工程师", "10000-17000/月", "本科", "上海-浦东新区", "3-4年经验", "职位描述：1、5年以上软件开发经验，熟练掌握Android开发（2年以上经验）；2、熟练掌握Java技术，熟悉面向对象编程技术，熟悉多线程，具备扎实的编程基础；3、熟悉Android系统架构，熟悉Android应用开发框架，有设计大型应用软件架构经验；4、熟悉网络通信机制，精通Socket通信，TCP/IP、Http等网络编程；5、熟悉各类网络通信和数据存储加密技术，对手机系统安全有了解；6、熟悉HTML5、JS相关技术者优先，有跨平台和混合应用开发经验优先；7、熟练使用svn/git等版本管理工具，熟悉自动化编译工具；8、具备良好的沟通、协调能力。职能类别：手机应用开发工程师互联网软件开发工程师关键字：Android安卓手机开发工程师互联网软件开发工程师举报分享", "上海高恩信息科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘若干人"
"前程无忧", "Android", "Android研发工程师", "6000-10000/月", "大专", "武汉", "2年经验", "职位描述：1、 精通android平台，至少1年以上的实际android平台开发经验，对android系统有全面的了解，能根据产品设计独立进行应用程序开发；2、熟练运用Windows/Linux及常用工具，精通Android App开发，精通Eclipse开发环境；3、了解操作系统原理，掌握常见的数据结构和算法，熟练掌握java语言，对数据结构有深入的理解，有好的编程习惯；4、熟悉Android OS系统体系结构、framework、以及底层库；5、了解电信协议，如SMS, TAPI协议者优先；6、精通Android平台UI设计，精通常用布局 ；7、需要有独立开发的软件案例演示。职能类别：高级软件工程师软件工程师关键字：androidAndroidAppAppAndroid平台万佳物联举报分享", "湖北万佳物联信息技术有限公司", "少于50人            ", "民营公司        ", "计算机软件,交通/运输/物流    ", "", "招聘2人"
