"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "ASP", "ASP.NET高级工程师", "8000-9999/月", "本科", "武汉-洪山区", "3-4年经验", "职位描述：一、岗位要求1.计算机专业本科或以上学历2.3年以上软件开发和设计经验，有电子制造行业经验者优先3.责任心强，工作主动，勇于承受压力，接受挑战4.具备自主工作能力，自学能力强5.思路清晰，善于沟通，具备良好的团队协作能力6.具备良好的英文文档阅读和书写能力二、技术要求1.熟悉.Net 2.0-4.52.精通面向对象技术，精通C#，熟悉ANSI C/C++者优先3.熟悉MySQL 5.5，SQL Server 2008及以上，SQL Server Compact 3.5及以上，以及其他主流数据库4.精通SQL，包括存储过程/函数和SQL优化5.熟练掌握Web Service，Dll, Windows Service，以及多线程，线程/进程间通信6.熟悉XML/XSD7.熟悉UML8.对软件开发过程有足够了解，能够进行规范化开发并完成相关文档，有TFS/Rational经验者优先9.对软件测试有足够了解，能够完成单元测试10.熟练掌握VS2010，熟悉Blend更好11.熟悉WCF，WPF者更好职能类别：高级软件工程师关键字：软件设计软件开发ERP开发IT行业电子企业ASP.net高级程序员JavaScript举报分享", "湖北电子海岸网络有限公司", "150-500人            ", "外资（欧美）        ", "计算机软件,互联网/电子商务    ", "", "招聘5人"
"前程无忧", "ASP", "asp.net开发工程师", "6000-7999/月", "大专", "郑州", "", "职位描述：任职条件：1. 根据公司发展要求，参与公司内部业务系统的讨论、定义、设计、开发等工作，为其他部门提供技术咨询和支持；2. 按照公司软件开发管理规范等的要求，根据上级分配的任务，沟通所需资源，编制软件开发详细设计文档，保证开发过程的透明度与可控性；3. 根据开发文档,进行重要子系统/模块的软件编码工作，并根据系统中具体的难点问题，参与针对具体技术难点的技术攻关，按阶段有计划地完成代码开发计划，确保项目的高质量完成；4. 协助完成项目的测试工作；5. 参与方案讨论和技术调研、负责方案升级、更新。任职要求：1. 计算机软件相关专业，一年以上软件开发经验；2. 精通软件开发流程和相关规范，具备一定的架构设计理念；3. 有良好的编码风格，理解面向对象的编程思想；4. 良好的沟通能力和较强的文档撰写能力；5. 熟悉.NET开发环境，具有C++/C#一年以上开发经验；6. 精通C#/ASP.NET、XML、WebService等相关的WEB开发技术；7. 精通常用数据库的设置和使用；8. 精通多线程，dll，串口通信等。中国已进入老龄化社会，国内本行业开始了萌芽发展阶段，全国目前只有数十家同类企业，在政府的政策倾斜和扶持下发展前景无可限量。这里有无限大的平台等着你来施展才华！有年轻活力的团队等着你来合作！有高档优雅的办公环境等着你来享用！有完善的培训帮你提升职业素养！我们力争成为国内居家养老的领军品牌，你还在犹豫什么！工作地址：郑州市郑州市管城区航海路与未来路交汇处启航大厦A座3楼职能类别：软件工程师关键字：asp.netC++C#软件开发软件工程师程序员举报分享", "河南金马电子商务股份有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务    ", "", "招聘1人"
"前程无忧", "ASP", "ASP.NET软件工程师", "6000-7999/月", "大专", "广州-天河区", "2年经验", "职位描述：岗位职责：1、 参与项目的需求分析、设计工作。2、 负责相关软件模块的开发和单元测试工作。3、 负责相关系统的维护和升级工作。4、 负责编写相关的软件开发文档。任职要求：1、 计算机相关专业，大专以上学历，热爱编程。2、 熟练掌握并使用Asp.net、javascript、HTML5、CSS等进行微信公众号，微信网页开发。4、 熟悉掌握数据库编程，熟悉SQL Server。掌握数据库同步相关技术。6、 良好的编程习惯，具有面向对象思想；熟悉常用设计模式。8、 诚实、工作认真负责，善于沟通及团队合作，有良好的学习能力和逻辑思维能力。9、 有移动开发或企业级BS系统开发经验者优先。职能类别：技术支持/维护工程师数据通信工程师关键字：web工程师举报分享", "百莲凯国际企业管理（北京）有限公...", "500-1000人            ", "上市公司        ", "快速消费品(食品、饮料、化妆品),美容/保健    ", "", "招聘1人"
"前程无忧", "ASP", "高级asp.net研发工程师", "5000-10000/月", "大专", "广州-天河区", "3-4年经验", "职位描述：专业要求：1、计算机或相关专业大专以上学历，具有扎实的计算机基础理论知识；2、三年以上.net项目及互联网网站开发经验，1年以上大型项目总体设计、技术实施和项目管理经验；3、精通ASP.Net、C#、.Net MVC、.Net Framework企业及应用的系统架构设计与开发；4、熟悉JavaScript、html、css、XML，以及JQuery、JSON、AJAX等客户端技术；5、精通数据库的设计与开发；6、熟悉Windows server 2008操作系统，了解IIS服务器的配置和部署；7、有较强的业务解析能力与分析能力，良好的代码编写习惯，熟悉软件开发规范，有大中型互联网项目及电子商务网站开发经验者优先；8、良好的工作态度、团队协作能力、沟通能力与学习能力。经验要求：有海量数据处理经验、有大访问量网站开发经验其他要求：1、根据项目需求说明完成设计、代码编写，调试，测试；2、分析并解决软件开发过程中的问题；3、完成上级安排的工作任务；4、搭建公司底层数据架构，打通各平台；5、分析性能瓶颈，优化数据和性能职能类别：高级软件工程师举报分享", "广州市华广计算机软件有限公司", "少于50人            ", "民营公司        ", "互联网/电子商务    ", "", "招聘2人"
"前程无忧", "ASP", "Asp/.net/HTML软件工程师/软件开发工程师", "5000-8000/月", "大专", "青岛-崂山区", "", "职位描述：岗位职责：1、计算机或相关专业，大专及以上学历，1年或以上web项目开发经验2、熟悉Asp.net编程，精通C#语言；3、精通SQL Server数据库的设计和开发调优者，优先录取；4、精通HTML代码、CSS规范、JavaScript、JQuery，熟练掌握B/S开发；5、有很好的沟通能力，学习能力强、理解能力强。任职要求：1.负责公司系统软件的程序设计与代码编写；2.负责项目的系统分析、开发与组织实施 ；3.独立完成软件系统及模块代码编码 ；4.协助测试人员完成软件系统及模块的测试 ；5.提供技术指导，促进系统代码和数据库优化 ；6.系统日常维护和故障问题处理 ；7.负责编制与项目相关的技术文档 ；8.服从公司和部门工作安排计划。公司福利1、五险一金+法定节假日2、公司会定期组织国内外旅游、聚餐3、节假日福利4、公司定期为员工进行专业培训5、自由的创业环境，我们只欢迎有理想，有激情的同事职能类别：Web前端开发软件工程师关键字：Asp.netWebHtml5软件工程师软件开发举报分享", "青岛养车魔方互联网科技有限公司", "少于50人            ", "民营公司        ", "交通/运输/物流,互联网/电子商务    ", "", "招聘10人"
"前程无忧", "ASP", "asp.net程序员", "4000-8000/月", "大专", "成都", "", "职位描述：【职位要求】1、熟悉VS.NET2、熟悉SQL Server3、熟悉asp.net（C#） 、MVC4、熟悉HTML、Javascript、JQuery5、有一定的相关工作经验6、有团队精神，学习能力强，沟通表达能力强7、为人诚信、爱岗敬业、有职业道德【工作时间】:周一至周五 9:00-18:00双休，节假日按国家规定职能类别：软件工程师关键字：asp.netc#.netmvcxamarin举报分享", "成都云之星科技有限公司", "少于50人            ", "民营公司        ", "计算机软件    ", "", "招聘3人"
"前程无忧", "ASP", "ASP.NET软件工程师", "6000-10000/月", "大专", "广州-天河区", "1年经验", "职位描述：岗位职责：1、负责web应用系统开发； 2、根据开发计划和功能要求，进行相应模块的开发、编程任务； 3、对负责的模块进行数据库设计、业务流程设计梳理、系统功能设计。任职要求：1、计算机相关专业大专及以上学历，1年以上ASP.NET(C#)开发工作经验；2、有一定的MVC项目开发经验，熟悉.NET下的B/S系统开发，掌握WCF、webservice等开发技术；3、熟练掌握HTML5、Css3、JavaScript等Web开发相关技术，熟悉使用Ajax、Jquery ， 熟悉常见数据传递格式XML和JSON，能使用EasyUI框架；4、熟悉http协议、了解socket协议、多线程应用；5、熟练使用MySql 数据库，熟悉SQL语句、LINQ 、.NET Framework有一定的数据库优化知识；6、具备较好的逻辑推理能力、团队协作能力、沟通能力、对待工作有强烈的责任心。职能类别：其他举报分享", "广州云峰信息科技有限公司", "50-150人            ", "民营公司        ", "互联网/电子商务,计算机硬件    ", "", "招聘2人"
"前程无忧", "ASP", "软件工程师(C#/Asp.net)（欢迎优秀应届生）", "5-6万/年", "本科", "苏州", "", "职位描述：招聘对象：1、正规本科院校，大四本科在读生（应届毕业生）；2、计算机软件专业；时间要求：保证实习时间在六个月以上，每周在岗不少于4天，全天上班，不能达到要求勿投；职位要求：1、能短期出差。自备笔记本电脑（cpu:1.8GHz以上、内存至少2G，以适应项目需要为准）。2、有C#编程基础，熟练编写SQLSERVER语句和存储过程（达不到要求勿投）3、踏实、稳定、肯学、能吃苦，积极上进。工作性质：软件工程师实习。工作内容：C#、Asp.net编程和数据库开发。实习工资：实习生工资，实习结束后，合格将聘用为软件工程师，毕业后直接入职（免试用期，应届毕业生入职后年薪5万以上）地       点：苏州有效时间：截止10月15日苏州同凯信息科技有限公司公司地址：苏州市吴中区东吴南路388号吴中商城5A写字楼2106-A附近公交站：吴中商城：(1路，325路，3路，43路，503路，513路，522路，52路，550路，550路，553路，55路，58路，5路，62路，63路，932路，94路，夜1路)附近地铁站：2号线石湖东路3号出口往东吴塔方向走200左右周雯雯（人力资源部）            电话：0512-80901561（非诚勿扰）网址：www.tongkay.com           邮箱：zhouww@tongkay.com欢迎有梦想的优秀人员，加入我们的团队！职能类别：数据库工程师/管理员软件工程师关键字：.net软件工程师ERP开发程序员高级软件开发数据库开发计算机举报分享", "苏州同凯信息科技有限公司", "少于50人            ", "民营公司        ", "计算机软件,服装/纺织/皮革    ", "", "招聘5人"
"前程无忧", "ASP", "Asp.Net高级软件工程师", "3000-6500/月", "", "临沂", "", "职位描述：1、专科及以上学历，软件工程专业优先；2、3年以上.Net开发经验，具有3个以上中型项目开发经验；3、精通.Net平台下B/S架构相关技术，如.NETMVC、EF、LINQ、ORM、WebAPI等技术；4、精通HTML、JS、Ajax、Json、XHTML、jQuery、CSS等前端开发技术；5、精通Mysql、SQLServer数据库开发，有对复杂Sql语句、存储过程等的开发与优化经验；6、有中大型网站、交易系统、高并发、高可用性、高可扩展性经验者优先；7、具备优秀的团队合作意识、组织能力以及良好的精神状态，较高的工作效率；8、本科以上学历，有网上商城或电商平台开发经验者优先考虑。职能类别：高级软件工程师关键字：.NET软件开发举报分享", "临沂商城电子商务科技有限公司", "150-500人            ", "合资        ", "互联网/电子商务    ", "", "招聘1人"
"前程无忧", "ASP", "asp.net开发工程师", "4500-5999/月", "", "重庆-渝北区", "2年经验", "职位描述：职位职责：1、核心代码的研发2、系统性能优化及数据库设计；3、系统服务的分析和设计；4、前端新技术的研究；5、按照项目经理的安排进行技术调查;6、 负责项目组代码走查。任职要求：1、熟悉 .net 运行机制，三年以上WEB开发经验；2、熟练使用 VS、SVN、PLSQL等开发工具；3、熟练运用C#进行C/S和B/S编程技术，熟悉WCF服务，asp.net MVC框架；4、熟悉流行的前端脚本框架（如JQuery、Bootstrap、KnockoutJs、AngularJs 等）；5、 熟练掌握关系数据库SQLServer6、 对英文文档有较强的阅读能力；7、富有研究热情和很强学习能力者优先。8、 从事过棋牌类游戏行业者优先。9、  对第三方支付接口熟悉者优先。职能类别：软件工程师关键字：ASP举报分享", "重庆芈游科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,网络游戏    ", "", "招聘1人"
"前程无忧", "ASP", "ASP.NET软件工程师", "10000-14999/月", "本科", "上海-长宁区", "3-4年经验", "职位描述：1.Develop or maintain the application as per the requirements in logistics supplier chain’s field e.g. TMS, WMS, mobile application.基于需求开发或者维护应用程序。涉及供应链领域，比如TMS，WMS， 移动端程序。2.Independently collect & analyze the requirements from business team, make them into function specification, and take a lead on development design & schedule with team member or supplier together.独立完成需求的收集和分析、开发功能说明书，并和小组成员或供应商共同制作开发设计和计划3.Participate in the entire application development life cycle including analysis, design, build, test and deploy参与应用程序开发的各个阶段，包括需求分析，设计，开发，测试和部署。4.Take a lead on the application detail design and programming based on the requirement根据需求主导应用程序详细设计和程序编码5.Ensure to complete the development on time确保开发按时按质完成6.Routine database maintenance e.g. SQL SERVER, My SQL.数据库日常维护7.Work closely with the network team or supplier on the troubleshooting和网络技术支持团队或者供应商紧密合作进行故障分析岗位要求：1.Bachelor Degree majored in computer science and related.计算机及相关专业本科毕业。2.Have over 3 Years programming experience, working experience on logistics supplier chain field is preferred3年及以上开发经验，在物流供应链领域工作经验优先考虑。3.Understand the software development life cycle and methodology深入理解应用程序开发的生命周期和方法。4.Equipped with Hands-on skills of C# / ASP.NET/MVC /WEB API / WEB FORM/WEB SERVICE / SQL SERVER/MY SQL/SQL SERVER Reporting Service/ Crystal report/ Linq /HTML/ HTML5/. Programming experience on mobile device（Android or wince）is preferred.熟练掌握C# / ASP.NET/MVC /WEB API / WEB FORM/WEB SERVICE / SQL SERVER/MY SQL/SQL SERVER Reporting Service/ Crystal report/ Linq /HTML/ HTML5等技术。有移动端开发经验（安卓或wince）的优先考虑。5.Be able to read and write English freely英文读写流利职能类别：软件工程师关键字：ASP.NETC#软件开发WMS举报分享", "日邮物流（中国）有限公司", "1000-5000人            ", "外资（非欧美）        ", "交通/运输/物流    ", "", "招聘1人"
