"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "C", "外贸B2B/B2C商务英语客服", "3500-6999/月", "大专", "郑州-管城回族区", "", "职位描述：岗位要求：1、欢迎优秀应届毕业生前来应聘；有Ebay、Amazon、速卖通等平台客服经验优先；2、语言类专业优先考虑，非英语专业要求英语过四级，听说读写能力较强；其他语种如：德语、西班牙语、法语也在招聘中；3、工作细心认真，具备良好的沟通协调能力和团队合作精神；岗位职责：1、提供良好客户服务，快速、准确回复和处理来自全球各类客户的疑难问题咨询和反馈；2、妥善处理客户投诉与纠纷，提高账户好评率，保持账号良好运行状态；3、搜集和统计客户相关数据，参与客户服务满意提升计划；上班地址：郑州市管城区航海路未来路启航大厦D座9楼910总公司地址：郑州市管城区文治路20号云时代广场2号楼4楼447-449薪资福利：1、基本工资+提成+全勤奖+绩效奖金（月综合薪酬3000——8000以上）；2、福利一：员工每月各种抽风卖萌无厘头团队经费+企业文化活动、集体旅游等；3、福利二：总部提供完善的培训体系支持，法定假日节日礼金礼品问候。企业介绍：仝通商贸有限公司是一家跨境外贸电商公司，公司总部位于郑州，产品主要以汽摩配类为主，其他各产品为辅的专业类电商公司；公司除了自己的B2C网络商城外，已入驻全部海外第三方平台包括：Ebay、Amazon、速卖通、敦煌等，目前是郑州跨境电商的翘楚，排名前10。职能类别：客服专员/助理网络/在线客服关键字：外贸客服速卖通Amazonebay敦煌奖金丰厚员工旅游举报分享", "河南仝通商贸有限公司", "少于50人            ", "民营公司        ", "互联网/电子商务,贸易/进出口    ", "", "招聘10人"
"前程无忧", "C", "C++跨平台软件工程师", "15000-25000/月", "本科", "上海-徐汇区", "2年经验", "职位描述：清衍公司成立于2016年5月，创始人本人通过量化交易已经北美、欧洲、中国等市场获得超过6年的稳定收益。在行业竞争日趋激烈的情况下，我们希望寻找到软件、硬件、算法相关志同道合的伙伴，一起乘风破浪，不断提高量化投资能力及领域，共同打造最专业最高效的中国***量化投资团队。岗位职责：1、基于C++的后端交易平台程序开发（集成各交易所API）2、客户端与后端交易平台间的sdk开发及测试3、数据库开发与维护岗位要求：1、精通跨平台（linux/win）的C++后台程序开发2、熟悉mysql数据库3、熟悉计算机网络，及网络编程以下条件者优先：1、具有C++后台程序开发工作经验，具备高性能低延迟后台程序开发经验者尤佳。2、熟悉Cmake、swig等工具，及shell命令3、熟悉boost，chromium等库薪资待遇：1、行业极具竞争力的薪酬2、依照法规购买五险一金3、未来合伙人权益职能类别：软件工程师关键字：C++跨平台举报分享", "清衍信息科技（上海）有限公司", "少于50人            ", "民营公司        ", "计算机软件    ", "", "招聘若干人"
"前程无忧", "C", "C#/.NET工程师(双休、五险一金、自由假期、带薪年假)", "4000-8000/月", "本科", "郑州-二七区", "3-4年经验", "职位描述：内部软件开发，非软件公司，but我们业务稳定呈持续上升趋势，and发展空间大，一个好的平台更利于您发挥个人优势，做出自己风格的软件！欢迎加入我们，一起奋斗！一、岗位职责：1、根据公司实际业务需求进行相关功能编码及测试，并对现有系统优化完善2、根据公司业务需求对现有系统提出合理性改进意见3、参与公司信息化系统的设计与建设二、任职要求：1、一年以上工作经验，优秀应届毕业生亦可，只要您热爱开发2、熟练使用C#或Java任意一种语言,无论您是擅长C/S还是B/S3、熟练使用SQL SERVER、Oracle、MySQL其中任意一种数据库，掌握基本的存储过程及函数4、强烈的求知欲和清晰的问题分析解决思路5、良好的心态三、薪酬福利：1、薪资待遇：薪资高于行业平均水平，月薪+全勤奖+年终奖；2、福利待遇：（1）保险保障：入职享商业保险、五险一金、年终奖、全勤奖、年度免费体检；（2）团队建设：户外集体游、拓展训练、每季员工生日会、不定期举行文体活动；（3）有薪假期：法定假期、带薪年假、婚假、丧假、产假、陪产假、哺乳假等假期；（4）礼品礼金：传统节日福利、生日福利、结婚礼金、旅游基金等；（5）其他福利：通讯补助、差旅补助、交通补助、餐补、产品免费试用、内部团购；3、培训机制：根据每位员工的优点及综合能力，让每位员工人尽其才；管理透明化；4、工作时间：双休，9:00--12:30,13:30--18:00，试用期3个月；5、联系方式：0371-68860707（工作日）；15565071280（休息日）职能类别：软件工程师关键字：C#.NETJAVA举报分享", "郑州致欧进出口贸易有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务,贸易/进出口    ", "", "招聘5人"
"前程无忧", "C", "c#软件人员", "4000-8000/月", "本科", "郑州", "", "职位描述：岗位职责：1、负责产品软件设计；2、负责项目的代码编写、程序调试以及代码日常维护；3、负责客户现场的系统调试和软件的升级工作；4、配合产品销售的技术服务工作。任职要求：1、电子信息技术、网络工程、计算机及相关专业，本科及以上学历；2、具有面向对象系统分析和设计的实际经验，熟悉C++开发语言者优先考虑；3、熟练使用c#、.net，熟悉运用SQL等数据库技术，有多线程编程经验；4、有良好的自我学习能力，良好的沟通能力和表达能力，善于与人交往；5、有较强应变能力，有责任心，对人热情，良好的团队合作精神。薪资待遇：1、实行个人能力与薪资相匹配，多能多得，可具体面议2、公司为入职员工提供绩效奖金，全勤奖，通讯补贴，高温补贴，交通补贴，节日福利，每年至少一次的集体旅游3、弹性工作，国家法定节假日正常休息4、完善的内部晋升体系，拥有广阔的职业发展空间工作地址郑州市管城区陇海东路328号永茂世纪大厦803号职能类别：软件工程师举报分享", "河南安捷交通科技有限公司", "少于50人            ", "民营公司        ", "仪器仪表/工业自动化,检测，认证    ", "", "招聘2人"
"前程无忧", "C", "c++服务器程序", "15000-30000/月", "大专", "深圳-南山区", "3-4年经验", "职位描述：岗位职责：1、负责游戏后台服务器程序架构设计和底层开发；2、负责服务端框架代码编写；3、协助配合主程完成服务器开发工作；4、配合团队其他成员进行项目开发；任职要求：1、本科以上学历，计算机相关专业, 有良好的程序基础，3年以上服务器开发经验2、熟悉游戏服务端开发所需的C /lua语言，熟悉常用数据库（mysql，mssql）的设计与开发，精通linux环境，精通数据结构与算法，socket编程，多线程编程等；3、熟悉数据结构、面向对象开发和设计，拥有良好的代码风格4、熟悉大容量，高并发，高性能的分布式服务器开发原理；5、对用户体验敏感，有良好的自驱动力和自我管理能力，积累协助完善产品，热爱游戏并对游戏玩法有研究者优先职能类别：多媒体/游戏开发工程师关键字：c++lua编程Linux服务器开发举报分享", "北京动力飞扬广告有限公司深圳分公司", "少于50人            ", "民营公司        ", "网络游戏    ", "", "招聘1人"
"前程无忧", "C", "中通快递物流聘c1司机", "6000-7999/月", "", "上海-普陀区", "", "职位描述：1、c1驾驶证以上,含c1证。2、初中以上学历,熟练驾驶技能;3、身体健康,吃苦耐劳,无不良嗜好,责任心强,善于与人沟通,有一定的组织、统筹能力。4、年龄:18－－-50周岁之间。岗位职责:快件的运输，早上负责大货的配送和小包裹的运输，下午将业务员的收件拉回公司，参加晚间操作。岗位福利:1、公司包食、宿；2、全勤奖、工龄奖、安全奖、大货派取件补贴；3、年终奖；4、免费发放手机并报销100元/月话费。联系人:刘经理联系电话：15721589969面试地址：上海普陀区白兰路137号，可乘地铁3号4号11号线到曹杨路下车4口出，凯旋北路向西走5分钟到绿洲广场，白兰路137弄B座。职能类别：货运司机关键字：五险一金包吃住带薪年假举报分享", "上海钟祺货物运输代理有限公司", "150-500人            ", "合资        ", "交通/运输/物流    ", "", "招聘若干人"
"前程无忧", "C", "C#.net软件工程师", "7000-15000/月", "大专", "上海-徐汇区", "2年经验", "职位描述：岗位职责：1、 熟悉C#语言和.NET Framework框架, 能开发B/S与C/S架构的应用程序；2、 对webform、winform开发具备较好的功底。3、 熟练掌握SQL Server 2008数据库的设计和开发4、 熟悉面向对象的程序开发，具备良好的编程规范；5、 较强的学习能力和解决问题的能力；6、 良好的沟通和表达能力，有高度的责任心和敬业精神，能承受较大的工作压力。岗位要求：1、 对ASP.NET、AJAX、WINFORM较好的功底。了解WPF与WCF优先考虑；2、 熟练掌握SQL Server 2008数据库的设计和开发3、 熟悉面向对象的程序开发，具备良好的编程规范；4、 较强的学习能力和解决问题的能力；5、 良好的沟通和表达能力，有高度的责任心和敬业精神，能承受较大的工作压力。6、 2年以上C#开发经验，能独立完成开发任务。职能类别：互联网软件开发工程师软件工程师关键字：c#.netwebjquerywcfbscsweb前端举报分享", "上海路辉电子科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,电子技术/半导体/集成电路    ", "", "招聘1人"
"前程无忧", "C", "c/c++高级开发工程师", "15000-19999/月", "", "杭州", "3-4年经验", "职位描述：岗位要求：1. 能独立阅读英文文档，从开源代码中学习新技术，有pjsip、ffmpeg等开源库开发经验者优先。2. 具备良好的文档编写能力和习惯，能够指导他人工作。3. 具有产品意识,能够编写规范的概要和详细设计文档，数据库设计4. 对程序设计有精益求精的态度，具备良好合作态度及团队精神，并富有工作激情、创造力和责任感。5. 熟悉SIP协议或H323协议，熟悉Stun、ICE、Turn等NAT穿越协议，熟悉RTP、RTCP协议者优先。6. 熟悉Onvif、Rtsp协议，有视频存储（大容量）开发经验者优先。7. 了解H264，AAC等音视频编解码算法者优先。8.精通lua脚本语言的优先；熟悉Linux操作系统者优先；有KVM、OpenStack调试经验者优先。9.有Mysql数据库大量数据读写优化开发经验者优先职能类别：高级软件工程师举报分享", "杭州叙简科技股份有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务,通信/电信运营、增值服务    ", "", "招聘2人"
"前程无忧", "C", "外贸业务员/跨境B2C专员/速卖通专员", "3500-5000/月", "大专", "深圳-龙华新区", "无工作经验", "职位描述：外贸业务员，速卖通客服专员，熟悉公司产品性质，及时回复客户的售前询盘，与客户进行磋商，促成订单的成交。及时解决客户的售后问题，避免客户的不良体验，解决已产生的纠纷问题，最终达到完美处理好所有问题。可接受应届生（实习生），英语专业，国际贸易类专业，电子商务类专业应届生优先考虑。薪资待遇：1.工资：基本工资+住房补贴+餐饮补贴+岗位提成+全勤奖+节假日福利2.满1年带薪年假，年底奖金。3.综合工资：3500-5000元工作时间：1.试用期：2个月2.周一至周五：8小时工作日，周六/周日：7小时工作日（随季节变化，工作时间会相应调整）3.每周单休（客服专员周六日调休）公司名称：火鹰国际贸易有限公司（FIREKING INTERNATIONAL CO.,LTD)公司地址：深圳市龙华新区中华路1号康盛电子产业园A栋613-615室联系人：付经理/邓经理联系电话：18123770357/18127083357职能类别：贸易/外贸专员/助理网店店铺管理员举报分享", "火鹰国际贸易有限公司", "少于50人            ", "民营公司        ", "贸易/进出口,互联网/电子商务    ", "", "招聘2人"
"前程无忧", "C", "挺急的+java/C/安卓/测试/web/开发工程师+五险双休", "6000-7999/月", "大专", "上海-浦东新区", "", "职位描述：一、公司介绍：中软国际有限公司（以下简称：中软国际）成立于2000年4月，于2003年6月20日在香港联交所成功上市，2008年12月29日在香港联交所成功转主板（股票代码：HK354）。目前全球员工有30000人，年收入超50个亿。为大型综合性软件信息服务企业。中软国际总部设于香港，运营总部位于北京，目前公司已在中国北京、上海、深圳、大连、西安等国内21个城市以及美国西雅图、普林斯顿、英国伦敦、日本东京等34个城市设有分支机构。中软国际拥有国际化的资本平台和管理团队，股东包括微软（Microsoft）、Greater Pacific Capital（GPC）、华为、交银国际等。二、岗位要求：1、年龄18-30岁，大专以上学历，专业不限，软件工程、计算机等专业优先；2、.热爱软件开发行业，有志于长期在计算机行业发展，善于学习和总结分析；3、有相关基础者优先（如：JAVA、web、Net、PHP、Android、C语言、C++等）或者其他专业有较强逻辑思维能力的理工科毕业生亦可；4、做事认真、细心、负责，能够专心学习技术，.有良好的工作态度和团队合作精神；5、转行/热爱IT行业可从学徒做起，有同事带；6、欢迎广大应往届毕业生投递，优秀者可适当放宽条件！三、后期发展方向：软件、开发、编程、维护、测试系统架构等四、工作时间：早9-晚6     双休      法定假日休息，带薪年假五、流程及要求：投递简历后，人力资源部门将对简历进行刷选，符合要求的应聘者参与企业面试，面试过程中会有笔试环节，笔试内容为逻辑测试题及较为基础的技术题目。面试要求：1.收到面试通知，请带好个人简历及可以证明是你本人的相关证件，前来面试。2.面试流程为：笔试+面试。笔试内容分为逻辑思维题+专业技术题（没有专业基础的学员可以选择面试方向笔试题目，只填写逻辑思维测试部分）六、岗位说明：该岗位类型招聘分为：开发工程师、实习生、准员工等种类。各岗位待遇不同，将根据具体的测试分数及面试表现定岗。七、食宿问题：公司位于浦东商业中心，周边有配套的食堂，超市。公司内部设有饮水机，微波炉冰箱及活动休闲区。公司提供住宿补贴，如有需要住宿者，人力资源部可以协调提供房源信息，可以单人租住，也可以公司员工合租。八、公司地址及电话地址：上海市浦东新区商城路887号波特营创意园A1栋1楼（近世纪大道）联系电话： 021-61311134备注：该岗位为急招岗位，应聘者请考虑实际情况进行投递，如果暂时不能到参加面试的异地求职者，需要确定好求职时间后再进行投递，避免投递后由于无法来面试而错过面试机会。职能类别：互联网软件开发工程师软件工程师举报分享", "中软国际（上海）", "10000人以上            ", "上市公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘10人"
