"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "COCOS2D-X", "Cocos2d-x程序员", "10000-15000/月", "", "上海-徐汇区", "", "职位描述：岗位职责:工作职责：1.使用cocos2d-x开发基于iOS/安卓平台手机游戏； 2.参与讨论软件模块功能、操作流程及界面布局等客户端设计。 任职要求：1. 1年以上iOS/Android平台开发经验，或者3年以上网络端游客户端开发经验 2.精通C/C++编程语言； 3. 熟悉cocos2d-x游戏引擎，熟悉iPhone SDK开发环境; 4.熟悉iOS/Android开发工具和相关开发测试工具的使用； 5. 熟悉各个不同版本iOS/Android特点、机型适配、UI布局优化等； 6.有良好的团队合作精神； 7.热衷于技术钻研，工作踏实诚恳，认真负责，有良好的抗压能力； 8. 有已上架ios/android游戏的制作经验者优先。职能类别：软件工程师举报分享", "游族网络", "1000-5000人            ", "上市公司        ", "网络游戏,互联网/电子商务    ", "", "招聘1人"
"前程无忧", "COCOS2D-X", "Cocos2d-x工程师", "15000-19999/月", "", "北京-朝阳区", "", "职位描述：岗位职责：1. 使用Cocos2d-x开发ios/android手机游戏2. 配合策划，美术等其他部门工作，能快速高质量完成项目功能。职位要求：1，大专及以上学历；2年以上游戏开发工作经验2，能使用cocos2d-x独立开发ios/android公司游戏;3.熟练使用和优化cocos2d-x引擎; 面向对象编程，至少熟悉两种编程语言，C++/Object-  C/Lua/Js;熟练掌握多线程、网络、数据库等技术4，较强的快速学习能力，良好的分析和解决问题能力，热爱技术工作，具有钻研精神，责任心强，能独立分析解决问题；5，良好的沟通能力和团队合作能力，优秀的心理素质。工作地址：北京市朝阳区西大望路15号外企大厦B座1701邮箱： 939549818@qq.com职能类别：高级软件工程师举报分享", "鸿博股份有限公司", "1000-5000人            ", "上市公司        ", "印刷/包装/造纸    ", "", "招聘1人"
"前程无忧", "COCOS2D-X", "手游客户端（cocos2d-x）", "150元/天", "本科", "杭州-西湖区", "无工作经验", "职位描述：任职要求：1.有cocos2d-x 游戏项目经验者优先，软开、计算机专业应届或大三学生（重点一二本科类大学本科或硕士）2.熟练实用xcode,cocosbuilder开发工具,熟悉mac开发环境3.熟悉各个不同版本Android特点、机型适配等4.熟练使用lua，熟悉cocos2d-x+lua的开发模式自荐联系Q1400519783工作地址西湖区西湖国际科技大厦职能类别：多媒体/游戏开发工程师互联网软件开发工程师举报分享", "杭州非奇科技有限公司", "50-150人            ", "民营公司        ", "网络游戏    ", "", "招聘1人"
"前程无忧", "COCOS2D-X", "Cocos2d-x手游开发工程师招聘", "6000-7999/月", "大专", "深圳-南山区", "", "职位描述：岗位职责：1、手机游戏客户端游戏逻辑、UI和动画的开发2、独立完成所分配的开发任务,同时能够根据开发流程要求完成相应文档3、维护引擎，解决技术难点问题。4、研究新技术，为产品的设计和研发提供支持。岗位要求：1、学历不限。2、熟练掌握C++编程语言，有cocos2d-x项目开发经历。3、熟练掌握cocos2d-x引擎；熟悉相关的动画，粒子，UI编辑4、熟练使用CocoStudio；5、能尽快入职者优先6、热爱游戏，喜欢玩游戏者优先；7、有动作格斗类游戏开发经验者优先另：接收优秀的在校生来公司实习，如实习期间表现良好，毕业后可转正入职职能类别：互联网软件开发工程师多媒体/游戏开发工程师关键字：手游开发Android安卓开发iOSCocos2d-xCocoStudio移动互联网Unity3D游戏开发C++举报分享", "深圳四博智联科技有限公司", "少于50人            ", "民营公司        ", "贸易/进出口,电子技术/半导体/集成电路    ", "", "招聘若干人"
"前程无忧", "COCOS2D-X", "急招Cocos2d-x游戏开发工程师", "8999-14999/月", "大专", "长沙-长沙县", "", "职位描述：岗位描述：1.负责棋牌游戏客户端的开发与维护；2.负责与服务端配合开发维护公司棋牌游戏；3.负责日常业务需求的快速响应与处理；岗位要求：1、熟练使用C++开发语言,有扎实的C++基础，优先；2、熟练使用Lua语言；能使用cocos2d-x lua开发游戏,优先；3、熟练使用cocostudio界面编辑工具；4、两年以上cocos2dx开发经验；5、有棋牌手游开发经验优先考虑；职能类别：多媒体/游戏开发工程师举报分享", "湖南球谱科技有限公司", "50-150人            ", "民营公司        ", "互联网/电子商务    ", "", "招聘若干人"
"前程无忧", "COCOS2D-X", "cocos2d-x手机琪游戏研发工程师（棋牌）", "8000-12000/月", "", "上海-徐汇区", "", "职位描述：职位描述：1.使用cocos2d-x 引擎开发手机游戏（Android+iOS+PC等多平台）；2.客户端整体架构设计及技术方案规划（包括与服务端的协议整合）；3.参与讨论软件模块功能、操作流程及界面布局等客户端设计；4.根据需求能进行cocos2d-x的游戏前端UI开发。5.跟策划、美术、运营等同事沟通，一起完成游戏的设计、开发、上线等工作；岗位要求：1.计算机相关专业本科及以上学历；2.有2年以上游戏开发经验，有1年以上cocos2dx开发经验；3.扎实的C++基础，熟练使用C++，对C++中对象的组织和服务器分布式的程序熟悉；4.熟悉Socket、Http通信，了解系统（IOS或者Android）常用API接口；5.熟悉Android及Ios平台上的打包和发布,有成功上线棋牌游戏经验者优先。6. 熟练掌握至少一种主流数据库环境下的编程（MySQL，SqlServer等）7. 思维缜密，爱岗敬业，责任心强，团队协作力强, 有良好的团队合作精神。加分项：1、作为核心成员参与开发的手机游戏在IOS和android平台经过一定量的用户测试达到性能稳定；2、熟悉各个不同版本iOS/Android特点、机型适配、UI布局优化，有各应用商店sdk对接，qq和微博、facebook社会化分享对接经验；3、能自我激励，有抗压能力和自我追求，越挑战越激情；4、热衷于技术钻研；玩别人的游戏时忍不住考究对方的技术。职能类别：软件工程师高级软件工程师关键字：cocos2d-x举报分享", "上海舞凡网络科技有限公司", "50-150人            ", "民营公司        ", "网络游戏,互联网/电子商务    ", "", "招聘若干人"
"前程无忧", "COCOS2D-X", "COCOS2D-X前端开发", "10000-14999/月", "大专", "重庆-渝北区", "1年经验", "职位描述：岗位职责：1.前端实现2.负责COCO2D-X引擎优化及技术攻关3.可视化编辑工具的选择和开发4.完成项目的渲染工作，提供高质量的shader5.协调美术，根据美术要求，提供技术支持6.    可实习，前提专业对口任职资格任职要求：1．有开发经验2．熟悉图形渲染和gui，能熟练使用shader3．ios/andorid设备适配和调试经验者优先4．品行良好，性格开朗，具有良好的团队协作能力，有独立完成工作的能力，热爱游戏事业5.   从事过棋牌类游戏开发者优先6.   会lua者优先职能类别：软件工程师高级软件工程师关键字：COCOS2D-X举报分享", "重庆芈游科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,网络游戏    ", "", "招聘若干人"
"前程无忧", "COCOS2D-X", "COCOS2D-X主程", "10000-20000/月", "大专", "杭州-西湖区", "3-4年经验", "职位描述：职位描述：1、使用cocos2d-x引擎开发手机游戏（Android+iOS）；2、客户端整体架构设计及技术方案规划（包括与服务端的协议整合）；3、优化cocos2d-x引擎，在引擎基础之上封装游戏所需类库；4、开发游戏相关工具（如地图编辑器、GM工具等）；5、负责客户端组开发人员的组建和开发任务管理工作；6、协调本组与策划、美术、服务端、测试等开发组的合作关系；岗位要求：1、3年以上手游开发经验；至少一款完整ios版本和cocos2dx客户端开发经验；2、熟练应用Cocos2d-x引擎及周边开发工具；3、精通C/C++编程，熟悉Lua、js等脚本语言；4、熟悉不同版本iOS/Android特点、机型适配、UI布局优化、性能优化等；5、热爱游戏，热衷于钻研技术，工作踏实认真，责任心强，抗压能力强。职能类别：多媒体/游戏开发工程师关键字：cocos2d手游研发程序员游戏主程游戏开发unity3DC++cocos2dx举报分享", "杭州崇卓科技有限公司", "少于50人            ", "民营公司        ", "网络游戏,影视/媒体/艺术/文化传播    ", "", "招聘1人"
"前程无忧", "COCOS2D-X", "Cocos2d-x开发工程师实习生（lua)", "4000-5000/月", "大专", "上海-普陀区", "", "职位描述：岗位职责：1.基于Cocos2d-X游戏引擎的手机游戏开发， 与项目制作人、项目策划沟通需求，进行游戏的完善及修改；2.用lua在Cocos2d-X游戏客户端应用逻辑的编写；3.各游戏系统功能的开发和实现；4.开发辅助工具、平台等的开发和实现；5.有良好的沟通能力，能与UI和策划人员深入沟通，理解功能需求；6.制作，维护和更新相关客户端开发工具。任职要求：1.计算机相关专业，拥有扎实的理论基础，对掌握技术有强烈兴趣；2.良好的自学能力，能熟练阅读英文资料；3.熟练应用Cocos2d-x引擎，半年以上Cocos2d-x 手机游戏开发经验；4.精通熟练运用Cocos2d-x引擎，拥有游戏库封装经验者游戏考虑；5.熟悉C/C++,Cocos2d-lua，js等脚本语言；6.有已上架ios/android游戏的制作经验者优先；7.精通手机机型适配，UI布局优化等问题；8.热衷于钻研技术，工作踏实认真，责任心强，抗压能力强；9.善于沟通，有良好的团队合作精神和独立分析解决问题的能力；10.热爱游戏，热爱软件开发，勇于接受挑战；11.拥有丰富IOS、android 打包丰富经验者优先。职能类别：多媒体/游戏开发工程师关键字：cocos2d-xC++手游举报分享", "上海乌图网络科技有限公司", "少于50人            ", "民营公司        ", "网络游戏,计算机服务(系统、数据服务、维修)    ", "", "招聘1人"
"前程无忧", "COCOS2D-X", "COCOS2D-X前端游戏高级工程师", "15000-30000/月", "", "上海", "2年经验", "职位描述：岗位职责：1.熟悉C/C++,熟练掌握面向对象编程技术；2. 熟练掌握Cocos2d-x，Cocos2d-js，对javascript熟悉了解。3.对游戏开发有浓厚兴趣；4.具有良好的代码编写风格,善于与他人沟通合作,具有团队精神,良好的自学能力。任职要求：1.本科及以上学历,计算机及相关专业,具备1年以上实际产品开发经验；2. 熟练掌握手机游戏开发，有多类游戏开发经验优先考虑；3. 扎实的c/c++和javascript功底；4. 热爱编程，具备较强的编程能力和良好的编码风格；5.有较强的逻辑分析能力和学习能力。职能类别：互联网软件开发工程师多媒体/游戏开发工程师举报分享", "上海域起网络科技有限公司", "50-150人            ", "民营公司        ", "网络游戏,计算机软件    ", "", "招聘5人"
