"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "C%2B%2B", "C++跨平台软件工程师", "15000-25000/月", "本科", "上海-徐汇区", "2年经验", "职位描述：清衍公司成立于2016年5月，创始人本人通过量化交易已经北美、欧洲、中国等市场获得超过6年的稳定收益。在行业竞争日趋激烈的情况下，我们希望寻找到软件、硬件、算法相关志同道合的伙伴，一起乘风破浪，不断提高量化投资能力及领域，共同打造最专业最高效的中国***量化投资团队。岗位职责：1、基于C++的后端交易平台程序开发（集成各交易所API）2、客户端与后端交易平台间的sdk开发及测试3、数据库开发与维护岗位要求：1、精通跨平台（linux/win）的C++后台程序开发2、熟悉mysql数据库3、熟悉计算机网络，及网络编程以下条件者优先：1、具有C++后台程序开发工作经验，具备高性能低延迟后台程序开发经验者尤佳。2、熟悉Cmake、swig等工具，及shell命令3、熟悉boost，chromium等库薪资待遇：1、行业极具竞争力的薪酬2、依照法规购买五险一金3、未来合伙人权益职能类别：软件工程师关键字：C++跨平台举报分享", "清衍信息科技（上海）有限公司", "少于50人            ", "民营公司        ", "计算机软件    ", "", "招聘若干人"
"前程无忧", "C%2B%2B", "C++软件人员", "4000-8000/月", "大专", "郑州", "1年经验", "职位描述：岗位职责：1、熟悉并熟练掌握公司软件系统的相关软件技术和使用方法；2、参与软件项目模块的需求分析、可行性分析、详细设计、编码和内部测试等工作，及时反馈软件开发情况，并根据实际情况提出改进建议；3、参与软件系统的现场安装调试、用户培训等工作，根据用户提出的其他软件需求对软件系统进行修改；4、负责相关技术文档的拟订、修订和管理，及时反馈实际工作中遇到的问题，并提出改进建议；5、承担相应的保密职责，完成上级所交办的其它工作。岗位要求：1、电子信息技术、网络工程、计算机及相关专业，本科及以上学历；2、熟练掌握C++开发语言，能熟练运用VC6.0编程环境，有软件系统开发案例者优先；3、熟悉运用Oracle、SQL数据库技术；4、有良好的自我学习能力，良好的沟通能力和表达能力，善于与人交往；5、有较强应变能力，有责任心，对人热情，良好的团队合作精神。薪资待遇：1、实行个人能力与薪资相匹配，多能多得，可具体面议2、公司为入职员工提供绩效奖金，全勤奖，通讯补贴，高温补贴，交通补贴，节日福利，每年至少一次的集体旅游3、弹性工作，国家法定节假日正常休息4、完善的内部晋升体系，拥有广阔的职业发展空间此岗位人员将作为公司核心技术人员来培养，公司将提供较大发展空间，一旦录用，待遇从优！！联系人：孙经理，0371-55183809，18738581629工作地址郑州市管城区陇海东路328号永茂世纪大厦803号职能类别：软件测试技术支持/维护工程师举报分享", "河南安捷交通科技有限公司", "少于50人            ", "民营公司        ", "仪器仪表/工业自动化,检测，认证    ", "", "招聘2人"
"前程无忧", "C%2B%2B", "c++服务器程序", "15000-30000/月", "大专", "深圳-南山区", "3-4年经验", "职位描述：岗位职责：1、负责游戏后台服务器程序架构设计和底层开发；2、负责服务端框架代码编写；3、协助配合主程完成服务器开发工作；4、配合团队其他成员进行项目开发；任职要求：1、本科以上学历，计算机相关专业, 有良好的程序基础，3年以上服务器开发经验2、熟悉游戏服务端开发所需的C /lua语言，熟悉常用数据库（mysql，mssql）的设计与开发，精通linux环境，精通数据结构与算法，socket编程，多线程编程等；3、熟悉数据结构、面向对象开发和设计，拥有良好的代码风格4、熟悉大容量，高并发，高性能的分布式服务器开发原理；5、对用户体验敏感，有良好的自驱动力和自我管理能力，积累协助完善产品，热爱游戏并对游戏玩法有研究者优先职能类别：多媒体/游戏开发工程师关键字：c++lua编程Linux服务器开发举报分享", "北京动力飞扬广告有限公司深圳分公司", "少于50人            ", "民营公司        ", "网络游戏    ", "", "招聘1人"
"前程无忧", "C%2B%2B", "c/c++高级开发工程师", "15000-19999/月", "", "杭州", "3-4年经验", "职位描述：岗位要求：1. 能独立阅读英文文档，从开源代码中学习新技术，有pjsip、ffmpeg等开源库开发经验者优先。2. 具备良好的文档编写能力和习惯，能够指导他人工作。3. 具有产品意识,能够编写规范的概要和详细设计文档，数据库设计4. 对程序设计有精益求精的态度，具备良好合作态度及团队精神，并富有工作激情、创造力和责任感。5. 熟悉SIP协议或H323协议，熟悉Stun、ICE、Turn等NAT穿越协议，熟悉RTP、RTCP协议者优先。6. 熟悉Onvif、Rtsp协议，有视频存储（大容量）开发经验者优先。7. 了解H264，AAC等音视频编解码算法者优先。8.精通lua脚本语言的优先；熟悉Linux操作系统者优先；有KVM、OpenStack调试经验者优先。9.有Mysql数据库大量数据读写优化开发经验者优先职能类别：高级软件工程师举报分享", "杭州叙简科技股份有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务,通信/电信运营、增值服务    ", "", "招聘2人"
"前程无忧", "C%2B%2B", "高级C++软件工程师（上市公司高薪急聘）", "13000-16000/月", "", "北京-海淀区", "2年经验", "职位描述：一、岗位职责：1、完成公司新软件产品的开发及维护；2、对已实施的软件项目进行系统升级与维护；3、对公司其它部门进行技术支持；4、编写软件开发文档。任职要求：1：良好的面向对象编程习惯2：了解windows内存分配，管理机制。3：熟悉windows API，能灵活的应用到程序开发中。4：有丰富的多线程编程经验。5：了解windows消息管理机制。6：有丰富的socket编程经验，能编写较为稳定的高并发socket服务程序。7：三年以上windows编程工作经验。联系方式：联系人：HR联系电话：010-62971558公司网址：www.kkeye.com公司地址：北京市海淀区上地信息路甲28号科实大厦B-12D-2职能类别：高级软件工程师关键字：C++程序员工程师软件举报分享", "精实万维软件（北京）有限公司", "150-500人            ", "合资        ", "计算机软件,互联网/电子商务    ", "", "招聘2人"
"前程无忧", "C%2B%2B", "C++高级软件研发工程师", "15000-25000/月", "本科", "北京-海淀区", "5-7年经验", "职位描述：岗位职责：1.负责电子设备的模拟仿真，导航算法编写；整理技术文献，编写技术文档（需求分析，方案设计，详细设计，测试文档等）；2.负责软件开发、系统联调、单元测试等工作。任职要求：1.本科及以上学历，5年以上C/C++开发经验；2.熟练使用VC++6.0/VS2005等；熟悉MFC/QT；3.熟悉TCP/UDP协议，数据库，多线程，实时操作系统。4.熟悉Python脚本语言优先；捷安申谋军工期待您的加盟！职能类别：高级软件工程师软件工程师举报分享", "北京捷安申谋军工科技有限公司", "50-150人            ", "民营公司        ", "计算机软件    ", "", "招聘5人"
"前程无忧", "C%2B%2B", "C/C++研发工程师（2017校园招聘职位）", "10000-14999/月", "本科", "上海", "", "职位描述：职位要求：1. 计算机及相关专业本科以上学历；2. 熟悉C/C++语言编程，对数据结构和算法设计具有较深刻的理解；3. 熟悉Linux系统、熟悉TCP/IP、HTTP等协议、熟悉mysql/key-value数据库;4. 善于学习和运用新知识，具有良好的分析和解决问题能力；具有良好的团队合作精神和积极主动的沟通意识。本职位针对2017届应届本科、硕士及博士。职能类别：互联网软件开发工程师举报分享", "上海晶赞科技发展有限公司", "150-500人            ", "合资        ", "互联网/电子商务,广告    ", "", "招聘若干人"
"前程无忧", "C%2B%2B", "C++服务器开发", "13000-25000/月", "", "深圳", "", "职位描述：任职要求：1、熟悉linux下的网络服务器设计和开发，理解TCP、UDP网络协议，熟悉Socket网络程序设计方法2、精通C、C++编程，熟悉linux的常用命令，有基本的shell脚本编写能力3、具有网络服务器二年以上开发经验，并且热爱开发工作4、具有较强的团队意思与良好的沟通能力，高度责任感，对工作积极严谨，勇于承担压力，较强的学习能力。5、要求有本科及以上学历,过往在行业内有突出表现的可酌情考虑。职能类别：软件工程师举报分享", "深圳市富途网络科技有限公司", "150-500人            ", "民营公司        ", "计算机软件,金融/投资/证券    ", "", "招聘若干人"
"前程无忧", "C%2B%2B", "C++软件工程师", "10000-25000/月", "", "上海-普陀区", "", "职位描述：1. 从事基于MT4平台（或其他类似平台）软件接口的程序编写及维护。2. 负责MT4终端的维护，处理异常情况。3. MT4运营及维护，MT4与LP技术对接，熟悉FIX协议。4. 负责公司其他协同系统的架构、开发、运行、维护。5. 监控相关软件的运行，并在必要时进行必要的调整。6. 负责MT4平台插件的开发与其他软件程序的开发。任职要求：1.2年以上相关工作经验；2.熟悉ASP.Net框架，熟练掌握.net(C#)及MSSQL开发技术，熟悉webService。3.3.熟悉Linq，对Web开发技术(Ajax、HTML、JavaScript、jQuery、CSS等)有一定的了解；4.理解MVC等设计模式，了解MVC4.0、EF；5.熟悉IIS及Web应用在IIS的部署和设置6.了解操作系统基本原理，对多线程，内存管理有一定理解；7.有良好的团队合作精神、高度的责任心、较强的自我管理能力及自驱力；8.有金融行业经验者优先。上班时间：周一至周五 9:00-18:00职能类别：互联网软件开发工程师举报分享", "上海油洛资产管理有限公司", "150-500人            ", "民营公司        ", "金融/投资/证券    ", "", "招聘2人"
"前程无忧", "C%2B%2B", "java/C++/.net/android/PHP/软件开发工程师实习+转正", "4500-5999/月", "大专", "上海-浦东新区", "无工作经验", "职位描述：找工作，求发展。软件开发等你来挑战！！！随着软件行业的发展，对于技术人员要求也越来越多，为满足企业用人需求，公司诚招Android,Java，web，c++等软件实习生,专业、技术不限。对欲在IT领域有所建树的有识之士来说 千载难逢、机会难得......任职要求：1、对计算机感兴趣，有一定的计算机基础；2、18-28周岁大专及以上学历的应往届毕业生3、专业不限，有无经验均可；4、有志于长期从事于IT行业；5、有责任心，工作认真负责，有良好的沟通表达能力，有团队意识；在正式入职前需参加带薪岗前实训，巩固和学习java和安卓等编程方面各方面的知识。薪酬待遇：中软国际在全国25个城市都有分公司，员工被录取后可以跟进员工意愿进入中软各地的分公司，如北京、天津、大连、沈阳、西安、南京、无锡、广州、重庆、成都、长沙、厦门、武汉等地。在一线城市入职薪酬不低于5000元，二线城市入职薪酬不低于3500元。1、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！2、为员工购买五险一金，让员工无后顾之忧！3、人性化的培训管理制度、一对一的指定帮助让员工快速融入新环境并成长！4、五天八小时工作制、周末双休、法定节假日之外的带薪病假、年休假，让员工与家人共享美好生活！工作时间：1、常规工作时间：周一至周五，9：00-18：00，周末双休；2、法定节假日正常休息；3、连续工作满1年者享受5天带薪年假；公司地址及电话：上海市浦东新区商城路887号波特营创意园A1栋1楼（近世纪大道）联系电话：021-61311134应聘者请考虑实际情况进行投递，如果暂时不能到上海参加面试的异地求职者，需要确定好求职时间后再进行投递，避免投递后由于无法来面试而错过面试机会！网站 http://www.chinasofti.com/superWebCMS/v201608/zh/etc/etc-qgbj.shtml职能类别：互联网软件开发工程师软件工程师关键字：高薪ITJava上市公司应届生安卓ios双休朝九晚六游戏举报分享", "中软国际（上海）", "10000人以上            ", "合资        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘10人"
