"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "C%23", "c#软件人员", "4000-8000/月", "本科", "郑州", "", "职位描述：岗位职责：1、负责产品软件设计；2、负责项目的代码编写、程序调试以及代码日常维护；3、负责客户现场的系统调试和软件的升级工作；4、配合产品销售的技术服务工作。任职要求：1、电子信息技术、网络工程、计算机及相关专业，本科及以上学历；2、具有面向对象系统分析和设计的实际经验，熟悉C++开发语言者优先考虑；3、熟练使用c#、.net，熟悉运用SQL等数据库技术，有多线程编程经验；4、有良好的自我学习能力，良好的沟通能力和表达能力，善于与人交往；5、有较强应变能力，有责任心，对人热情，良好的团队合作精神。薪资待遇：1、实行个人能力与薪资相匹配，多能多得，可具体面议2、公司为入职员工提供绩效奖金，全勤奖，通讯补贴，高温补贴，交通补贴，节日福利，每年至少一次的集体旅游3、弹性工作，国家法定节假日正常休息4、完善的内部晋升体系，拥有广阔的职业发展空间工作地址郑州市管城区陇海东路328号永茂世纪大厦803号职能类别：软件工程师举报分享", "河南安捷交通科技有限公司", "少于50人            ", "民营公司        ", "仪器仪表/工业自动化,检测，认证    ", "", "招聘2人"
"前程无忧", "C%23", "C#.net软件工程师", "7000-15000/月", "大专", "上海-徐汇区", "2年经验", "职位描述：岗位职责：1、 熟悉C#语言和.NET Framework框架, 能开发B/S与C/S架构的应用程序；2、 对webform、winform开发具备较好的功底。3、 熟练掌握SQL Server 2008数据库的设计和开发4、 熟悉面向对象的程序开发，具备良好的编程规范；5、 较强的学习能力和解决问题的能力；6、 良好的沟通和表达能力，有高度的责任心和敬业精神，能承受较大的工作压力。岗位要求：1、 对ASP.NET、AJAX、WINFORM较好的功底。了解WPF与WCF优先考虑；2、 熟练掌握SQL Server 2008数据库的设计和开发3、 熟悉面向对象的程序开发，具备良好的编程规范；4、 较强的学习能力和解决问题的能力；5、 良好的沟通和表达能力，有高度的责任心和敬业精神，能承受较大的工作压力。6、 2年以上C#开发经验，能独立完成开发任务。职能类别：互联网软件开发工程师软件工程师关键字：c#.netwebjquerywcfbscsweb前端举报分享", "上海路辉电子科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,电子技术/半导体/集成电路    ", "", "招聘1人"
"前程无忧", "C%23", "C#软件开发工程师", "4000-7000/月", "大专", "成都-高新区", "1年经验", "职位描述：1. 进行软件维护及升级；2. 参与项目开发，完成开发任务；3. 进行产品研发；任职要求:1. 专科及以上学历，计算机相关专业,具有至少1年工作经验, 可接受优秀应届毕业生；2. 熟练掌握C#/WPF、数据库编程开发，熟悉Visual Studio 2010及以上开发环境，有一定的C/C++基础，并具备独立思考和寻求解决问题的能力；3. 熟练掌握SQLite, SQLServer等数据库相关知识；4. 有一定的面向对象系统分析和设计经验，掌握常用的软件设计模式、分析设计方法；5. 自学能力强，做事严谨踏实，责任心强，条理清楚，性格开朗，工作态度积极向上，有较强的团队合作精神，吃苦耐劳；6. 至少参与过两个项目的开发;满足以下条件之一者优先:1. 熟练掌握WPF界面开发及控件开发；2. 有Socket编程项目经验；工作地点：成都市天府软件园E区2-1单元14楼职能类别：软件工程师关键字：软件工程师C#开发工程师举报分享", "成都艾欧比软件有限公司", "50-150人            ", "民营公司        ", "计算机软件    ", "", "招聘1人"
"前程无忧", "C%23", "初级c#程序员", "3500-5000/月", "大专", "广州-天河区", "", "职位描述：1.熟悉C#语言，可进行C#软件项目开发2.有良好的代码书写、注释和单元测试习惯3.了解MVC4.为人诚恳，做事认真，吃苦耐劳，有较强责任心和团队合作精神职能类别：软件工程师举报分享", "广州市骊尤励科技有限责任公司", "少于50人            ", "民营公司        ", "计算机软件    ", "", "招聘2人"
"前程无忧", "C%23", "C#高级工程师", "10000-14999/月", "", "上海-浦东新区", "", "职位描述：岗位职责： 1、参与软件系统的需求调研和需求分析工作； 2、负责系统的分析和概要设计工作； 3、参与系统核心模块的程序编码工作； 4、负责项目中技术难题的攻关以公司关键技术问题的突破和积累； 5、负责指导初级工程师解决开发过程中遇到的技术问题； 6、参与上线系统稳定性、性能和扩展性调试； 7、负责按照公司的软件开发规范编写相关项目技术文档； 8、配合项目经理或产品经理执行开发过程中的技术管理工作。 任职条件： 1、计算机相关专业专科以上，五年以上.NET实际开发经验； 2、精通.NET体系架构，熟悉常用的设计模式，有多层体系结构设计经验； 3、熟练使用VS开发工具，至少精通WPF、EntityFramework等一种框架； 4、至少熟练使用一种数据库（Oracle、DB2、SQLServer和MySQL），拥有较好的数据库设计能力； 5、良好文档编写能力，具有良好的团队合作精神，能承受较强的工作压力； 6、有财务、金融行业软件开发经验者优先； 7、有其他语言（JAVA、PHP、C++等任意）开发经验者优先； 8、有工作流平台研发经验者优先；职能类别：高级软件工程师举报分享", "深圳元立方金融服务有限公司上海分...", "金融/投资/证券    ", "民营公司            ", "", "", "招聘2人"
"前程无忧", "C%23", "C#.NET初级开发工程师", "10000-14999/月", "大专", "上海-浦东新区", "2年经验", "职位描述：工作内容 1、完成软件系统后台代码的实现，编写代码注释和开发文档]2、根据设计文档或需求说明完成代码编写，调试，测试和维护；3、分析并解决软件开发过程中的问题；4、协助测试工程师制定测试计划，定位发现的问题；5、配合项目经理完成相关任务目标;工作要求 1、二年以上C#/.net开发经验，了解多层架构、熟悉接口开发；2、掌握ASP.NET(C#)、ASP.NET MVC等开发技术；3、熟悉数据库相关知识，能够熟练应用SqlServer数据库进行开发；4、对面向对象、设计模式有一定的了解，对微服务架构和SOA有一定基础。职能类别：软件工程师关键字：java软件开发web.netc#.net举报分享", "安徽立库信息科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘10人"
"前程无忧", "C%23", "C#开发工程师", "7000-12000/月", "", "武汉", "1年经验", "职位描述：岗位职责:从事现货交易系统、现货发售客户端等的开发工作。素质要求:1.本科及以上学历，一年以上开发经验；2.精通C#语言编程；3.熟悉主流数据库中的一种或多种,如ORACLE、SQL SERVER、MYSQL等；4.有一定的系统分析和设计能力，技术钻研能力强；5.良好的表达沟通能力，独立工作能力强。6.具有金融证券行业软件开发经验者优先。职能类别：互联网软件开发工程师关键字：C#ORACLESQLSERVERMYSQL举报分享", "佰昌集团有限公司", "1000-5000人            ", "民营公司        ", "房地产,多元化业务集团公司    ", "", "招聘1人"
"前程无忧", "C%23", "C#", "6000-7999/月", "大专", "西安-雁塔区", "3-4年经验", "职位描述：岗位职责：1、负责后台技术研发及运营；2、负责数据库应用类项目的开发;3、具有成熟项目经验，可独立完成项目开发，完成基于.net(c#)、技术项目相关需求整理、设计、开发、测试、维护等各项工作；4、按照公司要求完成需求分析,编写设计文档或需求说明书及编程工作；5、搭建系统开发环境，进行系统框架和核心模块的详细设计和开发；2、参与项目的架构设计、评审、技术攻坚和优化；研究产品技术细节；根据产品需求编写相应技术文档。参与系统文档的撰写、维护,升级;负责所编写模块的单元测试,并编制相关的单元测试文档；系统架构搭建，编写核心部分代码；指导和协助初中级开发工程师工作；根据产品开发进度和任务分配，开发相应的软件模块；根据需要及时修改、完善软件；负责公司接口的设计和开发，如第三方接口。独立分析并解决软件开发过程中的问题,处理项目现场提报的bug和新需求等;负责对系统测试和验收测试报告的问题进行回复及解决；4、负责对软件更改说明、功能特性说明等开发文档编写工作；任职资格：1、大专以上学历，3年以上.NET开发经验。负责过完整项目的设计和开发；2、熟练掌握C#、ASP.NET 架构、MVC、SQL Server等；3、熟悉云存储及云服务器的搭建；4、有ERP系统开发经历者优先；.精通.Net编程, 包括C#, asp.net, ADO.net等相关编程知识；3.熟悉SQL Server数据库应用及熟练编写SQL语句；4.熟悉.NET多层开发和分布式应用体系结构；5.熟练使用Web开发相关的HTML，CSS，, xml， JQuery，JavaScript等技术；3、熟悉编写WEBSERVICE接口；4、熟悉网站产品开发流程，对网站产品的UI设计网站开发经验，熟练网站前端、后端开发，熟悉sqlserver数据库6、熟练使用Visual Studio2005/ 2008/2010 等开发工具，开发C/S和B/S程序；有较强的责任心,良好团队协作能力、谦虚踏实、具有良好的沟通能力，有高度的责任心，吃苦耐劳。逻辑思维性强，办事沉稳、细致、思维活跃，具有良好独立工作能力和解决问题的能力,对技术有热情，有能力直接跟踪和学习最新的软件技术；任职条件为公司所有需求，根据个人能力制定不同岗位，薪资福利休假可面议职能类别：ERP技术开发软件UI设计师/工程师举报分享", "陕西凯升达电子科贸有限公司", "50-150人            ", "民营公司        ", "计算机服务(系统、数据服务、维修)    ", "", "招聘4人"
"前程无忧", "C%23", "C#开发工程师", "6000-12000/月", "大专", "北京-海淀区", "1年经验", "职位描述：1、主要负责人机交互程序、体感互动(Kinect For Windows)应用程序的开发；2、研究Kinect体感设备的接口，配合C#，进行相关展示程序的开发；3、有制作体感游戏经验者优先。任职要求：1、1年及以上C#开发经验，精通C#语言和.Net框架，熟悉UI开发；2、有良好的编码习惯，熟悉常见的软件开发流程；3、良好的沟通与表达能力，工作积极主动，有上进心和创新精神，愿意了解未知领域的问题，承压能力强；职能类别：软件工程师举报分享", "北京军创盛安信息技术有限公司", "少于50人            ", "民营公司        ", "计算机服务(系统、数据服务、维修),计算机软件    ", "", "招聘若干人"
"前程无忧", "C%23", "NET(C#)开发工程师", "5000-10000/月", "大专", "武汉-洪山区", "2年经验", "职位描述：岗位职责：1、根据项目需求及流程，负责公司产品后台业务逻辑的设计与开发。2、根据产品经理提交的业务需求，编写概要设计和详细设计。3、独立完成产品不同模块的编码工作。4、能够分析并解决软件开发过程中的问题5、完成领导安排的其它工作。岗位要求：1、熟练掌所 C/S开发技术。2、熟悉C#，ASP.NET，深入理解.net架构，熟练使用.NET相关开发工具。3、熟悉Oracle、SQL Server、Mysql等数据库编程，掌握T-SQL语言，能够熟练使用T-SQL语言编写存储过程。4、熟悉.Net多线程处理。5、能有积极主动的工作态度和团队合作精神，富于开创性，喜欢挑战、学习探索能力较强；有一定的文档撰写能力6、具有良好的编程技术和团队协作意识，能够承受一定工作压力。7、有物流行业、供应链行业经验者优先考虑。职能类别：软件工程师举报分享", "武汉普罗格集成科技有限公司", "50-150人            ", "民营公司        ", "交通/运输/物流,计算机软件    ", "", "招聘3人"
