"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "Delphi", "移动证券delphi开发工程师/高级开发工程师（杭州）", "10000-14999/月", "", "异地招聘", "3-4年经验", "职位描述：职责：负责公司后台服务器相关产品的技术开发和问题处理。要求：1、熟练delphi开发各项技能。2、熟悉后台服务器相关组件、接口、数据的开发和处理。3、吃苦耐劳，有强烈责任心。4、工作积极主动，团队和集体荣誉感强。5、工作年限、学历等不限。6、一颗永不停止追求成就的心。职能类别：高级软件工程师软件工程师关键字：移动证券delphi服务器组件接口数据库举报分享", "杭州中焯信息技术股份有限公司", "150-500人            ", "民营公司        ", "金融/投资/证券,计算机软件    ", "", "招聘3人"
"前程无忧", "Delphi", "delphi开发工程师", "10000-14999/月", "本科", "广州-天河区", "2年经验", "职位描述：岗位职责：1、根据项目具体要求，承担开发任务，按计划完成任务目标；2、完成软件系统及模块的需求调研与需求分析；3、完成软件系统及模块的设计；4、完成软件系统核心模块的编码；5、协助相关人员完成软件系统及模块的测试；6、负责编制与项目相关的技术文档。任职要求：1、本科以上学历，计算机相关专业；2、3年以上Delphi开发经验，具有大型软件设计和开发经验者优先；3、能熟练使用Windows API,多线程,VCL类进行开发；熟悉BPL开发模式, 能独立完成系统的设计开发；4、至少熟悉Oracle、MS SQL Server等一种以上的数据库；5、具有良好沟通能力，能独自与客户进行沟通交流，有一定的抗压能力；6、为人正直，责任心强，思维严谨，工作主动，有较强的学习创新能力。职能类别：软件工程师互联网软件开发工程师关键字：软件开发互联网开发举报分享", "珠海方图智能科技有限公司", "50-150人            ", "民营公司        ", "计算机硬件,互联网/电子商务    ", "", "招聘若干人"
"前程无忧", "Delphi", "Delphi程序员", "4500-5999/月", "", "广州-越秀区", "", "职位描述：Delphi C++ PB MIS 分布式编程 SQL MS SQL Server Oracle专业技能和条件：1、计算机相关专业，专科以上学历， 有1年或以上系统开发经验；2、具备扎实的编程能力，有至少1年以上的Delphi、C++、PB等开发经验，熟悉MIS系统开发；3、熟悉分布式编程原理；4、熟悉软件开发过程，有良好的开发文档编写能力理解能力强，有良好的沟通表达能力；5、精通SQL，熟练掌握MS SQL Server或Oracle等主流数据库系统；6、工作积极，具备高度的责任心，学习能力强，善于沟通及团队合作。岗位职责及工作内容：1、负责相关软件模块的开发和单元测试工作；2、负责相关软件模块的维护和升级工作；3、负责编写相关的研发文档；4、负责执行CMMI3中的相关过程的任务。职能类别：软件工程师关键字：DelphiC++PB举报分享", "广州市丛文信息科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘若干人"
"前程无忧", "Delphi", "DELPHI开发工程师", "20000-24999/月", "", "上海-普陀区", "3-4年经验", "职位描述：任职要求：1.一年以上Delphi开发经验；2.能熟练使用Windows API,多线程,VCL类进行开发；3.熟悉Http协议的SDK接入使用；4.有界面或控件开发经验的优先；5.有gr32绘图经验开发的优先6.具备较强的自学能力和良好的沟通能力，敬业、主动、易沟通、有团队合作意识；能力优秀者条件可以适当放宽。工作地址普陀区长寿路97号世纪商务大厦14层职能类别：软件UI设计师/工程师高级软件工程师举报分享", "北京天际数字技术股份公司上海分公司", "150-500人            ", "民营公司        ", "影视/媒体/艺术/文化传播,公关/市场推广/会展    ", "", "招聘2人"
"前程无忧", "Delphi", "delphi工程师", "5000-8000/月", "大专", "武汉-洪山区", "1年经验", "职位描述：1、计算机相关专业毕业，大专以上；2、3年左右delphi开发经验；2年以上的项目开发经验；3、熟练使用Access、SQL Server、Oracle、SyBase等各种常见数据库系统。4、有责任感、团队精神和钻研精神；5、善于客户沟通和内部协调,具有良好的沟通和协调能力；6、对面向对象的编程方式有深入理解和应用能力；7、具有医疗卫生信息化经验或者熟悉物流系统优先。福利待遇：1、五天8小时工作制，行业内具有竞争力的薪酬结构；2、社保及带薪假期等法定福利；经常外出岗位另外购买商业保险。3、表彰奖励：优秀员工奖、突出贡献等奖励；4、特别礼金：生日礼金、节日礼金、结婚礼金、生育礼金、康复慰问金、丧亲慰问金及年底奖金；；职能类别：软件工程师举报分享", "武汉蓝星软件技术有限公司", "150-500人            ", "民营公司        ", "计算机软件    ", "", "招聘若干人"
"前程无忧", "Delphi", "Delphi软件工程师(ERP开发)", "6000-10000/月", "大专", "上海-浦东新区", "1年经验", "职位描述：工作职责：ERP系统软件界面（DELPHI）、数据库脚本（MSSQL）设计开发职位要求：1）计算机及相关专业毕业，专科以上学历；2）具有使用DELPHI开发数据库软件的工作经验；3）为人正直，诚实；富有团队和敬业精神；易于沟通。办公地点：中邦商务园，地处上海浦东新区东南部，园区空气清新，办公环境宽敞绿色。1028路直达地铁二号线华夏东路站。职能类别：ERP技术开发软件工程师关键字：DELPHIERP程序ERP编程ERP设计ERP开发DELPHI程序DELPHI设计DELPHI开发DELPHI编程举报分享", "上海企望信息科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,印刷/包装/造纸    ", "", "招聘若干人"
"前程无忧", "Delphi", "Delphi技术主管", "8000-9999/月", "本科", "广州-天河区", "3-4年经验", "职位描述：岗位职责：1.协助上级进行相关功能的开发和优化，根据需求制定开发计划，并进行编码工作；2.负责公司平台Delphi相关程序的开发和管理工作，解决开发过程中遇到的技术问题；3.有组建和管理Delphi技术团队的能力和实际经验。4.参与公司平台的实施、培训和维护工作；5.公司和部门安排的其他工作。招聘要求：1.本科或以上学历，计算机相关专业，3年或以上Delphi项目开发、管理经验；2.理解能力强，善于分析复杂业务场景，参与过中大型IT系统架构分析和数据模型设计；3.精通Delphi，在技术方面有较强的分析问题和独立解决问题的能力；4.熟悉Oracle，SQL Server相关大型数据库技术；5.工作主动，具备良好的责任心、沟通能力、团队精神并具有一定团队管理经验；6.熟悉物流、运输行业系统或业务者优先；7.同等条件下，了解以下其他任意一项技能者优先：JAVA，Android程序，Web开发。职能类别：其他关键字：Delphi物流开发举报分享", "广东网上飞物流科技有限公司", "少于50人            ", "国企        ", "互联网/电子商务,交通/运输/物流    ", "", "招聘若干人"
"前程无忧", "Delphi", "Delphi开发工程师（西安）", "4500-5999/月", "本科", "西安-未央区", "2年经验", "职位描述：岗位要求：1、本科或同等学历，至少三年以上同行业软件开发经验；2、熟悉软件开发过程，具有较好的文档编写水平及良好的代码风格；3、具有一定的软件分析、设计经验，能够独立承担系统模块的开发；4、逻辑思维能力强，有创新精神、有韧劲，较强的拼搏精神和团队合作精神；5、精通Delphi数据库编程、VCL类库及网络编程；6、精通SQL SERVER、Oracle或其他大型数据库编程；7、积极的学习态度，乐于面对挑战性课题；8、有财务软件、企业管理软件及医疗行业软件开发经验者优先。岗位职责：1、负责本公司医院管理软件的研发；2、负责C/S和B/S架构系统程序的设计和开发；3、负责撰写设计开发文档。薪酬福利：1、享有五险一金及富有竞争力的薪酬待遇。2、优秀者享有参与公司制定的长期服务激励计划分配方案。职位联系方式西安分公司地址：西安市未央区大明宫街道凤城一路大明宫万达广场2号甲级写字间1405室联系电话：029-86266831（王***）总公司名称：深圳市坐标软件开发有限公司公司地址：深圳市福田区深南大道旁新闻路59号深茂商业中心23楼(本大厦一楼为招商银行景田支行)传真：0755-82949630网站：www.cnhis.com职能类别：软件工程师高级软件工程师关键字：Delphi开发工程师（西安）周末双休带薪年假年终双薪奖金丰厚出差补贴节日福利举报分享", "深圳市坐标软件开发有限公司", "150-500人            ", "民营公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘2人"
"前程无忧", "Delphi", "软件工程师（delphi方向）五险一金", "3000-4499/月", "本科", "济南-高新区", "", "职位描述：岗位描述：主要负责公司桌面软件开发工作，使用的开发工具为：delphi。岗位要求：1、性格开朗、品行端正，有较强的责任心及敬业精神。2、正规全日制本科院校毕业，自动化类与计算机类相关专业。3、做事认真，擅于沟通，具有良好的代码设计开发规范及团结协作能力，热爱软件设计工作。4、能适应短期国内出差。5、有电力、煤矿等自动控制行业软件开发经验者优先录用。薪资福利：1、月薪+年终奖，五险一金。2、福利：午餐补助、交通补助、话费补助、节日福利、员工旅游、生日蛋糕、健康体检、结婚礼金等。3、作息时间：双休，每天八小时工作制。投递简历前，请到公司网站了解企业信息：www.bosure.cn。职能类别：软件工程师软件UI设计师/工程师关键字：软件工程师周末双休年终双薪实习培训立即上岗软件开发Delphi开发举报分享", "山东博硕电子有限公司", "150-500人            ", "民营公司        ", "仪器仪表/工业自动化,电子技术/半导体/集成电路    ", "", "招聘2人"
"前程无忧", "Delphi", "Delphi软件工程师", "8000-9999/月", "", "异地招聘", "5-7年经验", "职位描述：任职要求：1、大专及以上学历，计算机等相关专业；2、具备5年以上软件系统开发经验，其中3年以上Delphi开发经验；3、熟练掌握MS SQL Server数据库配置、优化和管理；4、熟练软件系统设计、开发、发布、运维管理方法和流程；5、具备较强的团队精神和合作精神，对工作有热情，能够在一定压力下工作。职能类别：高级软件工程师举报分享", "东莞市以纯集团有限公司", "服装/纺织/皮革    ", "民营公司            ", "", "", "招聘1人"
