"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "Flash", "FLASH销售工程师", "6000-7999/月", "大专", "深圳", "2年经验", "职位描述：1.大专及以上学历，电子相关专业；2.具有2年以上半导体代理销售工作经历，对玩具有客户资源或销售渠道；3.较强的客户沟通能力,具有良好的团队协作精神；4.对销售工作具有高度热情，乐于接受富有挑战性的工作机会。本公司有MCU、MOS、POWER、CLASS-D/AB、WIFI、AUDIO.LCD DRIVER等产品提示：我公司是正规代理商，代理销售京微雅格（FPGA),WINBOND华邦（FLASH)，博观（FLASH).华虹（MCU),NUVOTON新唐(MCU)，尼克森（MOS),CET华瑞(MOS)，VIVA昱盛(CLASSD)，东晨（TVS), ADC等产品，产品种类多，真诚邀请有志之士加入我司，共谋发展，如果您是一个充满工作激情，乐观向上，工作负责的人，想要寻求更好的发展机会，请加入到我们的团队中来，施展你的才华。面试时间：我司安排每周五、六统一面试，不接受陌生电话预约面试，请将个人资料发至公司邮箱，合则约见。职能类别：销售工程师关键字：渠道销售直销销售电话销售销售经理销售代表举报分享", "深圳市威凯特科技有限公司", "少于50人            ", "民营公司        ", "电子技术/半导体/集成电路    ", "", "招聘5人"
"前程无忧", "Flash", "flash动作设计师", "6000-15000/月", "大专", "广州-天河区", "", "职位描述：1、想象力丰富，有很好的动作设计能力，能够展现流畅.生动的动作效果。2、熟练运用flash，spine等2维动画制作软件，3、有较强的美学素养，色彩审美观及良好的创意设计表达能力，理解能力和沟通能力强；4、工作态度积极，处理事情责任心强；有较强的独立工作能力和团队合作精神；5、有较强的学习能力，主动研究或学习新的技术运用到工作中。应聘者需附上个人作品，量大的作品发美术总监的QQ邮箱：1337951986@qq.com.职能类别：动画/3D设计举报分享", "广州分给网络科技有限公司", "50-150人            ", "民营公司        ", "网络游戏,计算机软件    ", "", "招聘3人"
"前程无忧", "Flash", "Flash动画师", "6000-7999/月", "", "深圳-宝安区", "5-7年经验", "职位描述：1、有靠谱的审美观，可以独立制作动画视频；熟练使用AE、FLASH软件；2、有创意，不死板，能提出自己的想法和见解；3、思想活跃，有创意，有制作MG动画、图文动画经验（类似飞碟说动画）；4、理解视觉语言，可根据视频文案进行富有创意与视觉冲击力的动画制作、剪辑和编排；6、具备较强的沟通能力，优秀的团队意识和协作精神；具有强烈的责任心和认真好学的工作态度，能够承受较大的工作压力；7、良好的电脑美术基础，5年以上Flash/AE动画工作经验；8、一切靠作品和能力说话，薪酬面议，好人才，肯定要留住，底薪+绩效+年终奖金我们欢迎动态图形综合能力较强的小伙伴加入我们，和我们一起做喜欢的事情。请将简历、作品和期望薪资发至邮箱。公司官网：www.yikeart.com简历投递邮箱：yikeart@163.com  （投简历时请投一些相关作品）职能类别：动画/3D设计多媒体设计举报分享", "深圳鼎承视界传媒有限公司", "少于50人            ", "民营公司        ", "影视/媒体/艺术/文化传播,广告    ", "", "招聘5人"
"前程无忧", "Flash", "FLASH动画", "4500-5999/月", "", "淮安", "", "职位描述：岗位要求：1、统招全日制大专以上学历，计算机类专业或动画设计类专业，1年以上工作经验；2、了解互动媒体的相关知识，如Flash AS、Kinect体感交互程序；3、精通flash的开发流程和框架，精通ActionScript3.0/ 2.0编程设计，能独立完成Flash人机交互游戏作品的编程开发；4、独立负责博物馆、科技馆、规划馆等各类型展馆的触摸屏，多点触摸桌，互动墨镜墙等互动展项的程序编写，动态效果设计5、熟悉js，3d，kinck体感开发等优先。6、乐于挑战，并能承受工作压力, 善于沟通及具备良好的团队合作能力.职能类别：动画/3D设计举报分享", "江苏正诚文化产业有限公司", "50-150人            ", "民营公司        ", "影视/媒体/艺术/文化传播    ", "", "招聘5人"
"前程无忧", "Flash", "FLASH视频制作", "3000-8000/月", "大专", "南京-江宁区", "1年经验", "职位描述：招聘5名MG动画师，需熟练运用FLASH、AE等视频软件以及AI、PS等绘图软件，有独立制作MG动画能力，有相关项目经验者优先！职能类别：绘画动画/3D设计关键字：漫画插画微信实习举报分享", "南京漫目美网络科技有限公司", "少于50人            ", "民营公司        ", "影视/媒体/艺术/文化传播,广告    ", "", "招聘5人"
"前程无忧", "Flash", "Flash设计/开发双休+五险一金", "3000-4499/月", "", "长春", "", "职位描述：岗位要求：1、中专及以上学历，年满18-28周岁；2、有较强的学习能力，能够在一定时间里掌握相关工作技巧和岗位技能；3、积极主动的工作态度，乐观向上的价值观，强烈的团队合作意识；4、对计算机行业有一定认识，想长期在软件行业发展；工作时间：5天8小时薪资福利：1、富有竞争力的薪酬水平：基本薪资4k-6k + 项目奖金+项目提成2、其他福利津贴：年底双薪+节日礼金+生日礼物+定期调薪五险一金及补充商业保险（医疗险）3、完善的培养体系和升迁机制：管理+技术4、丰富的集体活动（定期的拓展、旅游、体育比赛、年会等）。职能类别：多媒体设计文案/策划举报分享", "中软国际（长春分公司）", "10000人以上            ", "上市公司        ", "计算机软件,互联网/电子商务    ", "", "招聘5人"
"前程无忧", "Flash", "Flash动画设计专员", "3000-4000/月", "本科", "合肥-庐阳区", "", "职位描述：职位描述：岗位职责：根据分配的文案内容进行动画设计制作，对该部分完成时间和质量负责参与团队创意分享、提供创意内容协助动画组长完成分镜，配合整体动画调整任职条件：1.学历要求：本科动画或相关专业优先2.工作经验要求：有动画制作经验。有优秀作品者优先。3．能力素质要求：1）扎实的手绘功底，一定的动作表达能力，良好的审美；2）关注动漫流行趋势和互联网热点内容，创意独特，思路开阔，创新意识强；3）能根据需要调整风格，完成动画创作任务。4）善于沟通，有团队合作精神，有一定抗压能力。4．计算机要求：熟练操作使用flash等动画常用制作软件。职能类别：动画/3D设计 多媒体设计职能类别：动画/3D设计举报分享", "南京华予博纪信息技术有限公司", "少于50人            ", "民营公司        ", "通信/电信运营、增值服务,互联网/电子商务    ", "", "招聘3人"
"前程无忧", "Flash", "flash开发工程师/AS3开发工程师", "10000-20000/月", "", "广州-天河区", "", "职位描述：1.为人诚恳、热爱软件开发，已经或有志于成为优秀开发人员；2.学习能力强、工作积极主动、具有团队合作精神；3.熟练掌握Flash builder、Flex等开发能力；4.有C++或C#开发经验者优先考虑；5.有3D类软件开发经验者优先考虑。福利待遇：1.上班时间：上午8:30-12:00，下午14:00-18:00  享受国家法定节假日；2. 购买社保，带薪年假；3.可享受节日礼品、生日礼物；4.丰富的娱乐活动，素质拓展，不定期旅游活动，每月不定期下午茶；5.提供员工培训；6. 年底双薪、绩效奖金上班地址：天河区黄埔大道西163号富星商贸大厦东塔14楼K、L、H单元地铁：3号线或体育西路站 B、H出口步行300米周边有花城汇、天河城、天河又一城、正佳广场、天寰广场等，步行3-10分钟可达，是休闲娱乐聚餐的好去处职能类别：高级软件工程师Flash设计/开发关键字：flash开发as3flex3D引擎计算机图形举报分享", "广州乐家数字科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘5人"
"前程无忧", "Flash", "FlashAS程序员", "8000-9999/月", "大专", "上海-普陀区", "2年经验", "职位描述：岗位职责：1.负责公司FLASH动画的制作，有交互界面的设计能力；2.能以不同形式独立完成FLASH动画、FLASH网页及视频短片的制作；3.能够把Flash动画，图形和动态程序做到完美结合；4.有一定美术功底可以制作动画过程中可能需要的动画元件以及特效优先；5.完成上级交代的其他工作。任职要求：1.大专及以上学历，2年以上设计制作工作经验；2.能独立完成 flash小游戏的制作及用as 编程实现 flash的酷炫动画效果3.有FLASH动画设计工作经验，精通FLASH、AE等制作软件，熟悉FLASH脚本语言；4.熟悉AS3语言，熟悉Flash体系架构、设计、编程，具备良好的编程习惯；5.较强的沟通与团队协作能力，性格乐观开朗；具有想象力及创造力；6.有幼儿教育培训行业相关工作经历者优先。职能类别：Flash设计/开发关键字：Flash程序员FlashAS开发举报分享", "天才宝贝幼儿早教培训中心", "150-500人            ", "外资（非欧美）        ", "教育/培训/院校    ", "", "招聘若干人"
"前程无忧", "Flash", "Flash开发工程师", "4500-5999/月", "", "成都", "", "职位描述：岗位要求：1、精通Flash程序开发；2、会AS3.0、Flex、AIR、flash Lite、XML及与 JavaScript、PHP、mySQL、Java、C#、.net等交互开发；3、参与项目需求分析、设计及文档编写，负责项目计划和进度跟踪；4、有flash软件或flash网站的商业案例。工作地点：成都金牛区宽窄巷子附近（地铁2号线-中医大省医院）1、试用期1-3个月。转正工资转正后面议。2、公司提供住宿和三餐。3、五险一金。4、朝9晚6（中休2），一周单休，一周双休.5、年终分红+年终奖6、每周有一天下午两小时户外体育活动（篮球、足球、羽毛球等等）7、平均每隔一两个月有游泳、泡温泉、野炊等等公司团体活动。职能类别：Flash设计/开发关键字：flashASFlex，举报分享", "四川银利华应用科技有限责任公司", "少于50人            ", "民营公司        ", "计算机软件,电子技术/半导体/集成电路    ", "", "招聘若干人"
