"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "HTML5", "HTML5软件开发实习（五险一金+员工宿舍）", "3000-4499/月", "", "郑州", "", "职位描述：职位要求：1. 负责前端辅助开发工作；2. 良好的逻辑思维能力；3、对计算机感兴趣，有志于长期从事设计；4、学习能力强，有良好的沟通能力，有良好的团队合作精神，有责任心；除了极具竞争力的薪酬待遇，员工福利有：1、五险一金：养老保险、医疗保险、工伤保险、生育保险、失业保险、住房公积金。2、国家规定的各类假期。3、上下班班车，员工食堂（十余条线路，基本覆盖郑州市）。4、一流的办公环境：自建新风系统、室内羽毛球场、淋浴室、健身房、书吧、咖啡吧、员工休息室、娱乐室等。5、不定期组织体育类、文艺类、聚餐类等集体活动及公益性活动。欢迎优秀应届生应聘，我司可提供住宿。敬请在线投递简历或直接电联，联系电话：0371-86585163职能类别：Web前端开发举报分享", "河南云和数据信息技术有限公司", "1000-5000人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘4人"
"前程无忧", "HTML5", "HTML5设计维护朝九晚五月薪4k享法定节假日", "3000-4499/月", "中专", "杭州-江干区", "", "职位描述：岗位职责：1.负责网站页面的维护与制作；2.用HTML,CSS,JavaScript完成符合Web标准的页面，完成网页动态效果编码和浏览器兼容；3 基于HTML5.0标准进行微信互动页面制作，让网页格式自动适应各款各大小的手机；4.配合后台工程师完成项目开发；5 参与页面动效和交互需求的创意。任职资格：1.对互联网、软件开发、IT行业感兴趣，并有志在IT行业发展面；2.有良好的表达与沟通能力，有责任心，学习能力强；3.专业不限，要有一定的逻辑思维,热爱互联网工作；4.有责任心和上进心，对设计有热情；5.热爱软件开发工作，对程序开发有浓厚兴趣，看好IT行业者优先。福利待遇：1、试用期1-3个月,转正后享有平均月薪范围2000-5000元2、五险一金,年底双薪,超长带薪年假,婚假,公司组织聚餐、KTV、烧烤、季度旅游等3、工作时间：9:00-18:00，双休+法定节假日正常放假、8小时工作制4、公司有广阔晋升空间，技术工程师，项目组长，项目/产品经理，技术总监职能类别：网站编辑技术支持/维护经理举报分享", "杭州百利度康网络科技有限公司", "50-150人            ", "创业公司        ", "计算机软件,机械/设备/重工    ", "", "招聘5人"
"前程无忧", "HTML5", "HTML5工程师", "4000+ /月", "", "汕头", "", "职位描述：岗位职责：1、负责WebApp的开发。任职要求：1、精通HTML5、CSS3、JavaScript等Web前端开发技术，精通Web2.0标准，Ajax、DOM、XML、JSON等相关技术，熟练使用MUI框架开发移动应用，兼容android ios上的APP，熟悉HBuilder、html 5+；2、熟练应用HTML5、CSS3、MUI、Jquery相关开发经验；3、能熟练使用至少一种Javascript框架（如：jQuery,JQM），熟悉HTML5特性，了解HTML5最新规范，能够熟练运用HTML5特性构建移动端的App；4、利用HTML5相关技术开发移动平台；5、使用HBuilder同时开发过移动App者优先；6、有移动平台app开发经验，了解移动互联网产品和行业，有在Android,iOS等平台下HTML5+CSS+JavaScript（或移动JS框架）开发经验者优先考虑；7、良好的沟通能力和团队协作精神，对移动互联网行业有浓厚的兴趣，有较强的研究能力和学习能力；8、精通Native.js调用；9、熟练第三方插件sdk配置及调用文档（安卓与ios）。职能类别：软件工程师举报分享", "汕头市木可科技有限公司", "少于50人            ", "民营公司        ", "互联网/电子商务,通信/电信/网络设备    ", "", "招聘2人"
"前程无忧", "HTML5", "带薪聘HTML5/PHP开发实习工程师", "6000-7999/月", "大专", "哈尔滨", "无工作经验", "职位描述：报名条件：1、专科以上学历，热爱并有兴趣从事互联网产品开发及设计工作；2、入职前同意在应用中心参加岗前实训3至4个月(实训期间，不用实际支付任何费用，实训费参加工作后一年内偿还即可)。3、工作首年需在北京就职，次年可申请调回原籍所在省会城市的分公司或合作企业工作，亦可自主创业。薪资待遇：1、签订正式劳动合同，享受国家规定的保险及福利待遇；2、报到后与单位签订《就业服务双保障协议》（保入职起薪不低于6万元/年以上，保障工作满一年后，年薪最低不低于10万元；3、享受高端人才补助计划，学习期间不用支付任何费用；4、可以得到高额生活补助，期间享有1500-3000元的生活补助。工作地址：（1）哈尔滨工程大学国家信息化人才实训基地   （2）中关村软件园北门公司电话：0451- 82115419手机：18804618588  ；   15910656517   ； 13704815981     Q Q: 79881792；  450999502 网址：http://www.xuebangkeji.comhttp://www.xuebangedu.com职能类别：软件工程师举报分享", "哈尔滨学邦科技有限公司", "少于50人            ", "民营公司        ", "计算机软件,外包服务    ", "", "招聘30人"
"前程无忧", "HTML5", "急招/手机软件开发/java/安卓/html5/助理+五险双休", "6000-7999/月", "大专", "上海-浦东新区", "", "职位描述：一、公司介绍：中软国际有限公司（以下简称：中软国际）成立于2000年4月，于2003年6月20日在香港联交所成功上市，2008年12月29日在香港联交所成功转主板（股票代码：HK354）。目前全球员工有34000人，年收入超50个亿。为大型综合性软件信息服务企业。  中软国际总部设于香港，运营总部位于北京，目前公司已在中国北京、上海、南京、广州、深圳、大连、西安、武汉、成都等国内25个城市以及美国西雅图、普林斯顿、英国伦敦、日本东京等34个城市设有分支机构。中软国际拥有国际化的资本平台和管理团队，股东包括微软（Microsoft）、华为、Greater Pacific Capital（GPC）以及交银国际等。二、岗位要求：1.大专及以上学历，计算机及相关理工科专业毕业；2.热爱软件开发行业，善于学习和总结分析；3.做事认真、细心、负责，能够专心学习技术；4.有良好的工作态度和团队合作精神；5.优秀的应往届毕业生可适当放宽条件；三、任职资格：1. 大专及以上学历，2015届应届生、2016届在读学生，软件工程、计算机等专业优先，2. 沟通能力佳，有团队意识。3.热爱计算机软件开发行业，认可中软国际的品牌文化；4.善于学习和总结分析，有良好的工作态度和团队合作精神；四、后期发展方向：软件、开发、编程、维护、测试系统架构等五、工作时间：早9-晚6   双休法定假日休息，带薪年假六、面试流程：1.收到面试通知，请带好个人简历及相关证件前来面试。2.面试流程为：笔试+面试。笔试内容分为逻辑思维题+专业技术题（没有专业基础的学员可以选择面试方向笔试题目，只填写逻辑思维测试部分）3.岗位说明：该岗位类型招聘分为：设计师、设计实习生、准员工等种类。各岗位待遇不同，将根据具体的面试表现及测试分数定岗。七、岗位说明：该岗位类型招聘分为：开发工程师、实习生、准员工等种类。各岗位待遇不同，将根据具体的测试分数及面试表现定岗。八、薪酬待遇：1.基本薪资4500起，另有项目奖金和提成。2.五险一金，双休、法定节假日，正常休息。3.公司司注重员工培养，给予晋升机会，管理层在主要员工中培养、提拔。4.公司工作环境优雅、氛围好，同事关系融洽，生日派对、聚餐等活动丰富。九、食宿问题：公司位于浦东商业中心，周边有配套的食堂，超市。公司内部设有饮水机，微波炉冰箱及活动休闲区。公司提供住宿补贴，如有需要住宿者，人力资源部可以协调提供房源信息，可以单人租住，也可以公司员工合租。十、公司地址及电话：地址：上海市浦东新区商城路887号波特营创意园A1栋1楼（近世纪大道）联系电话：021-61311134职能类别：手机应用开发工程师软件工程师关键字：安卓Javawebc语言软件开发实习生学徒嵌入式零基础应届生举报分享", "中软国际华为业务线", "10000人以上            ", "上市公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘10人"
"前程无忧", "HTML5", "急招/java/安卓/html5/学徒+无经验可培养", "4000-6000/月", "大专", "上海-浦东新区", "", "职位描述：中软国际有限公司（以下简称：中软国际）成立于2000年4月，于2003年6月20日在香港联交所成功上市，2008年12月29日在香港联交所成功转主板（股票代码：HK354）。目前全球员工有34000人，年收入超50个亿。为大型综合性软件信息服务企业。中软国际总部设于香港，运营总部位于北京，目前公司已在中国北京、上海、南京、广州、深圳、大连、西安、武汉、成都等国内25个城市以及美国西雅图、普林斯顿、英国伦敦、日本东京等34个城市设有分支机构。中软国际拥有国际化的资本平台和管理团队，股东包括微软（Microsoft）、华为、Greater Pacific Capital（GPC）以及交银国际等。任职要求：\u30001、大专以上学历即可，经验不限，专业不限，经验不足/转行/热爱IT行业可从助理做起；2、对软件开发有浓厚的兴趣。3、欢迎优秀的应届大学毕业生岗位职责：1、负责应用软件开发；2、负责产品定制应用的修改和维护；3、负责解决开发过程中的技术问题。薪酬待遇：1、薪酬待遇=基本工资+绩效奖金+加班补助；2、实习期满后会通过考核，考核通过可转为正式员工；3、公司有完善的考核机制、晋升机制、加薪机制；4、公司定期会有专业技能培训，提升员工的专业知识。工作时间：周一到周五，周末双休，五险一金。公司地址及电话：地址：上海市浦东新区商城路887号波特营创意园A1栋1楼（近世纪大道）联系电话：021-61311134职能类别：互联网软件开发工程师软件工程师关键字：安卓Javawebc语言软件开发实习生学徒嵌入式零基础应届生举报分享", "中软国际腾讯业务线", "10000人以上            ", "上市公司        ", "计算机软件,互联网/电子商务    ", "", "招聘10人"
"前程无忧", "HTML5", "HTML5（微信）移动端开发工程师", "6000-10000/月", "大专", "北京", "3-4年经验", "职位描述：岗位职责：1. APP和WEB端HTML5页面开发；2. 触屏版前端开发；3. 微信公众号（企业号）HTML5页面开发。任职要求：1. html5开发经验2年以上；2. 熟练运用JavaScript语言与HTML5、CSS3等技术; 熟悉移动端Web绘图相关高级特性, 如canvas, webGL, CSS3动画效果等；3. 熟悉模块化、前端编译和构建工具，熟练运用主流的移动端JS库和开发框架，并深入理解其设计原理，例如：jQuery Mobile、Zepto、Angular、Bootstrap等；4. 能提供完善的WebApp和混合App（JS方向）技术方案，了解服务端（node/java或其他语言）或native移动应用开发；5. 对技术有强烈的进取心，具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力；6. 有团队管理经验，开源项目开发经验者优先。联 系 人：杜经理电话联系：13500061022面试地址：北京市海淀区苏州街长远天地A1座2层4202室乘车路线:地铁10号线苏州街地铁站下车，C口出右转直行100米即到。职能类别：Web前端开发互联网软件开发工程师关键字：HTML5开发触屏前端开发微信公众号移动应用开发APP举报分享", "北京快方科技有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务,生活服务    ", "", "招聘1人"
"前程无忧", "HTML5", "HTML5程序员", "3000-5000/月", "大专", "三亚", "", "职位描述：1、一到两年以上前端专职工作经验；2、熟悉W3C标准，熟练运用HTML、CSS等前端技术，能解决各种浏览和移动端兼容性问题；3、熟悉jQuery、Zepto等主流JS库，熟悉前端MVC架构；4、精通HTML5、CSS3、JavaScript、jQuery、XML、json等Web前端技术；5、有移动端H5或WebAPP开发经验者优先；6、熟悉Vue.js、AngularJS、Node.js，熟悉gulp、webpack等构建工具7、熟悉PHP开发语言、mysql数据库优先；8、有较强的学习能力、沟通能力和领悟能力，有良好的团队合作意识；9、良好的编码习惯、沟通协作能力和学习能力。10、热爱开发工作，服从工作安排，团队合作意识良好。工作时间： 周一至周六 上午9：00-12：00   下午13：30-18：30 （法定节假日正常放假）联系电话：0898-88660976职能类别：互联网软件开发工程师手机应用开发工程师举报分享", "海南八渡电子商务有限公司", "50-150人            ", "民营公司        ", "互联网/电子商务    ", "", "招聘10人"
"前程无忧", "HTML5", "急招/java/安卓/html5/学徒+无经验可培养", "4000-6000/月", "大专", "上海-浦东新区", "", "职位描述：中软国际有限公司（以下简称：中软国际）成立于2000年4月，于2003年6月20日在香港联交所成功上市，2008年12月29日在香港联交所成功转主板（股票代码：HK354）。目前全球员工有34000人，年收入超50个亿。为大型综合性软件信息服务企业。中软国际总部设于香港，运营总部位于北京，目前公司已在中国北京、上海、南京、广州、深圳、大连、西安、武汉、成都等国内25个城市以及美国西雅图、普林斯顿、英国伦敦、日本东京等34个城市设有分支机构。中软国际拥有国际化的资本平台和管理团队，股东包括微软（Microsoft）、华为、Greater Pacific Capital（GPC）以及交银国际等。任职要求：\u30001、大专以上学历即可，经验不限，专业不限，经验不足/转行/热爱IT行业可从助理做起；2、对软件开发有浓厚的兴趣。3、欢迎优秀的应届大学毕业生岗位职责：1、负责应用软件开发；2、负责产品定制应用的修改和维护；3、负责解决开发过程中的技术问题。薪酬待遇：1、薪酬待遇=基本工资+绩效奖金+加班补助；2、实习期满后会通过考核，考核通过可转为正式员工；3、公司有完善的考核机制、晋升机制、加薪机制；4、公司定期会有专业技能培训，提升员工的专业知识。工作时间：周一到周五，周末双休，五险一金。公司地址及电话：地址：上海市浦东新区商城路887号波特营创意园A1栋1楼（近世纪大道）联系电话：021-61311134职能类别：互联网软件开发工程师软件工程师关键字：安卓Javawebc语言软件开发实习生学徒嵌入式零基础应届生举报分享", "中软国际（上海）", "10000人以上            ", "上市公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘10人"
"前程无忧", "HTML5", "web/html5前端开发工程师(助理、学徒双休5K)", "4500-5999/月", "中专", "南京-雨花台区", "无工作经验", "职位描述：快速求职通道-----求职咨询球球：55159643或直接骚扰电话025-85996710公司在线人事随南京中软waiting你！职位要求：1、专科以上学历，专业不限，应届毕业生优先。（有计算机基础可以放宽学历要求）2、有计算机基础，愿意深入软件开发并长期从事；3、对业界的工具和技术有强烈的求知欲；4、学习能力强，有较强的沟通能力，有较强的理解，逻辑分析能力，能够理解以及处理复杂逻辑；5、有较强的团队合作精神，有责任心；薪资待遇：1.底薪4500起，另有项目提成和奖金2.提供住宿，餐补，车补，五险一金，双休3、工作环境清幽，同事之间相处融洽，氛围好。4、公司不对外招收管理人员，所有管理层均在员工中培养提拔。职能类别：Web前端开发网页设计/制作/美工关键字：web前端前端开发网页设计应届生IT行业软件举报分享", "南京中软卓训信息技术有限公司", "10000人以上            ", "民营公司        ", "计算机软件    ", "", "招聘20人"
