"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "iOS", "急聘iOS开发初级包吃包住", "8000-12000/月", "", "北京-朝阳区", "", "职位描述：岗位职责：1、参与项目需求分析和设计；2、完成软件系统代码的实现，编写代码注释和开发文档；3、辅助进行系统的功能定义,程序设计；4、根据设计文档或需求说明完成代码编写，调试，测试和维护；5、分析并解决软件开发过程中的问题；6、协助测试工程师制定测试计划，定位发现的问题；7、配合项目经理完成相关任务目标；8、具有很强的学习和独立分析能力、工作责任心、良好的沟通能力和团体合作精神。任职资格：1、应、往届计算机、信息、软件、电子技术、自动化、电子商务等相关专业及理工科的专、本科学生，有项目经验者优先。2、对编程感兴趣，有志于在IT行业发展。3、有计算机语言基础，如：JAVA、C语言、C++、C#、.Net、ASP、JSP、PHP、HTML等。4、熟悉J2EE架构，有jsp、J2EE、Java、XML编程经验者优先。精通MVC的架构，熟悉Hibernate、Struts1.2+Struts2、Spring、WebServices（XFire/Axis/CXF至少一种），对Spring安全框架及 Spring MVC有研究优先考虑。5、熟练使用SVN、Jsp/Servlet、EXT、JavaScript、AJAX、CSS等优先考虑。6、具有扎实的SQL语句功底，能使用mysql、Oracle等主流数据库，对数据库级优化有一定认识，有处理实时海量数据经验的优先考虑。8、有较强的自学能力和攻克技术难点的能力，有良好的沟通能力、积极主动性、条理性和逻辑思维能力。职能类别：手机应用开发工程师手机软件开发工程师关键字：五险一金周末双休包吃包住专业培训全勤奖朝九晚六应届生实习ios软件开发举报分享", "北京小马当红文化传媒有限公司", "150-500人            ", "合资        ", "影视/媒体/艺术/文化传播,公关/市场推广/会展    ", "", "招聘5人"
"前程无忧", "iOS", "移动开发工程师-IOS", "10000-20000/月", "本科", "杭州-西湖区", "3-4年经验", "职位描述：岗位描述:1.参与移动端产品研发；2.持续的优化相关的产品的质量、性能、用户体验。岗位要求:1.本科及以上学历，3年以上IOS开发经验；2.有扎实的Object-C基础，精通常用数据结构和算法；3.理解面向对象设计的基本原则，熟悉常用的设计模式；4.对产品有较强的敏感度，有较强的沟通能力；5.具有React-Native开发经验者优先。其他福利：1.公司缴纳养老保险、医疗保险、失业保险、生育保险、工伤保险；2.提供行业国内外顶尖级培训，费用由公司承担；3.每年2次以上国内外旅游；4.每季度小组团队活动（KTV、爬山等）；5.月度奖金、季度奖金、年终奖；6.只有获得优秀员工称号才会奖励一定数额的期权股份（每年评比一次）；7.孕妇、产妇除按照国家法定享受一定带薪假期外，公司还会给予额外特殊照顾；8.公司团队气氛良好，快乐工作，快乐生活；职能类别：高级软件工程师手机应用开发工程师关键字：IOS移动开发React-Native举报分享", "杭州飞牛科技有限公司", "50-150人            ", "民营公司        ", "互联网/电子商务,金融/投资/证券    ", "", "招聘3人"
"前程无忧", "iOS", "IOS开发工程师", "10000-14999/月", "大专", "广州-番禺区", "3-4年经验", "职位描述：岗位职责：1、负责iOS平台的手机、pad客户端应用架构设计；2、根据产品需求开发相关的移动产品；3、验证和修正测试中发现的问题；4、负责相关技术文档编写。任职要求：1、计算机或相关专业大专及以上学历；2、2年以上基于IOS的项目开发经验，有扎实的编程功底和编程经验，熟悉Objective-C开发语言；3、熟悉IOS系统架构，了解SDK及相关开发工具的使用；4、熟悉apple store平台app上架流程。5、了解IOS下网络通信机制、能够进行socket/HTTP/XMPP/MQTT网络编程；6、有智能家居类APP工作经验者优先应聘者请附上曾开发的项目实例或说明职能类别：软件工程师举报分享", "广州迈光电子科技有限公司", "50-150人            ", "民营公司        ", "电子技术/半导体/集成电路    ", "", "招聘1人"
"前程无忧", "iOS", "不限专业转行java/IOS/Android/WEB/UI实习", "3000-4499/月", "大专", "郑州", "", "职位描述：岗位职责:1、全程参与软件项目的需求分析、设计、开发及测试等几个阶段；2、参与软件质量管理，负责保障代码质量，软件项目的持续优化、改进工作；3了解基本的JAVA/安卓/C/C++/IOS/PHP/软件测试/.net/WEB/C#/oracle/JSP/ASP/游戏开发等任意编程语言。岗位要求1、国家统招大专及以上学历2、希望转型到高薪职位的IT从业人员；或在销售、文职、财务、管理、建筑、采购及预算等领域工作多年，想进入IT行业的从业者；有想法进入百强企业，上市公司。3、毕业后，没有机会进入理想行业的大学生，特别是：计算机、信息管理、经济管理、工业工程、自动化、物流供应链、电子商务专业。4、有意从事IT行业同学，对IT专业感兴趣，有接触过这方面知识的优先。5、可接受入职前的项目实训。6、有无相关经验均可，欢迎优秀的应届大学毕业生。薪酬福利1、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！2、为员工购买五险一金，让员工无后顾之忧！3、人性化的培训管理制度、一对一的指定帮助让员工快速融入新环境并成长！4、五天八小时工作制、周末双休、法定节假日之外的带薪病假、年休假，让员工与家人共享美好生活！就职方向：软件开发工程师、软件测试工程师、游戏开发、移动互联网开发、安卓软件开发等，三年内平均年薪六万到十五万。职能类别：互联网软件开发工程师软件测试关键字：软件开发互联网计算机IT服务测试javaIOSAndroidWEB举报分享", "郑州中软国际有限公司", "50-150人            ", "上市公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘5人"
"前程无忧", "iOS", "无基础可培养ios开发（可从助理/学徒做起）", "4500-5999/月", "", "武汉-江夏区", "", "职位描述：任职要求：1、18-28岁高中及高中以上学历，理工科优先；2、有一定的编程基础，简单了解程序设计开发与调试；3、工作主动、积极、团结协作、责任感强、并且愿意接受挑战；5、简单了解基本的JAVA/安卓/C/C++/IOS/PHP/软件测试/.net/WEB/C#/oracle/JSP/ASP/游戏开发等任意编程语言皆可。岗位职责：1、参与iOS应用系统的开发、编码以及单元测试工作；2、参与iOS应用系统开发过程中产出文档的编写；3、进行iOS验证和和修正测试中发现的问题；4、对 iOS 平台开发技术进行研究,根据开发过程中的体验对产品提出改进建议。福利待遇：1、起薪3500元，另有项目奖金，年底双薪，五险一金，表现优异者每年加薪一次；2、国家法定节假日，带薪年假，旅游；3、根据工作能力公司可以帮助进行岗位规划；4、良好的发展平台，广阔的晋升空间，积极朝气的团队，丰富的员工团体活动。工作时间1、周一至周五，早上9：00-下午18:00，周末双休；2、针对连续工作满1年的员工提供带薪5天年假；职能类别：高级软件工程师互联网软件开发工程师关键字：ios软件开发实习生学徒计算机互联网it举报分享", "中软国际电信业务线", "10000人以上            ", "上市公司        ", "计算机软件    ", "", "招聘6人"
"前程无忧", "iOS", "移动开发实训生/IOS开发/安卓开发", "4500-5999/月", "", "武汉", "", "职位描述：招募对象为应往届毕业生，可接收转行人士，项目经验没有硬性要求。岗位要求：1.高中及以上学历，有无相关基础均可，热爱互联网、it行业，2.具备良好的沟通和学习能力，逻辑思维能力较强。3.有上进心，有做事业的心态和想法，想找到一个平台成就自己事业的，4.学习能力强，工作热情高，负有责任感，欢迎转行人士前来应聘。薪酬福利：1 提供施展才华与学习的平台，在企业项目中能力不断提升；2 具有行业竞争力的实习薪资，给生活提供坚实的后盾；3 完善的晋升通道，优秀的实习生可以提前转正。公司地址：湖北省武汉市洪山区软件园F3栋4楼职能类别：多媒体/游戏开发工程师手机应用开发工程师关键字：APP安卓iOS开发编程IT实习生互联网计算机举报分享", "中软国际移动业务线", "10000人以上            ", "上市公司        ", "计算机软件    ", "", "招聘6人"
"前程无忧", "iOS", "金融/烟草项目+Android/ios/java软件开发学徒", "4500-5999/月", "", "武汉-洪山区", "", "职位描述：招募对象为应往届毕业生，可接收转行人士，项目经验没有硬性要求。岗位要求：1.高中及以上学历，有无相关基础均可，热爱互联网、it行业，2.具备良好的沟通和学习能力，逻辑思维能力较强。3.有上进心，有做事业的心态和想法，想找到一个平台成就自己事业的，4.学习能力强，工作热情高，负有责任感，欢迎转行人士前来应聘。薪酬福利：1 提供施展才华与学习的平台，在企业项目中能力不断提升；2 具有行业竞争力的实习薪资，给生活提供坚实的后盾；3 完善的晋升通道，优秀的实习生可以提前转正。公司地址：湖北省武汉市洪山区软件园F3栋4楼职能类别：通信技术工程师软件工程师关键字：Java软件开发安卓互联网IT软件测试iOS应届生实习生举报分享", "中软国际（武汉）", "10000人以上            ", "上市公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘7人"
"前程无忧", "iOS", "iOS零经验实训", "4500-5999/月", "大专", "郑州", "", "职位描述：岗位职责：1、参与iOS应用系统的开发、编码以及单元测试工作；2、参与iOS应用系统开发过程中产出文档的编写；3、进行iOS验证和和修正测试中发现的问题；4、对 iOS 平台开发技术进行研究,根据开发过程中的体验对产品提出改进建议。任职要求：1、大专及以上学历，计算机及相关专业优先；2、有一定的Objective-C编程基础；3、了解C/C++程序设计开发与调试；4、工作主动、积极、团结协作、责任感强、并且愿意接受挑战；5、有IT基础与开发背景优先，简单了解基本的JAVA/安卓/C/C++/IOS/PHP/软件测试/.net/WEB/C#/oracle/JSP/ASP/游戏开发等任意编程语言皆可。工作时间1、周一至周五，早上9：00-下午18:00，周末双休；2、针对连续工作满1年的员工提供带薪5天年假；福利待遇：1、起薪3500元，另有项目奖金，年底双薪，五险一金，表现优异者每年加薪一次；2、国家法定节假日，带薪年假，旅游；3、根据工作能力公司可以帮助进行岗位规划；4、良好的发展平台，广阔的晋升空间，积极朝气的团队，丰富的员工团体活动。职能类别：软件工程师手机软件开发工程师关键字：iOS安卓java软件开发互联网手机开发工程师通信技术支持网络举报分享", "中软国际集团", "500-1000人            ", "上市公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘3人"
"前程无忧", "iOS", "微软iOS储备生实训经验不限", "4500-5999/月", "", "武汉-洪山区", "", "职位描述：任职要求：1、18-28岁高中及高中以上学历，理工科优先；2、有一定的编程基础，简单了解程序设计开发与调试；3、工作主动、积极、团结协作、责任感强、并且愿意接受挑战；5、简单了解基本的JAVA/安卓/C/C++/IOS/PHP/软件测试/.net/WEB/C#/oracle/JSP/ASP/游戏开发等任意编程语言皆可。岗位职责：1、参与iOS应用系统的开发、编码以及单元测试工作；2、参与iOS应用系统开发过程中产出文档的编写；3、进行iOS验证和和修正测试中发现的问题；4、对 iOS 平台开发技术进行研究,根据开发过程中的体验对产品提出改进建议。福利待遇：1、起薪3500元，另有项目奖金，年底双薪，五险一金，表现优异者每年加薪一次；2、国家法定节假日，带薪年假，旅游；3、根据工作能力公司可以帮助进行岗位规划；4、良好的发展平台，广阔的晋升空间，积极朝气的团队，丰富的员工团体活动。工作时间1、周一至周五，早上9：00-下午18:00，周末双休；2、针对连续工作满1年的员工提供带薪5天年假；职能类别：高级软件工程师多媒体/游戏开发工程师关键字：iOS软件开发计算机it互联网实习学徒举报分享", "武汉龙才企业管理咨询有限公司", "10000人以上            ", "上市公司        ", "专业服务(咨询、人力资源、财会),计算机服务(系统、数据服务、维修)    ", "", "招聘8人"
"前程无忧", "iOS", "[5K+双休]上市公司急招ios软件开发学徒+五险一金", "4500-5999/月", "大专", "南京", "", "职位描述：【岗位方向】：iOS开发工程师实习生做为本企业准员工，接受专业系统的IOS岗前培训，提升项目开发经验，增强动手能力，为本企业补充人才。岗位要求：1、专科及以上学历，应届毕业生优先；2、软件计算机电子信息等IT相关专业或对对软件开发工作有浓厚兴趣，有志于进入IT软件行业长期发展；3、有较强的逻辑思维能力；4、较强学习能力，饱满的工作热情，积极向上有事业心，具有团队协作意识，良好的综合素质。5、服从公司安排，具有高度责任感与协调能力\u3000\u3000公司福利：上班时间为5天7小时（朝九晚五）；社会保险（养老、医疗、工伤、失业、生育 ）；商业保 险；高比例的住房公积金丰厚的过节费、餐贴；电话补贴、出差补贴；享有年假、产假、婚假、丧假以及国家规定节假日；年终双薪、丰厚的年终奖；统一办理毕业生户口、档案关系；其他：生日礼物，结婚礼金，生育礼金、员工体检、公司组织的相关活动；提供培训，为员工的职业生涯提供更广阔的舞台。职能类别：软件工程师关键字：ios学徒开发举报分享", "南京航程教育咨询有限公司", "50-150人            ", "民营公司        ", "计算机软件,网络游戏    ", "", "招聘20人"
