"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "Java", "Java高级工程师", "10000-14999/月", "", "上海-浦东新区", "", "职位描述：岗位职责： 1、根据不同的业务需求，与产品经理、业务运营等沟通协作，提炼产品技术解决方案并形成技术规划，灵活快速地完成具有挑战性的项目； 2、参与产品的系统分析、详细设计、编码实现和技术文档等工作，确保开发产品的质量、安全和性能。 任职要求： 1、Java基础扎实，熟悉io、多线程、集合等基础框架，熟悉分布式、缓存、消息、搜索等机制； 2、具备良好的面向对象编程经验，深入理解OO、AOP思想，具有较强的分析设计能力，熟悉常用设计模式； 3、具有较好数据库设计经验和SQL优化功底； 4、了解Java开源框架者，如spring,springmvc , mybatis等； 5、熟悉JavaScript, CSS, html，html5等，有使用jQuery, jQuery-mobile等web前端页面组件优先； 6、有移动互联网产品开发经验，手机端web开发经验优先。 工作地址 上海市浦东大道2000号阳光世界20A职能类别：高级软件工程师软件UI设计师/工程师举报分享", "上海范尔网络科技有限公司", "少于50人            ", "民营公司        ", "互联网/电子商务,计算机软件    ", "", "招聘5人"
"前程无忧", "Java", "Java实习生+免费培训+培训津贴+包就业+包住宿", "4500-5999/月", "大专", "上海-黄浦区", "无工作经验", "职位描述：想拿高薪吗？想获得一份稳定的工作吗？想从事一个未来有发展的行业吗？想有一流的工作环境吗？这些中软都可以给你，我们珍惜人才，我们愿意培养人才。中软国际成立于2000年，为香港主板上市公司，股票代码354。中峦科技（上海）有限公司是中软国际的全资分公司。中软国际是中国大型综合性软件与信息服务企业，提供从IT咨询服务、IT技术服务、IT外包服务到IT培训的“端到端”软件及信息服务，涉及政府、制造、金融、电信与高科技等主要信息技术行业。目前员工规模30000人，在中国35个城市均用有分公司。我们的综旨是解决软件开发企业人才短缺，为广大高校毕业生提供岗前实训，增强毕业生的动手能力和个人职业技能、职业经验，现紧急招聘软件开发实训生20人，入训前签约，确保100%明确底薪就业协议，并保证三年平均最低年薪12-15万！报名条件：1）大专以上学历，应往届计算机专业毕业生，对编程感兴趣，有意向在上海发展。2）计算机(网络)、软件工程、电子技术、自动化、电子商务、应用数学等相关专业。3）有计算机语言基础，如：JAVA、.C语言、C++、C#、Net、等。4）有钻研精神和学习能力，团队合作能力。实训特色：1. 由8年以上开发经验项目经理指导，参加公司内部的3-5个大中型的真实商业项目开发，提升项目经验。2. 实训期间无任何费用，每参与一个项目会有1000-3000不等的项目奖金.3. 实训签约，就业起薪专科5000起，本科6000起,第二年8000起 一年内两次涨薪，平均最低年薪6-10万！4. 实训3-4个月，严格的实训管理机制，确保实训结束即可上岗！5. 提供办理国家正规银行的助学贷款，转正三个月后分期付款做到无压力学习，真正的先就业后付款。6. 实训结束后由单位协助办理组织关系迁移手续，享有国家规定的保险福利待遇。7. 三年内保证工作安置，协议期间可以向公司申请调换单位，提供职业素质训练和职业规划。企业定向岗前实训，签约即获得开发工程师岗位， 需先参加三到四个月的企业内训，尚未取得毕业证的学生 ，取得毕业证后办理转正手续。 已经取得毕业证的学生，参加完实训，办理组织关系迁转手续，签订正式劳动合同，享受国家规定的保险福利待遇，部份提供14个月薪水和留沪指标。职能类别：网站维护工程师系统工程师关键字：Java安卓ios软件开发网络工程师测试PHP前端WEB数据库Java开发实习生举报分享", "中峦科技（上海）", "150-500人            ", "上市公司        ", "计算机软件,互联网/电子商务    ", "", "招聘10人"
"前程无忧", "Java", "初级JAVA开发程序员（可实习）+4K+双休", "4500-5999/月", "大专", "武汉", "无工作经验", "职位描述：岗位职责：协助软件工程师完成技术文档的撰写及测试工作。任职要求：1、计算机(网络)、软件工程、电子技术、自动化、电子商务、应用数学等相关专业；2、有计算机语言基础优先，如：JAVA、C语言、C++、C#、Net、Android等；3、有钻研精神和学习能力，团队合作能力；4、具有良好的自主学习能力，能够通过学习解决技术问题；福利待遇：1、薪酬待遇=基本工资+绩效奖金+餐补房补+加班补助；2、实习期满后会通过考核，考核通过可转为正式员工；3、公司有完善的考核机制、晋升机制、加薪机制；4、公司定期会有专业技能培训，提升员工的专业知识。岗位描述：1、可接受入职前项目技能实训，可安排食宿。2、有无相关经验均可，欢迎优秀的应届大学毕业生。本公司接收应往届毕业生到贵公司实习，与公司签订就业协议，转入岗前实训，实习期满可转正。请勿重复投递简历！面试可联系程经理：13476835160职能类别：多媒体/游戏开发工程师语音/视频开发工程师举报分享", "武汉冲锋互联网技术服务有限公司", "150-500人            ", "民营公司        ", "计算机软件    ", "", "招聘10人"
"前程无忧", "Java", "诚聘Java软件工程师", "10000-15000/月", "大专", "深圳-南山区", "3-4年经验", "职位描述：职责说明1.有3年以上的java web编程经验。2.有爬虫相关开发经验3.使用过play框架者优先考虑4.熟悉javascript相关开发者优先考虑5、了解TCP/IP HTTP协议者优先考虑6.有独立开发软件经验者优先考虑职责要求1、有责任心，认真对待自己的工作，对自己、对公司负责；2、执行力强，能按时完成公司安排的工作任务；3、沟通能力强，能独立解决问题；4、有团队精神和服务意识，诚实守信，有较强的学习能力，对电子商务有兴趣和激情；工作时间：1.基本待遇：底薪+奖金，带薪假期2.工作时间: 上午9.30-12.30，下午：14.00-18.153.享有国家法定的公众假期。职能类别：互联网软件开发工程师软件工程师关键字：java工程师开发工程师java工程师高级软件开发工程师高级开发工程师软件开发工程师举报分享", "深圳市汉富商贸有限公司", "少于50人            ", "民营公司        ", "互联网/电子商务,贸易/进出口    ", "", "招聘1人"
"前程无忧", "Java", "高级JAVA技术主管", "15000-19999/月", "本科", "上海-虹口区", "2年经验", "职位描述：1、负责系统及相关产品需求分析及架构设计；2、对产品的整体系统架构负责，对产品的系统安全性设计负责，开发及相关设计文档编写；3、研究开发难点、新技术；4、参与制定设计及实现规范，指导设计、实现及部署工作；5、参与并主导重大技术决策，进行技术风险评估；6、负责对软件开发团队的技术指导、任务分配；职位要求1、开发经验5年以上，移动端APP项目开发经验3年以上 ；2、熟练掌握Java，熟练springMVC,spring，mybatis，struts2等常用框架；3、熟悉主要Web服务器/应用服务器（Apache、Tomcat、Jboss等）的配置和使用；熟悉Linux操作系统;4、熟悉MySql、Sql server、Oracle等至少一种主流数据库，以及数据库的维护和优化方案；5、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现；6、具有应用系统架构、数据库规划及从技术角度分析业务的能力，具有很强的技术风险的把握能力和识别能力；7、有电商类、社交类APP开发经验者优先；8、计算机相关专业全日制本科或以上者优先；9、性格外向，有良好的沟通能力、较强的抗压能力，能合理安排工作节奏；10、必须有信心带领好开发团队，有责任心；职能类别：信息技术经理/主管举报分享", "上海昊粉文化传媒有限公司", "50-150人            ", "民营公司        ", "影视/媒体/艺术/文化传播    ", "", "招聘1人"
"前程无忧", "Java", "JAVA/J2EE开发组长teamleader", "10000-14999/月", "本科", "无锡-南长区", "5-7年经验", "职位描述：职责描述：1.参与公司项目团队，进行软件开发，代码编写和测试。2.带领指导团队工作。3.能够按公司技术规范编写代码，进行测试。4.技术能力出众。岗位要求：1．熟练掌握Java Web Application开发技术和MVC框架，具有相关B/S项目开发经验；2．理解三层架构设计理念，熟悉依赖注入和面向接口的设计；3．熟练掌握Struts/Spring/iBatis/MyBatis；4．熟练使用Apache Tomcat应用服务器；5．熟练使用Eclipse IDE；6．熟悉面向对象的编程思想，能够理解和运用常用设计模式；7．熟悉HTML，XML，CSS，JavaScript，JQuery等；8．熟练掌握MySQL、SQL Server数据库的开发，维护和管理，精通SQL语言，会编写存储过程；9．具有良好的编程风格及习惯，能够严格执行公司编码规范；职能类别：项目主管高级软件工程师举报分享", "无锡百纯科技有限公司", "少于50人            ", "民营公司        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘1人"
"前程无忧", "Java", "Java开发工程助理", "4500-5999/月", "大专", "深圳-龙华新区", "", "职位描述：岗位职责：协助项目团队完成Java相关项目的开发，并能够在规定时间内承担相应的项目任务。任职要求：1、大专及以上学历，计算机、自动化、电子信息等理工科专业优先。2、具备一定的动手能力，学习能力和团队协作能力，并能够配合团队完成相关项目模块的开发。3、可接受优秀的应、往届毕业生，无经验亦可。4、热爱互联网软件开发工作，对程序开发有浓厚兴趣，看好IT行业，致力于长期在软件行业发展。福利待遇：1、有竞争力的基本薪资+高额绩效提成+全勤奖+年底绩效考核+其他各项福利（含生日，节日等）。2、公平的内部晋升机制。3、舒适的工作环境，和谐的团队氛围，学习型的组织团队，定期组织各种团队活动，如员工聚餐、旅游、拓展、羽毛球、篮球等。4、每年享有至少一次的调薪机会。5、享受假期：年假、产假、婚假以及其它法定假。6、公司为全体员工，不分户籍，购买综合性医疗保险和社保。7、其他的奖金奖励，如优秀员工奖、改善提案奖、项目奖金等。注：签订正式劳动合同、专科应届毕业生起薪4000元、本科生应届毕业生起薪4500元 ，第二年起薪高于6000元/月，平均年薪6-10万元甚至更高。职能类别：软件工程师测试员关键字：Java软件开发举报分享", "深圳市智联云谷科技有限公司", "少于50人            ", "民营公司        ", "计算机软件    ", "", "招聘3人"
"前程无忧", "Java", "java开发工程师实习生/名企定岗/无经验要求", "4500-5999/月", "大专", "上海-徐汇区", "", "职位描述：想拿高薪吗？想获得一份稳定的工作吗？想从事一个未来有发展的行业吗？想有一流的工作环境吗？这些中软都可以给你，我们珍惜人才，我们愿意培养人才。一、企业介绍：中软国际成立于2000年，于2003年在香港上市，股票代码为354。中软国际是一家大型综合性软件与信息服务的企业，是中国软件十强企业。中软国际提供从IT咨询服务、IT技术服务、IT外包服务到IT培训的“端到端”软件及信息服务，涉及政府、制造、金融、电信与高科技等主要信息技术行业。目前员工规模30000人，在中国26个城市均用有分公司。针对新员工专业不符及理论知识项目经验不足情况，公司会提供零基础岗前实训；实训结束后正式转正上岗。二、任职要求：1. 应往届毕业生，有志于在IT行业发展；\u30002. 机械 （电气）自动化、测控、生仪、机电等理科专业优先；\u3000\u30003. 能够尽快入职，长期稳定的工作；4. 条件优秀者可相应放宽，不符合条件者勿扰（非中介，非保险）；5. 大专及以上学历，年龄18-30岁。不符者请勿投；三、未来发展方向与晋升：软件开发、编程、维护、测试、系统架构等，两年内一线城市平均年薪10w-20w；晋升通道：开发实习生—初级开发工程师—高级开发工程师—项目经理/产品经理—技术总监四、薪资福利：1、开发工程师入职：大专学历基本工资4500起，本科学历5500起2、实习生入职：大专学历基本工资3500起，本科学历4500起（转正后享受正式工资）3、准员工入职：岗前实训期间1000元起，转正后5000元起。五、应聘流程：1、投递简历后请保持电话畅通，我们将会在一到两个工作日电话邀约您参加面试；2、面试程序分为笔试和面试，有相关基础的笔试题为专业技能题，无相关经验者需要做一份逻辑思维考核题；3、到本公司面试时请携带一份简历，如无简历请至本公司现场填写。入职后签订劳动就业合同，入职薪资 5-8k，入职后公司提供五险一金、十三薪、项目奖金、年终奖金、旅游、培训、带薪年假等;五险一金+双休法定假日,有良好的晋升空间。6.20-30岁超龄勿扰。男女不限。上班时间：9:00-17:30 做五休二 公司不提倡加班职能类别：软件工程师实习生举报分享", "中软国际(上海)", "10000人以上            ", "上市公司        ", "计算机软件,互联网/电子商务    ", "", "招聘若干人"
"前程无忧", "Java", "java软件工程师", "10000-14999/月", "", "广州", "", "职位描述：岗位职责：1.负责公司核心产品设计开发等工作，以及根据开发计划与团队成员按时完成开发任   务；2.核心框架与核心代码的开发，编写相关设计文档、开发文档，设计复杂业务的数据   库模型；3.能根据产品需求及未来方向，设计及开发公用架构类库；4.负责核心模块的设计实现，创新技术的引进，关键技术的攻关；任职要求：1. 4年以上J2EE开发经验，具有独立完成项目的能力；2.熟练应用Spring、Hibernate、MyBatis等常用框架(精通Spring boot优先考虑)；3.熟悉MySql、Oracle关系型数据库、Redis NoSQL数据库，熟悉数据库结构设计与数   据库调优；4.熟悉REST、Web Service、SOA、微服务等技术，对分布式系统算法、实现、性能调   优有实践经验者优先考虑；5.熟悉前端MVC开发，有Ajax+HTML5前端开发经验者优先；6.熟悉Linux开发环境、熟悉一种以上的Web服务器配置，如Tomcat、Nginx等服务；7.具有大型互联网应用项目实践经验优先考虑；8.熟悉项目各阶段的配置工作，能输出各阶段的项目文档，使用过一种以上的项目代   码管控工具；9.对新技术有强烈的探索欲望，责任心强，有团队意识，善于沟通分享，能够承受工   作压力；职能类别：技术支持/维护工程师举报分享", "广州易初莲花连锁超市有限公司", "500-1000人            ", "外资（非欧美）        ", "批发/零售    ", "", "招聘1人"
"前程无忧", "Java", "高级JAVA开发工程师—8868手游交易平台", "10000-18000/月", "大专", "广州-天河区", "3-4年经验", "职位描述：岗位职责：1. 独立完成中小型项目的系统分析、设计，并主导完成详细设计和编码的任务，确保项目的进度和质量；2. 能够在团队中完成Code Review的任务，确保相关代码的有效性和正确性，并能够通过Code Review提供相关性能以及稳定性的建议；3. 参与建设通用、灵活的业务平台，支撑上层多场景的业务。任职要求：1. 计算机、通信、信息相关专业本科以上学历，2-3年以上服务器端研发经验；2. 编程基本功扎实，熟悉常用数据结构和算法，擅长Java编程语言。 3. 熟悉TCP/IP、HTTP协议相关知识，熟悉Unix/Linux环境和系统编程，深入掌握服务器编程模型；4. 熟悉MySQL数据库及主流NoSQL数据库； 5. 有较好的逻辑思维能力，较强的抽象、概括、总结能力；6. 有较好的沟通交流能力，善于主动思考和行动，乐于解决具有挑战性的问题，对待技术有强烈兴趣； 7. 有互联网工作经验者优先考虑。职能类别：系统工程师软件工程师关键字：带薪年假周末双休年终双薪节日福利举报分享", "广州聚好玩信息科技有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务,网络游戏    ", "", "招聘1人"
