"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "PHP", "PHP软件工程师、PHP程序员、php", "7000-15000/月", "大专", "深圳-龙华新区", "1年经验", "职位描述：职位描述:针对公司下发的网站项目和任务进行程序开发。工作职责：1、根据产品需求完成web程序的设计和开发；2、维护和优化现有系统，保障系统稳定。任职资格：1、1年以上互联网工作经验；2、精通PHP、MYSQL；3、熟练并能手写HTML、JavaScript、精通Ajax技术，全面掌握浏览器兼容性，熟悉Linux系统；4、熟练掌握OOP开发，熟悉MVC架构，能独立开发PHP框架；6、具有MySQL索引优化、查询优化和存储优化经验；7、具有PHP缓存技术、静态化设计方面的经验；8、必须拥有良好的代码书写和编程习惯，要求结构清晰，命名规范，逻辑性强，代码冗余率低；9、英文水平过硬，能基本不借助字典快速阅读英文文档；10、有撰写设计文档的习惯，有团队开发经验，书面语言表达能力强；11、有较好的团队协作和沟通能力，有强烈的责任心。12、对业内主流的 CI ZEND 等开发框架熟悉13、计算机专业优先职能类别：互联网软件开发工程师脚本开发工程师关键字：phpPHP软件工程师PHP程序员PHP开发工程师PHP工程师举报分享", "深圳市源恒泰科技有限公司", "少于50人            ", "民营公司        ", "互联网/电子商务,贸易/进出口    ", "", "招聘若干人"
"前程无忧", "PHP", "PHP网站开发工程师", "3000-6000/月", "大专", "天津-南开区", "", "职位描述：1、网站后台架构/模块的设计和实现工作。2、根据公司需求对电商模板进行二次开发。3、根据设计文档或需求说明完成代码编写，调试，测试和维护。4、解决平台开发和运行过程中出现的各种技术问题。任职要求：1、大专以上学历，或PHP专业培训经历，有实践经验。2、精通PHP，能独立完成基于PHP的整体构架开发和系统模块开发。3、精通MYSQL，精通MYSQL数据库的导入、调用和优化。4、熟悉HTML/CSS/JavaScript/AJAX/jQuery/XML/JSON等Web前端技术5、熟悉ECSHOP等开源电商系统二次开发者优先。6、熟悉服务器环境配置和维护者优先。7、有APP、微信、html5开发经验者优先。8、思路清晰，善于学习，有良好的沟通和领悟能力，能够承受较大工作压力。职能类别：互联网软件开发工程师手机应用开发工程师关键字：PHP工程师web后台开发网站开发举报分享", "天津眼球网络技术有限公司", "少于50人            ", "民营公司        ", "互联网/电子商务,计算机服务(系统、数据服务、维修)    ", "", "招聘2人"
"前程无忧", "PHP", "php开发学徒（可转正）", "3000-5000/月", "大专", "杭州-拱墅区", "", "职位描述：入职要求：1、大专及以上学历；2、热爱php开发行业，善于学习和总结分析；3、做事认真、细心、负责，能够专心学习技术；4、有良好的工作态度和团队合作精神；岗位职责：1、分析并解决工作过程中的问题；2、协助经理制定工作计划，定位发现的问题；3、配合项目经理完成相关任务目标。工作时间：早9-晚5 双休 法定假日休息，带薪年假福利待遇：1、科学合理的绩效考核体系以及具有竞争优势的薪酬制度！2、为员工购买五险一金，让员工无后顾之忧！3、人性化的培训管理制度、一对一的指定帮助让员工快速融入新环境并成长！4、五天七小时工作制、周末双休、法定节假日之外的带薪病假、年休假，让员工与家人共享美好生活！请勿重复投递！职能类别：平面设计师网页设计/制作/美工关键字：平面设计php美工网页设计举报分享", "中软卓越教育服务有限公司", "10000人以上            ", "上市公司        ", "计算机软件,外包服务    ", "", "招聘10人"
"前程无忧", "PHP", "PHP程序员", "10000-14999/月", "", "广州-天河区", "2年经验", "职位描述：岗位职责：1.负责网站数据库、栏目、程序模块的设计与开发2.网站程序开发文档的编写岗位要求：1.2年以上php开发经验，有游戏后台开发经验者优先；2.精通LAMP构架及php语言、了解php优化、缓存技术；3.熟悉Mysql管理及Sql性能调试，有数据库设计、优化经验；4.对技术有激情，有强烈的责任心及良好的团队合作精神；5.熟悉分布式异构系统开发，精通ThinkPHP,Yii等框架，熟悉memcached等工具，前端框架，精通数据库主从福州和读写分离职能类别：网站架构设计师关键字：php程序员举报分享", "广州创娱网络科技有限公司", "50-150人            ", "民营公司        ", "互联网/电子商务    ", "", "招聘1人"
"前程无忧", "PHP", "PHP开发工程师/Web后端开发工程师", "4500-5999/月", "本科", "杭州", "3-4年经验", "职位描述：岗位职责：1.有1-2年以上PHP相关工作经验，精通PHP及各种数据库，能够独立承担项目开发工作，有业务系统开发项目经验优先；2.熟练掌握LINUX+APACHE+MYSQL+PHP架构的软件开发；3.熟练掌握XML, (x)HTML, CSS, JavaScript, JSON,jQuery/Ajax等Web页面技术；4.熟练掌握SQL语言，熟悉数据库性能优化；5.熟悉软件设计流程和软件工程规范，具备良好而规范的设计和技术文档编写能力；6.熟悉Javascript和HTML，有SEO经验者优先；7、熟悉DedeCMS，phpCMS，destoon，ECSHOP等开源PHP产品者，二次开发优先考虑；岗位描述：1. 负责公司的网站程序功能开发和维护。2. 整合和优化现有网站框架，改进和优化公司原有的系统平台。3. 独立进行编程工作，不断改进工具的功能和可靠性；制作网站和编程，能熟练开发网站。4. 与前端、运营配合，把握网站开发和进度，对所负责的网站开发优化进行过程指导和控制。职能类别：电信网络工程师举报分享", "杭州将太餐饮管理有限公司", "150-500人            ", "民营公司        ", "餐饮业    ", "", "招聘1人"
"前程无忧", "PHP", "PHP程序员", "4500-5999/月", "本科", "天津-河西区", "1年经验", "职位描述：岗位职责： 1、网站或平台的程序部分的开发与设计，与前台设计处沟通与协作； 2、网站后台数据库的设计及维护； 3、负责网站安全监控与应急处理，与网管共同管理网站服务器； 4、编写项目的技术方案，并能按项目的技术要求实现完成项目的开发工作； 5、临时安排的其他工作。 职能要求： 1、大学本科及以上学历，计算机或相关专业，有扎实的软件基础知识； 2、一年网站系统编程经验，有独立承担项目的经验优先考虑； 3、熟练使用php、asp、.net等主流网站编程语言及架构； 4、熟练使用Oracle、Sqlserver及Mysql等大型数据库及编写SQL语句； 5、能够快速熟悉新技术，踏实肯干，工作积极主动，有团队精神，善于沟通，独立工作能力强； 6、有互联网企业背景经验优先！ 工作地址： 天津市河西区南京路20号金皇大厦36层3608室职能类别：网站策划网页设计/制作/美工关键字：程序员网站设计美工网页设计周末双休奖金丰厚全勤奖交通补助话补节日福利举报分享", "天津龙和正文网络科技有限公司", "500-1000人            ", "民营公司        ", "互联网/电子商务,通信/电信运营、增值服务    ", "", "招聘5人"
"前程无忧", "PHP", "PHP开发工程师", "20000-24999/月", "", "上海", "", "职位描述：工作职责：1、 参与云汉芯城电商平台的整体规划、功能设计、开发工作；2、负责产品功能模块的开发、升级和维护；岗位要求：1、本科及以上学历，计算机软件或相关专业；2、 两年及以上PHP开发经验，熟悉至少一种PHP应用框架，如Yii、CodeIgniter、ThinkPHP等；3、熟悉MYSQL或其他大型数据库，能够快速根据需求完成高性能数据库设计；4、 软件知识结构全面，基础扎实，熟悉常用数据结构与算法，熟悉面向对象的开发方法；5、 熟悉linux、UNIX等操作系统；6、 熟悉HTML/JS等技术，具有互联网Web业务开发经验，有电商类开发经验优先；7、 高度的责任心、良好的沟通技巧和团队合作精神，正直进取，有上进心，热爱开发事业。职能类别：互联网软件开发工程师高级软件工程师举报分享", "云汉芯城（上海）互联网科技股份有...", "150-500人            ", "民营公司        ", "电子技术/半导体/集成电路,互联网/电子商务    ", "", "招聘1人"
"前程无忧", "PHP", "PHP软件工程师", "10000-14999/月", "本科", "济南-市中区", "", "职位描述：岗位职责：1.根据公司的研发研发需求，负责业务系统的核心模块的设计和开发工作2.负责公司办公平台的搭建3.负责公司所需各个网站的搭建;4.负责公司网络推广人员的后备技术支持5.根据公司的质量要求，对所负责的项目进行单元测试和系统集成测试6.承担部分新技术试验和研究，并应用到公司项目；7.独立解决开发中遇到的问题;任职资格：1.计算机本科以上学历，有2年以上WEB应用开发经验；2.精通php开发语言，精通mysql数据库，有大项目经验优先；3.负责公司网站平台的开发；4.有PHP研发工作经验者优先考虑。职能类别：高级软件工程师关键字：PHP软件开发网络安全网络技术高级软件工程师数据库开发网络二次开发举报分享", "聊城融托金融服务有限公司", "1000-5000人            ", "民营公司        ", "金融/投资/证券,互联网/电子商务    ", "", "招聘5人"
"前程无忧", "PHP", "php高级开发工程师", "50000-69999/月", "", "淄博", "1年经验", "职位描述：职位要求：1、负责微信公众平台开发，包括页面开发，后台开放接口开发，负责系统的技术架构和概要设计；2、核心模块编码及系统重构；3、能够独立完成详细设计及编码、进行代码审查；4、负责服务器端和客户端软件的设计、开发和维护；5、负责微信接口设计、开发和维护；6、负责微信公众平台所需要的接口和数据管理，数据接口开发工作；7、负责公司微信公众服务号的接口设计、开发、数据管理、日常维护和其它后台维护管理工作；8、能独立完成针对微信公众服务号的各类型项目开发设计；任职要求：1、有微信公众平台开发与维护经验者优先；2、掌握微信开发框架，熟悉微信公众平台原理，开发流程，各种接口、验证、授权以及部署上线等；3、对微信公众平台上微网站、微应用开发有较深的理解与应用，熟悉微信开发语言环境，能独立开发应用；4、具有Web开发经验，掌握HTML（DIV+CSS）、Html5、JavaScript/AJAX、 Jquery等技术；5、至少熟悉或使用过一种以上服务端与客户端的通讯方式，如http、socket等；6、熟悉SQL数据库编程，SQL语言；7、具有良好的编程习惯，有多层结构的开发经验；8、有实际的针对微信接口编程经验，独立完成过至少三个微信公众平台的开发工作。9、能承受较大压力和接受挑战，高度的工作热情和责任心，思维活跃。10、在交互开发、用户体验等方面有自己的见解，能主动根据业务需要，提出合理的方案；11、熟悉微信支付接口、微信jsnfcapi接口者优先。职能类别：互联网软件开发工程师高级软件工程师关键字：php工程师;后台工程师;php程序员举报分享", "山东汗青企业管理咨询有限公司", "少于50人            ", "民营公司        ", "专业服务(咨询、人力资源、财会)    ", "", "招聘2人"
"前程无忧", "PHP", "PHP主管", "2000-4000/月", "", "南昌", "", "职位描述：1.负责进行技术评测，bug处理，代码开发；2.负责网站数据库，栏目，程序模块的设计与开发；3.项目类开发；电子商务网站，企业门户网站，企业管理系统等；4.基于开源程序的二次开发，比如ecshop，dedecms，b2bcms等程序；5.按时按质完成公司下达程序开发，系统评测等工作任务；6.定期维护网站程序，处理反馈回来的bug;7.网站程序开发文档的编写；8.具有PHP缓存技术、静态化设计方面的经验，能够独立开发后台；9.具有较强的团队意识，高度的责任感，对工作积极严谨，勇于承担压力；10.有良好的沟通和学习能力、有较强的团队协作能力以及快速解决问题的能力；11.熟悉面向对象设计模式12.逻辑能力强，能快速学习新技术。职能类别：互联网软件开发工程师网站维护工程师举报分享", "佛山市江奕策划有限公司江西分公司", "50-150人            ", "民营公司        ", "计算机软件    ", "", "招聘1人"
"前程无忧", "PHP", "PHP高级工程师", "11000-16000/月", "本科", "南京", "3-4年经验", "职位描述：岗位职责：1. 新功能开发与维护；2. 对新项目提供技术支持；3. 参与软件需求分析与设计，负责完成模块设计、接口设计和后端功能编码工作。任职要求：1. 有过平台管理系统的开发经验者或熟悉ThinkPHP优先考虑；2. 熟悉HTML5/Javascript/CSS及Jquery/ajax；3. 熟练使用SVN、GIT等代码管理工具；4. 熟悉PHP OOP思想，熟练运用各种缓存技术对网站性能进行优化；5. 必须拥有良好的代码编写习惯，具有极强的责任心，良好的自学能力和独立解决问题的能力，良好的沟通能力和团队合作精神，愿意融入团队长期发展。职能类别：高级软件工程师互联网软件开发工程师举报分享", "北京国教融创教育科技有限公司", "少于50人            ", "民营公司        ", "计算机硬件,教育/培训/院校    ", "", "招聘5人"
