"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "U3D", "高级u3d开发工程师", "15000-30000/月", "大专", "深圳", "5-7年经验", "职位描述：岗位职责：1、负责公司产品的开发与维护；2、负责公司产品相关技术研究和难点攻关。岗位要求：1、扎实的C/C++基础，C++ 11语法, C/C++游戏项目开发经验；2、熟悉多线程、图形编程、常用的算法和数据结构；3、对游戏的模块化，代码的分类比较有深刻的了解；4、有丰富的u3d项目经历，熟悉u3d开发；5、对游戏设计有独特的见解, 乐于学习新知识。职能类别：多媒体/游戏开发工程师高级软件工程师关键字：u3dunity3dC++图形图像unity举报分享", "深圳爱加密科技有限公司", "150-500人            ", "民营公司        ", "互联网/电子商务,计算机软件    ", "", "招聘1人"
"前程无忧", "U3D", "U3D程序", "10000-14999/月", "本科", "深圳", "", "职位描述：岗位要求：1. 逻辑清晰，思维严谨；2. 两年以上IOS或Android应用开发经验，一年以上Unity3D开发经验。至少完整参与过一款Unity3D游戏项目；3. 熟悉C#语言；4. 熟悉游戏常用算法；5. 对U3D引擎性能优化有一定了解；6. 熟悉NGUI；7. 编程风格良好。岗位职责：1、主要负责游戏新功能模块的程序设计和开发；2、负责客户端现有功能的维护和修改。职能类别：互联网软件开发工程师举报分享", "深圳冰川网络股份有限公司", "500-1000人            ", "上市公司        ", "网络游戏    ", "", "招聘3人"
"前程无忧", "U3D", "U3D开发工程师(J10755)", "50-60万/年", "", "深圳-南山区", "", "职位描述：工作职责1、阅读并理解产品需求案；2、设计客户端程序的架构；3、实现客户端程序的具体业务逻辑；4、能够处理跨平台的程序需求，包括IOS、Android、PC；5、优化App在不同机型上的性能问题、并解决兼容性问题。任职资格1、熟悉C/C++/C#/javascript/java等多种编程语言；2、熟悉使用性能分析工具和优化性能方法；3、良好的3D图形学基础以及3D游戏制作经验；4、计算机及相关专业本科或以上学历；5、有较强的团队协作能力、较强的学习能力；6、熟悉Python者优先；7、3年以上U3D相关开发经验。职能类别：手机应用开发工程师多媒体/游戏开发工程师举报分享", "深圳市大疆创新科技有限公司", "1000-5000人            ", "民营公司        ", "电子技术/半导体/集成电路,航天/航空    ", "", "招聘若干人"
"前程无忧", "U3D", "U3D主程", "15000-25000/月", "本科", "上海-虹口区", "", "职位描述：岗位职责：1、使用Unity3D技术带领开发团队进行手机游戏客户端开发及维护工作；2、精通Unity3D引擎架构设计，熟练使用Unity NGUI等插件，熟悉UI框架和3D性能优化；3、撰写Unity3D技术研究文档、功能开发说明文档；4、负责手机游戏客户端的框架设计与功能开发；5、能够独立设计及架构移动端应用程序框架，包括需求分析，创建和维护项目，代码开发和调试、发布。任职要求：1.大学本科以上计算机相关专业；2.精通常用数据结构与算法，熟悉面向对象开发和设计，基础扎实；3.具备3年以上ios或Android手机游戏开发经验，独立制作过或主导过在APP STORE市场上上线的游戏；4.具备良好的学习能力和分析解决问题能力；5.为人诚实,正直,坦率，具备优秀的沟通和协作能力；6.工作认真负责，尽职尽责，能够承担工作压力。职能类别：高级软件工程师关键字：U3D主程举报分享", "上海趣味网络科技有限公司", "150-500人            ", "民营公司        ", "网络游戏,计算机软件    ", "", "招聘1人"
"前程无忧", "U3D", "U3D游戏特效设计师", "10000+ /月", "", "深圳-南山区", "2年经验", "职位描述：岗位职责：1、负责制作角色技能，界面等游戏特效需求；2、熟悉FX Maker插件，结合unity工具的粒子、UV动画；3、编写与制作流程和制作内容相关的特效技术&规范文档；岗位要求：1、大专及以上学历；3年以上游戏特效制作经验，作为核心至少完整开发过一款上线u3d游戏项目；2、有较强的特效设计能力，理解各种效果带来的感官体验，能驾驭角色动作的设计，配合特效；3、不断创新提升体验，精于动作类unity引擎特效制作；4、有较强的学习能力，能够接受挑战，并承受较强的工作压力，有较强的团队合作意识；5、工作积极踏实，有极高的投入度和较好的沟通能力；6、投递简历请附上作品。优势条件：美术或相关专业毕业，有U3D游戏制作经验者优先职能类别：特效设计师举报分享", "奥飞游戏", "500-1000人            ", "民营公司        ", "计算机软件,网络游戏    ", "", "招聘若干人"
"前程无忧", "U3D", "U3D开发工程师", "4500-5999/月", "", "重庆-江北区", "2年经验", "职位描述：使用u3d开发应用类app ；工作认真负责，踏实肯干； 良好的团队协作能力； 熟练使用unity3d进行app开发； 1年以上unity开发经验； 熟悉C#语言，具备面向对象编程思路；有良好的代码书写、注释和单元测试习；职能类别：互联网软件开发工程师举报分享", "北京宏峰佳业科技有限公司", "50-150人            ", "民营公司        ", "计算机软件    ", "", "招聘5人"
"前程无忧", "U3D", "U3d游戏开发", "15000-19999/月", "", "北京-东城区", "3-4年经验", "职位描述：1、有过UGUI或者NGUI完整上线项目经验(必选)2、熟悉Tween和Animator的使用(可选)3、熟悉sdk接入(可选)4、会UGUI优先5、会lua优先6、有过IOS打包经验优先职能类别：软件工程师举报分享", "北京热锋互动网络科技有限公司", "计算机软件    ", "民营公司            ", "", "", "招聘若干人"
"前程无忧", "U3D", "U3D手游主程序", "20000-24999/月", "", "上海-浦东新区", "", "职位描述：1、编写服务器端总体设计文档，实现关键框架代码；2、负责服务器端架构设计、模块划分、团队合作和人员分工；3、主导制定和指导执行服务器端开发流程和标准，对服务器端软件质量负全责；4、协调与客户端、策划、公司其他技术支持部门之间的关系；5、对于服务器技术难题负责组织攻关。要求：1. 本科及以上学历，专业不限；2. 熟练掌握unity3d，掌握一门脚本语言；3. 熟悉游戏的图形显示技术及3D算法(客户端）4. 学习能力强，善于沟通，热爱游戏；5. 熟练阅读英文技术文档；6.有github账号或个人技术blog加分;7.熟练使用Lua脚本优先职能类别：多媒体/游戏开发工程师举报分享", "上海玄苍网络科技有限公司", "50-150人            ", "民营公司        ", "网络游戏,互联网/电子商务    ", "", "招聘1人"
"前程无忧", "U3D", "U3D程序员", "4500-5999/月", "大专", "武汉", "1年经验", "职位描述：岗位职责:1、负责游戏中的逻辑功能实现；2、负责游戏部分工具的修改和完善；3、负责部分模块的修改或者开发。任职资格：1、计算机或相关专业，大专及以上学历；2、具有2年以上游戏开发经验；3、较强的代码阅读能力，代码风格良好，能设计出高效，合理，易读，易扩展的程序结构；4、具有严密的逻辑思维能力，很强的新知识学习能力和管理和错误调式排错能力；5、具有基本的3D图形学知识；6、具备乐观积极的工作态度，勤奋进取、注重细节，有较强的沟通理解能力和团队合作精神。公司提供福利：1.舒适愉快的办公环境；2.单双休，7.5小时工作制，享受国家法定假日及国家规定的假期；3.国家法定假期均享有节日礼金（品）；4.生日惊喜福利及礼物；5.多姿多彩的文娱、体育活动给员工一个健康愉悦的身心；6.员工旅游。职能类别：多媒体/游戏开发工程师关键字：3D研发软件双休人才推荐奖节日福利举报分享", "武汉翼动数码科技有限公司", "50-150人            ", "民营公司        ", "网络游戏,计算机软件    ", "", "招聘1人"
"前程无忧", "U3D", "U3D开发工程师", "8000-16000/月", "大专", "广州-天河区", "2年经验", "职位描述：岗位描述：1、使用unity3D基于移动端(android或IOS)进行游戏逻辑和相关系统的开发；2、确定相关负责模块的程序稳定性和性能优化；3、与项目组美术与策划人员沟通，准确实现开发需求。任职要求：1、一年以上Unity3D开发经验；2、熟悉C#、NGUI，有良好的编码习惯，熟练掌握面向对象思想，编程基础扎实；3、U3D引擎特性、适配、资源管理和热更新、性能优化有一定了解；4、对unity版本发布（Android或IOS）有一定了解；5、熟悉lua/ulua优先；6、有完整的上线网络游戏项目经验优先。职能类别：多媒体/游戏开发工程师关键字：U3D游戏开发手游开发开发工程师举报分享", "广州麦驰网络科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,网络游戏    ", "", "招聘2人"
