"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "WP", "Android/IOS/WP/APP开发实习生+月薪4000+节假日福利", "4500-5999/月", "大专", "西安", "无工作经验", "职位描述：任职资格:1、计算机或相关专业；2、了解java/C++，具备常用数据结构与算法和设计能力；3、熟练掌握面向对象设计技能，有良好的代码习惯；4、有开发过安卓小游戏的优先录取；5、熟悉Android开发平台及框架原理，有android实际开发经验优先录取。备注：试用期1-3个月工作时间：五天八小时双休，法定节假日按国家制定执行入职后：公司组织完善培训计划，新人员有优秀员工带领，并且公司提供全方位的办公环境和设施设备，能力居上者有广阔的晋升位置。工作地址和乘车路线1：西安市碑林区兴庆南路交大出版大厦6层（乘坐45路/48路/237路/313路/401路/408路/508路/517路/525路/607路/903路等公交车到“沙坡村”站下车即到)。工作地址和乘车路线2：西安市高新区高新一路创业大厦4层（坐车到亚美大厦下车,然后沿高新一路走390米）职能类别：软件工程师手机应用开发工程师关键字：Android/IOS/WP/APP开发实习生+月薪4000+节假日福利举报分享", "北京才秀人人科技有限公司", "1000-5000人            ", "上市公司        ", "计算机软件,互联网/电子商务    ", "", "招聘3人"
"前程无忧", "WP", "WP-WJX-产品专员（东芝）", "10-15万/年", "大专", "上海-嘉定区", "2年经验", "职位描述：工作职责：1、东芝产品的推广主要以DLIMS为主；2、负责Industry, LED Lighting Power , Mobile Phone等市場；3、业务区域涉及上海、苏州、无锡等长三角地区。任职资格：1、大学本科学历，电子类相关专业毕业；2、电子行业销售一年以上工作经验；3、良好的沟通能力及市场观察力。职能类别：销售主管市场通路经理/主管关键字：东芝产线手机LEDLighting市场电子PM半导体举报分享", "大联大商贸有限公司", "500-1000人            ", "外资（非欧美）        ", "电子技术/半导体/集成电路,贸易/进出口    ", "", "招聘1人"
"前程无忧", "WP", "WP—硬件测试工程师（西安）", "", "本科", "西安", "2年经验", "职位描述：工作职责：1.负责风能产品硬件系统测试；2.针对提出的项目需求，进行需求理解、澄清、拆分；3.根据项目需求编写测试用例；4.根据测试用例进行测试，包括手工测试，自动化测试；5.编写相关测试文档，并对测试数据进行分析，提供改进意见；6.测试技术平台开发。职位要求：1.电气工程及自动化、电力电子、电机、计算机相关专业本科及以上，2年及以上相关工作经验；2.有较好的模电、数电基础，熟悉电力电子理论及开关电源知识；3.有较强的动手能力及逻辑思维能力；4.有良好的团队合作精神、沟通以及表达能力。优选条件：从事过电力电子产品的开发或研发测试相关经验的优先。  职能类别：硬件测试硬件工程师举报分享", "艾默生网络能源有限公司", "1000-5000人            ", "外资（欧美）        ", "电子技术/半导体/集成电路,通信/电信/网络设备    ", "", "招聘若干人"
"前程无忧", "WP", "WP44-产品行销专员（Memory）", "15-20万/年", "大专", "深圳-南山区", "", "职位描述：工作职责：负责Memory类产品的推广任职资格：1、本科或以上学历，电子工程、电子信息科学等相关专业；2、英文良好；3、思维开阔，思路清晰，有良好的沟通及表达能力。4、身体健康，工作积极，能适应出差及高强度的工作压力。5、有代理商原厂工作经验者优先。此岗位所属集团：世平职能类别：销售代表通信技术工程师举报分享", "大联大商贸（深圳）有限公司", "5000-10000人            ", "外资（非欧美）        ", "电子技术/半导体/集成电路    ", "", "招聘若干人"
"前程无忧", "WP", "招聘新加坡WP普工兼操作员", "6000-7999/月", "", "大连-沙河口区", "", "职位描述：工作地点： 纸箱厂/印刷厂工作岗位：WP普工兼操作员，30岁以下工作时间： 8.00AM-5.15PM（周一至周五），月休8天薪资待遇：月薪 $600，加班1.5倍，住补$150，,现有工人平均收入$1300以上，工作半年以上的工人平均收入有$1400以上要求：身高 165CM以上, 体重55KG以上，需经验,雇主提供培训公司有提供工作服 ，如加班超过3小时公司提供晚餐。需配合雇主安排的不同工作岗位，表现好，有花红机会 。公司有年假病假福利 ，公司已有40多名中国员工 有加班需配合。职能类别：普工/操作工关键字：普工，操作员举报分享", "文雅（大连）留学咨询有限公司", "少于50人            ", "民营公司        ", "专业服务(咨询、人力资源、财会),教育/培训/院校    ", "", "招聘若干人"
"前程无忧", "WP", "C#开发工程师(Windows/WP客户端方向)", "6000-10000/月", "本科", "大连-高新园区", "1年经验", "职位描述：工作内容：岗位职责：1 从事WPF和Windows 10应用开发；2 在架构师的指导下优化代码、算法、性能；3 对关键技术进行可行性调研、分析并实现。岗位要求：1 精通C#语言，有一年以上的WPF开发经验；2 理解OO设计理论，熟悉设计模式和算法；3 对代码结构、算法优化、性能优化追求极致的开发者优先录用；4 精通MVVM者优先录用；5 熟悉SQL的开发者优先；6 对技术充满热情，有较强的学习和快速掌握并应用的能力，并能够承担一定的工作压力；7 能独立解决问题，有良好的语言表达和沟通能力, 具有良好的团队合作精神和认真负责的工作态度；其他福利·   做五休二，五险一金，国家法定假日，全勤奖，弹性工作。·   富有竞争力的带薪年假，带薪病假，额外探亲假。·   节日福利、生日惊喜·   团队旅游、每周娱乐活动·   期权股权奖励上班地点大连高新园区高新街与大咖一起，用前沿技术，做牛X产品，享受不一般的工作，相信这段工作经历会成为您职业生涯里辉煌的一段。职能类别：高级软件工程师软件工程师关键字：winphonewindows10WPFSilverlightSQLMVVM.NETC#客户端举报分享", "上海移品信息技术有限公司", "50-150人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘1人"
"前程无忧", "WP", "WindowsPhone/WP8开发支持工程师", "6000-9000/月", "大专", "无锡", "", "职位描述：岗位职责：该职位主要为欧美客户提供Windows全平台开发问题的咨询与支持，负责为开发人员通过网络论坛和电子邮件等方式提供代码建议及解决方案。任职要求：·  英语通过CET-4及以上，英语读写良好，能看懂英文技术文档、技术资料；·  计算机相关专业，熟悉以下至少一种技术：C#/XAML, JavaScript/HTML/CSS and C++/XAML;·  有一年以上Android/IOS或图形、游戏开发经验亦可考虑；·  善于沟通，抗压能力强，能够适应快节奏的工作内容；·  热爱技术，对微软的产品技术感兴趣职能类别：其他举报分享", "上海微创软件股份有限公司", "1000-5000人            ", "合资        ", "计算机软件,计算机服务(系统、数据服务、维修)    ", "", "招聘若干人"
"前程无忧", "WP", "(SWPB)SLC_WP_SWPB_Maintenance&EquipmentManager西门子风力叶片厂设备维护经理南汇临港(217780)", "", "", "上海", "8-9年经验", "职位描述：- 西门子叶片工厂位于南汇临港地区。公司安排多条上海市内班车线路。家住浦东地区也方便自驾到达。工作时间为上午8点半到下午4点半。What are my responsibilities?- Provide the leadership and direction within department and implement programs to improve the organization performance excellence and employee’s awareness of safety, quality and discipline, etc. - Relevant experience and knowledge related with facility and equipment technical, Leadership and management experience. - Define budget and spending related to all maintenance activities and capital projects - Work together with IE and EHS department to define the maintenance plan of facility and equipment and secure the effective implementation of the plan through regular follow up and check - Lead, coach, motivate, develop subordinates and proper delegation to achieve individual and organization goals; - Support Process Optimization for the responsible locations to lower down costs (e.g. depreciation, maintenance, administration, interest, ext. rent, operating expenses, service costs) - Support on the equipment and tools localization from the project phase and act as the receiving party to secure the acceptance of the equipment and facility performance. - Work with SRE closely to secure the facility managementWhat do I need to qualify for this job?- Preferably above 8 years Maintenance Equipment background from a production company - Relevant experience and knowledge related with facility and equipment technical, Leadership and management experience. - Business improvement and lean experience. - Able to work in a International matrix organizational structure with minimal supervision. - Business and strategic oriented, Analytical, Communication skills, overview, motivation. - Experience on facility and equipment management - Project management experience, Leadership skills is a requirement, Empathy, ability to motivate. - Global and intercultural understanding is an advantage- Good English language skill 提醒： \u3000\u3000点击“西门子专属申请”，您将会进入西门子专属招聘系统，进入系统后您可以在页面右上方的下拉菜单，选择简体中文页面，并请遵循下面的规则设置您的系统密码。 \u3000\u3000密码设置规则：密码长度必须在8个字符以上，并且必须包含英文大写字母，小写字母和数字。例如：Ab123456职能类别：技术支持/维护工程师配置管理工程师举报分享", "西门子风力发电叶片(上海)有限公司...", "150-500人            ", "外资（欧美）        ", "机械/设备/重工,电子技术/半导体/集成电路    ", "", "招聘若干人"
"前程无忧", "WP", "(SLCWP)业务发展专员OffshoreBusinessDeveloper(238398)", "", "", "上海", "", "职位描述：Responsibilities: - Supports in the implementation of superior business strategies, guidelines and principles. - Conducts strategic analysis in a broad range of topics as needed (i.e. Market and competitors' analyses, M&A targets and Due diligence, benchmarking, analysis of strategic action fields). - Continuously coordinates the development and performs the controlling of subordinated business strategies, and the related business plans, budgets, and generates the respective reports. - Supports strategic planning and evaluates strategic options of relevant unit. - Makes recommendations for further strategic development. - May act as trusted partner and advisor for strategic development. - May represent WP ST OF in adequate internal and external events in the region APAC. - Maintains and further develops market intelligence for the region APAC about offshore in general and offshore specifics in APAC (markets, policies, competitors, customers, etc.). - Supports local sales team in APAC in project acquisition, market knowledge, internal strategic projects and external events. - Other tasks assigned from disciplinary manager and functional manager (and/or designated WP ST OF interface from HQ). Requirements: - 1-5 years working expereince focus in strategy - Good analytical skills and proven strategic thinking/practice - A good command of English, Chinese ability is not mandatory - A good command of MS Office software, e.g. Excel, Powerpoint, Word - A good sense of business and analytical skills. - Good communication skills / team-player提醒： \u3000\u3000点击“西门子专属申请”，您将会进入西门子专属招聘系统，进入系统后您可以在页面右上方的下拉菜单，选择简体中文页面，并请遵循下面的规则设置您的系统密码。 \u3000\u3000密码设置规则：密码长度必须在8个字符以上，并且必须包含英文大写字母，小写字母和数字。例如：Ab123456职能类别：市场/营销/拓展专员举报分享", "西门子（中国）有限公司 风力发电...", "", "            新能源,石油/化工/矿产/地质    ", "", "", "招聘若干人"
"前程无忧", "WP", "新加坡操作工数控车床铣床等技术沈阳众鑫出国劳务", "7000-10000/月", "", "异地招聘", "", "职位描述：注：以下货币单位为新币（1新币≈5人民币）1. 数控铣床工...WP要求：雇主是做机械零件的，要求雇员会数控铣床操作，会看图，会编程，态度好,需要願意加班,能吃苦,需要懂法郎克系统。工资待遇：薪水1300，住补200，加班1.5倍。工作时间：周一至周五早上8点至晚上5点半，周六早上8点半至12点半,超时算加班。2. 交流电机维修技工...WP要求：会维修交流电机，可以绕线圈。工资待遇：底薪1200-1400+加班1.5倍+包住 ,一个月花红，综合薪水1800-2000看个人表现。工作时间：周一到周五8:00-5:00，周六8:00-12:00，有加班1.5倍。7天年假14天病假。3.数控机器维修工...WP要求：年龄40以下。雇主是做数控机器销售及维修维护的，需要雇员有做过机器维修，如果雇员会维修(Fanuc & Mitsubishi )这两个牌子的数控机器优先录取。工资待遇：薪水1500-1700（根据工人的工作经验）住补250。工作时间：周一至周五早上8点半至晚上6点，周六早上8点至下午12点，没有加班。4.数控铣床编程员...SP要求：38岁以下，公司从事机械零件的制作与加工。招拥有4年或以上新加坡或国内数控铣床编程工作经验（MASTERCAM X4/X6/X8）。雇员主要负责数控铣床的编程（MASTERCAM X9），调试，操作及更换刀具工作等等杂工工作。好学，勤劳，不计较者优先考虑。工资待遇：薪水$1600-$2000(工资试经验而定)，包住，综合收入$2000-$2600。加班1.5倍，依工程而定（平均每天2小时加班）工作时间：周一至周五早9点至傍晚6点，周六早上9点至中午1点，休息周日。5.机械工厂数控铣床兼普工...WP要求：40岁以下，有数控铣床经验,会编程能独立工作，有新加坡数控铣床经验优先考虑，需配合雇主安排的不同工作岗位。工作地点在大士(新加坡西部)。工资待遇：月薪$1600，加班1.5倍，住补$100，勤工奖每月$60，有厂车在指定的地铁站接送。有加班需配合,现有中国工人平均收入$1900以上。工作时间：8AM-5:45PM(周一至周五)，月休8天，试用期后享有年假病假福利。6. 家电维修公司维修雪柜/洗衣机技工...SP要求：35岁以下，一定要有维修家用电器经验，专修雪柜/洗衣/如果会维修家用空调会更好，主要是会雪柜/洗衣机维修。人要机灵肯学，吃苦耐劳，勤劳踏实，服从安排，不斤斤计较，工作认真负责。最好有中国驾照，可以过来考，费用自己出。工资待遇：底薪$1700-$1800看真实的维修工作经验，年终奖看个人的工作表现，态度好还有加薪机会。工作时间：12小时/天，周一至周五 早上9点到晚上9点，周六早上9点到旁晚6点，月休4天（拜天休息）。公司合同为2年，做满2年有14天假期，回国看家人。6. 机器操作员...WP要求：20 – 30岁之间 (工厂：把大圈胶纸分成规定大小及出货)。拥有工厂工作经验者为佳；身体健壮；不计较，愿意吃苦。工资待遇：薪水 $650 + $150 住宿津贴 + $30 交通补贴 + $30 勤工奖金 (无迟到早退病假)。每天加班超过3小时，公司会补助餐补新币3.00；加班大约 0 - $600左右，试订单而定。前3个月的培训期大约有1300-1400，培训期后大约会有1500-1600或更多，但是也有试订单而定。工作时间：8.30am – 5.30pm  (星期一至星期五)，超时工作以1.5倍时薪计算。报名材料：护照、身份证、户口本、毕业证、相关技能证书（如有请提供）、个人简历、近期5寸全身照片2张，2寸彩色照片2张地址：沈阳市沈河区青年大街35号国际贸易大厦802室QQ：3075975417、2053415371，3064541993,1737767670,2320389045,咨询电话：024-88623123手机：18740013147、18640328335 、18740013146  、18740013148 、18740013149公司网站： www.syzxhr.com移动网站：syzxhr.com微信：randy_zr微信订阅号：众鑫人力出国咨询乘车线路：地铁二号线或一号线到青年大街站A出口职能类别：其他关键字：数控车床数控铣床机械操作工家电维修工新加坡出国劳务沈阳众鑫人力举报分享", "沈阳众鑫人力资源服务有限公司", "少于50人            ", "民营公司        ", "专业服务(咨询、人力资源、财会)    ", "", "招聘20人"
