"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"前程无忧", "自然语言处理", "兼职自然语言处理/机器翻译开发", "100元/小时", "", "北京", "", "职位描述：兼职自然语言处理/机器翻译开发从事机器翻译相关开发要求1, 熟悉主流开源机器翻译系统2, 有二次开发经验或能力3,  对中文句法有深刻理解4, 时间充裕5, 愿意长期合作有意者,请发中文简历到我们的指定邮箱职能类别：高级软件工程师互联网软件开发工程师关键字：自然语言处理机器翻译软件兼职翻译开发做一休一周末双休奖金丰厚加班补助举报分享", "北京信诺威", "50-150人            ", "民营公司        ", "外包服务,专业服务(咨询、人力资源、财会)    ", "", "招聘若干人"
"前程无忧", "自然语言处理", "自然语言处理工程师", "15000-20000/年", "硕士", "北京-昌平区", "3-4年经验", "职位描述：岗位职责：1: 自然语言处理、人机对话系统搭建；2: 人机交互、人工智能方向的前沿探索；3: 人工智能在智能驾驶和智能硬件产品上的应用。岗位要求：1：硕士以上学历2：3年以上自然语言处理研究经历与背景，掌握核心算法 ；3：熟练掌握主要的模式识别和机器学习算法 ；4：良好的C/C++编程能力，熟悉perl或者python等脚本语言 ；5：具有强烈的研究兴趣与学习意愿，良好的沟通协调能力和团队合作意识。职能类别：语音/视频开发工程师高级软件工程师关键字：自然语言处理语义理解对话系统举报分享", "北京乐驾科技有限公司", "50-150人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘1人"
"前程无忧", "自然语言处理", "自然语言处理工程师（NLP）", "10000-20000/月", "", "成都", "3-4年经验", "职位描述：工作职责:1. 研究自然语言处理领域的前沿技术2. 从系统应用的角度,利用自然语言处理的理论和方法解决实际问题3. 针对海量非结构化文本，进行数据清洗，特征挖掘，聚类分类，相似性计算，关联挖掘和语义分析4. 能够根据问题需求，结合相关前沿技术快速提出解决方案，并能快速搭建演示系统职责要求:1. 熟练掌握自然语言处理领域的基础理论和方法，并有一定的相关研究或项目经验2. 熟悉NLP领域当前热点和前沿技术，对NLP有完整的、系统的认识3. 熟悉java语言编程，熟悉Linux工作环境，对数据结构和算法设计有较为深刻的理解5. 优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情6. 能吃苦耐劳、承受压力，善于沟通和团队合作职能类别：高级软件工程师算法工程师关键字：java人工智能自然语言算法举报分享", "成都星阵地科技有限公司", "50-150人            ", "民营公司        ", "互联网/电子商务,计算机软件    ", "", "招聘1人"
"前程无忧", "自然语言处理", "自然语言处理(NLP)工程师", "10000-14999/月", "本科", "上海-浦东新区", "无工作经验", "职位描述：职位描述1）运用数据挖掘和机器学习方法和技术，深入挖掘和分析海量商业数据，从短文本、半结构化文本中准确提取有价值的信息；2）负责对文本内容进行语法、句法、语义的分析，包括但不限于中文/英文的分词、词性、命名实体、分类、垃圾识别、句法结构等工作；3）负责语料库的采集、整理、加工、维护和优化；4）不断完善和优化算法，以技术驱动公司业务成长，体现技术价值；5）负责基于历史数据与实时流数据的分析与策略优化；6）包括但不限于用户行为分析、关联分析、时序建模、商业预测等。任职资格：1）计算机、数学或者统计学相关专业本科以上学历；2）精通一门或多门开发语言（Python、Java、Visual C++等），熟练掌握常用数据结构和算法；3）熟悉NLP领域的理论基础，掌握相关统计模型，具有1年以上自然语言处理相关经验，包括分词、词性标注、命名实体识别、语法分析、语义分析、文本分类聚类、主题挖掘等，熟练运用HMM、CRF、最大熵模型，有从半结构化文本、短文本中抽取信息经验者优先；4）熟悉常用文本挖掘算法，掌握词向量如word2vec等以及NLP相关的深度学习（RNN、LSTM）相关知识优先,有爬虫经验为好；5）具有创新精神，对自然语言处理、知识图谱构建、人工智能等具有浓厚的兴趣，具有团队协作精神，乐于接受挑战，能承受工作压力。职能类别：算法工程师软件工程师关键字：自然语言处理语义语料机器学习算法语义分析数据挖掘文本挖掘短文本举报分享", "信号旗智能科技（上海）有限公司", "少于50人            ", "创业公司        ", "计算机软件,互联网/电子商务    ", "", "招聘2人"
"前程无忧", "自然语言处理", "自然语言处理研究员", "", "", "上海-浦东新区", "", "职位描述：岗位职责：1、负责NLP领域的研究，并负责领导自然语言处理及对话机器人项目的实现与推广； 2、负责NLP词法分析、自动对话、语义挖掘、知识库加工管理和语言逻辑、语料整理等相关领域的算法、分析模型等平台工具建设； 3、负责NLP团队的建设；应聘条件：1、计算机相关专业本科硕士以上学历，有对口的理论研究背景和三年以上人工智能领域工作经验；在语义分析领域有项目经验尤佳； 2、精通Python、Java、C++等一种以上程序语言；精通Matlab等多种开发工具；对NLP领域主流开源工具或平台有深入掌握； 4、精通Windows、Linux等操作系统，精通Oracle、mysql等数据库技术； 4、精通两种以上下述领域的理论、模型、算法：模式识别、自然语言理解、神经网络、大数据处理、统计学习和机器学习； 5、具有项目管理能力，学习和理解能力强，有很好的沟通协调能力；职能类别：算法工程师举报分享", "兴业数字金融服务（上海）股份有限...", "500-1000人            ", "合资        ", "金融/投资/证券,计算机软件    ", "", "招聘3人"
"前程无忧", "自然语言处理", "自然语言处理工程师", "15000-35000/月", "本科", "上海-浦东新区", "", "职位描述：岗位职责：1、研究自然语言处理领域的前沿技术；2、负责餐饮O2O领域的问答系统开发，从系统应用的角度，利用自然语言处理的理论和方法解决文本关键信息抽取，语义项抽取，浅层语义理解等问题。跟踪机器学习的最新方法完成智能人机对话中的状态跟踪，前后文本相关的多轮对话理解等创新性问题；3、构建自然语言相关的预测模型，应用于用户画像、推荐等系统。 任职要求：1、本科及以上学历，211、985尤佳，自然语言处理方向2年以上研究或工作经验；2、熟悉中文分词标注、文本分类、语言模型、知识库挖掘、问答系统设计等NLP相关算法；3、优秀的分析和解决问题的能力；4、很强的自我驱动力、有毅力、并极具责任感。职能类别：语音/视频开发工程师举报分享", "订餐小秘书", "500-1000人            ", "民营公司        ", "互联网/电子商务,餐饮业    ", "", "招聘1人"
"前程无忧", "自然语言处理", "自然语言处理及应用助理研究员", "10000+ /月", "", "北京", "", "职位描述：工作职责：国家自然科学基金重点项目“大规模知识关联和文本语义计算方法与应用验证”、国家973课题“文本内容理解与深度问答”和863课题“知识关联与推理类问题求解系统”研究，垂直领域知识图谱和智能客服系统研发 。岗位要求：1、博士学历；2、模式识别和计算机应用专业；3、具有较好的自然语言处理和机器学习的理论基础，熟悉信息检索、知识表示和知识推理，可以进行知识工程和问答系统方法研究；4、熟悉大规模知识图谱构建，可以进行智能客服系统的研发和调试；5、具有良好的计算机算法设计和实现能力，熟悉C++、Java和Python，熟悉Linux编程等；6、有较强的分析问题和解决问题能力，良好的团队协作精神。职能类别：科研人员举报分享", "中国科学院自动化研究所", "500-1000人            ", "事业单位        ", "政府/公共事业,学术/科研    ", "", "招聘2人"
"前程无忧", "自然语言处理", "数据挖掘&自然语言处理研发工程师", "5000-20000/月", "本科", "南京-江宁区", "1年经验", "职位描述：1、了解机器学习和自然语言处理的常用算法（主题分类、聚类、自动推荐、中文分词、序列化标注、句法分析等）有相关经验工作者优先。2、能熟练调用现有国内外深度机器学习框架者优先，如TensorFlow、Theano、Scikit-Learn,Deeplearning4j等。3、熟悉java/python编程语言，有丰富的项目经验；4、概率论，统计学，线性代数等基础数学知识扎实；5、热爱大数据挖掘分析和自然语言处理，有浓厚的学习兴趣和钻研精神，做事认真有责任心；职能类别：数据库工程师/管理员举报分享", "南京云问网络技术有限公司", "少于50人            ", "民营公司        ", "互联网/电子商务,计算机软件    ", "", "招聘若干人"
"前程无忧", "自然语言处理", "自然语言处理工程师（NLP）", "10000-14999/月", "本科", "北京-朝阳区", "1年经验", "职位描述：职位描述： 1.结合实际需要，开发与改进数据挖掘基本工具； 2.为相关业务提供数据支持或者基于数据的解决方案； 3.关注业界前沿信息，研究大数据/神经网络/人工智能等发展方向，探索和创新相关技术。 职位要求： 1.本科及以上学历，计算机相关专业； 2.熟悉常见机器学习算法（如逻辑回归、SVM、决策树、贝叶斯等）；  3.熟练使用C++、Python、JAVA至少一种语言； 4.熟悉MapReduce、Hive、Hbase优先； 5.熟悉基于上下文对文本情感分析数据建模，负责用户对产品的情感数据挖掘； 6.有一年以上工作经验优先，优秀应届生优先。职能类别：算法工程师软件工程师关键字：NLP自然语言处理举报分享", "北京卓思天成数据咨询股份有限公司", "50-150人            ", "民营公司        ", "专业服务(咨询、人力资源、财会)    ", "", "招聘1人"
"前程无忧", "自然语言处理", "高级自然语言处理算法工程师", "20000-24999/月", "硕士", "上海-长宁区", "3-4年经验", "职位描述：工作职责：1.与业务沟通及理解需求2.设计和训练算法3.与架构师一起设计模型植入系统的接口任职资格：1.2年以上自然语言处理经验2.扎实的算法基础：熟悉算法相关理论，算法原理和机器学习基本理论，具备扎实良好的数学基础3.熟悉中文分词、文本分类聚类、语言模型、语义分析、情感分析、信息检索、问答系统设计等至少其中两项NLP 相关算法4.在人工智能领域有一定的积累，能够从复杂的业务场景中进行算法选型、算法优化以及不断提升效果，并且能够真正应用在商业环境，成为商业智能的驱动者5.精通JavaC++PythonPerl任意一种语言，熟练掌握SQLHive6.有一定的英文文献阅读能力7.良好的沟通能力有如下经验能力者优先：1.图像处理语音识别2.熟悉Linux环境Shell命令3.熟悉分布式计算HadoophiveSpark等相关技术4.基于集群的机器学习Spark ML、Mahout、或者R-Hadoop职能类别：语音/视频开发工程师举报分享", "携程旅行网IT技术区", "500-1000人            ", "民营公司        ", "计算机软件,互联网/电子商务    ", "", "招聘2人"
