"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", ".NET", ".NET", "4000-8000", "本科", "北京", "1-3年", "职位描述岗位职责：1.参与技术体系的建设与运作支持;2.完成上级安排的技术架构探索及现有技术架构的运营;3.完成安排的产品技术开发工作，并根据测试结果进行问题的修正;4.完成上级交办的其他工作；5.APP端前台开发。岗位要求：1.计算机相关专业。具有3年或以上的C＃（ASP.NET,ASP.NET MVC 3.0）企业级开发经验；2.精通C#、ASP.NET、MVC3.0应用程序开发；精通SQL Server、mysql数据库，有复杂报表SQL编写经验者优先；3.熟悉HTML、XML、DIV/CSS、JavaScript、Jquery等Web技术，并且有一定的浏览器兼容性开发经验；熟悉Microsoft Visual Studio系列编程IDE；4.有大型电商、企业网等系统及接口开发、统计分析、数据结构等优先；5.熟悉设计模式，有一定的独立软件设计与系统设计能力者优先；6.具有Socket、多线程编程者优先；具有大数据量，高并发经验者优先；7.有一定的独立问题分析与解决能力；有一定的规范技术文档写作能力；8.具有较强的责任感和良好的沟通协调能力。起讯科技欢迎你~", "起讯名扬(北京)科技有限公司", "50-150人", "成长型(不需要融资)", "移动互联网,电子商务", "-"
"拉勾", ".NET", "高级开发工程师（Asp.net）", "8000-12000", "大专", "郑州", "3-5年", "职位描述岗位职责：1.参与公司平台架构分析和设计工作，协助进行流程的整理，编写相关文档;2.负责核心框架与核心代码的开发;3.负责指导开发人员进行功能的开发;4.负责功能代码质量审核工作，并控制算法和编写规范;5.参与系统部署工作，解决生产环境可能出现的故障。任职要求：1.大专及以上，计算机、软件工程及相关专业;2.三年以上.net系统开发经验，具备大型系统的设计和开发经验优先;3.精通.NET下的C/S、B/S系统开发，精通.Net框架类库，如WCF、WebAPI、Web Form、MVC，Entity Framework等;4.精通软件架构、设计模式，掌握可重用、扩展构架机制，对AOP，IOC有深入的理解和应用;5.熟悉SQLSERVER，Oracle等主流数据库，并熟练掌握SQL，存储过程，触发器等，能够根据项目需要灵活运用数据库的各种功能，并对数据库优化有一定的了解;6.具备良好的编程风格，有多层架构的开发经验和严谨的编程作风;7.善于与人沟通，为人正直、诚信，具备良好的职业素养，具有较强的团队协作精神、自学能力和责任心。薪酬待遇：年薪10-15万。直接上级：技术总监", "河南润泰电子商务有限公司", "50-150人", "初创型(未融资)", "电子商务,O2O", "3.6"
"拉勾", ".NET", ".NET软件开发工程师（急聘）", "10000-20000", "大专", "深圳", "3-5年", "职位描述职位职责：1、根据产品需求，产品原型及单元需求按照规范完成概要设计，详细设计，代码实现，代码测试。2、协助开发工程师进行代码规范实施，难点攻关。3、负责产品实施的开发质量控制，编写安装文档，配合运维组进行软件安装实施，配合测试组进行测试环境安装实施。职位要求：1、熟练掌握面向对象思想，能够进行面向对象开发与设计。2、具备3年以上基于、net技术的项目开发经验3、熟悉.net体系架构，熟悉、net开发平台，具备internet应用、分布式应用、多层结构应设计技能，熟悉相关设计模式。4、熟悉c#、asp.net等高级开发语言与架构。5、熟悉sql server和oracle数据库设计与应用，精通sql语言，能编写高效的sql语句。6、熟悉html、css等页面表现语言以及jquery等脚本框架。7、有一个以上大型b/s架构项目设计开发经验。8、具备良好编程风格与习惯,思维敏捷、自学能力强、接受能力强。9、熟悉至少一种java script框架，jquery***，并有过相关开发经验。10、了解sitecore/wcf/ccflow/knockout/cas/lucene者优先【员工福利】1.5天7小时工作制，周末双休，提供极具竞争力的薪酬与福利；2.团队活动经费、节日福利、员工培训等；3.正式员工购买养老、医疗、工伤、失业、生育、住房公积金等社会保障福利；4.依法享有国家法律/法规规定的病假、婚假、产假、丧假、法定假日等有薪假期。", "长城物业集团股份有限公司", "2000人以上", "成熟型(不需要融资)", "移动互联网,O2O", "3.8"
"拉勾", ".NET", ".NET", "3000-5000", "大专", "成都", "应届毕业生", "职位描述职位描述1．运用.Net，C#开发和维护内部系统和公司产品；2．运用Ajax、缓存技术等提升响应速度和用户体验；3. 具有ASP.NET（MVC, WebAPI）方面的开发经验4. 至少熟悉以下一种数据库：SQL Server，MySQL优先条件对软件程序设计工作充满热情额外具有一种或多种编程语言方面的经验，包括但不限于：C/C++，Python，JavaScript或Go精通AJAX，数据库设计和SQL有兴趣并有能力在需要时学习其他编码语言你的技术可以不高，但至少你要有学习的热情熟悉Git或者SVN源代码管理", "成都安意科技有限公司", "少于15人", "初创型(未融资)", "移动互联网,数据服务", "-"
"拉勾", ".NET", ".NET", "8000-15000", "本科", "深圳", "1-3年", "职位描述职位描述岗位职责：设计及开发数据库驱动的Win32应用，Web应用，及跨平台手机APP任职要求：1- 计算机、软件、电子信息、土木工程等相关专业2- 1-3年.NET开发经验，优秀应届毕业生亦可考虑，熟练掌握一种或了解多种.NET开发框架3- 熟悉WPF开发，熟练掌握XAML标记语言，能够自定义控件4- 熟练掌握主流数据库，如SQL Server，MySQL，熟悉XML，Json，Web service及相关技术，熟悉Html/Javascript/AJAX，能实现页面报表的展现5- 土木工程专业背景以及有移动APP开发经验者优先考虑", "深圳筑星科技有限公司", "15-50人", "初创型(不需要融资)", "移动互联网,信息安全", "-"
"拉勾", ".NET", ".NET工程师（高级）", "8000-15000", "本科", "成都", "5-10年", "职位描述【应聘要求】1. 5年以上工作经验，熟练运用.net2. 熟练使用至少一种主流数据库开发3. 通信运营商项目经验、sql数据库经验等优先4. 本科及以上学历。", "四川联友电讯技术有限公司", "50-150人", "成长型(不需要融资)", "移动互联网,电子商务", "-"
"拉勾", ".NET", "ASP.NET程序员", "6000-12000", "不限", "成都", "1-3年", "职位描述岗位职责：1、负责 asp.net 的 web 应用程序的维护、开发；2、sqlserver 数据库脚本编写、数据库优化与维护；3、负责各应用级的 web 和 客户端程序的开发工作。任职资格：1、熟练运用C# ASP.NET 开发，两年以上实际项目开发经验；2、有良好的编码习惯；3、熟悉 SQL SERVER 数据库、MySql数据库，能熟练地运用SQL语言，熟悉SQL语句调优和数据库调优；4、熟悉网站产品开发流程，对网站产品的UI及用户体验有很好的认识；5、熟悉Div+Css开发模式，能熟练运用Html、css、JavaScript、JQuery；6、具备一定的 WinForm 开发能力；7、具备较强逻辑思维，有抗压能力，有责任心，有良好的沟通能力，能自我学习，自我提高；8、有工作责任心，头脑灵活，积极肯干；9、具有良好的团队合作精神和敬业精神。", "四川金虎多媒体通讯技术有限公司", "15-50人", "初创型(不需要融资)", "移动互联网,教育", "-"
"拉勾", ".NET", ".NET软件开发工程师", "5000-8000", "不限", "天津", "1-3年", "职位描述岗位职责：1、负责系统开发与维护；2、配合部门经理完成相应模块设计；3、按照项目管理流程，参与研发部门的总体设计评审；4、进行详细设计、代码开发，配合测试，高质量完成项目；5、参与技术难题攻关、组织技术积累等工作。任职要求：1、有开发经验，熟练运用web api者优先；2、精通asp.net编程，熟练使用Visual Studio等开发工具；3、熟悉JavaScript、Ajax、XML等相关技术；4、熟悉MySQL等数据库开发、SQL性能调优；5、有良好的代码书写、注释和单元测试习惯，熟练运用多种软件设计模式；6、具备良好的沟通合作技巧，较强的责任心及团队合作精神。", "天津云顶云科技有限公司", "15-50人", "初创型(未融资)", "移动互联网,企业服务", "-"
"拉勾", ".NET", ".NET", "6000-8000", "大专", "广州", "1-3年", "职位描述1.负责系统项目的架构设计、性能优化、代码编写等工作；2.负责系统项目的实地安装、调试与维护；3.负责项目中各阶段所需的必要文档的编写工作；4.负责与客户进行沟通，对其反馈信息进行及时跟进与处理。任职要求:1、大专以上学历，计算机软件开发或相关专业；2、至少一年.Net开发经验，熟悉HTML、JavaScript，Jquery，Ajax技术，有B/S结构网站应用的开发经验；3、熟悉MSSQL Server数据库管理系统；4、熟悉开发技术，包括存储过程的编写；5、能够独立胜任项目开发（前期需求分析，文档撰写，代码功能开发实践，后期维护bug处理）。薪酬待遇：1.6-8K+项目提成2.单双休3.购买五险4.节假福利5.公司旅游6.带薪年假7.法定节假日8.员工生日9.朝十晚六10.工作时间每满一年最高20%提薪", "广州市昊翼信息科技有限公司", "15-50人", "初创型(未融资)", "移动互联网,游戏", "4.3"
"拉勾", ".NET", ".NET", "10000-18000", "大专", "上海", "3-5年", "职位描述岗位职责：1、负责维护和开发公司业务系统（B/S结构）2、可以胜任复杂度较高的系统的程式分析与设计、数据库维护和设计的工作；3、具有主动意识并独立解决问题的能力，兼具团队协作的能力4、良好的沟通能力职位要求：1、2年以上B/S结构的C#开发经验2、熟悉MVC、WCF、Web API、IoC、MemberCache等技术3、能独立完成基本的前端工作，JQuery+CSS，熟悉Bootstrap等前端框架更佳4、熟悉SQL Server ，熟悉SQL开发和优化，熟练使用至少一种ORM框架5、具有互联网开发经验更佳6、具有大型站点开发、部署和性能调优者优先7、具有阅读和维护asp代码能力者优先", "上海宽文是风软件有限公司", "150-500人", "初创型(未融资)", "企业服务", "3.9"
