"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Android", "Android开发工程师", "18000-30000", "本科", "成都", "3-5年", "职位描述岗位职责：1.负责手机Android平台上软件开发,移植等工作；2.负责界面修改、多线程、网络通信、SQLite数据库等操作；3.参与方案讨论和技术调研、负责方案升级、更新。任职资格：1.精通android平台，至少2年以上的实际android平台开发经验；2.对android系统有全面的了解，能根据产品设计独立进行应用程序开发；3.了解操作系统原理，掌握常见的数据结构和算法，熟练掌握java语言，对数据结构有深入的理解，有良好的编程习惯；4.具备良好的职业素养和团队协作精神，以及较强的学习和交流能力；5.了解电信协议，如SMS, TAPI协议者优先", "成都奇鲁科技有限公司", "50-150人", "成长型(A轮)", "移动互联网", "-"
"拉勾", "Android", "Android", "4000-6000", "不限", "济南", "1-3年", "职位描述岗位职责：1、负责Android手机产品的应用软件的开发工作；2、根据项目任务计划按时完成软件编码和单元测试工作；3、按照开发流程编写相应模块的设计文档；4、改善软件的易用性，提升用户使用体验。岗位要求：1、熟悉Android开发技术、Android相关开发测试工具的使用；2、设计并实现Android应用层的各种新加功能和客户需求；完成对应的模块设计、编码及调试工作；3、 熟悉软件开发过程，有良好的编程规范及开发技能，能独立进行程序设计和开发，有较强独立解决问题的能力；4、有相关媒体电台、交通类应用开发经验者优先；5、具有独立分析、解决问题的能力，逻辑思维清晰，具备良好的文档撰写能力； 6、具有良好的团队合作精神、沟通能力、学习能力强、能够承受一定的工作压力。", "山东车微联信息技术股份有限公司", "50-150人", "上市公司", "移动互联网", "4.3"
"拉勾", "Android", "Android开发工程师", "10000-15000", "本科", "北京", "3-5年", "职位描述工作职责：1、安卓工作经验三年以上的中高级开发人员，本科及以上学历。2、熟练运用AndroidStudio及Eclipse。3、精通安卓应用层开发，可以熟练运用各种安卓功能性框架，熟悉跨平台开发。4、熟悉JNI开发及Native开发者优先。5、良好的英语阅读能力，能够快速搜索研读英文资料。6、拥有良好的编程习惯。自学能力强，有责任心，上进心。任职资格：1、安卓应用层app开发2、熟练使用Eclipse、AdroidStudio3、熟练使用SVN、GIT4、良好的沟通、学习能力", "酒仙网电子商务股份有限公司", "2000人以上", "上市公司", "电子商务", "4.0"
"拉勾", "Android", "Android", "4000-8000", "本科", "青岛", "1-3年", "职位描述岗位职责：1、参与Android等手机平台软件开发；2、按软件需求完成界面、逻辑功能、网络通信等设计；3、配合其他开发人员、测试人员，完成产品开发和发布；4、编写相关开发文档、技术资料等；5、参与项目整体的业务流程研讨。任职要求：1、统招本科以上学历，2年以上Android工作经验；2、扎实的java基础知识；3、熟悉Android 各种常用库的使用(SQLite库、HTTP库)；4、熟练的掌握Android UI开发的基本方法，包括各种控件、布局方式和自定义控件的使用方法；5、熟悉Android下网络通信机制，对STCP/IP和HTTP，有较一定的理解和经验；6、了解面向对象设计原则和掌握些设计模式；7、工作习惯良好，自驱动，擅于合作，代码清晰整洁；8、能接受互联网企业高强度的工作方式；9、有车联网、地理位置APP开发经验者优先。", "青岛迪迪网络科技有限公司", "50-150人", "初创型(未融资)", "移动互联网", "3.6"
"拉勾", "Android", "高级Android工程师", "20000-25000", "本科", "北京", "3-5年", "职位描述岗位职责：1、负责Android客户端的相关产品的设计，开发、文档撰写和项目改进；2、参与Android平台上业务应用的功能设计及架构规划；3、参与产品设计，按照设计规范，完成技术文档编写；4、负责优化客户端软件的模块结构和流程逻辑，优化客户端软件相关产品适配、升级；5、完成部门领导交办的特殊任务。任职要求：1、计算机或相关专业本科及以上学历；2、扎实的java基础，具有3年以上java开发经验，至少2年以上Android实际开发经验；3、熟悉android体系结构，具备android应用开发经验；4、熟悉主要系统控件及自定义控件、事件和手势操作，能够针对应用熟练的选择解决方案；5、熟悉Android下网络通信机制，对Socket通信、TCP/IP和httptps有一定理解和经验；6、熟悉Android应用的性能优化，对页面卡顿及内存处理有自己见解，有相关经验者优先；7、具备良好的面向对象分析设计的知识，熟悉软件工程和常用设计模式；8、良好的沟通能力，良好的职业素质和团队合作精神，对工作认真负责；9、有成功发布的APP者或者在GitHub上有开源项目者优先考虑。", "央视国际视频通讯有限公司", "150-500人", "成长型(不需要融资)", "移动互联网", "4.3"
"拉勾", "Android", "FSG质量部_客户端（Android/iOS）测试开发工程师", "18000-30000", "本科", "北京", "3-5年", "职位描述   岗位职责   -负责百度钱包APP\\SDK Android/IOS客户端产品质量保证，制定测试计划、测试方案，编写测试用例    -根据产品需求测试Android/IOS客户端，协助开发定位问题    -根据项目测试需要，开发测试工具和自动测试框架、自动测试脚本、测试平台，进行自动测试    -根据项目过程中的体验对产品提出改进建议以建立极致的用户感受，对项目过程提出改进建议以提高项目整体效率    -学习和研究新技术以提高自动测试的效率和质量，满足质量保证的需求    任职资格   -大学本科（含）以上，计算机相关专业    -1年以上开发或测试相关工作经验，1年以上移动APP测试经验    -熟悉 Android/IOS产品研发和测试项目流程     -熟悉Android/IOS自动化测试工具的使用和编写，如junit、instrumentation、robotium、monkey、monkeyrunner等   -熟悉java、object-C相关经验者优先    -有Android/IOS开发经验优先    -有金融、支付相关经验者优先    -学习能力强，有较强分析和解决问题的能力，具有较强逻辑思维能力和表达能力  ", "百度在线网络技术（北京）有限公司", "2000人以上", "上市公司", "移动互联网,数据服务", "3.9"
"拉勾", "Android", "Android", "15000-25000", "本科", "深圳", "3-5年", "职位描述1、计算机、软件工程、电子相关专业，3年以上Android APP开发经验。2、熟练掌握JAVA等编程语言；3、熟悉Android框架，熟悉AndroidNDK/SDK开发和调试；4、熟悉http等网络协议，熟悉网络编程、常用数据结构和算法；5、能灵活解决Android平台各类常见问题，独立完成Android APP开发；6、有蓝牙4.0开发经验，能同时熟悉IOS平台开发者优先；7、有APP开发团队管理经验优先；8、有较强的责任心、沟通能力和团队协作精神，条理清晰，并能够承担一定的工作压力。", "惠州市德赛工业发展有限公司", "50-150人", "上市公司", "移动互联网", "4.0"
"拉勾", "Android", "Android", "25000-30000", "本科", "北京", "5-10年", "职位描述岗位职责：1、完成公司客户端的开发与维护；2、负责android app开发、SDK开发；3、编写相关的技术文档，与服务器端开发人员沟通解决问题4、参与项目技术方案的制定，进行相关的设计或开发工作；      职位要求：1、本科，5年以上工作经验Android开发经验；2、熟悉AndroidOS体系结构，熟悉AndroidSDK，对Android应用结构有深刻的认识；3、熟悉MVC模式，掌握OOAD的基本思想；4、丰富的手机UI设计经验，熟悉网络编程、多线程、图形界面编程、熟悉TCP/UDP、HTTP协议；5、能独立承担Android产品开发工作。", "驰梦科技(北京)有限公司", "50-150人", "成长型(不需要融资)", "移动互联网,电子商务", "-"
"拉勾", "Android", "Android", "20000-30000", "本科", "北京", "5-10年", "职位描述岗位职责 1.负责公司Android app的架构设计、开发和维护；2.独立完成移动终端产品应用的功能模块开发；3.开发文档编写的知识沉淀与分享；4.协调产品、测试、设计等外部资源按时按质完成项目开发；5.持续改进应用的用户体验，并不断优化性能。任职要求1.本科及以上学历，或非重点院校硕士以上学历；2.3年及以上Android实际项目开发经验；3.精通Android开发平台及框架原理，精通Java语言；4.熟练掌握数据结构、基本算法，具备基本的算法设计能力。5.具有大型电商项目经验，如京东，苏宁易购等优先。", "北京华迅嘉业科技发展有限公司", "150-500人", "成长型(不需要融资)", "移动互联网", "-"
"拉勾", "Android", "Android开发工程师", "12000-20000", "大专", "杭州", "3-5年", "职位描述岗位职责：1、负责 Android客户端开发和独立客户端产品的开发； 2、各Android应用框架开发和维护，SDK开发。任职要求：1、4年以上客户端开发经验，精通Android手机平台； 2、熟悉掌握至少一种主流手机平台编程语言（C++或Java等），有Java相关开发经验不少于1年； 3、精通Android下的高性能编程及性能调优，精通一个系列以上的高市场占有率的手机适配； 4、开发基础良好，理解设计模式，在项目或产品中有很好的设计实践； 5、有强烈的责任心和团队精神，善于沟通和合作；能独立完成设计和编码； 6、 对Android的UI控件有优化经验者优先；有前端开发经验者优先。7、有独立项目开发经验或者主程开发经验，有Android系统源码开发经验优先考虑。", "特维轮网络科技(杭州)有限公司", "500-2000人", "成熟型(不需要融资)", "移动互联网,O2O", "3.9"
