"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "ASP", "高级开发工程师（Asp.net）", "8000-12000", "大专", "郑州", "3-5年", "职位描述岗位职责：1.参与公司平台架构分析和设计工作，协助进行流程的整理，编写相关文档;2.负责核心框架与核心代码的开发;3.负责指导开发人员进行功能的开发;4.负责功能代码质量审核工作，并控制算法和编写规范;5.参与系统部署工作，解决生产环境可能出现的故障。任职要求：1.大专及以上，计算机、软件工程及相关专业;2.三年以上.net系统开发经验，具备大型系统的设计和开发经验优先;3.精通.NET下的C/S、B/S系统开发，精通.Net框架类库，如WCF、WebAPI、Web Form、MVC，Entity Framework等;4.精通软件架构、设计模式，掌握可重用、扩展构架机制，对AOP，IOC有深入的理解和应用;5.熟悉SQLSERVER，Oracle等主流数据库，并熟练掌握SQL，存储过程，触发器等，能够根据项目需要灵活运用数据库的各种功能，并对数据库优化有一定的了解;6.具备良好的编程风格，有多层架构的开发经验和严谨的编程作风;7.善于与人沟通，为人正直、诚信，具备良好的职业素养，具有较强的团队协作精神、自学能力和责任心。薪酬待遇：年薪10-15万。直接上级：技术总监", "河南润泰电子商务有限公司", "50-150人", "初创型(未融资)", "电子商务,O2O", "3.6"
"拉勾", "ASP", "ASP.NET程序员", "6000-12000", "不限", "成都", "1-3年", "职位描述岗位职责：1、负责 asp.net 的 web 应用程序的维护、开发；2、sqlserver 数据库脚本编写、数据库优化与维护；3、负责各应用级的 web 和 客户端程序的开发工作。任职资格：1、熟练运用C# ASP.NET 开发，两年以上实际项目开发经验；2、有良好的编码习惯；3、熟悉 SQL SERVER 数据库、MySql数据库，能熟练地运用SQL语言，熟悉SQL语句调优和数据库调优；4、熟悉网站产品开发流程，对网站产品的UI及用户体验有很好的认识；5、熟悉Div+Css开发模式，能熟练运用Html、css、JavaScript、JQuery；6、具备一定的 WinForm 开发能力；7、具备较强逻辑思维，有抗压能力，有责任心，有良好的沟通能力，能自我学习，自我提高；8、有工作责任心，头脑灵活，积极肯干；9、具有良好的团队合作精神和敬业精神。", "四川金虎多媒体通讯技术有限公司", "15-50人", "初创型(不需要融资)", "移动互联网,教育", "-"
"拉勾", "ASP", "高级ASP.NET工程师", "15000-20000", "本科", "上海", "5-10年", "职位描述1,熟悉微软.NET平台，理解.NET框架以及相关概念2,5年以上.NET和Web开发经验，精通C#、ASP.NET等.Net技术3,熟悉HTML, CSS以及Javascript等前端开发技术，熟悉AngularJS优先4,熟悉关系型数据库(SQL Server或者MySQL)设计与开发5,扎实的计算机学科知识以及编程基础，熟悉面向对象设计，多线程编程和网络编程6,口语熟练，基本的英语写作和交流能力，能用英语进行日常工作沟通", "北京盛安德科技发展有限公司", "150-500人", "成长型(不需要融资)", "移动互联网,企业服务", "4.3"
"拉勾", "ASP", "Asp.net 高级工程师", "15000-20000", "大专", "北京", "3-5年", "职位描述岗位职责：1、完成项目规定分配的开发任务；2、严格按公司规定的流程、标准及规范进行代码编写；3、积极负责的进行单元测试，配合完成逻辑测试，压力测试，性能调优，完善功能；4、良好的文档撰写能力。任职要求：1、熟悉.NET Framework，精通Asp.net程序设计；2、统招大专及以上学历，具有3年以上Web应用程序开发经验；3、熟悉OOD,OOP设计编程理念，熟悉MVC等设计方法；4、熟悉c#语言，熟练使用webservice，webapi；5、熟练使用sql server数据库，对数据库优化有一定的了解；6、熟练掌握HTML、JavaScript、AJAX、CSS、jquery；7、熟悉企业网站架构，有过企业级软件开发和大型网站开发经验；8、逻辑思维清晰，良好的系统设计、分析和解决问题的技巧；9、应具备强烈的责任心和团队合作精神，能承受工作压力；10、良好文档习惯和沟通技巧，对工作积极严谨；11、为人正直，工作踏实细致，身体健康。", "北京镭嘉商务服务有限公司", "15-50人", "成长型(B轮)", "移动互联网,电子商务", "3.8"
"拉勾", "ASP", "asp.net开发工程师", "10000-15000", "本科", "北京", "3-5年", "职位描述岗位职责：1、负责公司自有云豆产品研发2、云桥产品研发3、产品维护及售后服务 任职要求1. 计算机专业或相关专业大专以上学历，2年以上工作经验2. 熟悉MVC架构3. 精通C#、ASP.NET，熟练B/S开发4. 熟练掌握SQL Server、MySQL数据库，熟练应用SQL语言，存储过程，触发器5. 熟悉HTML、JavaScript、JQuery、LinQ、CSS、XML、Web Service、AJAX等技术6. 善于沟通、责任心强、具备良好的团队合作精神", "北京荣之联科技股份有限公司", "500-2000人", "上市公司", "企业服务,数据服务", "4.0"
"拉勾", "ASP", "ASP.NET高级开发工程师", "10000-20000", "大专", "北京", "3-5年", "职位描述岗位职责：1.参与项目的可行性分析，系统架构和设计与开发；2.完成网站开发项目的详细设计和编码，带领初级程序员开发工作；3.参与制定各种规范文档，完成各开发文档编写，参与数据库设计工作；4.负责代码调优，数据库调优；5.发布和维护已有网站项目，优化、排错，开展各项网站安全方面的工作。任职要求：1.大专及以上学历，至少两年以上软件开发实际工作经验，具有独立的开发能力；2.熟悉面向对象设计和设计模式；3.精通C#、ASP.NET、Javascript、CSS、HTML5，熟悉常用开发框架；4.熟练掌握SQL Server数据库，了解MySql/Oracle/MongoDB；5.熟悉Web项目的整体设计与部署，具有系统性能优化经验，能基于业务需求进行系统分析和系统设计；6.有良好的代码风格和逻辑能力；7.关注并了解移动互联网技术；8.具备较强的工作主动性及创新精神，对业界的最新技术发展动态有比较密切的关注；9.较强的学习能力及团队合作精神，对工作有热情，能够在一定压力下工作；10.有电商开发经验者优先。", "北京骑摆客科技发展有限公司", "50-150人", "成长型(A轮)", "文化娱乐", "4.5"
"拉勾", "ASP", "asp.net开发工程师，asp.net网站开发", "5000-10000", "不限", "广州", "1年以下", "职位描述1、 开发过企业网站和购物网站。2、 一年以上网站编程开发经验 ！3．熟练掌握SQL Server 2005/2008,VS2008/20104．熟悉三层架构,对面向对象技术有较深刻的理解,有较强的系统分析与设计能力5．熟练使用div+css,能快速轻松解决主流浏览器兼容性问题6．熟悉SEO,有针对搜索引擎优化开发工作经验者优先7.需附带个人简历岗位要求1．有一定的组织策划及管理能力,能独立主导网站的开发,能指导程序人员对网站的建设及开发,能负责对网站核心功能的建设开发2．具有高度的责任感,能够承受压力,有创新精神,保证工作质量3．看好互联网的发展，对行业和个人发展有清晰的认识地址：广州海珠区昌岗中路238号达镖国际1413室。", "广州市卓杰计算机科技有限公司", "15-50人", "初创型(未融资)", "移动互联网", "-"
"拉勾", "ASP", "ASP.NET C#高级工程师", "20000-30000", "本科", "北京", "5-10年", "职位描述职位描述1、参与平台架构设计与开发；2、参与项目需求分析，并实施技术方案选型、验证；3、负责项目的软件设计，以及核心模块的开发实现；4、对团队其他组员进行必要的工作指导；岗位要求1、正规院校本科以上学历，数学、计算机、通信、信息管理、网络工程等相关专业；2、5年以上C#系统的软件的设计和开发经验，侧重于Web领域，年龄30-38之间；3、至少精通一种大型关系数据库的开发，并熟悉NoSql解决方案；4、涉猎一些中间件、开源技术，尤其用于大规模数据、并发访问等领域的技术方案；5、有很强学习能力和解决技术难题的能力；6、较强的团队协作精神和责任心，有一定的组织领导能力，较强的沟通协调能力。", "北京乐教乐学教育科技有限责任公司", "50-150人", "初创型(未融资)", "电子商务,教育", "3.4"
"拉勾", "ASP", "后端开发(asp.net）", "8000-16000", "不限", "东莞", "1-3年", "职位描述1、精通C#、ASP.Net编程，精通SQLServer、Oracle等至少一种数据库；2、熟悉MVC开发框架，有实际web项目开发经验；3、熟悉js、jQuery、EXTjs、Easyjs、CSS等前端开发技巧，熟悉EF Code  First；4、c#基础扎实，熟练掌握多线程、委托、事件、反射技术；5、熟悉MYSQL、MSSQL熟练编写程储过程，触发器与函数，并有数据库设计经验；", "深圳市金塔山投资控股有限公司", "150-500人", "初创型(未融资)", "移动互联网,教育", "4.4"
"拉勾", "ASP", "ASP.NET软件开发工程师", "7000-12000", "不限", "上海", "1-3年", "职位描述我们在寻找一同成长的伙伴我们需要你（岗位职责）：1、根据组长的安排完成日常开发工作2、负责系统的日常维护工作我们希望你（任职要求）：1 对技术有自己的想法，是个有态度的程序猿；2 积极主动的学习新的知识；3、良好的沟通协调、团队合作精神和组织能力，良好的系统分析能力及文档；4、组织能力，能够适应高强度的工作，有工作责任心和敬业精神；技术上：1、具备1年以上ASP.net 基于B/S项目开发经验；3、熟练.NET框架，熟练C#、ASP.NET，编程风格良好；4、熟练SQL Server等关系型数据库、熟练使用SQL语句，及sql语句性能优化；5、熟练运用HTML、Ajax.、JQuery、webservice7、了解三层架构模式；8、大专或大专以上学历，有B2C商城建站经验者及理解互联网用户行为习惯优先考虑；9、能够对服务器进行日常维护优先考虑；10、熟悉.net MVC,WCF,框架的优先考虑；11、熟悉Visual Studio 2008/2012、Sql server 2005/2008 等开发环境。我们的团队：积极 上进 勤奋 务实 感恩 细节加入我们，你将体验到：1 年轻人的团队，提倡简单直接，积极分享的工作和生活；2 和优秀的人一起工作，与热爱技术的人一同进步；3 与公司一同成长，成为核心层的机会。期待你的加入，和我们一起愉快的成长吧！", "双齐国际贸易（上海）有限公司", "50-150人", "初创型(未融资)", "电子商务,企业服务", "3.6"
