"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "C", "C++游戏开发工程师", "15000-25000", "大专", "深圳", "3-5年", "职位描述岗位职责：1.负责棋牌游戏平台服务端和大厅开发，游戏产品开发。 2.制定技术部工作计划和工作目标3.负责和控制游戏软件的开发进度和过程4.负责保障游戏软件的安全运行和可靠性任职资格：1.从事有多人在线网络游戏服务器包括大型棋牌平台开发至少3年。2.工作主动、责任心强，要求有团队合作精神能带领团队内人员共同进步。3.精通c++、vc++.精通2D图形编程，了解并掌握一项3D图形编程技术优先。4.精通大型服务器开发技术。5.能独立完成网络游戏服务端或客户端的开发优先；熟悉多线程编程、网络编程，数据库编程。6.有移动棋牌平台开发经验者优先。7.至少3年C/C++工作开发经验，或3年网络游戏工作开发经验;有较强的代码阅读和理解能力，能快速熟悉新框架并进行开发。8.有棋牌游戏代码二次开发经验，或者可以很快上手棋牌游戏开发。", "深圳市中兴力维技术有限公司", "2000人以上", "成熟型(不需要融资)", "移动互联网,数据服务", "-"
"拉勾", "C", "中级C++后台开发", "10000-15000", "本科", "广州", "1-3年", "职位描述职位描述岗位职责： 对已有的基于C/S架构或B/S架构的系统，将其服务器端业务逻辑功能抽离出来，封装为SDK对外提供访问，要考虑软件设计的可重用性和松散耦合的思想，包括跨平台，跨语言等特性；岗位要求：1.能够熟练使用C++编程语言；2.熟悉Linux系统下的软件开发，熟悉Linux下的shell编程；3.熟悉网络编程，熟练掌握Linux下socket编程；", "广州势必可赢网络科技有限公司", "15-50人", "成长型(A轮)", "移动互联网", "3.5"
"拉勾", "C", "C++研发工程师", "9000-18000", "本科", "上海", "1-3年", "职位描述职位描述:电子数据取证/分析产品模块设计和研发；根据项目计划按时完成软件开发和单元测试工作以及Bug修复；跟进业务变化和技术发展职位要求：计算机基础扎实，数据结构、操作系统、网络原理清晰；熟练使用C++语言，1年以上相关工作经验；熟悉 C/C++ 语言相关框架，具有RESTful、Linux开发经验者优先；思维清晰，沟通良好，具备良好的分析、理解、解决问题的能力；富有团队精神，愿意接受新技术新思维，学习能力良好以上", "上海弘连网络科技有限公司", "15-50人", "初创型(未融资)", "数据服务", "3.9"
"拉勾", "C", "C/C++ Engineering for testing", "10000-20000", "本科", "深圳", "1-3年", "职位描述Job Description:Testing security software. Given C/C++ test case(program), use our software to reproduce the bug in code. if qualified, you will work as c/c++ developer.Desired Skills and ExperienceMust have --Self-motivated, capable of working independently-Extensive c/c++ coding experience-Solid compiler knowledge, LLVM will be highly desirable.-Familiar with Linux/gdb/gcc tool chainNice to have, knowledge in --Formal method, Program analysis-Scripting, e.g., Perl/Python etcBenefits --Flexible: you can work anywhere, any time, either part time or full time-Cutting-edge technology: formal verification technology, security etc.-Competitive compensation", "深圳盈富斯商业有限公司", "15-50人", "成长型(A轮)", "电子商务", "4.2"
"拉勾", "C", "游戏开发工程师（C++语言）", "6000-12000", "大专", "珠海", "不限", "职位描述岗位职责：1、根据开发需求完成游戏设计与开发工作；2、设计和编写游戏平台相关模块,支撑游戏运行；3、按照要求编写相关的开发设计文档；4、对现有游戏产品进行升级改造和维护，处理游戏运行中出现的问题；5、对相关部门的需求进行及时的支撑和处理。任职要求：1、大专以上学历，计算机相关专业；2、两年以上window/linux 平台C++开发经验，有linux开发经验者优先；3、有良好的C++功底，熟练使用vs、Eclipse等开发工具， 熟悉socket、多线程、stl等；4、综合能力强，有较强的逻辑思维能力及沟通协调能力；5、原则性强，有责任感，耐心细致，抗压能力强。6、接受优秀应届毕业生", "珠海心游科技股份有限公司", "150-500人", "初创型(天使轮)", "移动互联网,游戏", "4.6"
"拉勾", "C", "C#软件工程师", "8000-15000", "本科", "成都", "3-5年", "职位描述【岗位职责】1.3年以上工作经验，熟练运用C#，追求代码质量，编码简洁高效，追求高并发的运行效率；2. 熟悉各种网络接口开发，socket/webservice/wcf等；3. 熟练使用至少一种主流数据库开发；4. 有大型实时逻辑项目经验/运营商项目经验/nosql数据库经验等；5、熟悉C++/JAVA语言；5. 本科及以上学历。【待遇】待遇丰厚，外加项目奖。", "四川联友电讯技术有限公司", "50-150人", "成长型(不需要融资)", "移动互联网,电子商务", "-"
"拉勾", "C", "C++开发工程师", "10000-20000", "本科", "上海", "1-3年", "职位描述【岗位职责】1、按需求说明编写高质量的代码；2、能够独立完成相对复杂的模块设计；3、参与公司软件产品开发及设计；4、按照规范编写相关开发文档。【岗位要求】1、本科及以上学历，计算机相关专业；2、具有数据结构、操作系统、计算机组成原理、数学等基础；3、熟悉Linux/Unix平台上C/C++开发；4、熟悉TCP/IP协议及网络编程；5、对分布式系统技术有了解者优先考虑；6、优秀的学习能力和对技术创新的热情。", "上海爱福窝云技术有限公司", "150-500人", "成长型(A轮)", "电子商务", "3.9"
"拉勾", "C", "C#.Net", "10000-20000", "大专", "北京", "1-3年", "职位描述职责描述：1.参与项目的需求分析和设计工作2.进行开发设计，参与项目的开发/调试/测试工作3.配合相关部门的需求开发系统后台功能模块岗位要求：1.本科及以上学历，计算机相关专业优先，具备一年以上相关工作经验或两年以上相关领域开发经验2.丰富的C#开发经验，熟练掌握.net框架及开发环境。熟悉ASP.NET开发3.熟悉基本数据库（Microsoft SQL Server/Oracle/MySQL）开发使用4.熟悉Azure开发5.具有良好的学习能力、沟通能力,工作细心负责,能承受一定工作压力", "五洲万象（北京）科技有限公司", "15-50人", "成长型(A轮)", "移动互联网", "4.8"
"拉勾", "C", "广告系统开发工程师（C++)", "20000-35000", "本科", "北京", "3-5年", "职位描述【微博广告平台-广告投放引擎工程师（后台C++) 】岗位职责： 1.广告引擎的开发和优化，支持大数据量、高并发和高性能要求的广告请求;2.广告数据服务的研发，支持亿级用户的广告动态实时计算和匹配，以及数据分布式存储和访问;3.能够高效的解决系统中所存在的问题，并持续优化;4.支持广告业务的需求和发展，尤其是CPC和CPM的技术支持. 岗位要求： 1.计算机相关专业本科及以上学历,具有系统的工作经验;2.拥有扎实的计算机编程能力,尤其在数据结构、算法和代码、软件设计方面有较好的功底;3.熟悉Linux，有丰富的C/C++编程经验，熟悉使用shell/awk等脚本语言;4.熟悉TCP/IP以及网络编程等方面的开发或使用经验;5.勤于学习，善于分析问题、解决问题; 6.对技术有激情、有追求；富于技术创新精神，勇于解决技术难题; 7.有互联网广告系统开发的经验者优先8.掌握python/php等脚本语言者优先;9.掌握MapReduce、流式计算者优先.", "微梦创科网络科技（中国）有限公司", "2000人以上", "上市公司", "移动互联网", "3.9"
"拉勾", "C", "C++高级研发工程师-交通", "20000-35000", "本科", "北京", "3-5年", "职位描述岗位职责：1、参与导航服务的设计、开发、测试等研发工作；2、参与导航引擎服务算法升级，提高服务性能。2、能够对现有系统的不足进行分析，找到目前系统的瓶颈和解决方法，提高系统性能；岗位要求：1、精通C/C++语言2、数据结构与算法基础良好3、熟悉Linux下服务开发经验4、熟悉shell，python至少一门脚本语言5、沟通表达能力较强6、学习与独立思考能力强，主动性强7、有2年以上导航路径规划开发经验优先", "阿里巴巴（中国）网络技术有限公司", "2000人以上", "上市公司", "移动互联网", "4.0"
