"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "COCOS2D-X", "COCOS2D-X", "12000-18000", "本科", "北京", "3-5年", "职位描述负责已上线网游新系统模块的开发；2、负责已上线游戏模块的维护；3、配合运营团队完成游戏的运营活动开发；岗位要求：1、2年以上手机游戏开发经验；2、性格随和，热爱游戏，喜欢动漫；3、熟悉cocos2dx，最好也熟悉C/C++；4、熟悉java，熟悉自定义网络协议方式；5、对Lua脚本编程有一定了解；", "北京同人在线网络科技有限公司", "15-50人", "初创型(未融资)", "移动互联网,社交网络", "-"
"拉勾", "COCOS2D-X", "COCOS2D-X", "6000-10000", "大专", "广州", "不限", "职位描述岗位职责：1、负责手游模块设计与开发；2、负责手游项目程序设计开发及维护。岗位要求：1、大专及以上学历，计算机相关专业；2、熟悉LUA脚本语言，有C++基础更佳；3、熟悉游戏客户端的开发流程，热爱游戏；4、热衷于技术钻研，工作踏实、负责，有良好的抗压能力；", "广州速游网络科技有限公司", "50-150人", "成长型(B轮)", "移动互联网,游戏", "5.0"
"拉勾", "COCOS2D-X", "COCOS2D-X", "12000-20000", "不限", "深圳", "1-3年", "职位描述岗位职责：1.负责移动终端游戏的设计和开发；2.独立完成所分配的开发任务,同时能够根据开发流程要求完成相应文档；3.研究新技术，为产品的设计和研发提供支持。任职要求：1.大专以上学历，计算机相关专业，熟悉数据结构及常用算法；2 扎实的C++基础，熟悉面向对象的设计与开发，熟悉设计模式更佳；3.熟悉cocos2d-x引擎，.要1年以上 pc或手机客户端 开发经验，掌握cocosStudio开发工具；4.要有 cocos2d-x 开发经验,和实际作品。", "深圳市中兴力维技术有限公司", "2000人以上", "成熟型(不需要融资)", "移动互联网,数据服务", "-"
"拉勾", "COCOS2D-X", "COCOS2D-X", "8000-12000", "大专", "长沙", "不限", "职位描述岗位职责：1、1年以上游戏客户端开发经验；2、精通C++编程，熟悉Cocos2d-x引擎和Cocostudio工具，有IOS、Android游戏开发经验；3、熟悉Lua脚本语言；4、良好的分析问题、解决问题的能力，沟通协调能力强，责任心强；工作内容：1、独立负责 Android/IOS 其中一款系统的手游开发2、进行游戏周边相关工具开发3、完成产品出包以及第三方SDK接入4、配合设计师进行客户端视觉效果调试5、开发文档整理", "湖南宇亿网络科技有限公司", "15-50人", "初创型(不需要融资)", "游戏,移动互联网", "-"
"拉勾", "COCOS2D-X", "COCOS2D-X开发工程师", "8000-15000", "大专", "深圳", "不限", "职位描述岗位职责：1.负责一款棋牌游戏的主要功能开发。2.负责设计和实现游戏客户端模块功能。3.负责代码结构优化，提高团队整体代码质量。4.独立完成所分配的开发任务,同时能够根据开发流程要求完成相应文档。5.研究新技术，为产品的设计和研发提供支持。职位要求：1.大专以上学历，计算机相关专业，熟悉数据结构及常用算法。2. 熟练掌握基于C++语言的面向对象开发3. 2年以上以上Cocos2d-X游戏开发经验，掌握cocosStudio开发工具；4. 具有Lua开发经验；5. 有棋牌项目经验更佳；6. 有良好的团队合作精神；7. 有线上项目经验优先。", "深圳市泊众网科技有限公司", "50-150人", "成长型(不需要融资)", "移动互联网", "-"
"拉勾", "COCOS2D-X", "COCOS2D-X", "10000-20000", "本科", "深圳", "1-3年", "职位描述职位描述:1、完成手机游戏的前端逻辑2、配合美术完成游戏效果的调优3、负责移动终端兼容性及性能优化技能要求:1、2年以上cocos2d-x游戏项目开发经验者优先考虑。2、c++基础扎实，至少一年C/C++游戏项目开发经验，熟悉多线程、图形编程、常用的算法和数据结构等。3、具备良好的团队工作精神，有较强的快速学习能力，独立分析解决问题的能力。4、抗压能力强，自我管理能力强，有良好的时间意识。5、热爱游戏行业，热爱软件开发，拥有创造一流手机游戏的激情，对移动互联网产业有浓厚的兴趣，希望在游戏开发领域长期发展，乐于接受挑战者优先。", "深圳市灵游互娱股份有限公司", "50-150人", "成长型(A轮)", "游戏", "4.5"
"拉勾", "COCOS2D-X", "COCOS2D-X", "4000-5000", "大专", "上海", "应届毕业生", "职位描述岗位描述：1. 大专及以上学历，2016或2017年毕业生;2、不限专业，理工类优先;3、每周实习时间为3-5天;4. 基于Cocos2d-X游戏引擎的移动App开发（我们主要用 Cocos2d 技术开发 App ，非游戏）；5. 使用lua语言进行Cocos2d-X客户端应用逻辑的编写；岗位要求：1. 了解 Cocos2d 开发相关技术，了解原生移动 App 开发技术和流程2. 良好的自学能力，能熟练阅读文档，能够主动进行自我提升；3. 熟悉C/C++, lua等语言；4. 具有良好的沟通能力和团队合作精神、优秀的分析问题和解决问题的能力;5. 热爱技术，对互联网行业有基本了解；加分：经常使用 google 、 github 、 stackoverflow 等网站对代码质量有追求，喜欢新技术，善于钻研良好的英语阅读及写作能力我们为你提供:日薪200-300元实习表现良好者毕业后可转为正式员工.", "上海琪帆网络科技有限公司", "少于15人", "初创型(未融资)", "移动互联网,企业服务", "5.0"
"拉勾", "COCOS2D-X", "Cocos2d-x客户端工程师", "15000-20000", "大专", "深圳", "1-3年", "职位描述工作职责1)带领cocos2d-x技术人员，开发智能手机游戏。2)牵头开发安卓和IOS游戏相关工具。3)根据项目需求，进行手机游戏程序设计及开发工作。4)参与讨论软件模块功能、操作流程及界面布局等客户端设计。5)根据策划需求，分配coco2dx前端工作，协同完成程序的编码、调试、配置等工作。任职要求1)熟悉cocos2d-x游戏引擎，熟悉iPhoneSDK开发环境。2)精通C/C++，熟悉Lua。3)具有良好的团队合作精神，逻辑思维能力强，善于沟通。4)热衷于技术钻研，工作踏实诚恳，认真负责，有良好的抗压能力。5)有已上架ios/android游戏的制作经验者优先。", "深圳游禧科技有限公司", "150-500人", "成长型(不需要融资)", "游戏", "4.0"
"拉勾", "COCOS2D-X", "COCOS2D-X手游开发工程师", "6000-12000", "不限", "深圳", "1-3年", "职位描述岗位职责：1.负责公司棋牌游戏开发（类似手游QQ斗地主）；2.制定研发规范，流程并监督执行，保证产品质量；3.研发手机客户端领域的新技术并加以应用。任职要求：1.熟悉c++，熟悉java，熟悉object-c；2.熟悉开发工具VS、xCode3.有cocos2d-x项目开发经验；4.熟悉 TCP/IP 协议知识；5.有棋牌游戏工作经验者优先、有SDK接入相关经验优先、有IOS开发经验者优先、有上线作品者优先。", "深圳市壹柒游网络科技有限公司", "50-150人", "成长型(不需要融资)", "游戏", "-"
"拉勾", "COCOS2D-X", "COCOS2D-X开发工程师", "15000-25000", "大专", "深圳", "1-3年", "职位描述职位描述1、负责手机游戏客户端功能开发；2、负责手机游戏相关工具开发。技能需求：1、C/C++基础扎实，熟悉游戏中常用的数据结构和算法；2、热爱编程，善于思考，有强烈地好奇心和求知欲；3、开放合作的心态。4、1年以上游戏开发经验（手游开发经验为佳）。加分项：1、能熟练使用cocos2d-X；2、有IOS或Android游戏开发经验，能熟练使用相应的调试优化工具；3、具有良好的分析解决问题能力，能独立承担任务，有系统进度把控能力；4、有上线产品的开发经验优先。", "深圳市深龙广博信息科技有限公司", "15-50人", "初创型(未融资)", "移动互联网", "2.0"
