"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "C++", "C++开发（急招）", "13000-17000", "大专", "深圳", "3-5年", "职位描述岗位职位：1、负责后台业务系统的需求分析、设计和开发工作；2、负责高并发下，业务系统的调优和容灾工作，使系统达到高可用、高可靠、高安全；3、负责解决开发过程中的业务及技术问题；岗位要求：1、计算机相关专业，本科以上学历；2、具备Windows/Linux下C/C++ 3年以上开发经验；3、精通C++，精通面向对象设计，熟悉UML等建模工具，具有全面的软件知识结构；4、熟悉Oracle/Mysql等数据库管理、开发、SQL调优；5、熟悉TCP/IP、HTTP等网络协议，熟悉网络编程；6、熟悉Python，有开发经验者优先；7、有较强的逻辑思维能力，思想上开放，主动积极有责任感，能够承担工作压力；8、具有互联网业务开发经验或大容量网络服务相关经验者优先；9、熟悉无线互联网服务及应用开发者优先。", "深圳市金证科技股份有限公司", "2000人以上", "上市公司", "金融", "3.7"
"拉勾", "C++", "C++后台开发工程师", "8000-15000", "本科", "深圳", "1-3年", "职位描述【岗位职责】1、负责后台架构设计和优化2、负责后台版本功能开发3、作为接口人，负责与产品、客户端、测试沟通协调【任职要求】1、计算机相关专业本科及以上学历2、1年以上Unix/Linux下Server开发经验3、精通C/C++开发语言4、精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法5、熟悉Unix/Linux操作系统原理、常用工具6、熟悉Perl/python，shell等脚本语言优先7、具备良好的分析解决问题能力，能独立承担工作任务及把控任务进度8、责任心强，良好的沟通和团队协作能力，主动好学有进取心9、有hadoop或其它分布式计算存储平台经历更佳乐享是深圳市乐易网络有限公司的全资子公司。▶关于乐易◀★极客精神 专注海外精品手机游戏和应用软件的研发、发行和运营，致力于打造世界级一流的产品；★技术深厚 创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景；★飞速发展 成立首年盈利，4年每年100%营收增长，已获A轮融资，估值10亿人民币；★导师制   一对一的导师，助你快速成长。▶关于福利◀★一年两次调薪★     ★绩效奖金高达10个月★ ★六险一金★  ★一年两次旅游★ ★7天年假15天带薪事假30天病假★ ★年度体检★       ★高逼格办公环境★ ★每月团建★ ★无限量零食水果供应★", "乐享有限公司", "150-500人", "成长型(A轮)", "移动互联网,游戏", "-"
"拉勾", "C++", "C++", "15000-25000", "本科", "北京", "3-5年", "职位描述C++高级开发工程师（云计算）职位描述：  1. 负责Linux服务器端C++程序的开发和性能调优；  2. 负责海量数据处理相关的开发；  3. 负责大并发网络服务器端的开发和性能调优；  4. 负责MySQL数据库和Redis、MongoDB、HBase等NoSQL数据库相关的应用开发；  5. 参与公司云服务平台的搭建和完善。    任职资格：  1.学历要求：   -毕业于211或985院校、统招本科及以上学历，或非重点院校硕士以上学历；  2.能力要求：   -3年以上工作经验，精通C/C++，熟悉Windows/Linux开发环境，有丰富的数据结构和算法知识；   -具备规范的编程习惯与文档编写能力，积极配合公司各项规范化建设工作；   -具备较好的学习能力、问题分析能力，可以独立调试解决问题；   -良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验；   -具备以下条件之一：   *熟悉计算机网络协议及大并发量、网络服务器端开发；   *熟悉关系型和非关系性数据库应用程序的开发；  3.素质要求：   -工作踏实，态度积极，能够承受工作压力，能适应严格项目管理；   -责任心强，正直诚实，值得信赖。  4.优先考虑：   1.同时具备Linux和Windows平台开发经验者优先；   2.有移动互联网、互联网网络平台或语音服务平台经验和架构设计能力，熟悉TCP/IP协议、HTTP协议、MRCP协议和负载均衡实现机制，有各协议应用开发经验者优先。  ", "北京捷通华声科技股份有限公司", "150-500人", "成长型(不需要融资)", "移动互联网,数据服务", "3.6"
"拉勾", "C++", "C++", "10000-13000", "本科", "北京", "1-3年", "职位描述工作职责:按照产品开发流程，完成C++项目和产品的开发工作；维护原有软件及产品；负责产品方案的设计及沟通工作；负责软件开发的技术文档撰写以及相关单元测试工作；协助完成系统交付工作，对项目实施提供技术支持。任职要求：大学本科及以上学历，计算机相关专业，2年以上Windows平台/C++软件开发经验；熟悉UML，并可熟练运用EA等工具进行应用软件的设计工作；较强的文档编写能力与沟通表达能力，能够独立完成产品方案设计工作；对SQL Server数据库有较深入的了解，可熟练编写复杂的SQL语句；熟悉WebService技术，具有良好的编程风格和开发习惯；能够熟练使用Visual C++6.0、Microsoft Visual Studio2010开发环境；学习能力强，严谨踏实，具有优秀的团队合作和沟通能力，有项目管理经验者优先；具有大学英语四级及以上水平，良好的英语听说读写能力。", "北京联想利泰软件有限公司", "500-2000人", "初创型(未融资)", "移动互联网,招聘", "3.9"
"拉勾", "C++", "C++软件工程师", "12000-20000", "硕士", "杭州", "1-3年", "职位描述工作内容：负责SLAM与定位导航相关算法的研发、应用与优化。岗位要求：1、计算机相关专业，硕士及以上学历；2、熟练使用C++，掌握基础的数据结构与算法知识；3、熟悉SLAM、定位导航等移动机器人相关理论，有过相关项目开发经历；4、熟悉设计模式，注重代码质量，具备良好代码风格；5、具备良好的学习能力和英文文献阅读能力。6、以下要求优先考虑：1）熟练使用OpenCV,PCL,ROS,OpenSLAM等至少一个机器人或视觉相关的开源库；2）CUDA并行开发经历。", "杭州南江机器人股份有限公司", "50-150人", "成长型(B轮)", "硬件", "4.4"
"拉勾", "C++", "C++程序员", "3000-4000", "不限", "南京", "不限", "职位描述职位描述职位：C++程序员人数:2名职责：1、负责C++编程，设计UE4游戏逻辑要求：1、熟练使用C++，有UE4（虚幻引擎）开发经验者优先。2、良好的沟通能力和团队协作能力。3、有责任心，能够按时保质保量完成任务。公司简介南京魔鱼互动专注增强现实技术的研发与应用，为主题乐园、景区、展览馆等提供增强现实应用定制开发。公司位于南京河西新城，依托于虚拟地理环境教育部重点实验室，属于新城科技园深孵企业。办公地点:南京国家广告产业园4幢506楼（嘉陵江东街18号）注:增强现实被认为是继计算机、智能手机之后的新一代计算平台，拥有广阔的应用前景。在本公司可以接触到世界上最先进的增强现实设备和最主流的开发工具。本公司正处于创业发展阶段，实习结束后，对于优秀人才可以吸纳为正式员工。截止日期2016-11-11", "南京魔鱼互动智能科技有限公司", "少于15人", "初创型(未融资)", "游戏,文化娱乐", "-"
"拉勾", "C++", "C++服务器", "8000-15000", "本科", "深圳", "1-3年", "职位描述岗位职责：1、负责后台架构设计和优化2、负责后台版本功能开发3、作为接口人，负责与产品、客户端、测试沟通协调任职要求：1、计算机相关专业本科及以上学历2、1年以上Unix/Linux下Server开发经验3、精通C/C++开发语言4、精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法5、熟悉Unix/Linux操作系统原理、常用工具6、熟悉Perl/python，shell等脚本语言优先7、具备良好的分析解决问题能力，能独立承担工作任务及把控任务进度8、责任心强，良好的沟通和团队协作能力，主动好学有进取心9、有hadoop或其它分布式计算存储平台经历更佳前海乐易是深圳市乐易网络有限公司的全资子公司。▶关于乐易◀★极客精神 专注海外精品手机游戏和应用软件的研发、发行和运营，致力于打造世界级一流的产品；★技术深厚 创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景；★飞速发展 成立首年盈利，4年每年100%营收增长，已获A轮融资，估值10亿人民币；★导师制   一对一的导师，助你快速成长。▶关于福利◀★一年两次调薪★     ★绩效奖金高达10个月★ ★六险一金★  ★一年两次旅游★ ★7天年假15天带薪事假30天病假★ ★年度体检★       ★高逼格办公环境★ ★每月团建★ ★无限量零食水果供应★", "深圳市前海乐易网络科技有限公司", "50-150人", "成长型(A轮)", "移动互联网,游戏", "-"
"拉勾", "C++", "C++服务器", "8000-15000", "本科", "深圳", "1-3年", "职位描述【岗位职责】1、负责后台架构设计和优化2、负责后台版本功能开发3、作为接口人，负责与产品、客户端、测试沟通协调【任职要求】1、计算机相关专业本科及以上学历2、1年以上Unix/Linux下Server开发经验3、精通C/C++开发语言4、精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法5、熟悉Unix/Linux操作系统原理、常用工具6、熟悉Perl/python，shell等脚本语言优先7、具备良好的分析解决问题能力，能独立承担工作任务及把控任务进度8、责任心强，良好的沟通和团队协作能力，主动好学有进取心9、有hadoop或其它分布式计算存储平台经历更佳在线时代是深圳市乐易网络有限公司的全资子公司。▶关于乐易◀★极客精神 专注海外精品手机游戏和应用软件的研发、发行和运营，致力于打造世界级一流的产品；★技术深厚 创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景；★飞速发展 成立首年盈利，4年每年100%营收增长，已获A轮融资，估值10亿人民币；★导师制   一对一的导师，助你快速成长。▶关于福利◀★一年两次调薪★     ★绩效奖金高达10个月★ ★六险一金★  ★一年两次旅游★ ★7天年假15天带薪事假30天病假★ ★年度体检★       ★高逼格办公环境★ ★每月团建★ ★无限量零食水果供应★ ", "深圳市在线时代科技有限公司", "50-150人", "成长型(A轮)", "移动互联网,游戏", "3.7"
"拉勾", "C++", "C++", "8000-15000", "本科", "深圳", "1-3年", "职位描述【岗位职责】1、负责后台架构设计和优化2、负责后台版本功能开发3、作为接口人，负责与产品、客户端、测试沟通协调【任职要求】1、计算机相关专业本科及以上学历2、1年以上Unix/Linux下Server开发经验3、精通C/C++开发语言4、精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法5、熟悉Unix/Linux操作系统原理、常用工具6、熟悉Perl/python，shell等脚本语言优先7、具备良好的分析解决问题能力，能独立承担工作任务及把控任务进度8、责任心强，良好的沟通和团队协作能力，主动好学有进取心9、有hadoop或其它分布式计算存储平台经历更佳游谷科技是深圳市乐易网络有限公司的全资子公司。▶关于乐易◀★极客精神 专注海外精品手机游戏和应用软件的研发、发行和运营，致力于打造世界级一流的产品；★技术深厚 创始人、CTO（原腾讯部门总监），研发经理及技术骨干均为腾讯技术背景；★飞速发展 成立首年盈利，4年每年100%营收增长，已获A轮融资，估值10亿人民币；★导师制   一对一的导师，助你快速成长。▶关于福利◀★一年两次调薪★     ★绩效奖金高达10个月★ ★六险一金★  ★一年两次旅游★ ★7天年假15天带薪事假30天病假★ ★年度体检★       ★高逼格办公环境★ ★每月团建★ ★无限量零食水果供应★ ", "深圳市游谷科技有限公司", "2000人以上", "上市公司", "移动互联网", "-"
"拉勾", "C++", "C++开发工程师", "15000-30000", "本科", "深圳", "1-3年", "职位描述任职要求：1.计算机相关专业，本科含以上学历，2年左右Windows下应用软件开发工作经验或有过较多项目开发经验基础比较扎实的优秀应届毕业生；2.熟悉C&C++编程语言，熟练应用VC,VS等开发工具和相关调试工具,熟悉掌握MFC开发；3.以上条件满足情况下，图形图像处理或运动控制方面开发经验的优先考虑；4.性格开朗,善于沟通,踏实肯干能吃苦,逻辑思路清晰，工作认真负责，良好的团队合作精神；", "深圳市汉森软件有限公司", "150-500人", "成长型(不需要融资)", "硬件,数据服务", "-"
