"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "C#", "C#/.NET/winform高级开发工程师", "10000-15000", "大专", "上海", "1-3年", "职位描述1）参与公司桌面产品的框架设计、开发与维护；2）根据产品需求完成模块设计、编码、单元测试工作；3）能按照项目计划，按时提交高质量的代码，完成开发任务；4）改善软件的易用性，提升用户使用体验。5）完成相关产品开发文档的编制；【任职要求】1、1-5年C#桌面程序开发经验；2、精通C#，具有丰富的WinForm开发经验和知识积累，对UI用户体验具有深刻理解；3、可以熟练应用各种设计模式；4、具有丰富的面向对象的设计能力和开发能力；5、具有基于MQ消息驱动开发经验的应聘者优先；6、主动解决问题，工作踏实，善于沟通，刻苦钻研，责任心强，能承受较大工作压力。", "上海亿矽智能科技有限公司", "2000人以上", "上市公司", "数据服务,信息安全", "-"
"拉勾", "C#", "C#工程师", "6000-10000", "本科", "西安", "1-3年", "职位描述岗位职责：1. 负责扫描识别系统（包括图像切割功能）的开发和维护工作；2.面向客户和技术支持的技术咨询支持、现场问题处理支持及提供解决方案；3. 开发文档和用户文档的制作及维护；任职要求：1.熟悉C# WinForm程序设计和开发，一年以上WinForm开发经验，能熟练设计WinFormUI，了解多层架构。2.熟悉设计模式、数据结构，有web开发XML、Json、HTML、JQuery、JavaScript、CSS等经验更好；3.熟悉SQL Server或其它至少一种数据库产品，能够进行简单的数据库表设计；4.具备良好的编程习惯，较强的学习能力，良好的沟通能力，富于团队精神和责任感，勤勉敬业、脚踏实地；5. 有教育行业或图像识别相关开发经验者优先；", "西安博冠信息科技股份有限公司", "50-150人", "上市公司", "移动互联网", "3.4"
"拉勾", "C#", "C# 开发工程师", "9000-18000", "不限", "西安", "3-5年", "职位描述你是否常常纠结于兴趣与职业发展如何取舍？或者根本不清楚应该怎么发展属于你的职业生涯？你是否喜欢编程但又不敢确定编程这条路究竟能走多远？如果你也同样的热爱代码如生命，喜欢有事没事就记录和分享自己的思考与实践，希望远离办公室政治，追求公平合理，追求成为一名优秀的程序猿，攻城狮。那无容置疑ThoughtWorks绝对适合你！作为一家企业，ThoughtWorks不仅关注盈利，更不断追求世界领先的软件技术，并且凭借我们的技术与热情为世界的公平与正义做出贡献。加入ThoughtWorks, 你将和一群Geeks(极客)在编码中一较高下！加入 ThoughtWorks,你将和世界顶尖的咨询师一起，享受在帮助客户解决棘手问题之后的快感！加入ThoughtWorks, 你将在不同国家、不同项目、不同技术中快速成长！加入ThoughtWorks, 你将与中国最优秀的技术社区领导者并肩作战！加入ThoughtWorks, 你将有机会用自己的智慧和专业的技术能力帮助弱者！不足的技术经验、不流利的英语，都不是阻止你成为ThoughtWorker与成长的关键。你积极上进的学习态度与能力将是你不断进取、融入ThoughtWorks的最好动力！ThoughtWorks，一个牛人辈出、业界领先、关注社会平等的IT咨询公司，真诚邀请你的加入！工作职责1. 与同事一起进行架构, 模块, 测试用例设计 2. 完成项目所需编码, 编写构建和部署脚本 岗位要求 • 3年以上开发经验 • 熟悉 C# 语言特性, 了解其优缺点 • 熟悉 .NET 平台, 了解其周边工具和扩展 • 熟悉 C# 常用框架, 包括Web框架, 数据库框架, 测试框架等 • 热爱学习, 保持对新技术, .Net新发展的关注 • 熟悉测敏捷、测试驱动开发（TDD）为加分项 • 熟悉.Net应用整个开发生命周期：构建，开发，部署，运维，为加分项", "思特沃克软件技术（西安）有限公司", "150-500人", "成长型(不需要融资)", "企业服务", "4.3"
"拉勾", "C#", ".net/c#", "10000-15000", "本科", "深圳", "3-5年", "职位描述职位描述：1. 参与软件系统的设计、开发及测试过程；2.协助项目经理保证项目的质量，对工程师提交代码进行Review和白盒测试；3.负责项目中主要功能的代码实现，高质量、高效率独立完成具体编码工作；4.独立解决项目中的关键问题和技术难题；5.完成研发项目相关文档和用户手册。职位要求：1 计算机相关专业，本科及以上学历，3年以上的.NET开发工作经验；2.精通面向对象编程，逻辑思维清晰；3、对业务理解能力强，有ERP系统或者电子商务供应链系统开发经验优先；4.熟悉.NET Framework3.5/4.0，熟练掌握C#语言，熟悉多层架构的软件系统分析与设计过程，具备C#控件研发能力；5.良好的软件工程理论基础，有独立或参与过常规软件系统的分析与设计经历；6.精通Sql Server或Oracle，熟练掌握T-SQL、存储过程、用户自定义函数、视图、触发器；有海量数据处理经验和数据库优化性能方面的经验；7.熟悉AJAX、XML、MVC、WebService、WCF技术运用 ；8.工作积极主动，严谨踏实，具自主学习心态和能力，富有责任心与创新精神，团队合作能力强。能够带领项目组很好的完成公司的需求————————————————————公司介绍 http://act.sinogoodies.com/IndexAdvert/ActivityThree.html项目介绍 http://act.sinogoodies.com/IndexAdvert/ActivityTwo.html平台介绍 www.sinogoodies.com公司福利：1、进公司后购买五险一金2、公司贴心地为大家准备了微波炉、冰箱，夏天再也不愁没有雪糕吃啦！ 3、休闲区置办了台球、乒乓球等娱乐设施，工作累了可以放松一下哦~中午吃了饭运动下，再也不担心肚子长肉啦~ 4、每周二、四提供瑜伽活动，让大家的职业病通通练不见 5、每天中午英语角，各种有趣话题，不仅娱乐还可以提高英语水平哟~ 6、中午两小时的午休时间，提供场地让大家备齐装备舒服午休哟！ 7、每年有两次调薪机会，相信自己的帅哥美女快来展现自己的实力吧！ 8、每年公司会组织1-2次的旅游，让大家可以放松放松 9、无数次的大小活动，绝对会让你爱上我们这个大家庭！", "深圳市解放路网络科技有限公司", "50-150人", "成长型(B轮)", "电子商务", "3.6"
"拉勾", "C#", "C#高级开发工程师", "15000-20000", "本科", "北京", "5-10年", "职位描述1) 根据产品经理和UX Design的设计进行产品后台服务的实现2) 根据业务流程,对后台数据库进行设计和更新3) 实现产品与云平台和其他业务平台的对接1) 本科以上学历2) 有5年以上C#开发经验3) 熟悉WCF, RESTFUL API, PowerShell4) 有敏捷开发或者DevOps经验者优先5) 熟悉Microsoft Azure或者有其他云平台开发经验者优先6) 熟悉SQL Server", "博彦科技股份有限公司", "2000人以上", "上市公司", "企业服务,数据服务", "4.3"
"拉勾", "C#", "C#", "10000-15000", "大专", "广州", "3-5年", "职位描述岗位要求：1、3年以上C# 开发经验，能够独立分析并处理复杂业务逻辑，进行设计；2、具体面向对象的设计能力；3、有独立系统设计与数据设计的能力；4、精通.NET框架，精通WPF、Winform开发；5、熟悉多线程、委托与事件；6、熟悉TCP/IP套接字、Socket编程；7、熟悉一种主流的关系数据库（SQL SERVER/ORACLE/MYSQL/SQLITE）；8、能够独立完成高效的SQL语句 ；9、有良好的面向对象编程的习惯、良好的代码编写习惯 ；10、有JAVA开发经验，熟悉MyBatis、SSH、HTML、JavaScript、JQuery优先考虑；岗位职责：1、技术负责人，与业务人员进行沟通交流;2、理解整个项目的需求，编写项目概要设计说明书；3、负责框架开发和核心代码开发，确保程序满足项目的性能要求；4、对自己的编写部分代码进行单元测试；5、负责项目的协议和数据库设计；6、根据工作需要学习新技术；7、拥有独立思考,分析能力; 主动沟通,分享的工作态度；", "广州普金计算机科技股份有限公司", "150-500人", "上市公司", "电子商务,金融", "-"
"拉勾", "C#", "C#开发工程师", "10000-15000", "本科", "上海", "1-3年", "职位描述工作职责：- 与产品设计人员沟通，开发桌面应用、界面，设计新的开发工具。职位要求：- 毕业于大学计算机科学或相关专业- 良好的C#编程技能，掌握C++更佳优先考虑：- Visual Studio项目配置经验- 使用WinForms，WPF，Win32，wxWindows或Qt的开发Windows GUI应用的经验- 对标准模板类库(STL)的理解", "上海幻触信息科技有限公司", "50-150人", "成长型(B轮)", "游戏,硬件", "4.9"
"拉勾", "C#", "C#", "5000-6000", "本科", "杭州", "不限", "职位描述岗位职责：1、按系统设计完成功能模块的编写，详细设计文档和相关技术资料；2、完成软件系统代码的实现，编写代码注释和开发文档；3、负责对开发内容的单元测试、集成测试等；4、负责解决开发过程中的技术问题；5、负责公司网站的维护和升级；6、配合项目经理完成相关任务目标。任职资格：1、专科以上学历，计算机相关专业毕业优先考虑；2、熟练掌握 sqlserver、mysql等常用数据库的使用；3、熟练使用Jquery、JavaScprit、Ajax等技术，对HTML、DIV+CSS3有一定的了解4、具备良好的沟通协调能力、理解表达能力、团队合作精神以及良好的编程习惯。如有疑问可致电：郭女士：17826857292/卢女士：18268138735", "杭州尼迩光电科技有限公司", "少于15人", "初创型(未融资)", "电子商务,企业服务", "-"
"拉勾", "C#", "C#软件工程师", "8000-15000", "本科", "成都", "3-5年", "职位描述【岗位职责】1.3年以上工作经验，熟练运用C#，追求代码质量，编码简洁高效，追求高并发的运行效率；2. 熟悉各种网络接口开发，socket/webservice/wcf等；3. 熟练使用至少一种主流数据库开发；4. 有大型实时逻辑项目经验/运营商项目经验/nosql数据库经验等；5、熟悉C++/JAVA语言；5. 本科及以上学历。【待遇】待遇丰厚，外加项目奖。", "四川联友电讯技术有限公司", "50-150人", "成长型(不需要融资)", "移动互联网,电子商务", "-"
"拉勾", "C#", "C#研发工程师", "6000-8000", "本科", "武汉", "1-3年", "职位描述岗位职责：1、 能够按照需求文档和设计文档的要求编写代码，实现软件模块的功能；2、 遵照公司制定的软件开发规范进行软件开发；3、 根据开发部门主管的建议和要求，对自己和他人的代码进行代码重构；4、参与项目需求调研、技术可行性分析，详细深入掌握项目需求分析和系统设计。任职要求：1、本科学历，3年以上实际开发经验；2、掌握VSS或SVN，精通一种版本管理工具；3、了解并掌握软件开发流程、设计模式、体系结构；4、熟练使用Oracle、SqlServer等数据库编程及性能优化，精通数据库设计；5、熟悉基于.NET平台的应用程序开发，精通C#开发，具有丰富的WinForm、Web开发经验和知识积累。", "武汉华信数据系统有限公司", "50-150人", "初创型(未融资)", "企业服务,数据服务", "3.3"
