"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Delphi", "C#、Delphi、.NET", "8000-13000", "大专", "上海", "不限", "职位描述一、 岗位职责：1.参与WMS仓储管理系统整体架构设计，数据库设计；2.负责WMS仓储管理系统相关业务功能模块的设计和开发；3.参与WMS仓储管理系统与WCS底层控制调度系统的接口开发；4.参与ＷＭＳ仓储管理系统的各项功能优化，界面设计和服务端开发。二、 岗位要求：1.计算机相关专业大专以上学历，二年以上工作经验，具有仓储管理系统开发经验为佳；2.有WMS产品的开发经验，或者有电商、物流企业自动化仓储管理系统WMS的开发经验为佳；3.熟练使用C#，熟悉WinFrom、ASP.NET、XML、HTML、WEB、等开发，精通WCF，WebService接口,掌握面向对象软件分析、设计方法，熟悉设计模式；4.熟练使用一种系统报表开发，如水晶报表、润乾报表等。5.优秀的逻辑思考能力，归纳总结能力，具有良好的编程习惯；6.熟练使用SQLServer，Oracle数据库，对数据库存储过程有一定的基础。", "上海德马物流技术有限公司", "500-2000人", "上市公司", "其他", "-"
"拉勾", "Delphi", "Delphi工程师", "10000-15000", "大专", "深圳", "1-3年", "职位描述职位描述：1、你精通delphi开发吗？2、你熟练使用oracle,sqlserver等数据库吗？3、你是否有开发经验1年以上？4、勇于创新，富有责任心是你的优点吗？当然有数据库软件开发经验者我们会优先考虑", "深圳市敏思达技术有限公司", "150-500人", "成长型(不需要融资)", "移动互联网", "-"
"拉勾", "Delphi", "Delphi工程师", "10000-20000", "本科", "广州", "3-5年", "职位描述Delphi语言：1、大专或以上学历，计算机软件相关专业；2、具有独立的分析和解决问题的能力，有较强的沟通能力，能够高效及时完成工作；3、熟悉Delphi面向对象开发等相关方面的知识及技术，SQL Server 2000/2008及以上的数据库，了解Oracle数据库。4、有良好的计算机理论基础，良好的面对对象分析能力。", "广州易达建信科技开发有限公司", "150-500人", "成长型(不需要融资)", "企业服务", "3.8"
"拉勾", "Delphi", "Delphi", "5000-10000", "大专", "广州", "3-5年", "职位描述DelphiC++PBMIS分布式编程SQLMSSQLServerOracle专业技能和条件：1、计算机相关专业，专科以上学历，有1年或以上系统开发经验；2、具备扎实的编程能力，有至少1年以上的Delphi、C++、PB等开发经验，熟悉MIS系统开发；3、熟悉分布式编程原理；4、熟悉软件开发过程，有良好的开发文档编写能力理解能力强，有良好的沟通表达能力；5、精通SQL，熟练掌握MSSQLServer或Oracle等主流数据库系统；6、工作积极，具备高度的责任心，学习能力强，善于沟通及团队合作。岗位职责及工作内容：1、负责相关软件模块的开发和单元测试工作；2、负责相关软件模块的维护和升级工作；3、负责编写相关的研发文档；4、负责执行CMMI3中的相关过程的任务。", "广州市丛文信息科技有限公司", "50-150人", "成长型(不需要融资)", "企业服务", "4.0"
"拉勾", "Delphi", "Delphi研发工程师", "8000-15000", "本科", "成都", "3-5年", "职位描述岗位职责：1、负责公司内部软件系统、软件产品的开发与维护；2、根据模块的设计说明书要求完成相应的编码，并协助测试工作；2、完成相关技术文档的编写工作；3、完成上级安排的其他工作。4、协助上级和相关人员同客户进行沟通，保持良好的客户关系。任职要求：1、计算机相关专业背景，本科以上学历，3年以上delphi实际开发经验；2、精通Delphi语言和Delphi IDE环境，有丰富的软件调试和排错经验；3、熟悉系统API，进行单元测试与功能测试，完善软件的功能4、熟练TCP/IP网络协议，多线程开发，有丰富网络编程经验；5、熟练 与Win32 动态库协作开发;6、熟悉Oracle/Mysql数据库，熟悉数据库编程，精通数据库应用；7、具有良好的编码习惯、学习能力、解决问题的能力和业务理解能力。具备良好的时间意识，能按计划和质量要求完成任务。8、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通协调能力。", "北京华数康数据科技有限公司成都分公司", "50-150人", "成长型(B轮)", "医疗健康", "5.0"
"拉勾", "Delphi", "Delphi", "9000-16000", "本科", "广州", "不限", "职位描述1、负责公司云桌面产品客户端的开发；职位要求：1、计算机相关专业，本科及以上学历；2、精通C/C++程序设计开发，熟悉常用数据结构、算法设计和STL使用，有良好的面向对象思想；3、1年以上Windows桌面客户端软件开发和VC++实际项目开发经验；4、熟悉Win32 API、掌握多线程/多进程编程和网络通讯编程；5、熟悉Windows窗口消息机制，熟悉MFC原理架构或DUILIB编程，能快速实现UI开发；6、有DLL、ActiveX控件/com组件开发经验者优先。有爱的福利：  员工公寓（花园式住宿）+员工餐厅+双休+五险一金+班车；  篮球场、羽毛球场、乒乓球、台球、钓鱼台等免费运动休闲设施；", "蓝鸽集团有限公司", "500-2000人", "成熟型(不需要融资)", "移动互联网,企业服务", "4.1"
"拉勾", "Delphi", "Delphi/C语言", "5000-6000", "本科", "武汉", "应届毕业生", "职位描述C语言\\Delphi实习生岗位要求：1、2016或2017届毕业生；2、专科或以上学历；3、英语四级或以上；4、计算机相关专业或者通信工程专业5、学习能力强。公司免费提供入职前专业技术培训，专业老师授课实训辅导", "纬创软件（北京）有限公司武汉分公司", "2000人以上", "上市公司", "企业服务", "4.3"
"拉勾", "Delphi", "C# / Delphi 工程师", "7000-14000", "大专", "杭州", "1-3年", "职位描述 可采用本公司美国研究院和深圳研发中心自主研发的智能机器人面试，欢迎来体验。岗位职责:1、证券、期货等金融领域以及互联网方面的开发工作；2、根据详细设计文档进行开发和必要的测试工作；3、相关操作手册、使用说明等文档的编写工作；4、定期汇报工作进展和总结；素质要求:1、本科及以上学历，一年以上开发经验；2、熟悉WINDOWS编程环境；熟悉Delphi/C#/Java等任意一门开发语言；3、熟悉主流数据库中的一种或多种,如ORACLE、SQL SERVER、MYSQL等；4、有一定的技术钻研能力，独立工作能力强；5、良好的表达沟通能力、学习能力；五险一金、做五休二、年终绩效、节日福利，加班以调休方式返还，有班车接送。", "杭州溪涵致川信息技术有限公司", "50-150人", "上市公司", "移动互联网,O2O", "-"
"拉勾", "Delphi", "Delphi", "10000-20000", "不限", "北京", "1-3年", "职位描述1、2年以上工作经验、熟练掌握windows编程，熟悉windows消息机制及原理；2、熟悉多线程编程技术；3、掌握一门或多门开发语言和框架delphi,qt,vc++4、了解html5及前端开发；4、熟悉网络编程和多媒体视频播放编程者优先。", "北京天学网教育科技股份有限公司", "150-500人", "上市公司", "移动互联网", "4.0"
"拉勾", "Delphi", "Delphi", "5000-8000", "不限", "广州", "不限", "职位描述职位描述：专业技能要求：1、熟悉Delphi开发工具，精通数据库编程；2、熟悉Oracle，Sql Server等大型关系数据库，有一定的数据库设计经验；3、具有面向对象分析、设计、开发能力（OOA、OOD、OOP），掌握UML建模技能，能够使用Rational Rose等建模工具；素质要求：1.计算机相关专业2.具有良好的应用框架设计能力和组件设计与实现能力；3.思路清晰，善于思考，能独立分析和解决问题；主动性强，责任心强，具备良好的学习能力、团队合作精神和承受压力的能力。", "广东南湖国际旅行社有限责任公司", "2000人以上", "成熟型(D轮及以上)", "旅游", "3.9"
