"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Flash", "Flash3D开发工程师", "13000-19000", "本科", "上海", "1-3年", "职位描述【岗位描述】1、负责Flash3D引擎功能的开发与维护；2、负责Flash3D软件功能的开发与维护。【任职要求】1、2年+工作经验，熟悉Stage3D；2、有Flash3D引擎的开发或者使用经历；3、熟悉显卡编程的工作流程，熟悉常用3D引擎算法；4、强烈的责任心，良好的团队合作精神；5、具有actionscrip、pureMVC、Flex、Stage3D等开发工作经验。", "上海爱福窝云技术有限公司", "150-500人", "成长型(A轮)", "电子商务", "3.9"
"拉勾", "Flash", "Flash/H5高级开发工程师", "10000-20000", "本科", "北京", "3-5年", "职位描述具备Flash/H5实际开发经验,对最新技术圈及开源项目及动态有所了解.很强自学及独立解决能力,对技术的优劣势有自己的思想与观点.编程功底扎实,具备软件的设计能力及研发能力.对常见设计模式有所了解.对于网络协议架构有所了解,心态开放,谦虚稳重,对于新知识有很强的欲望.对于音视频有了解及后台开发经验开发者更好Plus.", "三芒世纪（北京）科技有限公司", "15-50人", "成长型(A轮)", "教育,文化娱乐", "4.7"
"拉勾", "Flash", "Flash开发工程师", "10000-20000", "大专", "北京", "1-3年", "职位描述岗位职责：1、负责FLASH网页游戏开发。任职要求：1、两年以上FLASH AS 3项目开发经验2、具备高度的责任心，有良好的沟通能力和团队合作精神，愿意接受挑战性的工作，能够及时高效完成任务；3、熟悉FLASH整站开发流程，熟悉FLASH与前台、后台、服务器通信的技术；4、精通FLASH游戏开发，具有多个FLASH游戏项目开发经验者优先；5、熟悉面向对象的编程设计框架，熟悉MVC开发模式；6、了解FLASH周边相关的技术，如HTML、JS等。", "英雄互娱", "150-500人", "上市公司", "游戏", "4.8"
"拉勾", "Flash", "Flash设计师", "7000-14000", "大专", "广州", "不限", "职位描述1、熟练运用动画制作软件。2、具有良好的剪辑技术和美术功底，绘画基本功扎实，对色彩、构图、镜头语言有较清晰认识。3、丰富的视觉表达经验，良好的审美和创新能力，思路开阔，善于学习和分析，对新事物有精神病一样的偏执。5、有成熟的作品和案例，面试时麻烦你老顺手带来我们学习一下。6、有责任感、能承受工作压力；工作细致耐心，一工作就“处女座”附身，具有团队合作精神和较高的审美能力。7、接受优秀毕业生。", "佛山锐视野网络科技有限公司", "15-50人", "初创型(不需要融资)", "文化娱乐,移动互联网", "-"
"拉勾", "Flash", "Flash AS开发工程师", "7000-10000", "大专", "上海", "1-3年", "职位描述岗位职责：1、根据策划案设计与实现客户端功能；2、协调服务端完成相关模块的功能调试；3、排查处理客户端逻辑部分异常问题；任职要求：1、熟悉FLASH平台编程，精通AS3开发,具有至少2年的实际项目开发经验2、熟练FLASH动画编辑制作, 熟练使用PS软件使用；3、熟悉XML、Socket网络通信、html、js等技术,精通Flash与外部程序之间的通讯与协作；4、有FLASH音视频开发经验，熟悉FMS或RED5流媒体服务器，熟悉RTMP、RTMFP等流媒体协议；5、有网页游戏开发经验者、有成功开发页游项目优先；6、具有较强的学习能力、解决问题能力；7、沟通表达能力较好，心态端正，责任心强，有良好的团队合作精神；8、工作积极主动，能吃苦耐劳，抗压能力强；", "上海智趣广告有限公司", "50-150人", "成长型(不需要融资)", "移动互联网,广告营销", "2.3"
"拉勾", "Flash", "Flash动画师", "5000-8000", "大专", "西安", "1-3年", "职位描述职能描述1、负责游戏中角色的flash动画制作2、负责场景、道具的动画制作3、负责把动画效果输出职位需求1、熟练运用flash动画设计软件，熟悉photoshop等相关设计软件2、具备独立制作flash动画的能力，具有一定的绘画功底3、具有较强的镜头感，富有表现力4、自学能力强，对儿童产品有很强的热爱感，并愿意学习更多知识5、有flash动画制作经验，spine等2D骨骼动画工具经验者优先", "上海梓洋网络科技有限公司", "15-50人", "成长型(B轮)", "移动互联网,教育", "-"
"拉勾", "Flash", "As开发工程师/Flash编程开发", "10000-15000", "本科", "上海", "1-3年", "职位描述岗位职责1.flash课件播放器框架制作；2.flash课件内容交互制作，交互代码编写；3、相关开发文档的撰写；4、与设计、产品人员保持良好沟通，能快速理解需求，并落实为具体的开发工作；岗位要求1、有两年及以上相关工作经验者优先；2、熟悉AS2.0和3.0编程语言；熟练使用flashbuilder（flex）；3、精通html与css，熟悉JavaScript,jquery,可以搞定常用交互及Ajax；4、熟悉常用内置类以及开源类库框架，熟悉Flash与后台的挂接和数据交互(XML、JS、Remoting、Socket)，掌握基本的数据库交互；5、熟悉FlashFlex互动效果，对UI方面有良好的认识与见解；6、热爱教育行业，善于沟通和钻研技术，工作认真、负责、有激情、能承担较大工作压力；7.能承受较大压力，注重团队协作，积极探寻和改进前端开发流程，积极探索前后端配合流程，提高工作效率。", "爱贝企业发展（上海）有限公司", "50-150人", "初创型(未融资)", "教育", "-"
"拉勾", "Flash", "Flash动画/MG", "4000-8000", "不限", "深圳", "1-3年", "职位描述需要你做的：1、根据脚本设计动人物动画以及相关动作；2、根据内容的设计制作动画人物及；3、人物角色配音及制作；我们需要这样的你：1.动画或相关美术专业毕业，三年以上影视动画或游戏动画制作经验。2.有良好的动作设计能力，熟悉运动规律，能准确的把握动作节奏。3.熟练运用Flash、Adobe Photoshop、Spine，会制作MG动作、表情动画的优先考虑。4.有较强的特效贴图绘制能力。5.具备互联网思维，有创意；6.具有良好的沟通能力和团队合作意识", "深圳市约吧互动传媒有限公司", "15-50人", "初创型(天使轮)", "电子商务,企业服务", "2.7"
"拉勾", "Flash", "Flash/AS3程序员", "7000-11000", "不限", "广州", "1-3年", "职位描述1、参与网页游戏前端需求设计；2、前端核心模块与逻辑代码实现；3、前端代码测试与维护。职位要求：1、具有一年以上网络游戏/互联网行业项目开发经验；2、有全面的Flash编程开发技能，精通Flash体系架构、设计、编程，精通AS脚本语言；3、精通Action Script 3.0和Flex，熟悉OOP开发模式；4、了解ActionScript和后台Server之间的常用通讯与交互；5、有规范的编程风格和良好文档习惯；6、熟悉XML语言，熟悉Socket等各种通信方式，熟悉Flash与外部通信技术；7、能承受工作压力，有独立开发能力，有团队合作精神；8、具有较强理解沟通能力、自学能力，项目分析经验；9、有MMOARPG网页游戏开发经验者优先；在场景、角色、UI、对战、任务系统等方面有开发经验者优先。", "上海幻宝网络科技有限公司广州分公司", "15-50人", "初创型(不需要融资)", "游戏,移动互联网", "-"
"拉勾", "Flash", "Flash设计师", "5000-7000", "大专", "厦门", "不限", "职位描述岗位职责：1、 负责公司对外投放广告设计与广告flash动画制作；任职要求：1、熟悉游戏类互联网产品；乐于钻研，有良好的审美能力；2、熟练掌握flash软件，有设计经验者或ae效果制作者优先录用，如果会actionScript3.0更佳；3、至少掌握photoshop、ae中的一种；4、有网页flash广告，flash概念站制作经验者优先录用；5、勤奋,热爱本职工作；责任心强，具备较强的团队合作能力；6、简历请附带作品或作品链接；", "趣游（厦门）科技有限公司", "150-500人", "成长型(不需要融资)", "移动互联网", "5.0"
"拉勾", "Flash", "Flash设计师", "8000-14000", "本科", "深圳", "1-3年", "职位描述视频剪辑和动画制作2人，要求：1、能熟练使用AE，PR，FCP等视频制作工具2、能熟练使用Flash制作交互动画3、相关专业本科以上学历，有广告/影视/设计行业工作经验4、2年以上工作经验5、适应华为公司文化说明：·1与2至少满足一个，都满足级别可以调高·3、4、5必须满足·发简历的时候请附上应聘者期望薪资·面试时请带作品", "上海易宝软件有限公司深圳分公司", "150-500人", "上市公司", "移动互联网", "3.1"
