"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Go", "GO语言研发工程师", "8000-15000", "本科", "上海", "1-3年", "职位描述1. 电子数据取证/分析产品模块设计和研发；2. 根据项目计划按时完成软件开发和单元测试工作以及Bug修复；3. 跟进业务变化和技术发展职位要求1. 计算机基础扎实，数据结构、操作系统、网络原理清晰；2. 熟悉Go语言特性，1年以上相关工作经验；3. 熟悉C/C++、RESTful、Web应用者优先；4. 思维清晰，沟通良好，具备良好的分析、理解、解决问题的能力；5. 富有团队精神，愿意接受新技术新思维，学习能力良好以上。", "上海弘连网络科技有限公司", "15-50人", "初创型(未融资)", "数据服务", "3.9"
"拉勾", "Go", "Go", "15000-25000", "大专", "北京", "1-3年", "职位描述岗位职责：1) Go语言应用探针研发；2) 公司后端架构中Go语言微服务的开发和维护；3) 听云Controller CDN项目Go语言服务开发和维护岗位要求：1) 精通C/C++/Golang至少一种语言开发；2) 熟悉TCP/IP协议，有网络编程经验；3) 熟悉系统和代码性能优化；4) 有探索精神，有较学习能力和热情", "北京基调网络股份有限公司", "150-500人", "上市公司", "移动互联网", "3.5"
"拉勾", "Go", "Go", "10000-16000", "大专", "深圳", "1-3年", "职位描述岗位职责：1. 使用GO语言进行服务端的开发；2. 负责实现游戏功能系统设计和开发；3. 实现特定游戏系统功能和游戏逻辑功能；4. 负责服务器部署和维护；5. 负责服务器相关工具的开发；6. 与策划、客户端开发人员密切协作完成功能开发。岗位要求：1. 大专或以上水平2. 计算机相关专业3. 2年以上游戏服务端开发工作经验，有至少1个完整项目经验。4. 至少精通一种C++、JAVA、C#其中一种语言，熟悉Go语言；5. 熟悉MySql数据库、Redis数据库、Linux编程；6. 熟悉Socket和并发编程。7. 有较强的解决问题的能力及创新能力；8. 有良好的逻辑思维能力；9. 有良好的团队协作能力、优秀的学习能力；10. 抗压能力强。", "深圳市豹风网络有限公司", "150-500人", "成长型(不需要融资)", "游戏", "3.8"
"拉勾", "Go", "Golang开发工程师", "12000-20000", "本科", "北京", "1-3年", "职位描述主要负责开发（FUDS 服务器端开发及SDK开发）岗位职责：1.采用Go（Golang）语言开发稳健的后端程序；2.负责Go相关的开发工作；3.根据开发进度和任务分配，完成相应模块的设计、开发、编程任务；4.负责内部代码维护。任职要求：1.熟练掌握Go语言及并发编程；2.了解TCP/IP协议，HTTP协议；3.对Unix/Linux操作系统有基本了解，熟练掌握基本命令行操作；4.掌握一定程度的数据结构和算法；5.拥有良好的编码规范，能够熟练阅读英文文档；6.具备良好的团队协作精神和职业素养；7.熟练掌握C/C++/Python者优先。", "高升控股股份有限公司", "150-500人", "上市公司", "企业服务,数据服务", "4.5"
"拉勾", "Go", "Python/Go开发", "15000-30000", "本科", "上海", "1-3年", "职位描述岗位职责：1、负责web前后端开发，提供给其它组件设计和性能良好的restful接口2、按需求说明编写高质量的代码；3、能够独立完成相对复杂的模块设计；岗位要求：1、愿意学习GO语言, 热爱技术, 思维开放, 乐意学习新东西2、拥有丰富的Python/Go使用经验，熟悉Linux工作环境3、熟悉常用的数据存储系统和性能优化技巧，比如Mongodb、Mysql、Redis等4、平时使用Git，具有良好的编码风格和架构意识5、有前端开发经验，能进行全栈开发的优先6、具备优秀的理解、沟通、学习能力，较强的自我驱动力", "上海方付通商务服务有限公司", "500-2000人", "成熟型(不需要融资)", "移动互联网,金融", "3.8"
"拉勾", "Go", "Golang工程师", "10000-20000", "大专", "北京", "1-3年", "职位描述1、参与系统架构和核心组件的设计；2、负责业务逻辑的开发和优化；3、编写相应模块的技术文档、单元测试；4、通过自动化构建以及代码审查等提升优化代码质量；5、积极参与各种头脑风暴会议并对用到的技术、算法和产品功能提出意见和建议；6、同产品和设计团队协作，理解用户需求，归纳功能用例，并转化为高效的技术解决方案。任职资格：1、1年以上Golang开发经验，参与过Golang各类社群活动者优先；2、熟悉resetfull接口设计，使用过此类开发框架做过项目者优先；3、熟悉thrift/protobuf/Avro中的一种或多种，有RPC项目经验优先；4、熟悉MySQL，掌握MySQL分区、分表、索引、集群架构，有亿级数据量优化经验优先；5、熟悉常用NoSQL解决方案，了解Memcache、Redis、MongoDB各自的优缺点以及使用场景；6、熟悉Web开发、Api开发中各类缓存设计、站点优化方案；有大型分布式系统开发维护经验优先。薪资福利：1、基本工资+绩效工资+交通/通讯/午餐补贴+工龄工资+五险一金。2、弹性工作制。3、各类法定节假日、年休假、婚丧假、产假等都是带薪假期。当您贵体偶感微恙时，只需提交医院休假建议书，即可享受带薪病假的待遇。4、节假日也总能收到小惊喜。乘车路线：1、地铁10号线三元桥站下车，D口出。2、公交：18、302、367、401、404、801、974、614、635、671、104、984、975路三元桥或静安庄下车", "北京新玛互动传媒科技有限公司", "50-150人", "成长型(A轮)", "移动互联网,医疗健康", "4.0"
"拉勾", "Go", "视频服务后端研发工程师（Go）", "15000-28000", "本科", "北京", "3-5年", "职位描述1. 负责微博视频后端服务技术架构设计，能够作为技术负责人协调多个技术部门推进项目并解决技术难题； 2. 负责微博视频转码及存储服务架构设计与研发； 3. 负责相关服务在新的技术领域的调研及应用，并且能够把经验回馈给社区；【任职资格】 1. 两年及以上Unix/Linux平台下高性能服务器端架构设计与开发经验； 2. 扎实的编程基础, 系统,网络及应用性能优化等方面问题的分析和解决能力； 3. 熟练掌握Go/Python/C语言，有相关大型项目开发经验者优先； 4. 具有较强的分析, 解决问题, 方案设计的能力, 以及持续学习和业务推进的能力； 5. 有大规模视频后端服务研发经验者优先； ", "新浪网络技术股份有限公司", "2000人以上", "上市公司", "移动互联网", "4.3"
"拉勾", "Go", "Golang开发工程师", "15000-30000", "本科", "北京", "5-10年", "职位描述工作职责：1. 设计和实现平台级互联网软件系统。2. 独立设计或辅助设计平台级系统的架构。3. 负责和保证相关系统的稳定、持久运行，帮助解决各种平台级系统的问题。4. 可指导普通和高级工程师的设计和编码等工作。基本任职要求：1. 计算机或数学相关专业专科及以上学历，从事互联网软件开发工作3~8年。2. 有非常丰富的互联网应用系统设计和实现经验，可独立进行项目级系统的需求分析和架构设计。3. 有一定的技术领导力，有较强的团队精神和沟通协调能力。4. 基础扎实，熟悉常用数据结构和算法，熟悉主流分布式系统设计概念和算法。5. 熟悉Go语言，或者熟悉其他（Java或PHP）编程语言并愿意从事Go程序开发工作。加分项：1. 对高并发、高可用的互联网软件系统有正确、深刻的理解。2. 熟悉消息系统和PUSH服务的构建方法。3. 熟悉网络爬虫系统的构建方法。4. 熟悉开放平台的构建方法，以及开放开发规范。", "北京微影时代科技有限公司", "500-2000人", "成熟型(C轮)", "移动互联网,广告营销", "3.9"
"拉勾", "Go", "视频服务后端研发工程师（Go）", "18000-28000", "本科", "北京", "不限", "职位描述【岗位职责】 1. 负责微博视频后端服务技术架构设计，能够作为技术负责人协调多个技术部门推进项目并解决技术难题； 2. 负责微博视频转码及存储服务架构设计与研发； 3. 负责相关服务在新的技术领域的调研及应用，并且能够把经验回馈给社区；【任职资格】 1. 两年及以上Unix/Linux平台下高性能服务器端架构设计与开发经验； 2. 扎实的编程基础, 系统,网络及应用性能优化等方面问题的分析和解决能力； 3. 熟练掌握职位发布者丛丛蕊 招聘 80%                        简历及时处理率                        投递后7天内处理完成的简历所占比例2天                        简历处理用时                        完成简历处理的平均用时你在拉勾还没有简历呢，你可以完善在线简历，也可上传附件简历直接投递投个简历", "微梦创科网络科技（中国）有限公司", "2000人以上", "上市公司", "移动互联网", "3.9"
"拉勾", "Go", "Golang工程师", "15000-30000", "本科", "北京", "3-5年", "职位描述时速云的创始团队来自IBM CDL和阿里巴巴，团队成员均来自于IBM，VMWare，Oracle，F5，阿里云，百度等顶级企业。 不仅拥有大规模、企业级云平台开发、运维和管理的经验，更有丰富的产品商业化经验。团队融合了互联网的“自由开放”和传统IT的“严谨认真”这两种文化。 我们专注于技术实践、勇于迎接业务挑战。 欢迎有志于加盟创业公司，拥抱云计算大数据趋势，挑战企业级容器云平台的有识之士共创事业。我们崇尚极客似的工程师文化，信仰自由的个人主义能最大发挥自我价值。互联网生态正在改变世界，而互联网的基石是云计算，我们承载的是亿万互联网用户的梦想，So amazing... ，加入时速云，让我们一起用技术的力量改变世界！一、职位描述1、负责云计算后台产品的研发与运营；2、负责云计算产品的后台管理系统研发；3、和产品团队合作进行性能分析和架构优化，引入业界新技术改进云平台产品。二、任职资格：1、有至少1年的Linux系统使用和管理经验；2、熟悉至少1种关系型数据库（如MySQL、SQLServer等）；3、熟悉常见应用配置及优化，如Nginx/MySQL/DNS/Postfix等；4、有1年以上Python或golang开发经验；5、了解web各种安全漏洞者优先；6、有大型分布式系统运维经验者优先；7、熟悉Docker/CloudFoundry/OpenStack者优先；8、在开源社群活跃并有积极贡献者优先。", "北京云思畅想科技有限公司", "50-150人", "成长型(A轮)", "企业服务,数据服务", "4.1"
