"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Hadoop", "Hadoop/spark大数据开发工程师", "15000-30000", "本科", "杭州", "1-3年", "职位描述岗位职责：负责处理各种不同维度的金融数据，构建模型应用于互联网金融业务场景下的风控、推荐和人群画像等领域。任职要求：1.本科或以上学历，计算机、数学相关专业毕业2.精通JAVA和Python编程语言，了解Linux/Unix平台3.有较好的逻辑分析和数据分析能力，解决问题能力强4.了解数据挖掘、机器学习、并行计算相关理论5.有风控、推荐、人群画像等领域模型构建和调优工作经验者优先6.有spark、hadoop平台上的大数据处理工作经验者优先7.有大型互联网企业工作经验者优先", "杭州魔蝎数据科技有限公司", "15-50人", "初创型(天使轮)", "金融,数据服务", "4.2"
"拉勾", "Hadoop", "Hadoop工程师", "13000-25000", "本科", "上海", "3-5年", "职位描述岗位职责：1.基于海量数据的数据仓库建设、数据应用开发；2.分布式平台应用开发（Hadoop/Hive/Hbase）；3.开发数据统计系统，各类统计程序报表 ；4.支撑各业务线数据需求。任职要求：1.具有丰富的数据仓库开发经验，有2年以上互联网或移动互联网并基于Hadoop/Storm/HIVE/Hbase等应用开发经验，对分布式计算、数据仓库理论有深刻理解 ；2.熟练掌握linux常规命令与工具 ；3.对Hadoop、Hive、Storm等源码有研究优先 ；4.精通JAVA、MapReduce、Python，有并发应用或者分布式应用软件开发经验优先 ；5.精通shell编程，sql编程、awk脚本语言等；6.良好的系统分析、架构设计能力；7.对数据敏感、对新技术敏感，有数据挖掘技能者优先 ；8.了解无线端技术、有ios/android下开发经验者优先；9.对商业和业务逻辑敏感，具备良好的分析、组织、沟通能力和团队精神。", "上海高欣计算机系统有限公司", "150-500人", "成长型(A轮)", "移动互联网,电子商务", "3.9"
"拉勾", "Hadoop", "Hadoop", "15000-25000", "本科", "上海", "1-3年", "职位描述工作职责：1、基于hive和spark构建数据仓库2、负责业务数据的清洗、建模、统计与可视化，全方位支撑线上产品和线下业务迭代扩张；3、构建数据的监测与分析体系，帮助业务人员快速、及时发现问题并找到原因；职位要求：1、熟练掌握SQL，理解 Hive/Mysql/Sqlserver 基本原理和调优策略；2、具备优秀的业务理解能力，具有数据建模经验，有大型数据的建模经验优先；3、熟悉Mongodb，Redis等非关系型数据库和内存数据库优先；4、具有数据清洗的经验，熟悉常用的数据清洗方法5、了解数据仓库开发流程，有数据仓库(DW)/商业智能(BI)/数据统计 相关工作经验者优先。", "上海秦苍信息科技有限公司", "150-500人", "成熟型(C轮)", "金融", "3.9"
"拉勾", "Hadoop", "Hadoop", "8000-15000", "本科", "南京", "1-3年", "职位描述1、理解HADOOP体系架构，熟悉HDFS、MapReduce原理2、有一定Hive、Hbase、Spark、Storm等开发经验3、熟悉Linux操作系统及shell等脚本编程4、最好有一定Java开发基础", "深圳市网新新思软件有限公司", "500-2000人", "上市公司", "移动互联网,企业服务", "3.5"
"拉勾", "Hadoop", "资深大数据开发工程师-Hadoop", "15000-25000", "本科", "北京", "3-5年", "职位描述1.负责网易传媒大数据相关项目的核心开发；2.负责网易传媒大数据应用项目的详细设计及实现；3,负责网易传媒大数据项目中的技术难点攻关；要求1.本科及以上学历，计算机等相关专业毕业；2.熟练使用java语言，三年以上J2EE开发工作经验，熟悉Jvm运行机制及内存管理者；3.熟悉linux环境和命令；4.对hadoop、hive、hbase、MapReduce、spark、等大数据相关技术有所了解者优先考虑；5.热衷于产品研发和技术发展、具有强烈的责任意识和开放的心态；6.具有较强的沟通能力、逻辑思维能力以及良好的团队合作精神；7.有数据可视化系统项目经验优先考虑；", "网之易信息技术（北京）有限公司", "2000人以上", "上市公司", "数据服务,文化娱乐", "4.3"
"拉勾", "Hadoop", "Hadoop", "15000-30000", "本科", "杭州", "1-3年", "职位描述        职位描述工作内容：1、了解需求，参与架构设计，能将用户的需求形成需求规格说明书；2、 负责指定功能模块的设计、开发与测试；3、负责Hadoop开发、测试和生产环境的搭建，维护hadoop集群并进行必要的troubleshooting，保障系统正常运行；4、负责核心代码编写，对质量直接负责，帮助Hadoop开发团队；5、分解详细的开发任务，能配合其他项目制定开发计划、开发文档、开发流程图。任职要求：1、计算机相关专业，本科及以上学历；2、5年以上开发经验2年以上Hadoop架构经验；3、精通Hadoop架构设计，Hadoop集群的搭建、部署、开发和维护；4、熟悉分布式算法设计，熟悉数据挖掘和机器学习等技术，对海量数据的分析处理、挖掘和分布式存储有丰富经验；5、精通Hadoop各个模块功能及配置，对HDFS、HBASE、MR和Spark有深入了解；7、熟悉linux环境和命令，熟悉shell脚本；8、会mysql，oracle者优先，有集群数据库开发使用经验者优先，有互联网金融、P2P、电子商务等行业背景者优先。", "杭州爱上租科技有限公司", "500-2000人", "成长型(A轮)", "移动互联网,O2O", "4.2"
"拉勾", "Hadoop", "hadoop运维工程师", "5000-9000", "本科", "成都", "1-3年", "职位描述岗位职责：1、负责搭建hadoop集群，并维护与管理；2、负责hadoop平台上的数据存储，数据维护和优化；3、负责保障大数据平台的高效运转、稳定、安全；4、建立Hadoop集群管理规范、维护，包括版本管理和变更记录等；5、撰写专业规范的技术文档，研究行业前沿技术。编写平台产品功能清单，编写产品使用手册及其他相关文档。任职要求：1.年龄25-40岁，大学本科及以上学历，计算机相关专业；2.具有2年以上系统集成项目规划和建设经验，至少设计或参与设计3个以上系统集成项目；3.熟悉多台Linux 服务器自动安装调试，具有大型应用平台运维经验，有过运维自动化项目经验者优先；4.熟悉系统集成所涉及的各种软硬件设备厂商、主流产品及关键技术，如：CISCO、H3C、华为、IBM、HP、EMC、微软、ORACLE、LINUX、VMware等；5.熟练掌握bash（sed/awk 等）和（Php/Python/Perl）中的一种；6.具有较强的人际沟通能力和文档编写能力，良好的语言表达能力和自学能力；7.具备独立分析问题和解决问题的能力，身体健康，适应环境能力强；8.具有等同于CCIE、HCNA、CCNA、linux、oracle相关认证优先；9.有hadoop集群运维经验优先。", "成都卡莱博尔信息技术股份有限公司", "50-150人", "成熟型(C轮)", "企业服务,数据服务", "4.2"
"拉勾", "Hadoop", "Hadoop/spark大数据开发工程师", "15000-30000", "本科", "杭州", "1-3年", "职位描述岗位职责：负责处理各种不同维度的金融数据，构建模型应用于互联网金融业务场景下的风控、推荐和人群画像等领域。任职要求：1.本科或以上学历，计算机、数学相关专业毕业2.精通JAVA和Python编程语言，了解Linux/Unix平台3.有较好的逻辑分析和数据分析能力，解决问题能力强4.了解数据挖掘、机器学习、并行计算相关理论5.有风控、推荐、人群画像等领域模型构建和调优工作经验者优先6.有spark、hadoop平台上的大数据处理工作经验者优先7.有大型互联网企业工作经验者优先", "杭州信邦科技有限公司", "50-150人", "初创型(天使轮)", "数据服务,移动互联网", "4.1"
"拉勾", "Hadoop", "Hadoop大数据开发", "20000-40000", "本科", "北京", "3-5年", "职位描述工作职责：1.负责hadoop平台上的数据处理；2.使用spark、mapreduce进行数据处理职位要求：1.熟悉Hadoop、HBase、Hive、Spark、Mapreduce2.对数据结构、算法有深刻理解3.精通Java、Python4.熟悉linux开发环境5.熟悉hadoop、hbase、spark的源码的优先6.对新技术充满激情，认真负责、有良好的沟通和学习能力7.计算机或数学相关专业本科及以上学历", "车好多旧机动车经纪(北京)有限公司", "2000人以上", "成长型(A轮)", "O2O", "4.1"
"拉勾", "Hadoop", "高级hadoop工程师", "15000-25000", "本科", "北京", "3-5年", "职位描述岗位描述：1. 实现基于Spark框架的开发；2. 对接kafka或flume，使用Spark Streaming和Spark SQL进行实时数据处理岗位要求：1. 熟悉Hadoop相关生态系统和Spark相关技术，至少有1年以上Spark开发经验；2. 熟悉Scala，或Python，Java语言，有丰富的分布式编程经验；3. 熟悉Spark Streaming和Spark SQL。熟悉Spark Mllib优先考虑；4. 较强的分析、动手解决技术问题能力。", "北京蜜莱坞网络科技有限公司", "500-2000人", "成长型(B轮)", "移动互联网,文化娱乐", "4.2"
