"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "HTML5", "html5", "20000-30000", "本科", "杭州", "3-5年", "职位描述职位描述：1.前端架构工作（移动端为主）；2.基础架构设计和推行工作；3.参与产品需求讨论，能深入思考需求本质，提出专业性的优化建议；备注：阅读、动漫、端游相关类项目职位要求：1.本科以上学历，3年以上前端开发经验2.熟悉Html5，JS, CSS3，JavaScript等前端通用技术，使用过Bootstrap等常见类库和框架，有能力设计和开发前端组件和前端基础高性能架构3.熟悉jquery、Ajax、JSON等Web通信技术;熟悉页面性能的优化4.开发过兼容多平台多浏览器的项目，丰富的项目经验、有前端代码组织、代码发布整合的相关经验，对当前成熟的前端构建工具（fis、glup、grunt等）有所了解，有所使用。5.关注前端新技术，自我驱动，学习能力强。", "杭州掌维科技股份有限公司", "50-150人", "初创型(未融资)", "移动互联网,文化娱乐", "3.8"
"拉勾", "HTML5", "html5", "10000-20000", "大专", "北京", "1-3年", "职位描述职位描述：1.负责移动web应用以及pc前端开发工作，开发具有高性能和高可靠性的系统，具有可扩展性；2.能够使用css、sass、less等语言实现UI设计，编写高性能的javasript实现交互设计；3.整体页面结构及样式层结构的设计、优化；4.利用HTML5相关技术开发跨平台的前端产品；5.配合UI设计人员完成设计，与后端人员进行调试、数据交互。职位要求：1.具备javascript、HTML、CSS编程经验；精通AJAX运作机制，熟悉HTML5；2.熟悉jquery、jquery-mobile、bootstrap等前端库，并了解其机制，使用过AMD/CMD规范；3.实际项目中使用过angularJS、backbone、react等前端框架，对hybird编程有一定了解；4.熟悉grunt、gulp等构建工具；5.良好的编码习惯，对工作具有强烈的责任心。", "国美金控投资有限公司", "50-150人", "初创型(未融资)", "金融", "3.8"
"拉勾", "HTML5", "html5", "10000-20000", "本科", "北京", "1-3年", "职位描述岗位职责：熟练运用一些前端基础库和动效库，独立完成 H5专题制作，保证在主流移动端平台有良好的体验；配合其他产品开发视觉效果和交互部分；协助完善产品和设计需求；对新技术进行定期的学习调研；岗位要求：本科是计算机相关专业；两年以上前端工作经验；良好的JS、CSS和OOP基础，熟练使用PS进行切图；具有H5专题页面和其他移动端网站的开发经验，能够进行较好的性能优化；熟练使用jQuery（或Zepto）、CSS3和其他动效库进行网页特效的开发，保证主流手机平台的兼容性；喜欢研究用户交互及视觉效果，有一定的研究，并对其有浓厚的兴趣；能独立完成复杂的前端模块设计与实现，对用户体验、交互操作流程有深入的理解和丰富的开发经验者优先。", "央视国际视频通讯有限公司", "150-500人", "成长型(不需要融资)", "移动互联网", "4.3"
"拉勾", "HTML5", "html5前端开发工程师", "10000-20000", "大专", "上海", "3-5年", "职位描述岗位职责：1、承担Web与移动互联网前端模块的设计开发工作2、负责HTML5项目前端开发3、配合后台工程师一起研讨技术实现方案，进行应用及系统整合4、跟踪最新前端技术和标准（HTML5），持续优化前端，以提高前端的用户体验以及性能任职资格：1. 大专及以上学历，2年以上工作经验；2. 熟悉HTML5/CSS3标准并对跨浏览器和平台的兼容有深入理解；3. 熟练使用NodeJs、RequireJs，了解AMD/CMD；4. 熟悉AngularJs/ReactJs；5. 熟悉Gulp、Webpack、Bower、Yeoman，能熟练配置各类gulp任务；6. 了解ES6/TypeScript；7. 会使用PhotoShop等进行基本的切图；8. 有过电商等网站开发者优先；9. 对网站页面性能优化有一定认识和经验；10. 有Web App相关应用开发经验的优先，具备良好的沟通能力，能够快速理解系统需求并完成开发工作；11. 有良好的团队合作能力，工作认真，细心，能高效完成工作。", "上海元轼信息咨询有限公司", "150-500人", "初创型(未融资)", "电子商务", "-"
"拉勾", "HTML5", "html5开发工程师", "10000-15000", "本科", "北京", "1-3年", "职位描述岗位职责：1．负责APP中HTML5的前端开发工作；2．利用JS、CSS或HTML5等技术，完成页面开发制作及维护工作；3．参与设计、产品及市场人员沟通，保证产品的质量和开发进度；4．持续的优化相关的产品的质量、性能、用户体验.任职资格：1．计算机相关专业本科以上学历，两年以上Web前端工作经验；2．精通JavaScript、Ajax、HTML/XHTML、CSS等基础网页制作开发技术；3．熟悉HTML5+CSS3+JS编程，熟悉各种前端调试工具；熟悉JS性能优化；4．熟可熟练运用移动端框架如：jQueryMobile、SenchaTouch、iWebkit<spa.", "大象城堡（北京）信息技术有限公司", "15-50人", "初创型(天使轮)", "移动互联网,电子商务", "3.6"
"拉勾", "HTML5", "html5", "17000-22000", "大专", "广州", "3-5年", "职位描述1.精通HTML，CSS，Javascript，DIV+CSS网页布局；2.精通jQuery，Ext/YUI等前端开发框架（其中一个即可）；3.熟悉HTML5、CSS3技术者优先；4.熟悉Backbone，sass等前端框架者优先；5.精通网页调试技术、跨浏览器技术方案。", "北京恒拓高飞航空技术有限公司", "500-2000人", "成长型(A轮)", "企业服务,数据服务", "4.0"
"拉勾", "HTML5", "前端开发工程师（html5）", "9000-18000", "本科", "北京", "1-3年", "职位描述岗位职责：1、负责前端开发，移动端html5页面开发，移动应用开发（混合应用）；2、参与需求评审，对需求完善及实施提供方案；3、负责指导攻克技术难点及解决稳定性和性能问题；4、参与核心业务编码工作并保证编码工作具有良好的维护性。任职要求：1、1-3年左右web开发经验；2、精通Web及前端技术（包括 html，css，Javascript，ajax，json）；3、至少精通一种或多种常见JavaScript框架（如：jQuery/Mootools/DWR/JSON/EXTJS/YUI等），熟悉常用函数在W3C和IE中的实现差异，能脱离JS框架书写各种兼容代码4、有良好的编码习惯，能够改善编码规范，降低软件维护成本；5、有html5，混合应用或移动应用开发经验者优先；6、至少熟悉一种服务器端开发语言，具有较强的代码走读能力，精通J2EE体系结构者优先；7、有过电子商务相关项目开发经验者优先，能够参与需求评审检查需求缺陷并提出合理设计方案；8、能够承担较强的工作压力，保证所负责相关领域工作进度及业务支持；9、具备较强的沟通交流、团队合作能力。", "北京一度用车信息科技有限公司", "50-150人", "成长型(A轮)", "移动互联网", "4.3"
"拉勾", "HTML5", "web前端/HTML5", "10000-20000", "大专", "上海", "1-3年", "职位描述工作内容：1、使用Node.js+Express+开发后台RESTful服务；2、使用MySQL/Redis/MongoDB/Elasticsearch数据库和搜索引擎；3、使用react／angular参与hybrid app 的开发 ；4、为前端（H5、IOS、Android）同时提供RESTful接口。任职条件：1、大专及以上学历计算机或相关专业，2年以上相关工作经验；2、能看懂英文技术文档，有良好的沟通能力；3、熟悉HTML5/CSS3等前端开发语言、熟练react／angular ；4、熟悉至少一个sql（尤其mysql）、一个NoSQL（尤其是mongodb）；5、会使用Linux基本命令；6、熟悉RESTful的定义与规范；7、能主动思考、有较强学习能力。在美承集团移动解决方案本部，你将获得：1.集团大平台具有的完善运行体制，移动端的时尚科技，创新创意的公司文化，阳光朝气的研发团队；2.高大上的移动端项目开发和管理流程，与行业***极客合作，助你成为移动行业高手；3.移动解决方案本部业务快速发展，发展前景广大，现在的你必将成为核心人员；4.公司成熟人才培养体系，为你职业生涯发展提供保驾护航；5.优雅的智能家居办公环境，时尚的办公设施，灵活的办公体制为你量身而定；6.大集团提供的完善薪酬体系，集团即将上市带来的员工期权。", "上海美承电子商务有限公司", "2000人以上", "成熟型(不需要融资)", "企业服务,硬件", "-"
"拉勾", "HTML5", "html5（游戏开发）", "15000-25000", "大专", "北京", "1-3年", "职位描述岗位职责:1、根据策划方案，主要负责市场部H5移动页面开发工作，包括但不限于邀请函、产品展示、市场活动、抽奖、投票、互动、小游戏；2、熟练掌握Html5动画的开发技能，不仅是位移、渐隐渐现等简单功能，更包括一些前沿动画技术；3、负责部分重点Web页面的前端开发工作；4、书写符合W3C标准的代码，高效解决常见的兼容问题和其他BUG；任职资格:1、专科及以上学历，两年前端开发经验以上，至少1年移动页面开发经验，投递简历请附带作品地址或二维码；2、熟悉Http协议和Ps工具的使用，精通Dom、Html5、Css3、JavaScript和至少一种JS框架；3、熟悉后台开发，数据库，能与后台开发工程师无缝对接与技术沟通；4、熟悉常见手机API应用和微信接入API应用；5、能适应快节奏工作方式，具备良好的学习能力和自我攻克难题的能力", "蜂韵互娱（北京）信息技术有限责任公司", "50-150人", "成长型(不需要融资)", "游戏", "4.4"
"拉勾", "HTML5", "html5", "5000-10000", "大专", "北京", "1-3年", "职位描述任职资格：1.本科学历，1年以上前端开发经验，有线上作品优先；2.掌握(X)HTML、CSS和JavaScript等前端开发技术，能熟练编写结构良好跨浏览器的代码；3.掌握Jquery/YUI/MooToolsajs等框架中至少一种框架的使用，对seajs研究深入者优先；4.掌握HTML5/CSS3方面知识，有HTML5实践开发经验者或有线上作品者优先；5.熟悉静态文件打包、发包、GIT代码管理；6.熟悉Java编程，熟悉Jason接口调用；7.熟悉JSP脚本语言；8.具有分析和解决问题的能力，重视团队协作，善于沟通、有责任心。", "陕西万德软件有限公司", "500-2000人", "上市公司", "移动互联网,电子商务", "4.5"
