"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "iOS", "IOS开发工程师", "8000-12000", "大专", "武汉", "1-3年", "职位描述工作职责：负责软件产品需求分析；负责公司IOS应用的架构设计，开发，优化，自测；参与项目技术交流、技术分享；岗位需求：1.二年以上IOS开发经验，有完整App开发经验，能独立完成开发任务；2.有扎实的Object C语言基础，了解设计模式，有良好的编程习惯；3.熟悉TCP/IP协议及HTTP协议，熟悉网络编程，了解websocket协议优先；4.熟悉多线程编程；5.了解并会使用大量开源项目，如图形处理，视频播放，网络请求，图片请求及缓存，JSON解析，websocket处理库等等5.能面对压力, 较好的解决问题能力，具备较强的协调能力、团队合作精神和沟通技巧；6.做过视频播放，即时聊天及SOCKET编程7.做过简单图形处理（加贴片，效果处理等）优先8.对创业企业有兴趣，适应创业公司文化，诚实可靠", "武汉互讯科技有限公司", "15-50人", "成长型(A轮)", "移动互联网,企业服务", "2.0"
"拉勾", "iOS", "iOS高级工程师", "20000-35000", "本科", "北京", "3-5年", "职位描述工作职责：-负责手机贴吧、手机百度、百度浏览器iPhone、iPad客户端的商业化相关产品的设计、开发-负责手机客户端软件的优化和改进-参与与其他团队的沟通协调职位要求：-三年以上iOS平台开发经验-熟悉iOS平台cocoa架构-能够熟练编写iOS平台的自定义控件和常用动画效果-要清晰的理解OBJ-C的runtime的运行机制和IOS平台的内存管理机制-要有较强的设计和优化能力，能够独立设计优化一个app的模块或框架-具有独立解决疑难问题的能力-对产品有较强的敏感度，有较强的沟通能力-有团队管理经验者优先", "百度在线网络技术（北京）有限公司", "2000人以上", "上市公司", "移动互联网,数据服务", "3.9"
"拉勾", "iOS", "高级iOS工程师", "20000-25000", "本科", "北京", "3-5年", "职位描述岗位职责：1、负责iOS手机客户端软件的技术设计和研发；2、参与客户端产品的架构设计，分析探索系统的优化点；3、学习和研究新技术以满足产品的新需求；4、完成部门领导交办的特殊任务。任职要求：1、计算机或相关专业本科及以上学历，三年以上iOS开发经验，熟悉Mac OS X 、Xcode开发环境，能够独立完成移动客户端和后台接口的开发，有成功发布的APP者或者在GitHub上有开源项目者优先考虑；2、熟练掌握Objective-C，以及iOS SDK中UI、网络、数据库、XML/JSON解析等开发技巧，熟悉swift者优先；3、深入了解各个不同iOS版本的特性与差异，熟练掌握iOS开发、测试、调优工具的使用；4、熟悉网络通信机制及常用数据传输协议；5、良好的面向对象化编程思想，熟练运用常见设计模式；6、良好的团队合作精神和沟通能力；", "央视国际视频通讯有限公司", "150-500人", "成长型(不需要融资)", "移动互联网", "4.3"
"拉勾", "iOS", "iOS", "15000-30000", "本科", "北京", "不限", "职位描述岗位描述按照需求完成ios平台的应用软件开发，包括iphone/ipad编写项目设计，实现和测试文档编写和执行项目的单元测试和质量控制岗位要求全日制本科（含）以上学历，必须985/211毕业，工作年限不限熟悉objective-C语言和xcode编程环境熟练使用xcode和instruments进行调试测试，使用Uikit进行界面开发熟悉常用数据结构，了解Ios内存管理机制熟悉网络编程，熟悉TCP/IP协议，可以使用HTTP和socket进行网络数据编程具备独立思考，解决问题的能力，具有良好沟通，团队合作能力", "拾柒网络技术（北京）有限公司", "15-50人", "初创型(不需要融资)", "移动互联网,文化娱乐", "5.0"
"拉勾", "iOS", "iOS", "7000-14000", "本科", "北京", "1年以下", "职位描述工作职责：与产品、运营团队, 设计团队以及架构师协作，参与顶级电商海淘平台app的设计和开发1、参与Higo app的开发, 需求分析, 产品设计和迭代2、参与Higo im的开发, 代码优化与重构3、参与Higo 商家版的开发能力要求：1.扎实的计算机基础，较强的算法能力；2.精通Objective-C语言，精通iOS开发技术，包括UI、网络等方面；3.精通iOS开发工具和相关开发测试工具的使用，熟悉各个不同版本iOS的特点；4.精通多线程和网络编程，对高性能程序设计、架构有较多的工程经验。开放的心态，愿意快速学习和理解不同行业的思路和做事方式相信通过自己的努力可以改变行业让世界更美好我们的招聘思路：1、看重未来多于看重现在：比起现在，我们更希望找到加入Higo一段时间后能够变成牛人的同事。团队会用经过验证的、体系化的技术人员培养方式，来让每一个加入的工程师，获得最快速的成长。2、要求主动负责：我们希望加入这个团队的同事，都能够首先为自己的发展负责，同时也能够为公司的发展负责。希望你积极主动，最快速度独当一面，做成事情的同时，也变成事情的owner。3、每个人都需要在未来成为全栈工程师。为什么选择Higo：1、Higo是一家快速成长的创业公司，在这里你会获得数倍于成熟公司的个人成长和预期的财务回报。2、Higo非常重视技术，我们希望融合产品、技术、运营，打造一流的全球时尚发现和购买平台，在这个过程中，每一位工程师都需要不断用创新的手段解决技术难题，并和公司同步成长。3、公司的福利非常优秀：公司为每位入职的员工提供Macbook Pro电脑等作为办公设备。提供五险一金的同时，用业界有竞争力的薪酬体系，吸引最优秀的工程师加入。4、技术成长机会非常多：公司核心研发团队由百度、美丽说等公司多位架构师和高级经理构成，在技术体系建设、技术人员培养上有全球领先的视野和经验，能够培养公司每一位工程师，用业界领先的方式工作，在技术上获得最快速的成长。", "北京乐呵互动信息技术有限公司", "150-500人", "成长型(B轮)", "电子商务", "4.3"
"拉勾", "iOS", "iOS", "15000-30000", "大专", "上海", "5-10年", "职位描述岗位描述1.从事iphoe相关功能开发2.根据产品或者项目需求完成架构或者模块设计、编码或者测试工作3.能按照项目计划，按时提交高质量代码，完成任务开发岗位要求1.计算机相关专业，大专以上学历2.精通iphoe移动app开发，3年以上开发经验，有app store开发作品者优先3.熟悉Mac os平台下的开发，熟悉算法思想，有较强的解决问题的能力，对OOD/OOP有深刻的理解，具有良好的编程习惯，4.精通C++/Objective C/Cocoa编程，熟练使用iphone/ipad SDK及相关开发工具5.工作责任心强，积极主动，思路清晰有条理.", "贝联（上海）信息科技有限公司", "50-150人", "成长型(B轮)", "移动互联网", "4.4"
"拉勾", "iOS", "iOS开发", "8000-16000", "大专", "上海", "1-3年", "职位描述岗位职责：1、根据需求与设计文档独立完成iOS系统的开发、测试和维护；2、规范文档的编写、维护，以及其他与项目相关工作；3、按照项目计划，按时提交高质量代码，完成开发任务；完成IOS产品的技术攻关与实现；任职要求：1、3年或以上iPhone、ipad开发经验；2、熟练掌握Objective-C，C/C++；3、熟悉使用XCode相关工具集，以及iOSSDK；4、精通XML，JSON解析，能熟练应用Mysql、CoreData等客户端存储技术；5、熟悉算法思想，对OOD/OOP有较深理解，具有良好的编写程序的习惯；6、具备良好的沟通能力和团队合作精神；7、具有成功发布客户端产品的经验，有金融类APP开发经验者优先。", "上海缘心投资咨询有限公司", "50-150人", "初创型(未融资)", "金融,文化娱乐", "4.0"
"拉勾", "iOS", "iOS", "10000-16000", "本科", "北京", "3-5年", "职位描述职位概述: 1、负责建立iOS（iPhone）平台客户端软件的开发框架；2、负责iOS平台下的应用程序设计、开发、发布及维护；3、负责iOS App通用组件的开发和封装，为开发团队提供技术培训和支持；4、负责相关前沿技术研究和产品预研，参与移动平台软件框架的研究，关键技术验证和选型等工作。职责: 1、本科及以上学历，计算机相关专业，英语四级2、四年ios开发经验，能独立开发IOS APP，至少参加过一个完整上线项目，熟悉应用发布流程，熟悉多平台开发方案；熟悉C/C++、Objective-C，有扎实的编程功底和开发经验，能独立分析和解决问题；3、深入理解IOS SDK,Cocoa Touch、UIKit框架、能以MVC模式设计出逻辑清晰易维护的代码结构；4、熟悉MQ/Web Service/xml/json等常用数据接口和格式5、熟悉多线程、Socket网络编程，熟悉TCP、UDP、HTTP、FTP等网络协议6、良好的代码编程习惯，代码风格简洁清晰7、具有HTML5开发能力8、良好的英文资料阅读能力", "广州奔步电脑有限公司", "150-500人", "成长型(不需要融资)", "移动互联网,电子商务", "3.6"
"拉勾", "iOS", "iOS开发", "7000-10000", "本科", "成都", "3-5年", "职位描述联友电讯是无线互联时代领先的移动办公服务公司，是成都商报评选的四川省最佳雇主、国家认定的高技术企业、成都市优秀企业。公司与全国各地的运营商都有良好的市场合作关系。现因业务需要，招聘开发工程师：【应聘要求】1、 具备2年以上iPad/iPhone项目开发经验，能独立进行iPad/iPhone平台的开发工作。2、 熟悉网络通信机制，理解和熟练使用Socket和HTTP；3、 深刻理解面向对象的编程思想，关注并了解移动互联网相关技术4、 本科及以上学历【待遇】年薪7万~10万，外加奖金，优秀者可提供股权激励。应聘方法】请有意应聘者直接从网上投递简历，合则约见，谢绝直接上门拜访。", "四川联友电讯技术有限公司", "50-150人", "成长型(不需要融资)", "移动互联网,电子商务", "-"
"拉勾", "iOS", "iOS开发工程师", "8000-12000", "不限", "东莞", "1-3年", "职位描述岗位职责：1、负责IOS客户端软件的产品开发和维护；2、独立完成客户端软件需求的整理和软件设计；3、按照项目计划，按时提交高质量代码，完成开发任务；4、规范文档的编写、维护，以及其他与项目相关工作；5、按时按需完成客户端软件的维护及更新。任职要求：1、有过iPhone实际项目开发经验，可以独立开发相关手机应用客户端，有过上线产品开发经验者优先，c或c++熟悉者优先；2、具有比较强的客户端系统架构设计能力，在通用性、跨平台和复用性方面有深刻的理解；3、熟悉面向对象设计，分析和编程技术，按要求提交各阶段开发文档；4、熟悉数据结构与算法，网络通信技术等；5、要有很强的学习能力，可以短时间内掌握新的知识，有很强的预研和动手能力，能够帮助团队的专业能力提升。", "东莞钱包鼓鼓信息科技有限公司", "15-50人", "初创型(不需要融资)", "移动互联网,电子商务", "4.3"
