"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Java", "Java", "10000-20000", "本科", "北京", "1-3年", "职位描述岗位职责：1、参与项目需求分析、进行系统框架和开发模块的详细设计；2、根据产品开发进度和任务分配，开发相应的软件模块；3、根据公司技术文档规范编写相应的技术文档；4、根据需要不断修改完善软件产品；5、遵守、执行公司源码管理规范和产品上线流程；6、完成程序的单元测试；7、研究项目技术细节，编写相应的说明书。岗位要求：1、国家正规院校计算机、数学等相关专业，本科及以上学历；2、1-3年Java开发经验，基础扎实，熟练掌握MVC编程思想及SSH编程架构；3、精通J2EE技术，包括XML、JDBC、 EJB、JMS、WEB SERVICE、JNDI、RMI、JTA、JAAS、JAVA MAIL等构建大型项目应用的技术规范；4、精通数据库设计，熟练使用SQL语言，熟悉常用数据库产品包括开源产品，如oracle、mysql等；5、熟悉Struts、Spring、Hibernate、JPA等技术架构；6、熟悉WEB应用客户端技术，Javascript、Flex（以及silverlight），特别是常用的JS组件库如Extjs、jquery、dojo等；7、熟悉socket编程,了解开源MINA开发框架，并有1年以上Socket服务开发经验者优先考虑；8、具有银行结算、互联网支付、移动支付类项目开发经验者优先考虑；9、有大型电子商务平台开发经验者优先考虑；10、敬业、责任心强、主动学习、勇于创新，并具有较强的沟通及协调能力。", "北京雅酷时空信息交换技术有限公司", "150-500人", "初创型(未融资)", "移动互联网,电子商务", "4.6"
"拉勾", "Java", "Java", "2000-4000", "不限", "深圳", "不限", "职位描述熟练掌握Eclipse或Intelli等IDE工具 、JAVA、Javascript、Html5、CSS、AJAX 、一种版本控管工具(CVS、GIT、SVN)、MySQL、Oracle 、Java Frameworks：Struts、Hibernate、Spring 开发", "富士康科技集团", "2000人以上", "上市公司", "电子商务,数据服务", "3.2"
"拉勾", "Java", "Java", "10000-15000", "本科", "上海", "1-3年", "职位描述岗位描述：1、后台部分的开发与设计2、后台数据库的设计及维护岗位要求：1、2年以上开发经验2、熟悉基于Struts和Ibatis或者Hibernate的J2EE应用平台架构，熟练使用Spring等框架3、熟悉Oracle、MySql等数据库4、有银行、基金、证券、保险等金融业软件开发维护经验优先，有服务器和数据库优化经验者优先。5、有强烈的责任心，优秀的表达能力及沟通能力；6、熟悉软件技术文档的编写，具备良好的文档编制习惯和规范的代码书写7、有较强的学习和理解能力，思路清晰，善于思考，能独立分析和解决问题；【你关心的，我们懂】网传程序猿是高危行业，来泛微，不必担心！程序猿要高薪，更要健康！！薪资待遇——让你愉快的买买买，有钱，就是这么任性！精美三餐——拒绝千篇一律的快餐盒饭，拒绝新鲜打折的自带便当，拒绝街边小店的卫生堪忧，一日三餐营养均衡，我们比千里之外的双亲更能关怀到你的健康。每年至少一次国内外畅游——除了风情新马泰，时尚欧美灵魂尼泊尔浪漫马代都在我们的Plan A中。员工关怀活动——他们都在意你飞得高不高，而我们在乎的，是你飞得累不累。梦想——人要是没有梦想，那和咸鱼有什么分别！携手同样有梦想的你走这一程，让我们离梦想更近一步。价值——拥有你，就像拥有一座潜力无限的金矿，你的过往价值我们如获至宝，你的未来价值我们拭目以待。专业——十三年孜孜不倦，十三年持续专注，行业内知名专家团队，头脑风暴活学活用。千里马常有，伯乐不常有。我们有颗做伯乐的心，欢迎更多的千里马来加入！如果你年轻肯努力，敢想敢拼，希望不断进步；如果你想享受积极的工作氛围，激情的团队合作和多多的公司福利；如果你了解泛微，了解OA，有管理软件项目相关工作经验；请随时联系我们，泛微永远欢迎你！薪酬福利：1、提供有竞争力的薪资，执行相对公平合理的绩效政策和薪酬结构；2、其他福利：美味三餐、各种补贴、生日和节日福利、年休、优秀员工出国旅游等；3、作息时间：每天八小时工作制（9:00-18:00，午休1小时），双休+国家法定节假日。我们的诚意：-免费提供一日三餐，独立员工食堂，专业大厨亲自掌勺，保证膳食均衡；-转正既有年假，每年两次加薪机会，年终Bonus，那是必须的！-每月绩效奖金+研发奖金，用工资条上的数字体现你的技术和实力；-和你的付出相符的薪水；-每年一次国内旅游，优秀员工国外旅游，去年塞班岛，今年巴厘岛；-每年一次全面体检，关爱你的健康；-员工活动室（乒乓球、桌球），篮球场、浦东羽毛球馆常年场地，均免费；-安全舒适人体工学椅，时刻保护你的肩颈和腰椎；-每月至少一次团建，餐后水果，零食茶点免费供应；", "上海泛微网络科技股份有限公司", "500-2000人", "成熟型(D轮及以上)", "移动互联网,企业服务", "4.0"
"拉勾", "Java", "Java", "7000-10000", "本科", "南京", "1-3年", "职位描述1、本科及以上学历，计算机及相关专业毕业，一年以上项目开发经验。2、熟悉java（包括jsp，servlet），有html，css，javascript或者flex开发经验。3、熟练使用常用的数据库系统，如mysql，oracle。4、能熟练使用struts者优先。5、对工作充满热情，具有高度的责任感与团队合作精神，良好的沟通能力。一经录用，待遇从优，统一缴纳五险一金", "南京联坤软件技术有限公司", "50-150人", "初创型(未融资)", "移动互联网,企业服务", "3.4"
"拉勾", "Java", "Java", "15000-30000", "大专", "杭州", "3-5年", "职位描述岗位职责1、根据需求整理编写需求规格说明书。2、根据需求规格说明书进行模块设计。3、编码实现并完成相关单元测试。素质要求：1、计算机等相关专业，本科及以上学历，3年以上java开发经验；2、有责任心和良好的沟通能力，良好的敬业精神及团队协作能力，能够承担工作压力；3、有银行项目经验、支付平台从业经验优先；4、热爱互联网金融行业。有专注互联网金融行业为职业规划意愿者优先。5、能适应适当的出差技能要求：1、精通J2EE开发，熟练掌握spring技术框架。2、精通Oracle/MySql数据库，能够熟练编写常用SQL语句;熟练使用Mybatis框架。 </p", "上海商会网网络信息技术有限公司", "150-500人", "成长型(B轮)", "移动互联网,社交网络", "-"
"拉勾", "Java", "Java", "10000-15000", "本科", "上海", "1年以下", "职位描述        职位描述工作职责：1) 参与系统设计。2) 业务系统代码编写。职位要求1) 聪明，有创业激情，喜欢挑战。2) 计算机相关专业，本科以上学历。3) 知名 IT 公司 1 年以上工作经验。4) 熟悉数据结构与算法。5) 熟悉 Java，C# 中至少一门编程语言。6) 熟悉MySql或SQL Server，MongoDB至少一个数据库。加入我们，你将获得：1） 期权，每年两次加薪机会，1至2个月奖金。2） 补充医疗保险及年度体检。3） 人体工学椅、无限量零食饮料供应、各种员工活动。更多福利，自己来体验吧~", "上海秦苍信息科技有限公司", "150-500人", "成熟型(C轮)", "金融", "3.9"
"拉勾", "Java", "Java", "20000-30000", "大专", "南京", "5-10年", "职位描述1.5年开发或系统设计经验，应届生、无经验者勿投。2.扎实的计算机基础知识，对 Unix/Linux 有深入了解。3.精通Java、JS、H5、CSS、SQL等一或多样技能的开发和调优。4.良好的数据结构和算法基础 ，有大规模后台服务或前端UI的设计和开发经验。5.有创业经验者优先，有互联网、电商工作经验优先。", "南京八天在线投资管理咨询有限公司", "500-2000人", "成熟型(C轮)", "移动互联网", "-"
"拉勾", "Java", "Java", "6000-10000", "本科", "宁波", "1-3年", "职位描述职位描述：1.为基于互联网的B/S架构项目，编写服务器端的程序代码2.承担应用软件设计、开发任务，能独立地进行软件设计、编码和调试；3.能按照需求和设计文档开发指定的功能模块；4.参与系统和模块的测试、实施工作。岗位要求：1.计算机相关专业本科以上学历，2年以上相关开发工作经验；2.精通java，对多种开源框架和工具熟练使用；3.精通struts、spring、hibernate框架的使用和原理4.精通SQL和数据结构，具有MySQL/MSSQL等关系型数据库开发经验；5.有高并发、大数据处理开发经验者优先；有大型互联网项目的开发/设计经验优先；6.良好的沟通表达能力和团队合作精神。", "宁波重彩信息技术有限公司", "15-50人", "成长型(B轮)", "移动互联网", "-"
"拉勾", "Java", "Java", "3000-4000", "本科", "深圳", "不限", "职位描述职位描述：1. APP后台开发；网站后台开发任职条件：2. 熟悉Servlet、JAVA等常用web开发技术；熟悉javaEE相关技术3. 熟悉MySQL等数据库，熟悉编写sql语句", "深圳市它虎科技有限公司", "15-50人", "初创型(天使轮)", "移动互联网", "-"
"拉勾", "Java", "Java", "8000-15000", "不限", "北京", "不限", "职位描述1、精通Java编程，精通Spring、SpringMVC、Hibernate等web开发框架，对业务需求有足够的理解能力，并能够参与模块级的设计工作，需要有具体的项目实战经验；2、熟悉流行的前端开发框架，并能够很好的配合前端工程师完成模块的开发；3、有过行业应用项目开发经验者优先；", "北京彩智科技有限公司", "少于15人", "初创型(未融资)", "移动互联网,企业服务", "-"
