"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "JavaScript", "JavaScript", "15000-20000", "本科", "北京", "1-3年", "职位描述工作职责：负责web前端的相关产品的设计，开发、文档撰写和项目改进。负责系统前端架构的搭建。完成部门领导交办的特殊任务。负责公司前端技术的研究和应用工作。开发前端核心组件及html5页面。任职要求：计算机相关专业本科或以上学历。两年以上web系统开发经验。精通jquery，ajax相关技术，对javascript面向对象编程有深入了解。掌握css3，html5，JS相关技术。使用过bootstrap，使用过react者优先。了解http请求，和后台有过数据交互的实战经验。熟悉一种或以上的后台语言（java，php等）有过响应式布局经验。", "央视国际视频通讯有限公司", "150-500人", "成长型(不需要融资)", "移动互联网", "4.3"
"拉勾", "JavaScript", "Node.js研发工程师", "9000-18000", "本科", "上海", "1-3年", "职位描述1、基于SasS 模式的系列行业产品后台设计和开发；2、算法研究和实现，提高客户满意度和应用效果；任职要求：1、计算机专业本科以上学历；2、熟悉nodejs事件机制，常见模块的使用；3、扎实的编程基础，对常见数据结构、设计模式、算法有清晰的理解；4、熟练使用MongoDB，Redis等后端数据库5、熟练使用Linux操作系统6、良好的编码习惯，较好的沟通、协调、理解能力和良好的责任心和团队合作能力。", "上海弘连网络科技有限公司", "15-50人", "初创型(未融资)", "数据服务", "3.9"
"拉勾", "JavaScript", "前端JavaScript/ReactJS工程师", "15000-25000", "大专", "深圳", "1-3年", "职位描述岗位职责：负责页面样式呈现，Web和客户端的React模块开发负责前端和服务端的数据交互（Ajax，Websocket）负责前端代码优化、部署优化配合后台开发人员实现产品界面和功能与后台的交互个性要求：积极乐观，敢于冒险，有责任心，坚持不懈，work hard play hard任职要求：一 年以上前端Javascript开发经验，熟练掌握Web前端技术CSS/HTML/Javascript，有成功项目开发经验熟悉ReactJS、react native框架，熟悉socket编程，有研究和极客精神熟练使用各种调试、抓包工具，能独立分析、解决和归纳问题熟悉常用Web前端框架(jQuery,Bootstrap)，有ReactJS,AngularJS，Backbone，Node.JS等框架经验优先了解Bootstrap框架，熟悉响应式设计，有多终端H5开发经验优先熟悉gulp/webpack的配置和脚本编写愿意对ReactJS/Redux进行深入研究软能力：了解软件设计，开发过程，开发规范以及软件质量控制；良好的编程习惯；能够独自编写技术文档具备强烈的责任心，对工作有激情，良好的团队合作精神和沟通能力良好的英文阅读能力和较强的的学习能力；经常使用google/stack overflow/quora/wikipedia研究软件开发方面的知识，能及时了解最新技术", "深圳路游网络科技有限公司", "15-50人", "初创型(不需要融资)", "数据服务,游戏", "5.0"
"拉勾", "JavaScript", "Java开发（熟悉js）", "15000-20000", "本科", "上海", "3-5年", "职位描述职位描述：1、负责所属模块的功能规划、需求分析设计、技术实现和用户体验，2、负责所属模块的代码开发、调试与维护工作；3、积极响应客户需求并进行开发和交付；4、参与公司产品的架构优化，性能优化并辅助其他模块进行技术实现；5、协助并完成其他各类技术开发任务。岗位要求：1、计算机或者相关专业，统招全日制本科及以上学历。2、良好的问题理解能力，能够理解以及处理复杂逻辑。3、具备较强的自学能力，团队精神及抗压能力。4、三年以上的Java开发应用经验，掌握JSDK，J2EE的相关知识，精通JAVA、JSP、SERVERLET编程，熟悉多线程编程，熟练掌握AJAX，jquery。5 、熟练掌握JAVASCRIPT脚本编写，了解XML，XSLT, CSS的相关知识。6 、掌握数据库的相关知识，熟悉SQLSERVER及ORACLE，具备SQL、触发器、函数、存储过程的编写能力。7、具有一定的文档编写能力，了解UML。8、熟悉基本网络设置，能够应用多种操作系统（WINDOWS,LINUX等），熟悉RESIN,TOMCAT等中间件的使用。薪酬福利：1、提供有竞争力的薪资，执行相对公平合理的绩效政策和薪酬结构；2、其他福利：美味三餐、各种补贴、生日和节日福利、年休、优秀员工出国旅游等；3、作息时间：每天八小时工作制（9:00-18:00，午休1小时），双休+国家法定节假日+带薪假期。在泛微：我们比创业者团队多一份专业与自信我们比职业经理人多一份执着与热忱你的激情，我们弥足珍贵；你的创新，我们倍感珍惜；你对我们的价值远远不止技术，更希望你能成为我们产品的灵魂工程师，成为我们用户习惯的引导者，成为充满代码艺术幻想的实践者；每天，平均有5家以上的企业启用泛微的协同办公产品；每周，平均有9家以上使用泛微协同办公产品的客户顺利验收；每月，至少推出1个新的产品功能，建立客户导向的卓越技术品管体系；每年，保持业绩增长势头，全力实现我们的规划目标。泛微，对客户、对服务、对技术、对产品、对员工、对所有的一切，始终坚持实事求是，用数字说话。泛微现在最需要的是与你一起智创未来！即刻加入泛微，让我们携手书写OA的历史！", "上海泛微网络科技股份有限公司", "500-2000人", "成熟型(D轮及以上)", "移动互联网,企业服务", "4.0"
"拉勾", "JavaScript", "前端JavaScript开发", "7000-14000", "不限", "北京", "不限", "职位描述1、精通JavaScript语言，熟练使用Angularjs、ionic、jQuery等前端开发框架和技术，并能够根据需要，做二次封装或是开发组件库，参与过相关实战项目；2、精通HTML5、CSS3.0、Bootstrap、等前端设计语言及相关工具的使用，能够纯手工写前端代码；3、有UI设计经验以及平面美工设计者优先；", "北京彩智科技有限公司", "少于15人", "初创型(未融资)", "移动互联网,企业服务", "-"
"拉勾", "JavaScript", "Node.js工程师", "12000-24000", "本科", "北京", "1-3年", "职位描述职位描述负责后端服务技术选型、框架搭建及维护负责相关工具研发及维护负责后端接口开发及维护任职要求计算机相关专业，本科及以上学历操作系统、网络、数据结构等基础知识扎实熟悉nodejs，有restful风格接口开发经验熟悉mysql、redis、mongo数据库熟练使用git、markdown等常用研发工具熟悉linux常用命令加分项有个人博客或开源社区活跃有阿里云使用经验=======================================写在后面加入我们你可以参与公司核心项目开发加入我们你可以得到全方位的技术拉升加入我们你可以体会到基于智能硬件的物联网系统如何运作你一定要足够的牛逼，才能和满屋子大牛愉快的探讨、玩耍、进步你一定要足够的逗比，才能轻松的融入到这个逗比的团队。我们相信，下一个改变世界的逗比，就是你足以逆袭的股票期权，让你时刻走在人生的巅峰B轮融资已完成，此时不来，更待何时80、90后，这里不仅有可爱呆萌小萝莉、霸气侧漏御姐风、帅气多金小鲜肉还有猥琐话唠帅大叔。如果这都不是你的菜，没关系，我们还有资深热心美红娘，没有找不到，只有想不到。自在工作，自在生活课外活动表：周一健身、周二桌球、周三乒乓球、周四桌牌、周五自在分享等丰厚下午茶：花草茶水咖啡大冰棍儿，多样水果小点心各种新奇酷智能产品随便玩书月度各类团建活动，期待你的加入各种该有的假期都有，没有的我们也有400多平米开放式绿色办公环境，无PM2.5纯净自由呼吸北京市工作居住证办理行政美眉准备的贴心小药箱，感冒发烧妈妈再也不用担心你我们不打卡，我们相信你=======================================", "北京自在科技有限责任公司", "50-150人", "成长型(B轮)", "移动互联网,硬件", "4.3"
"拉勾", "JavaScript", "[青果]JavaScript", "15000-30000", "不限", "深圳", "5-10年", "职位描述请于苹果商店搜索“青果”，各大搜索引擎搜索“青果QNG”，并请自行下载并了解我们的产品之后，认为有兴趣的再丢简历过来，提高效率：）多谢。岗位职责：参与web开发项目，负责网页制作及前端交互开发；负责项目内系统整体JS设计规划；分析并解决软件开发过程中的问题；协助测试工程师制定测试计划，定位发现的问题；配合项目经理完成相关任务目标。任职资格：5年以上相关开发经验。具备框架级开发思想及经验；精通html5,css,沟通能力强。精通Node.js优先；对类似Google API、百度云API等有基本认识，了解通过公有云提供封装API接口的一些基本要求；对PaaS（GAE、BAE、CloudFoundry、OpenShift等）有实际经验者优先考虑；深刻理解面向对象设计、设计模式（Design pattern）和常用的分布式运算架构模式；掌握Reactive programming原理与技巧，有多线程编程经验；对HTTP、REST、TCP/IP有充分了解；对技术有强烈兴趣，追求代码的优雅性，优先有代码洁癖者；流畅阅读中英语技术文档。工作时间：工作时间错峰10-8（弹性）有意向直接丢简历，合则约见。谢谢。", "深圳市后浪无线科技有限公司", "少于15人", "初创型(未融资)", "移动互联网", "2.3"
"拉勾", "JavaScript", "JavaScript", "15000-30000", "本科", "北京", "1-3年", "职位描述工作职责：1、JavaScript程序模块开发2、与设计师、开发工程师紧密工作，负责产出高质量的产品前端层3、能充分理解项目需求和设计需求，具有一定研发精神，能解决各种未知问题岗位要求： 1、精通DOM、Javascript、CSS、HTML等前端技术，能轻松写出符合W3C标准、兼容主流浏览器的代码； 2、精通至少一种JS框架(比如React、bootstrap、AngularJS)或者对JS语言本身有较深刻的理解（比如：函数式编程、闭包、事件和异步编程）；3、熟练掌握 NodeJS 核心模块，熟练使用NPM管理依赖；4、.了解掌握至少一门非前端开发语言（如PHP/Java/Python/Ruby等），并有一定的实战经验；5、对Web性能优化感到兴奋，乐于钻研前端效果的实现；6、对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力，有代码洁癖者优先；7、本科以上学历；加分项：1、了解或熟悉前端MVC以及CMD/AMD开发模式2、熟练使用webpack、grunt、gulp等构建、优化静态资源3、Github重度用户，有自己的开源项目（nodejs开源项目加双倍）", "完美世界(北京)网络技术有限公司", "2000人以上", "上市公司", "移动互联网,游戏", "3.9"
"拉勾", "JavaScript", "Node.js高级工程师", "6000以上", "大专", "武汉", "3-5年", "职位描述岗位职责：1. 根据业务需要承担技术难度较大的设计和开发工作。2. 带领、培训开发工程师完成子系统的开发和维护任务。岗位要求：1. 计算机相关专业本科及以上学历，具有5年以上互联网开发经验。2. 精通Node.js，具有Node.js进行Web开发的实际经验；3. 熟练应用Express.js、Jade.js开发应用，理解npm机制；4. 熟悉MongoDB，有较强的NoSQL编程、优化能力；5. 具备团队合作精神，有优秀的沟通能力、理解能力；6. 具备较强的学习能力和主动性，能承担压力；7. 有多年的java或者前端开发经验也可；备注：1、软件新城开通了从 光谷、徐东、阅马场、南湖、循礼门等 地出发的18条 班车；2、由光谷、南湖等地出发，班车半小时可达软件新城；", "武汉易能教育科技有限公司", "15-50人", "初创型(未融资)", "教育,移动互联网", "-"
"拉勾", "JavaScript", "JavaScript", "12000-20000", "本科", "北京", "3-5年", "职位描述学历要求：本科及以上学历，211,985优先岗位职责：1、与设计师和后台程序配合，高效率高质量地完成页面的实现工作；2、负责将设计师的方案按标准切割网页并搭建网站框架，实现网站前台效果；3、解决不同浏览器及不同版本的兼容性问题；4、实现网站页面特效、JS效果；5、网站的页面优化;6、负责辅助其他模块进行技术实现和联调，并参与公司产品的架构优化，性能优化等；职位要求：1、有扎实的JavaScript基础2、理解Web语义化，有良好的编码习惯，高效高质完成html/css/js开发3、熟悉HTTP(s)，socket协议4、熟悉ajax，jsonp，CORS等5、至少熟悉一种JavaScript工具库（jQuery/underscore/yui）6、对网站性能优化有一定的了解和实践经验。7、有较强的学习能力，逻辑分析能力，沟通表达能力，责任心。8、熟悉Git / SVN等版本控制工具9、乐于分享和愿意为公司前端文化出一份力。加分项：1、看英文文档没问题2、熟悉Wechat Web开发3、熟悉NodeJS开发", "宜创（北京）科技有限公司", "15-50人", "初创型(未融资)", "移动互联网,企业服务", "3.7"
