"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Node.js", "Node.js研发工程师", "9000-18000", "本科", "上海", "1-3年", "职位描述1、基于SasS 模式的系列行业产品后台设计和开发；2、算法研究和实现，提高客户满意度和应用效果；任职要求：1、计算机专业本科以上学历；2、熟悉nodejs事件机制，常见模块的使用；3、扎实的编程基础，对常见数据结构、设计模式、算法有清晰的理解；4、熟练使用MongoDB，Redis等后端数据库5、熟练使用Linux操作系统6、良好的编码习惯，较好的沟通、协调、理解能力和良好的责任心和团队合作能力。", "上海弘连网络科技有限公司", "15-50人", "初创型(未融资)", "数据服务", "3.9"
"拉勾", "Node.js", "Node.js工程师", "12000-24000", "本科", "北京", "1-3年", "职位描述职位描述负责后端服务技术选型、框架搭建及维护负责相关工具研发及维护负责后端接口开发及维护任职要求计算机相关专业，本科及以上学历操作系统、网络、数据结构等基础知识扎实熟悉nodejs，有restful风格接口开发经验熟悉mysql、redis、mongo数据库熟练使用git、markdown等常用研发工具熟悉linux常用命令加分项有个人博客或开源社区活跃有阿里云使用经验=======================================写在后面加入我们你可以参与公司核心项目开发加入我们你可以得到全方位的技术拉升加入我们你可以体会到基于智能硬件的物联网系统如何运作你一定要足够的牛逼，才能和满屋子大牛愉快的探讨、玩耍、进步你一定要足够的逗比，才能轻松的融入到这个逗比的团队。我们相信，下一个改变世界的逗比，就是你足以逆袭的股票期权，让你时刻走在人生的巅峰B轮融资已完成，此时不来，更待何时80、90后，这里不仅有可爱呆萌小萝莉、霸气侧漏御姐风、帅气多金小鲜肉还有猥琐话唠帅大叔。如果这都不是你的菜，没关系，我们还有资深热心美红娘，没有找不到，只有想不到。自在工作，自在生活课外活动表：周一健身、周二桌球、周三乒乓球、周四桌牌、周五自在分享等丰厚下午茶：花草茶水咖啡大冰棍儿，多样水果小点心各种新奇酷智能产品随便玩书月度各类团建活动，期待你的加入各种该有的假期都有，没有的我们也有400多平米开放式绿色办公环境，无PM2.5纯净自由呼吸北京市工作居住证办理行政美眉准备的贴心小药箱，感冒发烧妈妈再也不用担心你我们不打卡，我们相信你=======================================", "北京自在科技有限责任公司", "50-150人", "成长型(B轮)", "移动互联网,硬件", "4.3"
"拉勾", "Node.js", "Node.js高级工程师", "6000以上", "大专", "武汉", "3-5年", "职位描述岗位职责：1. 根据业务需要承担技术难度较大的设计和开发工作。2. 带领、培训开发工程师完成子系统的开发和维护任务。岗位要求：1. 计算机相关专业本科及以上学历，具有5年以上互联网开发经验。2. 精通Node.js，具有Node.js进行Web开发的实际经验；3. 熟练应用Express.js、Jade.js开发应用，理解npm机制；4. 熟悉MongoDB，有较强的NoSQL编程、优化能力；5. 具备团队合作精神，有优秀的沟通能力、理解能力；6. 具备较强的学习能力和主动性，能承担压力；7. 有多年的java或者前端开发经验也可；备注：1、软件新城开通了从 光谷、徐东、阅马场、南湖、循礼门等 地出发的18条 班车；2、由光谷、南湖等地出发，班车半小时可达软件新城；", "武汉易能教育科技有限公司", "15-50人", "初创型(未融资)", "教育,移动互联网", "-"
"拉勾", "Node.js", "Node.js全栈工程师（无锡）", "10000-20000", "本科", "无锡", "1-3年", "职位描述负责SaaS产品的前端及后端开发维护工作。职位要求精通各种Web前端技术，包括HTML/CSS/Javascript,熟悉React或Angular熟悉Nodejs,熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket了解多种数据库（Mysql/Mongodb/Redis）,对Liunx有一定的了解对可用性、可访问性等相关知识有实际的了解和实践经验爱折腾，对技术充满好奇心，开放乐观，愿意用技术改变世界加分项了解zookeeper/qconf,并由相关实践提供blog/github/stackoverflow,或任何可以展现你技术的地址", "无锡夸微科技有限公司", "15-50人", "初创型(未融资)", "电子商务", "-"
"拉勾", "Node.js", "Node.js", "15000-30000", "本科", "北京", "3-5年", "职位描述岗位职责：1、负责公司Node.js框架开发、维护，优化；2、负责公司Node.js服务器的维护与优化。岗位要求：1、大学本科及以上学历，同岗位三年及以上工作经验；2、精通Linux服务器；3、精通JavaScript, Node.js；4、熟悉W3C网页标准，理解各浏览器之间的差别，了解HTML5相关技术；5、诚恳、务实，善于沟通，具有良好的团队合作精神和高度的责任感。", "北京三鼎网络科技有限公司", "150-500人", "成熟型(C轮)", "旅游", "4.6"
"拉勾", "Node.js", "Node.js", "10000-15000", "本科", "上海", "1年以下", "职位描述岗位职责：1.负责服务端通信框架的搭建和完善（客户端基于MQTT协议和WebRTC技术）职位要求：1.熟悉一门或以上服务器开发语言(python, java, php等), 2年以上的 Node.js 开发工作经验；2.对服务端框架的机制，框架的设计模式，数据库的优化，服务器的负载均衡设计，并发时服务器的优化，服务器的压力测试以及功能模块的单元测试有了解的优先；3.良好的学习能力和沟通能力，编码稳健严谨，精益求精，对问题有探究精神。薪酬福利：1、提供有竞争力的薪资，执行相对公平合理的绩效政策和薪酬结构；2、其他福利：美味三餐、各种补贴、生日和节日福利、年休、优秀员工出国旅游等；3、作息时间：每天八小时工作制（9:00-18:00，午休1小时），双休+国家法定节假日+带薪假期。我们的诚意：-免费提供一日三餐，独立员工食堂，专业大厨亲自掌勺，保证膳食均衡；-转正既有年假，每年两次加薪机会，年终Bonus，那是必须的！-每月绩效奖金+研发奖金，用工资条上的数字体现你的技术和实力；-和你的付出相符的薪水；-每年一次国内旅游，优秀员工国外旅游，去年塞班岛，今年巴厘岛；-每年一次全面体检，关爱你的健康；-员工活动室（乒乓球、桌球），篮球场、浦东羽毛球馆常年场地，均免费；-安全舒适人体工学椅，时刻保护你的肩颈和腰椎；-每月至少一次团建，餐后水果，零食茶点免费供应；", "上海泛微网络科技股份有限公司", "500-2000人", "成熟型(D轮及以上)", "移动互联网,企业服务", "4.0"
"拉勾", "Node.js", "Node.js全栈工程师", "10000-20000", "本科", "杭州", "1-3年", "职位描述职位描述负责SaaS产品的前端及后端开发维护工作。职位要求1. 精通各种Web前端技术，包括HTML/CSS/Javascript，熟悉React或Angular2. 熟悉Nodejs，熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket3. 了解多种数据库(Mysql/Mongodb/Redis)，对Liunx有一定的了解4. 对可用性、可访问性等相关知识有实际的了解和实践经验5. 爱折腾，对新技术充满好奇心，开放乐观，愿意用技术改变世界加分项1. 了解zookeeper/qconf，并有相关实践2. 提供blog/github/stackoverflow，或任何可以展现你技术的地址", "上海微骆信息科技有限公司", "少于15人", "初创型(天使轮)", "企业服务,数据服务", "4.9"
"拉勾", "Node.js", "Node.js", "15000-20000", "大专", "杭州", "1-3年", "职位描述1、熟练掌握C++，并能用C++进行面向对象编程，有项目经验者优先2、熟练一种脚本编程语言，如lua3、熟练LUA的优先4、能承受工作压力，具有高度的耐心、细心、恒心、责任心5、热爱游戏开发", "浙江冰峰科技有限公司", "50-150人", "初创型(天使轮)", "游戏", "4.6"
"拉勾", "Node.js", "Node.js", "20000-35000", "大专", "北京", "3-5年", "职位描述职位描述岗位职责：基于Node.js的服务端架构设计和研发。任职要求：1. 三年以上Server端开发经验，并拥有至少一年的Node.js开发经验2. JavaScript 基本概念清晰，熟练掌握闭包、事件、回调、Promise 等3. 熟练掌握Node.js核心模块的和常用模块 (如 Express 等) 的使用；熟悉Node.js及其相关工具链和开源生态，并了解Node.js在Linux操作系统下的部署、生产环境管理；4. 具有.NET、 Java、Python、PHP等其中一种后端语言的开发经验；5. 熟悉 MongoDB，Redis，MySQL，RabbitMQ 一种或多种6. 能阅读理解英文文档7. GitHub帐号开通时间在半年以上8. 为自己的代码编写单元测试代码; 熟悉测试流程，能熟练使用至少一种Bug Tracking系统加分项：1. 拥有或参与过 Github 开源项目；2. 具备全栈开发能力；3. 有性能测试、内存泄露诊断或调优经验工作地点：10号线地铁健德门站；公司提供交通便利的办公地点→ 地铁出站后站步行5分钟；活跃快乐的工作环境→ 丰富团建活动，内部培训，读书分享会等；行业内有竞争力的福利待遇→ 给力的薪酬计划，绩效奖金，员工期权计划，年底双薪，丰厚年终奖，带薪年假，定期体检；个人晋升空间→ 每半年一次晋升机会。", "北京好奇心科技有限公司", "15-50人", "初创型(天使轮)", "移动互联网,金融", "3.9"
"拉勾", "Node.js", "Node.js", "15000-22000", "不限", "上海", "1-3年", "职位描述岗位要求：熟悉 Node.js，有一年以上实践经验。扎实的基础知识，包括但不限于 HTTP 协议、UTF-8 编码、MVC模式等；扎实的现代 JavaScript 语言及编程模式知识；开发过实际上线运行且用户量不少于10K的网站系统；良好的工程素养，习惯使用 git, unit test等来辅助开发工作；有团队精神，易于沟通;熟悉 MySQL 数据库，对于大数据量的处理有一定的经验。有以下能力者优先考虑：习惯阅读英文技术资料；熟悉 Redis 缓存；熟悉 MongoDB/CouchDB/HBase/Cassandra/Neo4j 任意一种或多种；有后端数据批量分析处理经验；", "上海熙际信息科技有限公司", "15-50人", "成长型(A轮)", "移动互联网,文化娱乐", "-"
