"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "PHP", "PHP", "10000-15000", "本科", "上海", "1-3年", "职位描述岗位职责：1、 负责公司公众微信号功能模块设计与编程工作。完成各类产品功能实现、迭代升级。2、 负责公司现有项目的维护；3、 负责公司主营产品PHP程序开发；4、 负责系统、数据库开发与协助优化及修改；5、 配合支持市场部、业务部、客户对现有产品的改进需求；6、 参与系统的维护、支持、调优工作；7、 能够独立负责项目开发工作；任职要求：1、至少2年或以上PHP开发经验，大专以上学历；2、熟练掌握PHP+MySQL环境的Web应用开发，熟练掌握MySQL数据库设计开发，精通Think PHP框架；3、熟练掌握HTML、CSS、Javascript，有一定的跨浏览器开发经验，具备优化Web应用程序性能经验；4、熟练使用jquery、Ajax技术，MySql数据库；5、具备良好的代码编程习惯、较强的文档编写能力、要求结构清晰，命名规范，逻辑性强，", "递易（上海）智能科技有限公司", "150-500人", "成长型(A轮)", "O2O,硬件", "3.2"
"拉勾", "PHP", "Java/PHP开发工程师", "6000-8000", "大专", "广州", "1-3年", "职位描述INI创旭国际作为一家基于消费者洞察而进行企业创新发展的专业机构，致力为客户提供高增值信息服务和落地解决方案。现公司拓展互联网软件开发业务，打造用户需求和体验测试的互联网平台，实现消费者洞察研究与互联网的完美结合。现因业务拓展需要，诚聘IT技术人士一名，待遇丰厚，发展空间巨大，欢迎有志人士应聘。【岗位职责】：1. 配合公司业务需要，参与互联网平台产品的设计、研发、调试、发布和运营维护2. 负责平台产品的问题跟进反馈，分析市场和用户需求，完善产品功能开发3. 负责公司服务器、电脑、网络和相关IT办公设备的日常维护和管理4. 负责公司网络及数据信息的安全管理工作，及时处理网络及计算机故障维修5. 负责公司网站、OA系统、企业邮箱的日常维护和管理6. 完成上级领导安排的其他事项【岗位要求】：1. 大专以上学历，信息系统、软件工程、计算机等相关专业优先2. 2年以上JAVA、J2EE及其相关框架的程序开发经验3. 熟悉MySQL数据库应用开发，认识索引应用和优化，了解MySQL的数据库配置管理、性能优化等基本操作技能；4. 熟悉电脑相关软硬件、IT设备、网络等安装配置，对服务器、路由器、交换机、防火墙等有一定了解，具备故障诊断能力5. 具有良好的项目流程把控意识，善于协调和沟通6. 学习能力强，工作积极主动，自我要求高，追求极致，责任心强；7. 抗压能力强，乐于面对挑战；具备良好的逻辑思维能力及团队协作能力。", "广州创旭锐研商务咨询有限公司", "15-50人", "初创型(不需要融资)", "移动互联网,广告营销", "-"
"拉勾", "PHP", "PHP主管", "10000-20000", "本科", "北京", "3-5年", "职位描述1、本科以上学历，计算机相关专业；2、3年以上Linux下php;3、熟悉Linux操作系统4、熟悉Mysql等数据库管理、开发；熟悉Memcache等尤佳；5、熟悉TCP/IP，熟悉网络服务开发，对高并发、海量处理、负载均衡、容错处理等有深入的理解；6、全面的软件知识结构（操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全）；7、具备良好的分析解决问题能力，能独立承担任务，有系统进度把控能力；8、责任心强，具有良好的对外沟通和团队协作能力，主动，钻研；9、面试请携带书面简历和可以展示的作品。", "北京趣乐科技有限公司", "15-50人", "成长型(A轮)", "移动互联网,硬件", "3.2"
"拉勾", "PHP", "PHP", "10000-15000", "本科", "广州", "1-3年", "职位描述这么大的平台和发展空间，只要你有想法，让代码直戳客户心（G）窝（Dian）我们都会支持！", "广州老虎科技信息技术有限公司", "50-150人", "成长型(不需要融资)", "社交网络", "-"
"拉勾", "PHP", "PHP开发工程师", "8000-15000", "大专", "深圳", "1-3年", "职位描述职位描述1.按照要求完成B/S架构电商管理软件设计、编码和测试；2.完成系统联调，验证及发布；3.编写项目相关的开发、设计文档岗位要求1.计算机或相关专业专科以上学历，熟悉Linux配置，精通PHP，能独立承担Web前、后端工作；2.具备良好的沟通表达、团队协作能力，有较强的学习能力和探索精神，责任心强、自我驱动；3.具有面向对象设计思想，具备独立分析和解决问题的能力；4.熟悉电商B2C，B2B系统；5.掌握JavaScript、 HTML 、XML、 CSS、 Ajax等Web前端技术，能处理复杂的页面效果；6.具备良好的英语阅读和写作能力。", "成都农淘科技有限公司", "15-50人", "初创型(未融资)", "电子商务", "-"
"拉勾", "PHP", "PHP工程师", "6000-10000", "本科", "西安", "1-3年", "职位描述1) 2年php经验以上，独立做过项目；2) 熟悉Yii Framework 1或2，或其他php框架，并有此框架开发半年以上经验；3) 熟悉jQuery或Javascript；4) 熟悉HTML5／CSS3，熟悉Twitter Bootstrap优先；5) 熟练的英文读写能力；6）踏实，认真，执行力强，自学能力强者优先；7) 有团队协作经验优先；", "北京盛安德科技发展有限公司", "150-500人", "成长型(不需要融资)", "移动互联网,企业服务", "4.3"
"拉勾", "PHP", "PHP", "6000-12000", "大专", "厦门", "1-3年", "职位描述职位职责：1、以技术角度参与产品规划并负责后端架构设计与代码实现；2、不断优化技术实现，保障系统安全、可靠、高效运行；职位要求：1、一年以上后端开发工作经验，计算机相关基础知识扎实；2、熟悉php开发以及常用框架，并了解其差异及适用场景；3、熟悉MySQL数据库的使用以及优化，有大数据处理经验者优先；4、如果你是某方面技术大牛或者对技术够饥渴，以上要求对你不适用；5、对代码有洁癖者优先。", "福建省秒贝科技股份有限公司", "15-50人", "初创型(未融资)", "移动互联网,电子商务", "4.8"
"拉勾", "PHP", "PHP", "12000-24000", "不限", "北京", "1-3年", "职位描述岗位职责：1、负责后台接口的设计和研发工作；2、负责管理系统后台页面工作。任职要求：1、1-3年以上LNMP开发经验；2、熟练掌握PHP，熟悉MySQL的设计和优化，熟悉HTTP/HTTPS协议；3、具备高度的责任心、良好的沟通能力和团队合作精神；4、掌握主流的开发框架：Yii、ThinkPHP、Laravel、CodeIgniter之一；5、了解 Memcache，Redis；6、了解 HTML5 JavaScript 优先。福利待遇：1、 弹性工作时间，午休时间弹性，有四川阿姨做的可口饭菜；2、 五险一金、周末双休、国家法定节假日等福利；3、 准上市公司，发展前景广阔，工作技术氛围深厚。", "北京朗亿迅联科技发展有限公司", "15-50人", "初创型(未融资)", "移动互联网", "-"
"拉勾", "PHP", "PHP开发工程师", "10000-20000", "本科", "深圳", "3-5年", "职位描述岗位职责：1、带领项目组完成设计开发可扩展的、面向服务的应用系统；2、辅助架构师一起完善业务系统架构，并指导、带领初级工程师完成开发工作；3、制定项目开发方案，熟悉核心代码编写；4、协同多个部门的技术需求，具备卓越的抽象能力、架构分析能力与设计能力；5、积极参与项目前期需求设计、并提出建设性意见和建议，保证项目顺利、高质量进行；负责公司平台网站的管理，包括网站后台开发、底层架构搭建及数据库应用，并解决项目运行过程中的技术问题，以及后期维护工作；岗位要求：1、本科及以上学历；2、英语可作为工作语言；（要与印度开发团队对接）3、熟悉B2B商业模式，熟悉常用B2B网站或类似电商平台；4、熟悉PHP主流框架，有项目经历；5、熟悉MySQL数据库并有关系型数据库设计经验；6、熟悉Javascript、HTML、CSS、XML，熟悉HTTP协议；7、Linux相关系统实际运维经验；会Linux的常见操作和系统优化（包括安装系统，权限管理<文件权限和用户/用户组的权限操作和管理>，系统内核优化，日志排错，任务配置）;8、熟悉和了解互联网的网站发布和运维流程;9、具备良好的代码编程习惯及较强的文档编写能力。10、深刻理解跨境电商应用系统，能够理解抽象业务逻辑，并开发出与业务需求相适应的业务系统；11、具有良好团队合作精神，有高度的责任心，能独立负责项目完成整体工作。", "广东联塑科技实业有限公司", "2000人以上", "上市公司", "生活服务", "4.4"
"拉勾", "PHP", "PHP", "4000-8000", "大专", "西安", "1-3年", "职位描述岗位职责： 1、熟练掌握LAMP(Linux+Apache+MySQL+PHP)的开发，一年以上的php编程经验； 2、熟悉面向对象程序设计与开发，有良好的编程习惯和简洁清晰的代码风格； 3、对网站性能、安全、搜索引擎优化等有一定的了解； 4、熟悉Discuz!框架，有二次开发经验者优先； 5、有较强的快速学习能力、沟通和团队协作能力； 6、热爱互联网及电子商务，愿与公司长期共同发展。人才规格： 1、大专以上学历，一年以上相关工作经验； 2、优秀应届毕业生也可以放宽条件。", "北京博导前程信息技术有限公司", "150-500人", "上市公司", "电子商务,教育", "3.0"
