"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Python", "Python初级开发工程师", "5000-10000", "大专", "北京", "1-3年", "职位描述职位描述：参与支付系统相关代码设计，开发，维护。一年左右Python开发经验(有后台经验愿意转Python也可培养)。熟悉Python语言，基础扎实，熟练使用Python常用模块。熟悉Django/Tornado框架。了解MySQL/Redis数据库技术。具备良好的编码习惯，熟悉Git工具。具备单独解决工作中问题的能力，团队合作精神，积极工作态度和责任心，良好的沟通和学习能力。", "小付钱包技术（北京）有限公司", "150-500人", "初创型(未融资)", "移动互联网,金融", "3.7"
"拉勾", "Python", "Python开发工程师", "15000-25000", "大专", "北京", "3-5年", "职位描述职位描述：1、提供基础旅游产品数据支持；2、网页结构分析，网页信息提取等技术开发；3、优化抓取策略和算法。提升爬虫的抓取效果；4、开发自动化工具。任职要求：1.熟悉Python语言、掌握Django，Scrapy等框架；2.熟练运用Nginx、Mysql、Redis、Memcache等工具；3．熟悉Linux，熟练运用Linux的基本命令操作4.自我学习能力强，分析解决问题能力强，极具主动精神及创业精神，善于沟通交流，有责任感，有团队协作精神，对新技术敏感。", "乐飞天下信息技术(北京)有限公司", "15-50人", "初创型(未融资)", "移动互联网,旅游", "4.3"
"拉勾", "Python", "Python", "5000-10000", "本科", "北京", "不限", "职位描述Apkplug是新兴兴起的技术性创业公司，这里有技术大大们，美女前端，美女运营，等等俊男靓女，独独缺了你，Apkplug团队一直在等待一波喜欢创业，爱好创业，臭味相投的你们，我们在Apkplug，你在哪儿入职大礼包：1，13薪2，丰厚的期权3，想吃就吃的零食和水果4，周六下午茶和周末聚会，让你随时随地参与趴5，餐补和交通补助Ps:1，待遇在Apkplug不是问题，工作经验在Apkplug也不是问题，关键是看个人能力，如果你能胜任这份工作，那么一切就都ok的2，唯一的要求就是，您是真正喜欢并且热爱这份工作，期望加入Apkplug一起将其壮大。3，如果您有blog或其他个人网站请和简历一并发过来*****************************************************************任职要求：1、 本科及以上学历,计算机，通信，电子工程或相关专业；2、 至少掌握java或Python一门语言；3、 熟悉网站和服务器后端开发；4、 熟悉SVN或Git等相关的代码管理工具；5、 熟悉Unix/Linux操作系统，掌握mysql/oracle数据库知识;6、 熟悉服务器与移动端的互交流程；7、 熟悉主流的分布式系统相关技术，如Apach/Nginx，Hadoop，MongoDB，Memcached, Redis等优先考虑；8、 有参与开发完整的网站系统的经验者优先9、 学习能力及适应能强，愿意尝试挑战。有很好的沟通能力，能和团队人员共同解决困难问题。岗位描述：根据开发进度和任务分配，完成服务器端开发任务；", "北京点豆科技有限公司", "少于15人", "初创型(天使轮)", "移动互联网,企业服务", "3.8"
"拉勾", "Python", "Python（实习生）", "4000-8000", "本科", "北京", "不限", "职位描述岗位职责：1、根据产品需求和系统规划，完成需求分析和开发文档的撰写；2、负责金融行业大数据产品的服务器端功能开发；3、负责网络爬虫系统设计和开发；岗位要求：1、计算机或相关专业毕业，具备良好的沟通能力；2、精通Python语言及第三方库，熟悉Linux系统，2年以上实际项目代码编写经验；3、熟悉mysql，有nosql数据库经验的优先；4、熟悉Python科学计算类工具库者优先，如NumPy、Pandas等；5、熟悉爬虫系统开发者优先;（如果你是技术达人，学历也不是问题哦）", "北京览云精微科技有限公司", "少于15人", "成长型(A轮)", "游戏,数据服务", "4.4"
"拉勾", "Python", "python研发工程师", "10000-16000", "本科", "北京", "1-3年", "职位描述职位描述：1.负责大规模集群系统监控和CDN业务监控系统的架构、设计和开发2.负责核心业务组件的监控开发和性能优化任职要求：1.扎实的python基础，熟练使用Flask、Django；2.至少熟悉MySQL、Redis、MongoDB之一，熟悉数据库索引；3.熟悉数据结构和算法，有扎实的计算机功底和强大的编码能力；4.熟悉Nginx；5.沟通良好，能在团队合作下协同工作。", "高升控股股份有限公司", "150-500人", "上市公司", "企业服务,数据服务", "4.5"
"拉勾", "Python", "Python实习工程师", "4000-8000", "本科", "北京", "不限", "职位描述职能：   在资深工程师的指导下，参与优集品移动API 、网站 & 内部管理系统的开发工作。要求：计算机相关专业在校生；掌握Python语言，对django或tornado有一定实践经历；了解MYSQL；掌握基本算法与数据结构知识；热爱编程，基本功扎实，逻辑性强；一周到岗四天以上；", "北京优集品网络科技有限公司", "150-500人", "成熟型(C轮)", "电子商务", "4.5"
"拉勾", "Python", "Python工程师", "15000-30000", "本科", "上海", "3-5年", "职位描述职位描述：负责网站系统的开发和维护；集成第三方webservice等接口。任职条件：熟悉python语言，3年以上工作经验；具备“爬虫”类项目开发经验；熟悉http协议，可以进行网络编程；熟悉git的使用，能在linux环境下开发，布署；熟悉git的使用；有一定的沟通能力和团队精神", "上海大岂网络科技有限公司", "50-150人", "成长型(A轮)", "移动互联网", "-"
"拉勾", "Python", "后端开发工程师 Python", "14000-19000", "本科", "上海", "1-3年", "职位描述1.计算机相关专业，1年以上服务器后端开发经验；2.至少用过一种后端开发语言(Java, Python, Ruby, Erlang, Scala ... etc)；3..至少用过一种SQL数据库和一种NOSQL数据库及相关ORM；4.至少熟悉一种主流应用服务器(Tomcat、JBoss、Apache、Nginx等)；5.有Web前端开发经验者或敏捷开发（Agile/Scrum）经验者优先；6.有良好的数据结构算法基础者优先。7.负责Python后台项目的架构设计以及开发，包括但不限于app交互接口和web端；职位要求：1、熟练掌握至少一种Python Web框架2、能独立设计稳定高效的大型支付、金融及其他商业系统平台/系统架构；3、良好的算法与数据结构基础4、熟悉Socket编程，能独立实现push协议", "红上金融信息服务（上海）有限公司", "2000人以上", "成熟型(不需要融资)", "金融", "5.0"
"拉勾", "Python", "脚本开发-Python/shell", "8000-16000", "本科", "杭州", "不限", "职位描述1、熟悉Linux系统，系统常用命令，系统健康检查分析；2、熟悉Shell、Python脚本语言，能开发测试工具；3、熟悉C语言，熟悉GO语言优先；4、有两年脚本开发经验者优先；5、有一定的资料编写整理能力；", "北京通力互联技术服务有限公司", "2000人以上", "成熟型(不需要融资)", "电子商务,企业服务", "3.9"
"拉勾", "Python", "Python/Go开发", "15000-30000", "本科", "上海", "1-3年", "职位描述岗位职责：1、负责web前后端开发，提供给其它组件设计和性能良好的restful接口2、按需求说明编写高质量的代码；3、能够独立完成相对复杂的模块设计；岗位要求：1、愿意学习GO语言, 热爱技术, 思维开放, 乐意学习新东西2、拥有丰富的Python/Go使用经验，熟悉Linux工作环境3、熟悉常用的数据存储系统和性能优化技巧，比如Mongodb、Mysql、Redis等4、平时使用Git，具有良好的编码风格和架构意识5、有前端开发经验，能进行全栈开发的优先6、具备优秀的理解、沟通、学习能力，较强的自我驱动力", "上海方付通商务服务有限公司", "500-2000人", "成熟型(不需要融资)", "移动互联网,金融", "3.8"
