"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "Ruby", "Ruby助理工程师", "8000-12000", "本科", "北京", "不限", "职位描述职位描述：+ 设计，开发并运营维护系统；职位要求：+ 985/211统招本科以上学历；+ 熟悉Linux系统；+ 工作习惯良好：自驱动，擅于合作，代码清晰整洁，热爱编程；职位亮点：+ 我们已经有大量的付费用户并开始盈利。+ 我们后台接口日访问量超过2000w。+ 我们前端用Ember.js，后台用Ruby、Java、Node.js、Erlang。+ 我们已完成B轮融资，投资方DCM、君联资本。", "北京沃丰时代数据科技有限公司", "150-500人", "成长型(B轮)", "企业服务,数据服务", "3.9"
"拉勾", "Ruby", "Ruby", "10000-15000", "本科", "苏州", "3-5年", "职位描述1、 3年以上Ruby开发经验2、 熟练掌握Ruby, Ruby on Rails，Node.js3、 熟悉Angularjs技术4、 熟悉PostgreSQL/MySQL等数据库5、 熟悉ElasticSearch, Rubber.6、 具备英文读写能力，最好能英文口语交流。", "北京盛安德科技发展有限公司", "150-500人", "成长型(不需要融资)", "移动互联网,企业服务", "4.3"
"拉勾", "Ruby", "Ruby on Rails 开发工程师", "6000-12000", "本科", "武汉", "1-3年", "职位描述我们正在寻找经验丰富，充满激情的Ruby on Rails开发人员加入我们在中国的开发团队。这支团队将提供程序开发和技术支持，包括设计和开发一个高度可扩展的网站和增加许多新的令人兴奋的功能。任职资格:你是一个真正的开发工程师，而不仅仅只是一个系统管理员。你在Ruby on Rails，单元测试和自动化集成方面有丰富的经验。（在网络媒体交付基础架构方面有丰富开发经验者优先）你在JavaScript/HTML/CSS和跨浏览器的兼容性问题方面有丰富的开发经验。你在Linux, AWS (S3/EC2), Heroku 和基于云计算技术方面有相关的工作经验。你在代码方面追求干净和清洁，追求完美。你有一年以上的实际工作经验。（在RoR编程与开发方面有经验者优先）职位要求:具有出色的书面和口头沟通能力。（良好的英语理解能力是必备的。）具有积极的态度，努力工作和按时完成任务的愿望，有自觉独立完成工作的能力。追求细节，自我激励，有组织，独立，采取所有权分配工作。性格开朗, 能融入我们好玩的团队。诚实，热衷学习新的东西。福利待遇:零食饮料任吃。具有竞争力的工资。灵活的工作时间。健康福利 (五险一金)。节假日薪酬。奖励津贴和礼物（根据公司及个人表现）。年终奖金。不定期组织旅游（8月底去普吉岛了，潜水简直不能更棒啊）。其他…(我们将暂时将其作为惊喜)。", "武汉市道源科技有限责任公司", "15-50人", "初创型(天使轮)", "教育,招聘", "4.7"
"拉勾", "Ruby", "Ruby开发工程师", "10000-20000", "不限", "北京", "3-5年", "职位描述职位描述：开发彩程设计旗下的软件产品这是一份允许你在家远程工作的职位，你将和分布在全国乃至全球各地的 Tower 团队成员一起，在家里用最舒服的姿势，为我们引以为豪的 Tower.im 和 「知人」 产品贡献代码。职位要求：热爱创造，热爱解决问题。3年以上的前端或后端开发经验，能够编写整洁易读的代码。前端工程师需要熟悉 Ruby on Rails，有后端开发经验。后端工程师需要精通 Ruby on Rails，如果也能搞定前端开发，加分加薪。前端工程师要有一定的设计功底，对好的产品设计、视觉设计、交互设计有自己的见解。喜欢 Tower 并且是 Tower 用户，加分不加薪。", "成都彩程软件设计有限公司", "15-50人", "成长型(A轮)", "企业服务", "5.0"
"拉勾", "Ruby", "Ruby工程师", "15000-30000", "本科", "北京", "1-3年", "职位描述工作职责：&middot;用行业的最优方案设计、构架和开发在线消费信贷系统；&middot;配合公司的产品开发团队和其他部门的工作。要求：&middot;2年以上Web系统开发经验；&middot;实际生产环境下的Ruby on Rails开发经验；&middot;熟悉常用数据库，熟练掌握SQL语句；&middot;熟练利用Ajax进行用户交互设计；&middot;熟悉git及Rails系统部署；&middot;熟练利用Rspec进行测试驱动开发；&middot;良好的沟通能力；&middot;自我激励与自我管理；&middot;能够适应快速的工作节奏和环境；&middot;对Web新技术充满热情；&middot;具有团队管理经验者优先；&middot;能用英语交流者优先。", "北京盼大世纪信息技术有限公司", "15-50人", "成长型(B轮)", "金融", "-"
"拉勾", "Ruby", "Ruby开发工程师", "10000-18000", "本科", "深圳", "1-3年", "职位描述任职要求：1、二年Ruby on Rails开发经验；2、扎实基础知识，良好代码规范；3、熟悉敏捷开发流程；4、具有优秀的沟通能力与团队合作能力，学习和独立解决问题的能力；5、有互联网产品系统架构经验、性能优化经验。加分项：运维经验；前端开发经验，熟悉vue.js等前端开发框架以及自动化构建工具，如webpack。该岗位配期权", "车当(深圳)网络科技有限公司", "少于15人", "初创型(天使轮)", "移动互联网", "-"
"拉勾", "Ruby", "Ruby后端实习生", "4000-8000", "本科", "北京", "不限", "职位描述【岗位职责】作为Ruby后端实习生，你将参与VR视频产品后端开发。你可以参与的项目包括（但不限于）：内容系统、社交系统后端，视频处理与streaming，growth hacking，数据分析系统，全球CDN部署等【岗位要求】熟练掌握一门编程语言；有互联网产品开发经验优先；扎实基础知识，良好代码规范；具有优秀的沟通能力与团队合作能力，学习和独立解决问题的能力；良好的英文资料阅读能力；对VR行业了解、有热情【关于我们】成立于2016年6月，VeeR由三位放弃百万年薪的硅谷海归创业者，相识七年的上海交大校友共同创办，坐标中关村 (地铁四号线中关村站)。公司成立之初多家一线美元基金数百万美元注资。我们的创始团队成员来自上海交通大学，北京大学，Stanford University，UC Berkeley，Twitter，Facebook，Adobe，Coursera和多家国内一线互联网公司。我们的愿景是让VR真正跨越国界和文化，让任何人能够在任何地点体验任何精彩。在这里你可以跟随世界顶级技术大牛学习前沿技术，和Google Daydream及Facebook Oculus的资深VR技术专家顾问团切磋交流，参与硅谷Style的敏捷开发迭代！", "北京为快科技有限公司", "15-50人", "初创型(天使轮)", "社交网络,文化娱乐", "4.1"
"拉勾", "Ruby", "高级Ruby/Rails/全栈工程师", "15000-20000", "本科", "上海", "3-5年", "职位描述我们崇尚工程师文化, 但希望你认同我们所认为的工程师精神: 真正的工程师热心了解业务背景, 理解使用者所面对的问题, 他们带走问题, 钻研方案, 反复测试, 只交付自己认为质量值得信赖的结果. 编程只不过刚好是最优雅解决问题的的工具之一. 他们绝不是按着需求进行代码实现的码农.职位: 高级软件工程师（Ruby）职责:- Web基础平台的架构和开发（对传统邮件、提醒、任务系统的变革）- 产品业务系统的架构和开发（VRM，CRM等核心系统）- 数据平台的研究和开发（包含爬虫、商业报表等）- 负责服务器端性能优化、部署架构（AWS，auto-scaling，devops）要求:- 计算机或相关专业本科以上- 2年以上Ruby/Rails研发经验- 能独立架构开发高并发的Web网站（包含REST API等）- 熟练使用MySQL，Linux或Mac开发和服务器环境- 有写单元测试代码习惯优先:- Web全栈或数据挖掘、处理经验者优先- 对互联网行业与技术充满热忱, 理解一个创业公司所面对的高速, 多变, 与未知- 开源项目经验 (请提供 Github, Stackoverflow, 或类似社区账号)- 了解日本文化, 了解日语 (工作不涉及日语交流, 只是希望对业务背景有一定了解)待遇：- 税前月薪10-20k，五险一金- 免费零食，晚饭、交通津贴- 期权奖励，绩效奖金- 公司年度旅游- 参加技术会议培训机会，公司报销- 全Mac工作环境，畅通使用Google- 扁平组织架构，轻松愉快的工作环境- 牛人左右的学习机会、无国界的成长空间、高速的发展的行业", "上海石翼网络科技有限公司", "15-50人", "成长型(A轮)", "金融", "-"
"拉勾", "Ruby", "Ruby工程师", "9000-15000", "本科", "成都", "1-3年", "职位描述工作职责：rails框架平台下，web服务器开发，app服务器接口开发，后台管理网站开发。岗位要求：对技术狂热、执着（发自内心），积极主动、快速的学习、领悟能力拥有5年以上互联网项目开发经验. 或拥有8年以上软件开发经验。熟悉Ruby语言，及Ruby on Rails 框架. 至少2年rails开发经验.良好的代码习惯，重视可读性，可维护性。熟悉Linux操作系统.熟悉数据库(MySQL)及SQL语句, 理解sql优化。理解http协议及其背后的基础设施(代理服务器等)熟练使用基本的前端技术HTML/CSS/Javacript良好的英文阅读能力如果喜欢并常用GMail、Google Docs等更佳喜欢测试驱动开发更佳我们提倡的风格：上班认真做事，下班好好生活；我们提供理想的薪酬；我们提供5险1金；我们还有丰盛的食堂美食；我们支持个人提高，我们提供购书基金。成都每日经济新闻报社技术部邀请各位人才，一起打造中国最重要的新闻媒体类互联网平台。", "每日经济新闻报社有限公司", "150-500人", "成长型(不需要融资)", "移动互联网,其他", "4.5"
"拉勾", "Ruby", "Ruby研发工程师", "6000-10000", "大专", "广州", "1-3年", "职位描述1、2年以上Rails&Ruby开发经验；2、熟悉 PostgreSQL 数据库应用开发，了解 PostgreSQL 的数据库配置管理、具有 PostgreSQL 索引优化、查询优化和存储优化经验,熟悉NOSQL(MongoDB)尤佳3、熟悉 HTML5, CSS3 及 Mobile Web 相关 Standards4、熟悉 JavaScript脚本开发, AngularJS必备。5、熟悉WebSocket6、熟悉 Web 应用开发安全规范、掌握软件设计流程和软件工程规范，具备良好而规范的设计和技术文档编写能力，拥有良好的编写代码习惯，逻辑结构清晰，命名规范，代码冗余率低；7、富于团队精神和敬业精神，沟通协调能力好，具有良好的自学能力和独立解决问题的能力；", "深圳阿拉丁神灯信息科技有限公司", "少于15人", "初创型(天使轮)", "教育,电子商务", "5.0"
