"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "数据挖掘", "数据挖掘组长", "20000-25000", "本科", "深圳", "3-5年", "职位描述岗位职责：1.负责反欺诈平台各类风险安全数据的分析和挖掘工作；2.负责反欺诈策略、模型的设计及开发工作；3.负责反欺诈相关数据清洗提取、特征工程及模型平台的建设工作。4. 负责壹佰借款用户信用评级模型的建设和优化；5. 负责数据挖掘和机器学习常用模型和工具建设；任职资格：1. 本科以上学历，计算机及相关专业毕业；2 .3年以上数据挖掘相关工作经验；3. 具备扎实的数据挖掘、机器学习基础，熟练掌握常用模型，比如逻辑回归、决策树、SVM、贝叶斯等；4. 爱好数据掘，熟悉深度学习优先", "深圳市壹佰金融服务有限公司", "150-500人", "成长型(不需要融资)", "移动互联网,金融", "3.7"
"拉勾", "数据挖掘", "高级数据挖掘工程师", "10000-20000", "本科", "上海", "1-3年", "职位描述1. 对海量日志数据进行分析处理，发现和跟踪其中的问题；2. 能够利用数据挖掘理论解决实际问题，比如实现模块或流程自动化，或者是各种算法优化；3. 个性化推荐算法，搜索算法，信息分类等算法的研发；4. 能建立各种业务逻辑模型和数学模型任职资格：1. 本科以上学历；2. 熟练掌握基本的计算机科学知识，包括算法与数据结构；3. 能熟练使用Python等脚本语言进行数据处理和分析；4. 熟悉常用机器学习模型，如决策树，逻辑回归，支持向量机，神经网络以及各种聚类算法；5. 有数据挖掘、机器学习、信息检索、自然语言处理等学术成果者优先，有个性化推荐、搜索项目经验优先。", "五五海淘（上海）科技股份有限公司", "150-500人", "成长型(A轮)", "电子商务", "4.2"
"拉勾", "数据挖掘", "数据挖掘", "20000-40000", "本科", "北京", "3-5年", "职位描述岗位要求：1、爱数据，看到数据就像花见蜜，狗见屎；2、计算机相关专业,全日制统招本科以上学历，智能交通数据挖掘方向研究生及以上学位优先；3、熟练使用java语言，有sql或mysql数据库开发经验，4、具备较强的编码能力，扎实的数据结构和算法功底；5、熟练掌握数据挖掘领域的基础理论和方法，有一定的相关研究或项目经验优先；6、熟悉一种数据分析脚本语言，如php、python等优先；岗位描述：1、 交通数据挖掘、建模，并形成运营指导基础；2、 专项运营数据挖掘，并形成专题分析报告；3、 日常运营数据分析，并形成运营指导意见。智能交通数据挖掘方向研究生及以上学位优先；另：此岗位需要独立完成工作，没有团队。", "北京一度用车信息科技有限公司", "50-150人", "成长型(A轮)", "移动互联网", "4.3"
"拉勾", "数据挖掘", "数据挖掘工程师", "25000-50000", "本科", "北京", "5-10年", "职位描述职责描述：1. 制定数据分析的工作流程和规范2. 数据报表设计、开发及日常维护3. 及时响应数据统计分析需求，并提供适当的解读分析4. 结合业务特点，探索并建立分析主题，对数据进行深度分析和挖掘岗位要求：1. 本科或以上学历，计算机、统计、数学等相关专业毕业2. 熟练使用至少一门编程语言3. 有云平台实践经验4. 充分的数据敏感度，能从海量数据表现中提炼核心结果，及时分析数据中隐含的变化和问题5. 优秀的分析问题和解决问题的能力，能够把合理的思路成功应用于实践6. 表达能力强，具备优秀的快速学习能力、沟通协调能力及团队精神", "五洲万象（北京）科技有限公司", "15-50人", "成长型(A轮)", "移动互联网", "4.8"
"拉勾", "数据挖掘", "数据挖掘", "18000-35000", "本科", "北京", "3-5年", "职位描述职责要求：1、 精通SQL，有较好的SQL性能调优经验；2、 熟悉数据仓库各类建模理论，以及数据仓库数据层级关系，精通多维数据模型设计，具备大型数据仓库架构设计、模型设计和处理性能调优等相关经验；3、 优秀的协调沟通与团队协作能力，愿意专注于技术研发；4、 有大数据分布式计算平台开发经验,熟悉Hadoop原理，熟练使用PY,Hive开发，熟悉Impala,Presto等大数据AD HOC平台优先。5、 有DBA经验、Hadoop、Hive等分布式计算平台使用经验者优先；6、 有互联网，零售，供应链等行业应用经验者优先；7、 工作认真、负责、仔细，有良好的团队合作精神，良好的分析能力、沟通技巧。职位描述：参与京东重点数据产品的数据开发和建设。参与京东营销集市各个主体建设，根据京东业务设计多维模型、实现ETL。为业务部门提供数据报表支持，通过分析工具帮助用户定制数据。为业务部门    ", "京东商城", "2000人以上", "上市公司", "电子商务", "4.2"
"拉勾", "数据挖掘", "数据挖掘", "15000-25000", "本科", "合肥", "1-3年", "职位描述主要职责 Main responsibility:1. 提交周/月/季度分析报表，对电商平台的销售情况进行数据汇总，及对主要竞品的市场数据调研；2. 在网站数据和营销传播2个方向上提供多维度分析，并根据分析结果提出业务策略建议；3. 负责使用网站分析工具，对全站的流量进行统计、分析和监控，分析流量的来源、关键词、访问深度、停留时间等维度，得出相应的逻辑给出指导意见；4、对各个推广平台的数据进行整理，统一优化整个系统的数据资源，配合业务部门进行全渠道营销；5、整理客户资料，分析客户属性和消费行为，分析网购人群的购买习惯，并通过购买习惯优化产品，与业务部门保持良好的沟通以推进各种营销方案的执行；6. 预算分析及历史数据分析、产品信息资料整理、订单汇总分析；7. 完成直属上司布置的其它工作；任职要求：1）211/985大学统计学专业本科或者硕士；2）熟练使用SPSS或者SAS或者R软件；3）建模分析经验（包括但不限于分群模型，预测模型，回归分析，相关分析等）", "车好多旧机动车经纪(北京)有限公司", "2000人以上", "成长型(A轮)", "O2O", "4.1"
"拉勾", "数据挖掘", "数据挖掘", "8000-16000", "博士", "北京", "3-5年", "职位描述工作职责：1. 负责相关业务的算法调优，与数据方向相配合；2. 负责面向搜索与推荐相关策略的机器学习模型、方法的研究和构建；3. 能够将分析结果用书面文字和口头的方法进行技术性和非技术性的人员进行顺畅的交流；4. 能够用有效的方法对于统计模型方案的实施进行核实和验证；5. 能够为销售和市场营销人员提供数据分析来帮助售前；6. 能对现有产品提供改进方案，并协助数据类和分析类新产品的开发。任职资格：1.熟练掌握数理统计软件，如SPSS、SAS、RR或AMOS、掌握IRT、Nvivo者优先；2.熟悉一种或者多种数据可视化技术或者工具；3. 熟悉海量数据处理方法，以及相关机器学习，数据挖掘的基本算法，包括但不限于决策树、支持向量机、逻辑回归以及神经网络等算法优先；4. 熟悉搜索相关领域如相关性排序，自然语言处理等优化方法的优先；5. 较强的学习能力，良好的沟通与协作能力。", "北京译泰教育科技有限公司", "50-150人", "成长型(A轮)", "教育", "4.3"
"拉勾", "数据挖掘", "数据挖掘", "15000-25000", "本科", "上海", "3-5年", "职位描述职责1、基于hive和spark构建数据仓库2、负责业务数据的清洗、建模、统计与可视化，全方位支撑线上产品和线下业务迭代扩张；3、构建数据的监测与分析体系，帮助业务人员快速、及时发现问题并找到原因；要求1、熟练掌握SQL，理解 Hive/Mysql/Sqlserver 基本原理和调优策略；2、具备优秀的业务理解能力，具有数据建模经验，有大型数据的建模经验优先；3、熟悉Mongodb，Redis等非关系型数据库和内存数据库优先；4、具有数据清洗的经验，熟悉常用的数据清洗方法5、了解数据仓库开发流程，有数据仓库(DW)/商业智能(BI)/数据统计 相关工作经验者优先。", "上海秦苍信息科技有限公司", "150-500人", "成熟型(C轮)", "金融", "3.9"
"拉勾", "数据挖掘", "数据挖掘工程师", "15000-25000", "本科", "北京", "1-3年", "职位描述岗位职责：互联网数据抓取、数据处理、数据挖掘的算法设计与开发工作。任职要求：1、通信、计算机等相关专业毕业；2、熟悉 Python、C++、Java中的一门语言，有过完整项目开发经验；3、熟练使用 MySQL、NoSQL 数据库和Hadoop；4、热爱互联网，对搜索技术，云计算，数据挖掘等大数据处理有浓厚的兴趣；5、优秀的沟通和团队合作能力；6、熟悉大规模文本处理与挖掘算法者优先；7、有良好的英语阅读能力者优先。", "脉讯在线（北京）信息技术有限公司", "50-150人", "成长型(A轮)", "移动互联网", "1.5"
"拉勾", "数据挖掘", "数据挖掘（北京）", "15000-25000", "本科", "北京", "1-3年", "职位描述工作指责：1、负责医疗领域算法建模及相关统计工作2、负责用户及产品的数据挖掘、建模，为数据化运营提供决策支持3、探索、开发并维护数据基础设施，提供各种高效数据访问和处理工具4、相关技术方案及文档的编写岗位要求：1、掌握基本的Java工程开发能力 2、熟悉NaïveBayes,LR，GBDT等基础机器学习模型 3、有中文分词，搜索或推荐系统排序经验者优先 4、熟悉Spark/Hadoop或者阿里云ODPS等大数据处理平台者优先考虑", "北京惠每科技有限公司", "50-150人", "成长型(A轮)", "医疗健康", "4.0"
