"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "U3D", "U3D", "6000-7000", "大专", "苏州", "1-3年", "职位描述职位描述：1. 运用Unity3D工具引擎开发游戏。2. 根据策划要求，与美术一起协作，完成相关的应用功能开发。3. 负责客户端在Android、IOS平台下的功能开发，性能分析及优化等工作。职位要求：1.有Unity3D开发经验，参加过一款或以上商业化项目者优先。2.精通C#语言及面向对象编程、具有严谨的逻辑思维能力。3.熟悉游戏相关的基本算法，熟悉常规的物理算法。4.熟练使用Unity3D编辑器，熟练使用Unity 3D制作场景、UI及脚本，熟悉Unity3D游戏制作流程。5.具有良好的团队精神，沟通能力、自学能力。6.责任感强，工作认真负责，富于团队精神和敬业精神以及独立解决问题的能力。", "苏州番茄互娱信息科技有限公司", "15-50人", "成长型(A轮)", "游戏", "-"
"拉勾", "U3D", "U3D开发工程师", "10000-20000", "本科", "广州", "1-3年", "职位描述职位描述1.和策划沟通确定开发需求；2.协助美术和策划给出解决方案；3.编写游戏相关的必要的工具；4.实现需求中客户端相关的逻辑和UI。任职要求1.要求本科以上学历，计算机专业优先，有完整项目经验；2.熟悉C++或C#语言及面向对象编程、具有严谨的逻辑思维能力，善于阅读代码，自学能力强，3.Unity基础功底扎实，有一定的3D图形学基础和算法基础；4.熟悉Unity3D引擎底层架构设计；对于U3D的引擎使用有深刻认识, 有Unity3D游戏客户端实际开发经验者优先；5.富于团队精神和敬业精神，和独立解决问题的能力。", "广州速游网络科技有限公司", "50-150人", "成长型(B轮)", "移动互联网,游戏", "5.0"
"拉勾", "U3D", "U3D开发工程师", "10000-15000", "本科", "深圳", "1-3年", "职位描述岗位职责：1、接受研发负责人的领导，执行研发负责人安排的任务；2、负责Unity3D引擎平台下的产品VR SDK及Demo开发；3、负责Unity3D引擎平台下的产品VR工具等软件开发；4、承担研发部分配的软件开发工作；5、积极支持研发同事解决开发中的技术问题。任职要求：1、2年以上开发经验，具有PC和安卓移动平台Unity3D开发经验；2、具有VR虚拟现实产品开发经验者优先考虑；3、具有DirectX或OpenGL开发经验者优先考虑；4、熟练Unity3D开发，具有丰富开发经验；5、深刻理解Unity3D渲染流程和体系架构；6、熟悉Unity3D shader。", "深圳市掌网立体时代视讯技术有限公司", "50-150人", "成熟型(C轮)", "游戏,硬件", "5.0"
"拉勾", "U3D", "U3D 主程/高级开发工程师", "15000-25000", "大专", "北京", "3-5年", "职位描述1. 根据项目需求，完成unity3d项目客户端功能开发，完成网络游戏的客户端逻辑实现2. 负责客户端各类工具的开发和维护3. 与团队协作共同解决技术难题，并为产品设计提供技术评估任职要求：1、熟悉3D图形学，精通Unity3D引擎，3-5年以上Unity3D经验；2、有2款以上实际上线U3D游戏项目经验，有主程经验，会LUA的优先；3、熟悉c#，熟练掌握u3d引擎操作以及引擎构架；4、具有良好的编码习惯，严谨的编码风格；5、能融入团队，富于团队精神和独立解决问题的能力；6、有良好的沟通协调能力和执行能力。", "嘉丰永道（北京）科技有限公司", "50-150人", "成长型(不需要融资)", "游戏", "2.0"
"拉勾", "U3D", "资深unity3D开发工程师", "10000-20000", "大专", "广州", "3-5年", "职位描述岗位职责1、负责Unity3D移动端项目的研发；2、根据需求进行功能设计，以及程序设计、开发、优化工作；任职要求1、有Unity3D开发经验，精通C#，熟悉3D图形学；2、精通Unity3D引擎架构设计，熟悉UI框架和3D性能优化；3、非常熟悉Socket网络编程和HTTP协议；4、熟悉Android/iOS平台，并有移动端Unity3D上线项目优先；5、有AR/VR、游戏从业经验优先；温馨提示：面试时请带个人作品，谢谢！公司福利：1、上班时间：周一至周五：9:00-12:00 14:00-18:00 周六、周日休息2、交通方便，位于地铁一号线（坑口地铁站附近）；3、员工购买五险，4、每年安排豪华体检；5、年假、法定节日、超长春节假期；6、不定期组织活动：电影，羽毛球、豪华聚餐（希尔顿、威斯汀自助餐）等；7、日常供应饮料、水果、零食等。", "广州市寰讯信息科技有限公司", "15-50人", "初创型(天使轮)", "移动互联网,教育", "4.1"
"拉勾", "U3D", "U3D客户端主程", "15000-30000", "本科", "深圳", "3-5年", "职位描述1、负责产品客户端整体架构设计；2、负责客户端高表现的实现；3、产品性能优化和调优；4、协同美术部门制订美术资源制作规范；职位要求：1、3年及以上游戏开发经验，2年及以上U3D游戏开发经验；2、有大型U3D游戏的开发经验（非休闲单机游戏）；3、精通手游性能调优、内存优化；4、熟悉U3D Shader的开发。", "深圳市尚游网络科技有限公司", "150-500人", "成长型(不需要融资)", "游戏", "4.6"
"拉勾", "U3D", "Unity3D开发工程师（U3D开发）手游", "10000-20000", "不限", "北京", "不限", "职位描述岗位职责 1、熟悉Unity3D引擎,使用C#进行基于U3D引擎的游戏项目的开发； 2、游戏独立功能模块的代码设计及实现； 3、配合团队其他成员进行项目开发。 任职条件  1、 计算机相关专业本科或以上学历，Unity3D两年以上开发经验； 2、 熟练掌握C#或其它面向对象语言。了解常用Unity3D插件，精通NGUI； 3、 熟悉常用算法和设计模式，并能灵活运用； 4、 熟悉Object-c语言及XCode开发环境，熟悉iOS平台对接，了解Unity导出XCode工程及打包流程； 5、 有Android开发经验者优先； 6、 熟悉3D图形学原理者优先； 7、 具有较好的沟通能力和团队合作精神，积极主动。", "完美世界(北京)网络技术有限公司", "2000人以上", "上市公司", "移动互联网,游戏", "3.9"
"拉勾", "U3D", "U3D开发工程师", "8000-15000", "本科", "北京", "应届毕业生", "职位描述好胆你就来—北京4399游戏2017校招正式开始啦U3D开发工程师岗位职责：1、使用U3D游戏引擎开发手机网络游戏；2、负责客户端相关界面、逻辑开发和AI开发；3、游戏编辑器开发、移动平台sdk接入及其他事项。任职要求：1、本科或以上学历，计算机相关专业，2017届毕业生；2、热爱编程，专注于技术，有过项目经验者优先考虑；3、良好的编程思想和编程习惯，热衷并持续进行技术学习和提升；4、逻辑思维能力强，责任感强，工作积极主动，有良好的团队协作意识。公司简介： 游戏行业：以游戏为支点，撬动整个互联网资源和市场，并期望引领游戏产业发展；业务涵盖：小游戏、游戏盒、手机运营平台、页游运营平台、手游研发、页游研发、海外市场、游戏发行；门户平台：四三九九旗下平台累计注册用户突破5亿人次；4399游戏盒累计下载量超过4000万次，月活跃用户数突破800万人；；业界影响：中国高关注度的游戏研发与运营机构，全球领先的中文娱乐平台之一；团队实力：超过1500人的研发团队，30多款高品质产品制作 ，云集业界精英，汇集名校优秀学子，拥有业界先进的研发技术及充足的经验积累；领导团队：4399董事长骆海坚、hao123.com网站的创立者李兴平。实力展现：2015年度中国十大创业创新游戏企业2015年度中国十大网页游戏运营平台2015年中国互联网百强企业 TOP252015软件企业综合竞争力200强2014年度中国十大网页游戏运营平台2014中国游戏行业年会优秀企业“国家规划布局内重点软件企业”“百度搜索风云榜网页游戏平台No.1”【部分代表作】《七杀》——4399自主研发传奇网页游戏终极巨制，月流水突破5000W《暗黑战神》——4399第一款自主研发3D大型动作手游，月流水突破3000W《弹弹堂》——4399代理发行的Q版发射类竞技网页游戏。累计注册玩家数量超过6500万人，累计充值金额达到6亿元。《生死狙击》——4399代理的真3D第一人称射击网页游戏累计注册玩家数量超过2亿人，累计充值金额达到7亿元，最高同时在线玩家数超过58万人。《火线精英》——4399自主研发的一款无插件真3D第一人称射击网页游戏。累计注册玩家数量超过1亿人，累计充值金额超过1.3亿元。《格斗猎人》——4399自主开发的一款3D动作类移动网络游戏。累计充值金额超过8,000万元，最高单月充值流水已突破1,500万元。4399花式福利元宝：超越行业平均水平的薪资、五险一金、绩效奖金、年终奖、（项目奖金），有钱，任性装备：健身房、图书区、各式运动俱乐部，工作与休闲兼顾丹药：生日礼物，节日活动，员工关怀体力：高标准三餐、水果零食、下午茶、咖啡茶饮免费供应，体力随时满格活动：生日出游、节日活动/礼品，精彩无限 战斗力：导师指导，在实战中飞速提升战斗力武器：管理和专业双通道，广阔发展空间任你驰骋组队/伙伴：年(dòu)轻(bī)的同事，部门聚餐&出游，打造最强大的团队阵容", "北京四三九九信息科技有限公司", "500-2000人", "成熟型(D轮及以上)", "游戏", "3.8"
"拉勾", "U3D", "U3D", "15000-25000", "硕士", "上海", "3-5年", "职位描述VR应用开发工程师（基于Unity3D） 岗位职责:1、负责VR应用的需求分析、设计、开发等工作；2、按照项目计划,在保证质量的前提下按时完成开发任务；3、与项目相关管理、测试和需求等人员沟通和合作；4、负责相关技术文档的编写。岗位要求：1、使用Unity3d开发2年以上，熟悉3D技术；2、熟悉Android平台，了解Android 应用管理实现机制。<", "上海华为技术有限公司", "2000人以上", "成熟型(不需要融资)", "移动互联网", "-"
"拉勾", "U3D", "U3D高级工程师", "10000-20000", "本科", "广州", "3-5年", "职位描述岗位职责：1. 负责项目U3D相关模块开发；2. U3D UI界面设计和开发；任职要求：1. 计算机相关专业，本科以上学历；2.精通Unity3D及C#；3.精通Unity3D在IOS/Android平台的发布及调试；4.3年以上开发经验，一个以上Unity3D客户端开发经验；5. 有3D图形学基础，熟悉线性代数及矩阵运算；6. 熟悉OpenGL ES编程，熟悉U3D客户端常用的技术；7. 具备良好的沟通能力和优秀的团队协作能力；9. 思维敏捷，逻辑清晰，学习能力较好，工作主动性强，有独立解决问题的能力10. 有良好的面向对象分析、设计能力、规范的编程风格和良好文档习惯；11. 对AR/VR新技术持有敏感性以及愿意致力于新技术的探索和研究", "广东海狸信息科技有限公司", "15-50人", "初创型(不需要融资)", "移动互联网,企业服务", "4.0"
"拉勾", "U3D", "游戏场景/Unity3D设计师", "10000-15000", "大专", "北京", "1-3年", "职位描述职位描述：1、根据需求负责在Unity3D引擎中构建并编辑场景，布置灯光以及烘焙灯光贴图，对场景的效果和气氛有较好的表现；2、熟悉3D游戏模型和贴图的制作规范，梳理完整的制作流程和规范；3、把控场景布局、物件的摆放和氛围效果的调整；4、与程序配合完成资源整合、输出及最终效果优化。任职资格：1、美术专业毕业，3年以上3D游戏场景工作经验，1年以上unity技术美术（TA）岗位工作经验；2、熟悉Unity3D引擎，熟练使用Unity3D、Maya（3DMAX）、photpshop等软件，优秀的建模、布线、UV分配能力，能独立使用地图编辑器；3、有一定的手绘基础和丰富的手绘贴图制作经验，对贴图和场景的整体色彩和节奏有良好把握；4、对待工作积极主动有自律性，能按时、按质、按量完成工作需求；5、有良好的沟通能力，能承受较强的工作压力，具有团队合作精神，遇到问题，能从技术角度提出建设性意见的优先;6、有一定的C#编程能力和shader编写能力者优先考虑；7、参加过VR虚拟现实项目者优先考虑。", "北京合古璟源文化有限责任公司", "50-150人", "初创型(天使轮)", "移动互联网,电子商务", "3.0"
"拉勾", "U3D", "U3D", "10000-20000", "不限", "上海", "1-3年", "职位描述岗位职责：1、使用Unity3D工具引擎，开发移动终端3D游戏2、根据策划要求，与美术一起协作，完成相关的游戏功能开发3、熟悉Unity3D相关插件，制定完善相关的开发流程任职要求：1、1年以上Unity3D开发经验，参加过一款或以上商业化项目者优先2、精通C#语言及面向对象编程、具有严谨的逻辑思维能力3、熟悉游戏相关的基本算法，熟悉常规的物理算法4、英语水平良好，能熟练阅读英文技术文档，具有良好的自学能力5、热爱游戏，了解游戏行业工作性质，有志于在游戏开发方向发展6、责任感强，工作认真负责，富于团队精神和敬业精神以及独立解决问题的能力", "上海掌域网络科技有限公司", "15-50人", "初创型(天使轮)", "游戏", "4.1"
"拉勾", "U3D", "Unity3D资深客户端开发工程师", "20000-25000", "本科", "厦门", "3-5年", "职位描述工作职责：1、负责即时制MMORPG手游(3D)客户端功能设计、开发；2、客户端性能优化。 任职资格:1、计算机或相关专业，本科及以上学历；2、熟悉Unity3D，有大型MMORPG游戏开发经验；3、较强的代码阅读能力，代码风格良好，能设计出高效、合理、易读、易于扩展的程序结构；4、具备较强的团队精神、良好的表达和沟通能力，工作认真负责；5、具有很强的新知识学习能力和错误调试排错能力。", "厦门吉比特网络技术股份有限公司", "150-500人", "成长型(A轮)", "游戏", "3.8"
"拉勾", "U3D", "U3D开发工程师 [实习]", "3000-5000", "大专", "佛山", "不限", "职位描述岗位职责：1、参与家装平台客户端的开发工作2、负责软件编码、单元测试、修改软件缺陷；3、增强界面交互功能，致力于通过技术改善用户体验；4、编写相关技术文档；5、与项目相关人员配合共同完成手机的设计和开发工作。要求：1、熟悉C#或Java语言，有良好的算法和数据结构基础2、了解3D图形学原理，物理原理及相关数学知识3、具有良好的逻辑思维能力和严谨的工作态度4、有开源项目经验者优先", "佛山市螺丝科技有限公司", "少于15人", "初创型(不需要融资)", "移动互联网,电子商务", "-"
"拉勾", "U3D", "U3D研发", "15000-30000", "大专", "北京", "3-5年", "职位描述能够按照项目需求进行自主研发与测试至少3年Unity3D研发经验熟练使用NGUI进行界面开发精通Unity3D项目体系架构、设计、编程熟悉网络游戏移动端架构设计与开发流程熟悉Android和iOS应用程序开发者优先热爱游戏，热爱编程", "北京谜团互动信息技术有限公司", "15-50人", "初创型(天使轮)", "移动互联网", "3.8"
"拉勾", "U3D", "U3D开发工程师", "7000-14000", "本科", "佛山", "不限", "职位描述岗位职责：1、参与家装平台客户端的开发工作2、负责软件编码、单元测试、修改软件缺陷；3、增强界面交互功能，致力于通过技术改善用户体验；4、编写相关技术文档；5、与项目相关人员配合共同完成手机的设计和开发工作。要求：1、熟悉C#或Java语言，有良好的算法和数据结构基础2、了解3D图形学原理，物理原理及相关数学知识3、具有良好的逻辑思维能力和严谨的工作态度4、有开源项目经验者优先", "佛山市螺丝科技有限公司", "少于15人", "初创型(不需要融资)", "移动互联网,电子商务", "-"
"拉勾", "U3D", "U3D客户端程序", "8000-12000", "大专", "上海", "3-5年", "职位描述岗位职责: 1、根据策划功能需求，使用Unity3d引擎开发场景和各项交互功能（UI界面）； 2、配合团队其他成员进行项目开发； 3、保证所开发模块、逻辑稳定、高效的运行。  任职要求: 1、计算机相关专业大专或以上学历；两年以上游戏研发经验，一年以上U3D手游研发经验；2、熟悉3D游戏开发技术，熟悉C#语言，熟悉游戏常用算法，对U3D引擎性能优化有一定了解；3、熟悉NGUI、shader实现特效者优先；4、逻辑清晰，思维严谨，工作认真负责，有团队协作与奉献精神。优先考虑1、有良好的图形学基础； 2、有基于Unity3D的网络游戏开发经验； 3、有Unity3D成功上线作品", "上海沁游信息科技有限公司", "15-50人", "初创型(天使轮)", "游戏", "4.3"
"拉勾", "U3D", "U3D客户端开发工程师（应届）", "10000-15000", "本科", "北京", "应届毕业生", "职位描述岗位职责：1. 使用Unity3D进行游戏客户端核心模块开发，技术攻关。2. 与其他技术人员进行配合交流，共同解决技术难题。3. 参与开发方案的制定，技术框架的设计4. 参与特效开发方案的制定与实现5.了解unity3D渲染，并可以自行查找或优化客户端效率问题。岗位需求1.计算机相关专业重点本科及以上学历，热爱技术，热爱编程，接受实习生；2.有Unity3D引擎开发相关经验，有上线的产品优先。3.热爱游戏，有创业精神，具体强烈的责任感、荣誉感。并能承担较大的工作压力；4.工作主动认真，有良好的团队精神、沟通及协作能力。", "天津云畅科技有限公司", "150-500人", "上市公司", "游戏,移动互联网", "-"
"拉勾", "U3D", "Unity3d", "10000-15000", "本科", "南京", "1-3年", "职位描述岗位职责：1． 使用Unity3d开发VR应用2． 相关工具的开发3． 最新VR/AR设备研究，SDK接入岗位要求：1. Bachelor or MSc, 计算机专业或其它2. 良好的C/C 基础与面向对象编程概念3. 熟悉Unity3d，有小项目经验，需要提供作品4. 对VR的新技术新设备有浓厚兴趣者优先5. 了解图形学，掌握一门图形API，熟悉实时渲染与Shader Programming者优先", "几墨信息科技(上海)有限公司", "15-50人", "初创型(天使轮)", "移动互联网,社交网络", "5.0"
"拉勾", "U3D", "U3D", "15000-18000", "大专", "杭州", "1-3年", "职位描述1、熟练使用unity引擎和c#语言进行开发，有1年以上的客户端开发经验；2、熟悉unity3d界面内容开发（基于NGUI）、3d动画方面的知识；3、有一定独立设计、完成编码的能力，注重代码质量；4、对shader和物理引擎有一定的了解；5、学习能力强，为解决问题可以快速学习新知识；6、能承受工作压力，具有高度的耐心、细心、恒心和责任心；7、参与过正式运营unity3d项目者优先考虑", "浙江冰峰科技有限公司", "50-150人", "初创型(天使轮)", "游戏", "4.6"
"拉勾", "U3D", "U3D", "10000-20000", "不限", "深圳", "3-5年", "职位描述岗位职责：1、Unity3D引擎开发3D网络游戏的客户端2、负责游戏客户端相关逻辑开发和游戏AI开发职位要求：1、大专以上学历，计算机相关专业；2、两年以上Unity3D游戏开发经验,熟悉Unity3D引擎架构设计。3、精通java或C#语言及面向对象编程、具有严谨的逻辑思维能力。4、熟悉游戏相关的基本算法，例如物理算法等。5、良好的英文能力，具有良好的自学能力。责任感强，工作认真负责。6、热爱游戏，了解网络游戏行业工作性质，有志于在游戏开发方向发展。", "深圳市土星网络有限公司", "50-150人", "初创型(未融资)", "游戏", "-"
"拉勾", "U3D", "Unity3D程序员", "7000-14000", "大专", "成都", "1-3年", "职位描述岗位职责：1、负责跨平台(web/iOS/Android)游戏产品的开发与维护；2、根据产品需求完成架构和模块设计、编码、测试工作；3、能按照项目计划，按时提交高质量的代码，完成开发任务；4、改善游戏的操作性，提升用户使用体验；任职要求：1、计算机相关专业毕业；2、熟练使用C#，C/C++基础扎实3、熟悉游戏常用算法，熟悉U3D的shader编程4、熟练使用Unity3D,NGUI,熟悉IOS开发环境 ，熟悉android开发环境，熟悉Unity3d插件（ios,android）制作。5、具有独立完成产品开发的能力，参与过中大型U3D项目者优先；6、有较高的学习能力，能够专注于技术工作。", "成都亚丁互动科技有限公司", "15-50人", "初创型(不需要融资)", "游戏", "-"
