"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "VB", "VB.NET软件工程师", "6000-10000", "大专", "广州", "1-3年", "职位描述【岗位】VB.NET软件工程师【岗位职责】1.参与MES项目二次开发；2.负责协助实施顾问处理上线中客户问题【岗位要求】1.大专及以上学历，计算机、软件工程相关专业2.有一年以上软件开发经验，熟练使用Oracle 或SQL Server 数据库3.熟悉最少一门编程语言，具备VB.NET程序开发经验尤佳工作时间：五天八小时，周末双休工作地点：广州市天河区翰景路1号金星大厦20楼福利：五险一金以及商业保险、国家法定节假日、餐补、电脑补贴、生日礼金、出差补贴等", "广州鼎捷软件有限公司", "2000人以上", "上市公司", "移动互联网,数据服务", "-"
"拉勾", "VB", "物流系统运维 VB.NET / C# .NET", "10000-20000", "不限", "上海", "5-10年", "职位描述公司介绍：上海金朴信息技术有限公司是以SAP为主提供IT资讯服务的公司。专门为韩企提供IT服务，包括系统开发和运维等服务。JD：职位：物流系统运维开发(VB.NET / C#.NET)职责：- 负责物流系统运维工作（WMS，TMS，OMS)- 协助业务人员需求调研- 根据业务人员的需要二次开发系统- 支持业务人员应急处理- 实时监控系统运行情况技术要求：- VB.NET / C#.NET- MS-SQL- SVN行业要求：- 物流相关开发经验（WMS仓储，TMS物流，OMS订单）- 了解国内的物流环境", "上海金朴信息技术有限公司", "少于15人", "初创型(不需要融资)", "企业服务", "4.7"
"拉勾", "VB", "VB（广州健迅）", "10000-20000", "本科", "广州", "3-5年", "职位描述职位职责：1、应用软件的需求分析、设计和编码、调试 ；2、协助其他部门进行系统实施、维护、处理客户问题（包括错误查找、技术支持等）3、完成公司安排的其他工作。任职要求：1、统招本科以上学历，计算机、软件、信息工程相关专业；2、熟悉Visual Basic、C#/C、C++、java、.net语言 ；3、有医疗信息化行业经验优先考虑。", "北大医疗信息技术有限公司", "500-2000人", "成熟型(不需要融资)", "医疗健康", "4.0"
"拉勾", "VB", "VB", "8000-10000", "本科", "上海", "3-5年", "职位描述职位描述：1、拥有2-3年VB开发实际工作经验者优先；2、熟悉VB6.0,Sql Server,C#等语言；3、有过餐饮POS开发、供应链系统开发经验者优先考虑；4、具有较强的责任心，团队合作精神，能服从领导的安排，接受加班等。", "上海正品贵德软件有限公司", "50-150人", "上市公司", "其他", "1.0"
"拉勾", "VB", "VB开发工程师（高级/中级）", "8000-15000", "大专", "上海", "3-5年", "职位描述岗位职责：1、负责产品开发过程中的软件模块的设计、编码、调试等开发工作；2、负责开发过程中相关文档的编写。任职要求：1、计算机、软件工程、相关专业大专及以上学历；2、具有扎实的VB语言开发基础，熟悉面向对象的设计思想、方法和理论，有相关软件开发经验者优先；3、有良好的沟通协调能力，积极主动的思想意识，敢于承担工作任务等良好的综合素质；4、具备较强的团队合作精神，对工作有热情；5、书面表达能力好，有良好的文档编写能力；6、熟悉MS SQL Server、Oracle、DB2等主流数据库，及相关的操作工具PL/SQL、DBACCESS等；7、了解基础会计知识优先考虑。", "深圳市赢时胜信息技术股份有限公司", "500-2000人", "上市公司", "金融", "3.9"
"拉勾", "VB", "软件工程师（VB方向）", "8000-10000", "本科", "深圳", "1-3年", "职位描述岗位职责：1、负责软件系统的设计、开发、功能代码实现、测试与交付培训；2、协助项目实施人员，保证项目的进度与质量；3、负责技术方案文档的编写；4、完成上司交办的其他工作；任职资格:1、本科以上学历,计算机相关专业毕业.2. 有一年以上，VB、VB.net开发经验，有独立开发的能力；3、精通SQL server数据库开发，能熟练运用SQL语句；4、具有一定的ERP业务知识及业务分析能力；5、责任心强，对软件编程有浓厚的兴趣，具有较强的学习能力和创新意识.", "深圳雷曼光电科技股份有限公司", "500-2000人", "初创型(未融资)", "移动互联网", "4.4"
"拉勾", "VB", "高级软件开发工程师（VB.NET）", "15000-25000", "本科", "广州", "3-5年", "职位描述Job Overview:This position is leading on automation testing software development base on chip level, module level and subsystems level for optical communication networks.Roles and Responsibilities:*Lead automation testing software architecture definition, development of testing solution / strategy for new product introduction*Lead testing software development for product verification and manufacturing*New testing methodology development*Generate document to cover new developed automation and testing method definition / testing flow and other testing related activities*Work closely with other functional teams for production and engineering experiment supportJob Qualifications:*BSc / BEng / MSc / MEng (or equivalent) in CS/EE / Optical Communication or similar discipline, MSc / MEng preferred*BS > 8Years, MS > 5Years*Advanced experience in C/C++, VB.NET and C# programming. Familiarly with Java or Python code developing is a plus.*Previous Fiber-optic experience desirable including familiarity with optical testing measurement equipment and I2C,SPI,RS232,GPIB,DAQ,USB,MDIO communication interface application*Experience in code developing for motor control and optical lens aligner is a plus.*Must possess strong analytical and problem solving skills*Self-motivated and willing to work under a tight schedule, team work spirit*Excellent communication and documentation skills, both in English and Chinese are necessaryBase in 深圳", "广州思可企业管理咨询有限公司", "15-50人", "初创型(不需要融资)", "移动互联网,金融", "-"
"拉勾", "VB", "VB", "9000-12000", "本科", "北京", "1-3年", "职位描述工作要求 1、 熟悉VB/VBA开发语言，精通基于PPT的VBA开发；2、 精通常用关系型数据库； 3、 负责公司内部PPT插件的开发与版本迭代  任职资格 1、 计算机软件及相关专业大专以上学历； 2、 精通VBA与C# WinForm编程，能够独立编写复杂VBA程序；  3、 有良好的分析和解决问题的能力；", "北京恒泰实达科技股份有限公司", "500-2000人", "上市公司", "硬件,文化娱乐", "-"
"拉勾", "VB", "C#，VB，.net工程师，数据库开发工程师", "6000-12000", "不限", "北京", "1-3年", "职位描述此职位为外派性质1、计算机或理工类相关专业毕业，1年以上相关工作经验；2、熟悉.net开发环境，熟练vb，C#，C++任意一种；3、熟悉Windows，Unix/Linux等操作系统中的任一种；4、有良好的职业道德和心理承受能力，能够稳定长期工作；5、有很强的责任心和事业心，具有较强的自学能力，善于接受新事物，有创新意识和团队合作精神；6、能很好的处理同事间人际关系，有良好的沟通能力和高度的责任感；            ", "北京吉优特软件有限公司", "15-50人", "初创型(未融资)", "硬件,数据服务", "-"
"拉勾", "VB", "VB/C#/VF软件工程师", "4000-7000", "大专", "成都", "1-3年", "职位描述任职要求：1、计算机或软件开发相关专业专科以上学历，2年及其以上工作经验；2、精通C#/VB/.VF语言，精通WPF/Silverlight，熟悉.NET开发框架；3、熟悉ORACLE、SQLSERVER数据库；4、 较强的逻辑分析能力，可以应对复杂的业务逻辑；5、做事严谨踏实，条理清楚，有良好的团队合作精神和沟通协调能力；6、有投票系统相关经验，反编译能力者优先。", "四川广昱天恒教育咨询股份有限公司", "150-500人", "初创型(未融资)", "教育", "3.8"
