"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate"
"拉勾", "自然语言处理", "自然语言处理", "10000-20000", "本科", "深圳", "1-3年", "职位描述［公司介绍］法狗狗团队致力于打造中国最强大的法律人工智能系统。我们的团队里有全国各地的资深律师，还有来自硅谷和伦敦的技术专家，我们希望通过国际尖端的技术和接地气的产品设计，开启中国法律服务行业的人工智能时代，［工作职责］1、法律自然语言处理的研发，包括海量数据挖掘、实体和实体关系抽取、n-gram分析、新词发现、热点发现、分词、句法分析、同义词、纠错等、知识库建设；2、应用机器学习、自然语言处理、分类聚类等技术，针对海量文本数据建模，挖掘潜在价值；3、打造法律智能知识平台，让每个法律人都能在我们的平台上共享知识。［工作要求］1、计算机相关专业毕业；2、良    ", "深圳悦律天成科技有限公司", "10-50人", "初创型(天使轮)", "移动互联网,数据服务", "-"
"拉勾", "自然语言处理", "自然语言处理（聊天对话方向）", "20000-40000", "本科", "北京", "1-3年", "职位描述【职责描述】1. 基于现有业务的文本数据，提升对话系统在多领域、场景下的体验；（60%精力）2. 聊天对话引擎的相关开发，以及新技术和方向的研究；（40%精力）【职位要求】1. 具有1年以上NLP、智能对话相关工作经验，本科及以上学历；2. 熟练掌握自然语言处理领域的基础理论和方法；3. 熟练掌握一门以上计算机语言（java、c++优先）；4. 有机器学习/深度学习经验优先。【几个重要问题】1、公司会多重视这个职位？聊天对话引擎是公司最重要的战略之一，将会注入大量资源。在这里你将可以完全展示的才华，将对话引擎推向一个新的体验高度，公司对你的重视程度也会远远超其他公司！2、哪类人特别适合？有聊天对话相关经验，希望去挑战自我的人优先！3、哪类人特别不适合？只想做一份稳定/按部就班的工作，没有激情，思维不够活跃。4、需要应聘者做什么准备？做个有心人，不要没有任何准备就来面试了。【Leader说】我是图灵机器人的创始人&CEO俞志晨，下面介绍下我们公司的“人才观”~1、人才是本，产品是末。借用@纯银 的一句话，“选对人是一件比设好KPI更重要一百倍的事情。一百倍啊一百倍。”2、“兴趣+主动+聪明”，比“当前的能力”要重要10倍。这样的人，在我们团队的成长会非常快，因为你可以直接来争取“想做的事情/职位”，公司一定竭尽所能的给你锻炼机会，只要你能对你自己负责，把事情真正做到位。但如果是“推一下、动一下”的人，我们一定不会要。3、不让人才受委屈。只要你真的能把事情做好，薪酬待遇、福利制度、团队氛围，甚至各种“个人关怀”，都会在公司力所能及的范围内提供给小伙伴——让你满意，让你的家人满意。我们团队，真的会让你感觉“暖暖的”。", "北京光年无限科技有限公司", "50-150人", "成长型(B轮)", "移动互联网", "4.4"
"拉勾", "自然语言处理", "自然语言处理工程师", "15000-30000", "本科", "北京", "3-5年", "职位描述工作职责：1.负责商业智能领域语义分析相关技术和方法的研究；2.负责利用自然语言处理技术和语义分析方法实现语义模型的建立与实践；3.从系统应用的角度,利用语义分析的理论和方法解决实际问题。任职要求：a)扎实的算法基础：熟悉算法相关理论，算法原理和机器学习基本理论，具备扎实良好的数学基础；b)精通自然语言处理相关领域的知识：精通基于统计的自然语言处理方法和基于句法语法分析的自然处理方法，包括句法/语法分析、依存分析、NER、关键词抽取、情感分析、文本分类聚类、文本检索、相似度算法、分词算法、Deep Learning在nlp领域中的应用(例如：word2Vec、RnnLM)等等；在人工智能领域有一定的积累，能够从复杂的业务场景中进行算法选型、算法优化以及不断提升效果，并且能够真正应用在商业环境，成为商业智能的驱动者；c)Java/Python基础扎实，熟悉hadoop、spark框架者尤佳；d)在人机交互、智能问答、文本检索、多语言处理等等领域有实际的开发和从业经验者优先；e)良好的团队合作意识，对技术饱有热情；创新精神，对互联网领域有热情 。", "北京微影时代科技有限公司", "500-2000人", "成熟型(C轮)", "移动互联网,广告营销", "3.9"
"拉勾", "自然语言处理", "自然语言处理", "25000-50000", "博士", "深圳", "应届毕业生", "职位描述岗位职责：负责机器学习、推荐系统、深度学习领域的技术研发工作,并能结合产品业务持续优化效果，包括但不限于神经网络模型设计与优化、强化学习、推荐、随机优化等的算法和系统研发； 对自然语言处理、计算机视觉领域进行独立研究、实验；基于腾讯独有的海量数据，结合实际产品应用场景需求，和工程团队一起提供全面的技术解决方案。岗位要求：学历要求名校计算机视觉、机器学习、人工智能、数据挖掘、信息检索、自然语言处理、语音识别等领域的计算机科学、电子工程或其它人工智能相关专业硕士或博士；有机器学习、人工智能、计算机视觉、自然语言处理、机器翻译、语音识别等领域全球领先企业的工作经验的行业专家或者高潜力应届博士研究生熟练掌握至少一种编程语言，包括但不限于Python、C/C++、Java等；在计算机科学顶级会议和期刊如NIPS、ICML、COLT、CVPR、ICCV、ECCV、IJCAI、AAAI、UAI、KDD、SIGIR、WWW、ACL、PAMI、IJCV、JMLR、AIJ等发表过论文，有深度学习学术或工程项目经验者优先考虑。", "腾讯科技(深圳)有限公司", "2000人以上", "上市公司", "移动互联网 ,游戏", "4.2"
"拉勾", "自然语言处理", "NLP工程师", "10000-20000", "不限", "厦门", "不限", "职位描述熟悉Java或Python；熟悉分词、词性标注、文本分类、关键词提取、自动摘要等自然语言处理技术；熟悉N-Gram、PCFG、L-PCFG等；熟悉HMM、CRF、MaxEnt等；优秀的分析问题、解决问题能力和团队合作意识;熟悉Scala者优先；有深度学习、搜索引擎、推荐系统相关技术经验者优先", "厦门渊亭信息科技有限公司", "15-50人", "初创型(天使轮)", "数据服务,企业服务", "-"
"拉勾", "自然语言处理", "自然语言处理", "15000-25000", "本科", "北京", "1-3年", "职位描述职位描述：1、结合业务需要，开发与改进数据挖掘基本工具；2、为相关业务提供数据支持或者基于数据的解决方案 。职位要求：1、本科及以上学历，计算机相关专业 ；2、熟悉常见机器学习算法（如逻辑回归、SVM、决策树、贝叶斯等）；3、熟练使用C++、Python、JAVA（至少一种语言）；4、熟悉MapReduce、Hive、Hbase优先；5、熟悉基于上下文对文本情感分析数据建模，负责用户对产品的情感数据挖掘；6、有一年以上工作经验优先，优秀应届生优先。", "优腹", "15-50人", "初创型(天使轮)", "移动互联网,O2O", "5.0"
"拉勾", "自然语言处理", "自然语言处理工程师", "15000-20000", "硕士", "北京", "3-5年", "职位描述岗位职责：1: 自然语言处理、人机对话系统搭建；2: 人机交互、人工智能方向的前沿探索；3: 人工智能在智能驾驶和智能硬件产品上的应用。岗位要求：1：硕士以上学历2：3年以上自然语言处理研究经历与背景，掌握核心算法 ；3：熟练掌握主要的模式识别和机器学习算法 ；4：良好的C/C++编程能力，熟悉perl或者python等脚本语言 ；5：具有强烈的研究兴趣与学习意愿，良好的沟通协调能力和团队合作意识。", "北京乐驾科技有限公司", "50-150人", "初创型(未融资)", "移动互联网", "4.4"
"拉勾", "自然语言处理", "自然语言处理", "15000-30000", "本科", "北京", "3-5年", "职位描述职位描述工作职责：1、针对海量文本内容进行中文分词、语义识别、自动文本聚类和情感分析等文本挖掘的工作；2、为公司产品加入文本挖掘功能，在实际场景中有效运用成熟的文本挖掘算法，将文本挖掘技术产品化；3、参与小组的产品设计讨论，共同讨论和设计产品。任职要求：1、自然语言处理相关专业毕业，熟练掌握自然语言处理领域的基础理论和方法，熟悉中文分词、语义分析、文本聚类、情感分析等基础算法和应用；2、拥有编程能力，可以通过编写程序实现和运用文本挖掘的算法解决实际问题，拥有根据实际情况调整和优化文本挖掘算法的能力，以达到最终的商业目标；3、拥有实际的文本挖掘的项目经验；4、熟悉软件开发流程和配置库的使用，拥有软件开发流程中的代码规范意识、配置管理规范意识、文档撰写规范意识和团队合作沟通交流意识。", "医者笔记（北京）科技有限公司", "15-50人", "初创型(天使轮)", "医疗健康,数据服务", "4.1"
"拉勾", "自然语言处理", "自然语言处理", "15000-25000", "本科", "北京", "1-3年", "职位描述自然语言处理研究工程师 1、承担自然语言处理技术在对话、通用问答、意图理解、知识库加工管理等方向上的应用研究； 2、按照研究与项目计划，与项目组其他成员协同工作，在保证质量的前提下，按时完成研究开发任务。  任职资格：  1.学历要求：  ü-毕业于211或985院校、统招硕士以上学历，博士优先；  ü-英语4级以上。  2.工作经验：  ü-1年以上相关领域工作经验，熟悉自然语言处理的各项技术，有对话、通用问答、意图理解研究经验  ü-熟悉C/C++/Python，有算法研究背景经验  ü-英文良好，知识面广、研究能力强，熟悉并掌握自然语言处理在智能人机交互技术领域中的应用。  3.能力要求：  ü-具有强烈的研究兴趣与学习意愿，具备较好的学习能力、问题分析能力、以及问题解决能力；  ü-良好的沟通协调能力和团队合作意识，能够主动总结和分享自己的开发经验。  4.素质要求：  ü-工作踏实，态度积极，能够承受工作压力，能适应严格项目管理；  ü-责任心强，正直诚实，值得信赖。  优先考虑：  1.具备行业工作经验者优先。", "北京捷通华声科技股份有限公司", "150-500人", "成长型(不需要融资)", "移动互联网,数据服务", "3.6"
"拉勾", "自然语言处理", "自然语言处理", "30000-50000", "本科", "杭州", "3-5年", "职位描述【岗位职责】1. 文本分析项目构建投资理财的知识图谱2. 抽取金融事件， 财经文本分类，财经文本情感分析，3. 财经术语相关的新词、同义词发现。【岗位要求】1. 计算机相关专业本科以上学历，2年及以上相关工作经验；2. 较强的算法基础，熟悉Linux平台、熟悉c++/java/scala， 熟悉python, shell 等脚本语言；3. 较强的学习能力和逻辑思维能力，具备较强的上进心；4. 有分词系统开发，文本分类系统构建，词典建设， 抽取系统构建，情感分析， 机器翻译项目经验的算法工程师优先考虑。5. 具有query分析/query改写等工作经验的算法工程师优先考虑；6. 深入研究过深度学习的算法工程师优先考虑；7. 善于学习新事物，有良好的团队合作意识；", "浙江核新同花顺网络信息股份有限公司", "2000人以上", "上市公司", "金融", "4.2"
