"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", ".NET", ".net网站工程师(电子商务网站开发)", "10001-15000", "不限", "哈尔滨 - 南岗区", "1-3年", " 百购德电子商务专注跨境电商，公司结合自身贸易结构，利用自贸易资源，面向中韩两国开展O2O跨境电子商务业务，公司业务已经运营3年已久，不是初创公司，已经形成了稳定的业务模式，现公司正在加速发展阶段，诚聘技术人员加盟维护自己的电商平台，后期可发展的空间很大。  诚聘.net网站开发技术人...", "哈尔滨百购德贸易有限公司", "20-99人", "民营", "多元化业务集团公司    ", "", "6"
"智联", ".NET", ".net高级软件工程师", "6000-12000", "大专", "长沙", "1-3年", " 岗位职责： 1、参与公司软件产品设计； 2、参与软件产品模块开发；  要求： 1、具备良好的职业素养，专心技术研发，有较强的责任感和团队精神； 2、有实际商用项目开发经历，三年以上DotNET平台开发经验； 3、有扎实软件技术基础，深入理解DotNET平台技术； 4、精...", "深圳市微数科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "4"
"智联", ".NET", ".Net高级开发工程师", "10001-15000", "不限", "杭州 - 滨江区", "5-10年", "....Net/MVC/JQuery/HTML/CSS - Skillful in Microsoft C# and .Net 3.5/4.0 framework - Hands on experience in Visual Studio 2008/2010 - Ski...", "Perficient博克软件(杭州)有限公司", "1000-9999人", "外商独资", "仪器仪表/工业自动化    ", "", "10"
"智联", ".NET", ".Net软件工程师", "10001-15000", "本科", "南京 - 江宁区", "无经验", "....NET框架及设计模式，深刻理解OOP、OOD编程思想，具有较强的逻辑思维能力，熟悉多层架构；  5.对代码执行效率、性能优化、数据缓存有一定经验；  6.具备良好的代码编写规范及单元测试习惯，并具有良好的需求理解能力；  7.良好的语言表达和沟通能力，具有良好的团队合作精神和作...", "南京优倍电气有限公司", "100-499人", "民营", "计算机软件    ", "", "4"
"智联", ".NET", ".NET 开发/程序员", "6001-8000", "大专", "北京", "1-3年", " 职责描述：  1. 负责网站的程序维护与功能开发  2. 负责微信的深度程序开发  3. 负责苹果等移动APP的维护与开发     任职资格：  1、计算机相关专业专科及以上学历，1年以上网站或微信等新媒体开发经验；   2、 精通Asp.net/c#，能熟练开发web程序，   3...", "财讯传媒集团有限公司", "1000-9999人", "民营", "互联网/电子商务", "", "4"
"智联", ".NET", "软件开发工程师C#/.Net/Delphi", "6001-8000", "不限", "郑州 - 郑东新区", "", " 岗位职责：  1、具有独立开发能力，具有一定的系统架构能力； 2、精通SQLServer，能编写存储过程，具有较强的数据库设计能力等； 3、有较强的逻辑思维能力，熟悉三层架构； 4、有规范化、标准化的代码编写习惯和良好的技术文档习惯； 5、有面向对象的分析、设计和开发经验，熟悉软件开发流程，设计模...", "上海瑞星软件有限公司", "100-499人", "外商独资", "计算机服务(系统、数据服务、维修)    ", "", "1"
"智联", ".NET", ".net开发工程师", "4000-8000", "大专", "南京 - 建邺区", "", " 岗位职责：  1、根据进度安排和任务分配，完成公司项目和产品服务端的开发及自测工作，并参与模块的分析设计；  2、定期参加公司内部的技术沟通分享会；  3、参与编写相关技术开发文档；  任职要求：  1、大专及以上学历，计算机相关专业毕业生；  2、熟练C#、.net framewo...", "南京惊叹皓信息科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "15"
"智联", ".NET", "高级.NET研发工程师", "15000-20000", "本科", "北京", "3-5年", "....NET框架，熟练掌握常用的开发框架（MVC,EntityFrameWrok）；  3、熟悉面向对象编程思想，具有多层应用架构开发和web开发经验，熟悉mvc，了解常用的设计模式；  4、熟悉WCF、socket编程，了解分布式程序开发；熟练掌握javascript、html、a...", "北京交通运输职业学院", "100-499人", "事业单位", "贸易/进出口", "", "15"
"智联", ".NET", "高级.NET研发工程师", "15000-20000", "本科", "北京", "3-5年", "....NET框架，熟练掌握常用的开发框架（MVC,EntityFrameWrok）；  3、熟悉面向对象编程思想，具有多层应用架构开发和web开发经验，熟悉mvc，了解常用的设计模式；  4、熟悉WCF、socket编程，了解分布式程序开发；熟练掌握javascript、html、a...", "北京交通运输职业学院", "100-499人", "事业单位", "贸易/进出口", "", "15"
"智联", ".NET", "高级.NET研发工程师", "15000-20000", "本科", "北京", "3-5年", "....NET框架，熟练掌握常用的开发框架（MVC,EntityFrameWrok）；  3、熟悉面向对象编程思想，具有多层应用架构开发和web开发经验，熟悉mvc，了解常用的设计模式；  4、熟悉WCF、socket编程，了解分布式程序开发；熟练掌握javascript、html、a...", "北京交通运输职业学院", "100-499人", "事业单位", "贸易/进出口", "", "9"
