"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Android", "Android开发工程师（杭州）", "15001-20000", "本科", "杭州", "1-3年", " 岗位职责： 1、完成Android移动平台客户端软件的功能设计，实现产品设计提出的要求。 2、负责软件的设计、编程、调试和模块测试工作，完成产品的开发和测试工作。 3、根据产品功能模块设计，编码实现各模块功能，并确保开发质量与进度，提高产品的用户使用量。        任职要求：  ...", "珠海市魅族科技有限公司", "1000-9999人", "民营", "计算机软件,互联网", "", "10"
"智联", "Android", "android开发工程师", "10001-15000", "大专", "北京", "1-3年", " 岗位职责：  1、负责Android手机APP功能设计和编码；  2、按需求完成界面、逻辑功能、网络通信等设计；  3、配合其他开发人员完成产品设计、测试和发布工作；  4、负责安卓应用的升级、修改、优化和维护工作。  任职要求：  1、 两年以上工作经验；  2、  有扎实的Jav...", "华软国创(北京)科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "7"
"智联", "Android", "Android工程师", "15001-20000", "不限", "北京 - 朝阳区", "", " 工作职责： 1. 承担公司Android移动产品的开发；  2. 与项目主管讨论产品需求并进行实现；  3. 参与后台API的开发和调试； 4. 后续的维护与升级； 5. 承担移动产品的单元测试、自动化测试等。  6. 对Android移动产品的维护，BUG修改和完善。...", "上海华腾软件系统有限公司", "10000人以上", "合资", "互联网/电子商务    ", "", "8"
"智联", "Android", "Android", "10001-15000", "大专", "北京", "3-5年", " 岗位职责：  1、负责Android手机APP功能设计和编码；  2、按需求完成界面、逻辑功能、网络通信等设计；  3、配合其他开发人员完成产品设计、测试和发布工作；  4、负责安卓应用的升级、修改、优化和维护工作。  任职要求：  1、 两年以上工作经验；  2、  有扎实的Jav...", "华软国创(北京)科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "3"
"智联", "Android", "急招Android程序员", "4001-6000", "中专", "广州 - 天河区", "", " 1、负责Android平台下的APP应用开发；  2、负责根据产品需求完成模块设计、编码、编码集成工作；  3、根据开发过程中的体验对产品提出改进意见；  4、改善软件的易用性，提升用户使用体验。  任职要求：  1、计算机或相关专业；  2、有java基础，具备常用数据结构与算法和...", "中软国际（广州）信息技术有限公司", "10000人以上", "上市公司", "计算机软件", "", "9"
"智联", "Android", "Android高级研发工程师（海外移动业务）", "15001-20000", "本科", "北京", "1-3年", " 岗位职责：  1.      负责乐视海外移动项目Android客户端开发，编写高质量代码  2.      和产品、运营团队配合，深度参与需求讨论、功能定义     任职要求：  1.      热爱研发工作，渴望在移动开发领域深入钻研，成为行业顶尖人才  2.      熟练掌握...", "乐视控股(北京)有限公司", "1000-9999人", "上市公司", "电气/电力/水利    ", "", "2"
"智联", "Android", "APP开发工程师  Android", "4001-6000", "大专", "太原", "3-5年", " 岗位职责：  负责移动端（android/html5）应用的开发以及技术探索   任职要求：  1 掌握android原生开发，对hybrid app开发有热情，有想法  2 熟悉目前流行ui风格，主流框架，掌握常用开发辅助工具  3 有一定英文阅读能力，熟悉linux...", "山西森软科技有限责任公司", "20人以下", "民营", "计算机软件,互联网", "", "15"
"智联", "Android", "Android开发工程师(非APP开发）", "10001-15000", "大专", "深圳 - 龙华新区", "3-5年", " 岗位职责:  1、负责安卓主板上物联网SDK的开发和研究，开发、发布工作；  2、链接底层嵌入式语言和后台开发提供数据;  3、负责参与SDK框架的开发以及相关前沿技术的研究；     任职要求  1、熟练掌握Java，熟悉面向对象开发方法，具备扎实的编程基础;  2、2年+Android", "深圳市华思旭科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "8"
"智联", "Android", "安卓(Android)初/中/高级开发", "8001-10000", "本科", "北京", "1-3年", " 岗位职责 1.负责公司产品Android客户端软件设计、开发与测试  2.编写、维护相关技术文档  3.验证和修复测试中发现的bug，持续改进产品  4.参与产品需求的沟通、讨论和协调  岗位要求 一年以上工作经验  1.具备扎实的Java编程基础，熟悉安卓UI框架及熟练使用相关开发...", "北京撼动科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "2"
"智联", "Android", "android系统工程师", "8001-10000", "大专", "深圳 - 南山区", "1-3年", " 任职要求: 1、大专以上学历，计算机相关专业毕业； 2、较好的英语读写能力； 3、熟悉C/C++和JAVA编程； 4、熟悉ANDROID环境编程,有Framework系统修改维护经验.  5、沟通和自学能力强； 6、责任心强，勇于钻研技术难点。 7、两年以上相关岗位工作经验。   岗...", "深圳金亚太科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "5"
