"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "ASP", "ASP.Net/C#开发工程师 / .Net/C#开发工程师", "8000-12000", "本科", "武汉", "1-3年", " 岗位职责：  1、 负责产品代码开发与产品升级；   2、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量；  3、 研究解决项目的技术难点 ；  4、在开发中与项目相关人员密切配合，保证整个项目顺利进行；  5、 服从领导安排的其它工作事项 。     职位要求：  1、熟练掌握C#或", "武汉云竞网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "7"
"智联", "ASP", "ASP.NET 程序员", "6001-8000", "大专", "厦门 - 湖里区", "1-3年", " 岗位职责：  1、负责公司网站系统平台的设计与开发； 2、至少3年以上 Asp.net 网站程序开发经验，有大型垂直网站程序作品，能够独立完成网站的前后台程序开发； 3、能独立负责完成项目功能的技术开发。  任职要求：  1、精通.Net架构以及MVC框架，熟练使用2012等开发工具...", "好家(厦门)网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "3"
"智联", "ASP", "ASP.NET开发工程师", "6001-8000", "大专", "上海", "1-3年", "...ASP.NET / C# ；  2. 熟练掌握XML、Web Service技术、HTML, Javascript, CSS等相关技术  3. 熟悉掌握SQL Server 数据库设计及SQL脚本、存储过程、LINQ，了解SQL语句优化方；  4. 良好的工作态度、学习习惯及团队...", "上海慧物智能科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "14"
"智联", "ASP", "ASP.NET/WEB软件工程师/程序员", "4001-6000", "不限", "温州", "3-5年", " 岗位职责：  1、相关工作开发经验，具有3个以上的完整Web项目开发经验 2、熟练掌握asp.net, C#、CSS、JS、html、MsSQL、oracle； 3、熟悉IIS配置； 4、善于学习吸收新知识，视野宽阔，具有良好的沟通能力以及团队合作精神  福利：带薪节假日及年假，项目...", "温州华杰科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "4"
"智联", "ASP", "ASP.NET/WEB软件工程师/程序员", "6001-8000", "大专", "温州", "1-3年", " 1、相关工作开发经验，具有3个以上的完整Web项目开发经验 2、熟练掌握asp.net, C#、CSS、JS、html、MsSQL、oracle； 3、熟悉IIS配置； 4、善于学习吸收新知识，视野宽阔，具有良好的沟通能力以及团队合作精神   福利：带薪节假日及年假，项目奖金，聚餐，...", "温州华杰科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "10"
"智联", "ASP", "ASP.NET开发工程师", "10001-15000", "大专", "北京", "1-3年", "...ASP.NET      5 、 熟悉SQL Server、Oracle等主流数据库      6 、熟悉asp.net,Ajax,MVC开发，有相关开发经验的优先      7 、有较强的解决问题能力，能单独进行项目开发      8 、良好的团队合作精神，强烈的...", "北京英雄互娱科技股份有限公司", "100-499人", "上市公司", "计算机软件,互联网", "", "15"
"智联", "ASP", "c#/asp.net程序工程师", "3000-5000", "大专", "昆明", "", " 岗位职责：  负责系统调研、程序编写，同时协助技术经理完成其他技术事项。   任职要求：  1、大专以上学历，计算机及其相关专业毕业； 2、熟练掌握C#、ASP.Net、Web Service、Ajax等开发技术，有jquery开发经验者优先； 3、熟悉web开发前端技术html、c...", "云南友建科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "8"
"智联", "ASP", "ASP.NET程序员", "8000-12000", "大专", "上海 - 徐汇区", "3-5年", " 岗位职责：  1、对公司网站功能开发与维护；  2、负责网站功能模块的开发与维护；  3、负责网站产品的技术设计；     职位要求：  1、具备3年以上ASP.net 基于b/s项目开发经验；  2、精通 C#/ASP.NET ，能独立开发基于 DotNet 的 B/...", "双齐国际贸易(上海)有限公司", "100-499人", "民营", "计算机软件    ", "", "5"
"智联", "ASP", "ASP.NET程序员", "6001-8000", "大专", "上海", "1-3年", " 1、具备1年以上ASP和ASP.net 项目开发经验，能快速开发中小型企业网站,行业门户网站、网上购物商城。    2、熟练掌握数据库操作，精通SQLServer，对存储过程、触发器有较深的了解，能应付大量数据业务的处理。 3、精通C#,HTML、Div+Css、Jav...", "上海佳速网络技术有限公司", "20-99人", "民营", "互联网/电子商务", "", "6"
"智联", "ASP", "ASP.NET高级开发工程师", "10001-15000", "不限", "上海", "", " 1.规划执行软件架构及模块之设计  2.协助团队导入新技术  3.既有电子商务网及项目之延伸开发或维护  4.完成上级交办的其他工作。     任职要求：  1.2年以上C#开发经验，熟练掌握C#及面向对象设计开发，对C#技术有较深的研究  2.熟悉ASP.NET Core / ", "震旦集团 AURORA", "1000-9999人", "外商独资", "计算机硬件    ", "", "4"
"智联", "ASP", "ASP.NET 软件工程师（研发四部）", "6001-8000", "不限", "北京 - 海淀区", "1-3年", " 1.有2年以上的工作经验。   2.有专业培训经历 优先考虑。   3.熟练Asp.net Jquery 有MVC、MVC2、MVC3、MVC4经验者优先考虑。  4.精通数据库SQL2008、Oracle优先考虑。  5.熟练运用VS2008，VS2010,vss 等开发设计和管理...", "银科环企软件(苏州)有限公司", "100-499人", "外商独资", "医疗/护理/卫生    ", "", "4"
"智联", "ASP", "asp.net 程序员/企业网站开发(晋升空间+五险、静安寺附近)", "4001-6000", "大专", "上海", "1-3年", "...ASP.NET，C#开发，熟悉.NET平台框架；  4、拥有良好的代码编写习惯及注释规范，要求结构清晰，命名规范，逻辑性强，代码冗余率低；  5、语言表达能力好，沟通协调能力强，能独立承担项目程序的架构设计与开发工作；  6、逻辑思维清晰，具有良好的系统设计、分析和解决问题的能力...", "众基拓展", "20-99人", "合资", "计算机软件    ", "", "12"
"智联", "ASP", ".NET软件工程师（C#，ASP.NET Webform）非外包岗位", "6001-8000", "本科", "武汉 - 东湖新技术开发区", "1-3年", " 职位描述： 从事公司自主知识产权软件产品MES（制造执行系统）的研发工作。   职位要求： 1) 统招专科及以上，计算机及其相关专业。 2) 熟悉面向对象、关系数据库（Oracle或MS Sql Server）。 3) 两年或以上.NET（C#、ASP.NET WebForm)开发经...", "武汉佰思杰科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "9"
"智联", "ASP", ".NET软件设计师（C#，ASP.NET Webform）", "10001-15000", "不限", "武汉 - 东湖新技术开发区", "3-5年", " 职位描述： 从事公司自主知识产权软件产品MES（制造执行系统）的设计、研发工作。   职位要求： 1) 统招本科及以上，计算机及其相关专业。 2) 熟练掌握面向对象、设计模式、关系数据库、ORM等内容。 3) 四年或以上.NET（C#、ASP.NET WebForm)开发经验，参与过...", "武汉佰思杰科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "2"
"智联", "ASP", "asp.net工程师（技术部）", "10001-15000", "本科", "北京", "1-3年", "...ASP.NET开发经验，  熟练  掌握JavaSctipt、  Jquery、MVC  等相关技术知识  ；       3、熟悉  HTML5  及  CSS3  特性，包括  (localStorage/Application Cache/CSS 3.0  标准  )  ；...", "影客(北京)影视文化传媒有限公司", "100-499人", "民营", "仪器仪表/工业自动化    ", "", "13"
"智联", "ASP", "ASP.NET/C#/WEB/WAP高级软件开发工程师", "6001-8000", "不限", "长沙", "1-3年", "...ASP.NET网页开发；  3.熟悉JavaScript脚本语言，熟悉Ajax技术，熟悉JQurey框架；  4.有较强的逻辑分析能力、问题解决能力,有良好的团队协作及沟通能力。", "湖南潮升信息技术有限公司", "20人以下", "民营", "计算机软件    ", "", "9"
"智联", "ASP", "asp.net工程师", "8001-10000", "本科", "北京 - 东城区", "1-3年", " 岗位职责：   1． 负责公司现有网站的日常维护与新功能开发   2． 负责公司手机网站的开发与测试     3．前端产品框架与组件的规划、设计与开发实现    4．公司设备及网络维护       5．会务执行     任职要求：  1.全日制本科以上学历，两年以上工作经验  2. 精通AS...", "东方世家(北京)教育科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "11"
"智联", "ASP", "德国电商ASP.NET/C# 工程师", "10001-15000", "本科", "北京", "3-5年", " 德国电商ASP.NET/C# Engineer Job Description     岗位职责：  1、根据公司Web项目的需求进行C#.NET项目开发和实施；  2、Web项目开发文档的编写； 3、参与实施项目内技术攻关工作； 4、负责软件单元测试程序，配合测试修改程序；  5、...", "北京百得利国际贸易有限公司", "20-99人", "外商独资", "计算机软件    ", "", "14"
"智联", "ASP", "ASP.NET开发工程师", "10001-15000", "大专", "无锡", "", " 岗位职责：  该职位主要从事微软云内部系统的开发。为azure other support 相关业务制作内部工具，帮助MS FTE管理业务相关信息。  任职要求：  1.  大学英语四级以上，读写熟练  2.  两年以上asp.net项目开发经验，精通C#语言，有一定的UI设计能力且...", "上海微创软件股份有限公司", "1000-9999人", "合资", "房地产    ", "", "12"
"智联", "ASP", "PHP/ASP/.NET程序工程师", "6001-8000", "大专", "济南", "1-3年", " 岗位职责：1）可独立开发中小型企业网站及电子商务平台；            2）负责基于 PHP/ASP/.NET/ JAVA的网站后台系统的功能设计、开发；     岗位要求：1）熟练掌握网站相关技术及工具，熟练掌握PHP语言!            2）一年以上开发经验，有企业...", "济南国迅信息科技有限公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "3"
"智联", "ASP", "Asp.net 项目经理", "8001-10000", "大专", "济南 - 市中区", "5-10年", "...asp.net开发经验，熟悉ASP.NET、ASP.NET MVC、C#语言、Jquery, 熟练应用和开发WebService，WCF，WebApi等服务接口，具有分布式在线系统开发经验者优先。    2  、精通ADO.NET、熟练应用ORM框架、...", "山东合商云购电子商务有限公司", "20-99人", "民营", "计算机软件    ", "", "7"
"智联", "ASP", "asp.net 软件工程师", "2001-4000", "不限", "济南 - 市中区", "", " 岗位要求：  1、 1年以上C#，asp.net开发经验，熟悉ASP.NET、ASP.NET MVC、C#语言、Jquery，  熟练Web项目开发的相关技术(Ajax、WebService、XmlCSS/DIV/XHTML,Javascript）， 熟练...", "山东合商云购电子商务有限公司", "20-99人", "民营", "计算机软件    ", "", "1"
"智联", "ASP", "asp.net软件工程师", "8001-10000", "大专", "济南 - 高新区", "3-5年", " 岗位要求：  1、 熟练使用C#编程语言和.NET编程技术,三年以上C#、asp.net开发经验，熟悉ASP.NET、ASP.NET MVC、C#语言、Jquery, 具有分布式在线系统开发经验者优先。  2、熟练掌握Web项目开发的相关技术(Ajax、W...", "山东合商云购电子商务有限公司", "20-99人", "民营", "计算机软件    ", "", "8"
"智联", "ASP", "asp.net项目经理", "8000-11000", "不限", "济南 - 高新区", "5-10年", "...asp.net开发经验，熟悉ASP.NET、ASP.NET MVC、C#语言、Jquery, 熟练应用和开发WebService，WCF，WebApi等服务接口，具有分布式在线系统开发经验者优先。  2、精通ADO.NET、熟练应用ORM框架、LINQ...", "山东合商云购电子商务有限公司", "20-99人", "民营", "计算机软件    ", "", "12"
"智联", "ASP", "asp.net 中级研发工程师", "6001-8000", "大专", "济南 - 市中区", "1-3年", " 岗位要求：  1、 熟练使用C#编程语言和.NET编程技术,两年以上C#、asp.net开发经验，熟悉ASP.NET、ASP.NET MVC、C#语言、Jquery, 具有分布式在线系统开发经验者优先。  2、熟练掌握Web项目开发的相关技术(Ajax、W...", "山东合商云购电子商务有限公司", "20-99人", "民营", "计算机软件    ", "", "1"
"智联", "ASP", "软件开发asp.net C#  web开发 sql orcal", "4000-7000", "本科", "济南", "1-3年", " 岗位职责：     1.根据需求人员提供的要求完成程序设计，代码编写，配合测试人员测试代码   2.跟客户做简单的沟通交流   任职要求：    1.熟练使用vs2010 sqlserver2008 精通C# jquery html 熟悉orcal   2.有责任心，做事情认真负责，敢于迎接挑战，...", "济南博卒软件有限责任公司", "20-99人", "其它", "计算机软件", "", "9"
"智联", "ASP", "ASP.NET软件工程师", "6001-8000", "本科", "济南 - 历下区", "3-5年", " 1.熟练掌握C#语言，熟悉ASP.NET、JQuery、CSS；       2.熟练使用SQLServer2005及以上数据库，具备SQL开发能力；       3.熟悉B/S架构；       4.有好的学习习惯，同时要具有团队协作能力；       5.平时积极思考，工作态度端...", "济南博卒软件有限责任公司", "20-99人", "其它", "计算机软件", "", "14"
"智联", "ASP", "Asp.net高级研发工程师", "15001-20000", "本科", "北京", "3-5年", "...Asp.net  开发经验，精通  Web API  ，熟悉  MVC  和  WebForm  开发；    2  、熟悉  HTTP  协议、  HTML5  、  JavaScript  、  CSS3  、  JSON  、  WebSocket  、  AJAX  等前...", "联众游戏", "500-999人", "股份制企业", "互联网/电子商务    ", "", "12"
"智联", "ASP", "Asp.net c# 程序员 软件工程师", "4001-6000", "大专", "成都", "3-5年", " 工作职责：  1． 负责公司项目开发过程中软件及模块的设计、编码、调试等开发工作；  2． 参与公司产品的设计优化工作；  3． 负责系统的升级与维护。  职位要求：  1． 专科及以上学历，一年以上asp.net网站或相关开发经验；  2． 熟悉C# asp.net开...", "四川源润通信有限公司", "20-99人", "民营", "交通/运输/物流", "", "9"
"智联", "ASP", "Asp.net高级软件工程师", "10001-15000", "大专", "上海 - 闵行区", "1-3年", "...ASP.NET开发；   4、能开发C/S和B/S构架的应用程序；   5、掌握MS SQL Server数据库的设计与开发，精通sql查询和操作语句，熟悉存储过程；   6、熟悉JavaScript、Ajax等前端技术，熟悉JQuery优先；   7、工作积极主动，具有高度的热...", "上海长见软件科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "2"
"智联", "ASP", "asp.net软件工程师", "10001-15000", "本科", "杭州 - 拱墅区", "", " 职位描述：    1  、在开发小组主管带领下进行软件产品项目的开发、实施。    2  、参与软件产品分析、设计工作。    任职要求：    1  、计算机或相关专业本科以上学历  ；    2  、精通  C#  ，  ADO.NET  、  ASP.NET 、MVC、  RA...", "浙江科强智能控制系统有限公司", "20-99人", "民营", "金融/投资/证券", "", "4"
"智联", "ASP", "软件工程师（php asp web前端）", "4001-6000", "大专", "武汉", "1-3年", " 岗位职责：  1、使用php、html、js、css、asp等语言开发网站程序；  2、根据要求设计新网站和功能，包括前端板块设计、功能设计、代码编写、测试；  3、根据新需求修改已有网站功能、界面、后台代码等，并进行测试、调试；  4、维护公司网站的正常的运作，保护网站的安全。  ...", "武汉欣业达科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "6"
"智联", "ASP", "C#高级网站开发工程师（ASP.NET方向）", "6001-8000", "本科", "青岛", "1-3年", " 1、精通 C# .NET 进行Web方向程序开发；     2、有至少1年以上C#项目开发经验；  3、计算机或相关专业本科以上学历；   4、有共享软件免费软件开发经验者尤佳。    月薪本地同行业最高。     高级软件工程师薪资更高请关注相关招聘信息，敬请访问 www.ruanmei.com...", "青岛软媒网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "10"
"智联", "ASP", "ASP.NET软件工程师", "6000-12000", "大专", "北京 - 东城区", "3-5年", "...ASP.NET(MVC5架构尤佳)；  2、熟悉使用Entity Framework或MyBatis、Dapper等数据层；  3、熟悉WCF、WebAPI、WebService等开发技术；  4、熟悉HTML、CSS、Bootstrap、JavaScript、Jquery等前台...", "北京鑫宇士力通信科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "9"
"智联", "ASP", "asp.net软件工程师（中级）", "6001-8000", "不限", "济南", "3-5年", " 1、熟练掌握.net进行网站开发，有独立开发能力，有大型网站开发经验者优先；  2、精通ASP.NET、C#语言、Jquery；  3、熟练掌握Web项目开发的相关技术(Ajax、WebService、Xml、CSS/DIV/XHTML,Javascript），有较强的B/S结构程序...", "山东智钜网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "1"
"智联", "ASP", "软件工程师asp.net", "6001-8000", "大专", "郑州 - 管城区", "1-3年", "...ASP.NET、XML、WebService等相关的WEB开发技术； 7. 精通常用数据库的设置和使用。 中国已进入老龄化社会，国内本行业开始了萌芽发展阶段，全国目前只有数十家同类企业，在政府的政策倾斜和扶持下发展前景无可限量。 这里有无限大的平台等着你来施展才华！有年轻活力的团...", "河南金马电子商务有限公司", "100-499人", "民营", "通信/电信/网络设备", "", "6"
"智联", "ASP", "asp.net软件工程师", "6001-8000", "中专", "济南", "3-5年", " 技术部门扩编，现招聘asp.net工程师，如果您的水平够高我们欢迎您，奖金无上限；   如果您的水平普通，我们也欢迎您，有普通技术岗位等着您，更有广阔的上升空间等您施展；            任职要求：    1、熟练掌握.net进行网站开发，有独立开发能力，有大型网站开发经验者优...", "山东智钜网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "10"
"智联", "ASP", "ASP.NET 程序员", "6001-8000", "大专", "广州 - 天河区", "1-3年", " 1 、熟悉HTML、JavaScript、CSS、Ajax等相关WEB技术，精通JQuery或相关JS库开发及扩展经验； 2、有良好的 Web 页面布局、效果、设计能力，熟练使用 DIV+CSS 进行符合W3C 规范的 WEb标准化页面布局； 3、精通SQL语言，掌握SqlServer/mysql...", "广州国宇软件技术服务有限公司", "20-99人", "民营", "电子技术/半导体/集成电路    ", "", "13"
"智联", "ASP", "asp.net高级软件工程师", "8000-12000", "大专", "济南", "3-5年", " 技术部门扩编，现招聘asp.net工程师，如果您的水平够高我们欢迎您，奖金无上限；   如果您的水平普通，我们也欢迎您，有普通技术岗位等着您，更有广阔的上升空间等您施展；            岗位职责：    1、负责模块开发工作，编写高效、可读性强的代码并对代码进行单元测试；  ...", "山东智钜网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "5"
"智联", "ASP", "ASP.NET开发程序员", "5000-6000", "大专", "广州", "1-3年", "...ASP.NET,HTML等开发语言；  3、熟悉面向对象思想，精通编程，调试和相关技术；  4、熟悉应用服务器的安装、调试、配置及使用；  5、具备需求分析和系统设计能力，、以及较强的逻辑分析和独立解决问题能力；   福利待遇：  薪资结构：固定底薪+奖金+餐补+话补+全勤奖金；...", "广州市亚讯通讯技术有限公司", "20-99人", "民营", "计算机软件    ", "", "13"
"智联", "ASP", "WEB网络开发工程师(ASP.NET方向)", "4000-8000", "本科", "天津 - 滨海新区", "1-3年", "...asp.net开发技术，熟练使用Visual Studio开发工具  3.      精通asp.net MVC设计，熟练使用ef进行项目开发  4.      熟练掌握HTML，JavaScript,CSS/DIV  5.      熟练掌握html5开发技术  ...", "天津云度科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "5"
"智联", "ASP", "软件工程师(C#/Asp.net)（欢迎优秀应届生,年薪5w起）", "4001-6000", "本科", "苏州 - 吴中区", "无经验", "...ASP.NET、MVC、WCF等主流开发技术；            5.     熟悉 HTML、JavaScript、jQuery EasyUI、CSS等网页开发技术；        6. 熟悉VSS、TFS中的任一种进行团队协作开发；     7. 有良好的团队意识和创新精...", "苏州同凯信息科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "8"
"智联", "ASP", "Asp.net网站开发工程师（五险一金+双休+各种福利补贴）", "10001-15000", "本科", "杭州", "3-5年", "...ASP.NET（C#)和Web Service的开发，熟悉B/S、C/S架构开发；能独立完成全站开发；   3、熟悉HTTP协议，熟练掌握Ajax、XML、HTML/XHTML、CSS等Web页面技术；   4、熟练操作SQL Sever 2005/2008数据库；熟悉海量数据处...", "杭州新瑞文化创意有限公司", "20人以下", "民营", "互联网/电子商务    ", "", "4"
"智联", "ASP", "ASP.NET开发工程师", "8001-10000", "本科", "北京 - 昌平区", "1-3年", "...ASP.NET C#开发，有一定的系统架构能力；  2、熟悉MVC、Web Service、等相关技术；  5、熟悉SQL Server数据库；  6、精通javascript，HTML，XML，Ajax；  6、精通Jquery编辑技术,了解bootstrap者优先;  7、参...", "北京机知科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "14"
"智联", "ASP", "C# ASP.NET软件开发工程师", "2001-4000", "大专", "常州", "", " 任职要求：  1. 大专及以上学历，计算机软件开发或相关专业；  2. 有.NET开发经验，熟悉C#及ASP.NET编程的优先；  3. 熟悉基于.NET的B/S或C/S开发；熟悉关系型数据库应用（SQL Server优先）；  4. 熟悉HTML、CSS、JavaScript、Aj...", "常州瑞克斯信息科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "5"
"智联", "ASP", "ASP.NET 工程师", "8001-10000", "不限", "北京 - 石景山区", "", " 岗 任职要求：       职位要求：  1）.掌握JavaScript、CSS、html5等相关技术知识，有产品化定制化的经验；  2）.熟练使用ASP.net（C#）.NET框架、三层架构、MVC，至少二年以上asp.net网站开发经验；  3）.熟练使用SQL S...", "北京江鸟网络技术有限公司", "20-99人", "民营", "互联网/电子商务    ", "", "7"
"智联", "ASP", "急聘ASP.net(C#)工程师", "4001-6000", "大专", "济南 - 高新区", "", " 岗位职责：  1.网站开发、维护及B/S软件产品开发、维护工作  2.根据部门领导安排进行软件产品开发  3.良好的代码规范和文档写作能力，具备良好的问题解决能力和学习能力  4.必须具有良好的沟通能力与合作能力，工作认真负责     任职要求：  1.精通.NET平台，熟练掌握C#、ASP...", "山东合力达科技股份有限公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "2"
"智联", "ASP", "ASP.net工程师", "8000-15000", "本科", "上海", "3-5年", " 职位要求  1、大专以上学历，计算机相关专业，2年以上相关工作经验；  2、熟练掌握C#，.net，具有1年以上web项目经验，熟练使用VS2005、VS2008、SQL Server等开发工具；  3、熟练掌握C#、SQL语言，对Jquery、ajax、javascript、HTML、CSS、X...", "上海德望信息科技有限公司", "20-99人", "合资", "计算机软件,互联网", "", "10"
"智联", "ASP", "ASP.NET软件工程师", "6001-8000", "不限", "福州 - 鼓楼区", "", " ASP.NET软件工程师: 1、精通asp.NET和SQL程序员 2、精通windows2003server系统，精通asp.NET+SQL网页设计，精通css + div网页设计布局，有过大中型网站建站经验。 3、asp.net开发，熟悉三...", "福建微特软件科技开发有限公司", "20-99人", "民营", "计算机软件,互联网", "", "10"
"智联", "ASP", "ASP.NET 程序员", "4001-6000", "大专", "无锡 - 无锡新区", "1-3年", " 岗位职责：  1、参与系统的分析与设计，并负责代码实现；  2、根据开发规范与流程完成模块的设计、编码、测试以及编写相关文档。      任职要求：  1、精通VS.NET平台上应用程序的开发，精通ASP.NET优先；  2、熟悉Ajax，javascript，jquery，能运用j...", "无锡市远亚科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "2"
"智联", "ASP", "asp.net软件开发（接受应届生投递）", "4001-6000", "本科", "杭州 - 西湖区", "", " 要求：     性别不限，思想品质优良，身体健康，能吃苦耐劳，有奉献精神，计算机专业本科及以上学历（学历必须符合），须精通asp.net语言，热忱欢迎2016届优秀应届生加盟！         薪资待遇：     实习期工资：3000 - 4000元/月； （     公司可安排住宿...", "杭州钜警佰源信息技术有限公司", "20-99人", "民营", "计算机软件", "", "14"
"智联", "ASP", "ASP.NET开发", "4001-6000", "不限", "青岛", "1-3年", " 岗位职责：   ASP.NET开发  任职要求：  ASP.NET开发     根据项目完成情况发放项目奖金。", "青岛维致信软件有限公司", "20人以下", "其它", "计算机软件    ", "", "7"
"智联", "ASP", "ASP.NET开发工程师", "4001-6000", "本科", "石家庄", "1年以下", "...ASP.NET编程，对应用软件及网站编程有经验者优先；    3、熟悉C#、JAVASCRIPT；   4 、熟悉MVC；   5、熟悉掌握MS SQL Server 或 Oracle ；   6、 独立解决技术问题，有较强的创新意识；", "石家庄春晓互联网信息技术有限公司", "20人以下", "民营", "互联网/电子商务", "", "8"
"智联", "ASP", "asp.net开发/测试", "2001-4000", "不限", "青岛", "", " 岗位职责：   asp.net 软件开发、测试；  任职要求：  asp.net 软件开发、测试；", "青岛维致信软件有限公司", "20人以下", "其它", "计算机软件    ", "", "8"
"智联", "ASP", "asp.net软件开发工程师", "6000-10000", "大专", "广州 - 天河区", "1-3年", " 岗位职责： 1、参与公司产品的规划、需求调研、设计、开发和实施等工作； 2、进行软件产品运行的日常维护和技术支持。 任职要求： 1、计算机或相关专业，本科及以上学历； 2、熟练使用asp.net（C#），Win Form，ASP.NET MVC，SQL Server等；...", "广州领伍信息科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "9"
