"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "COCOS2D-X", "Cocos2d-x初级开发(前端) 工程师", "3000-6000", "本科", "成都", "", " 岗位职责：  1、基于Cocos2d-x进行手机游戏的设计、开发 ；  任职要求：  1、大学本科学历， 计算机和软件相关专业；  2、熟练使用C++ 或者 java；  3、良好的沟通能力，表述能力，合作精神。富有进取心，能承受一定的工作压力；  4、有cocos2d-x开发经验优先；  5、有...", "成都指游科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "9"
"智联", "COCOS2D-X", "cocos2d-x手机游戏开发高级程序员", "10001-15000", "本科", "南宁", "1-3年", " 1. 使用cocos2d-x开发手机游戏； 2. 开发游戏相关工具，比如骨骼动作编辑器/界面编辑器/粒子编辑器/资源编辑器；  3. 优化cocos2d-x引擎；  4. 在引擎基础之上封装游戏类库；  5. 技术团队的管理工作。  职位要求：1. 熟悉C++，有其它语言经验优先考虑；  2. 使...", "广西集越文化传播有限公司", "20-99人", "民营", "电子技术/半导体/集成电路    ", "", "2"
"智联", "COCOS2D-X", "Cocos2d-x手机游戏开发工程师", "15001-20000", "大专", "深圳", "1-3年", " 岗位要求：   1 、有良好的面向对象分析、设计能力、规范的编程风格    ，    有良好的文档编写能力；      2 、熟悉  MAC OX  操作系统，熟悉使用  xcode  、  eclipse  开发工具，  c/c++  基本功扎实，熟悉  stl    等    ；      3...", "深圳品众茶叶交易中心有限公司", "100-499人", "民营", "互联网/电子商务", "", "8"
"智联", "COCOS2D-X", "cocos2d-x跨平台android方向程序员", "6001-8000", "大专", "青岛 - 市北区（新行政区）", "1-3年", " 公司做国内外全球市场，有很好的发展前景，欢迎有志之士加入我们哦~ 我们8小时工作制，不加班；双休，正常假节日放假，轻松的环境，良好的公司氛围，欢迎大家的到来！           >/* Style Definitions */ table.MsoNormalTable {mso-style...", "青岛乐智网络有限公司", "20人以下", "民营", "互联网/电子商务    ", "", "1"
"智联", "COCOS2D-X", "cocos2d-x手机游戏程序员", "6001-8000", "大专", "青岛 - 市北区（新行政区）", "1-3年", " 公司做国内外全球市场，有很好的发展前景，欢迎有志之士加入我们哦~ 我们8小时工作制，不加班；双休，正常假节日放假，轻松的环境，良好的公司氛围，欢迎大家的到来！       工作职责：  1. 构建开发环境及周边工具；  2. 使用cocos2d-x开发基于iOS/安卓平台手机游戏；  3. 参与讨...", "青岛乐智网络有限公司", "20人以下", "民营", "互联网/电子商务    ", "", "2"
"智联", "COCOS2D-X", "移动端游戏开发工程师（cocos2d-x）", "8000-12000", "本科", "上海 - 浦东新区", "1-3年", " 工作职责：  1、使用cocos2d-x开发android/ios平台应用；  2、编写自定义动画及动画合成库；  3、优化cocos2d-x引擎；  4、在引擎基础之上封装相关类库；  5、参与讨论软件模块功能、操作流程及界面布局等客户端开发；  6、根据策划需求，协同完成程序的编码、调试、配置...", "上海奥多信息科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "14"
"智联", "COCOS2D-X", "cocos2d-x主程", "10001-15000", "不限", "深圳", "", " 岗位职责： 负责客户端游戏开发工作。   任职资格： 1、计算机或相关专业；熟悉Cocos2d-x游戏引擎； 2、良好的C++基础； 3、有开发经验(独自或参与开发io的游戏)的优先。 4、具有良好的团队合作精神，理解和表达能力强。", "深圳市禅游科技股份有限公司", "100-499人", "民营", "计算机软件,互联网", "", "15"
"智联", "COCOS2D-X", "Cocos2d-x工程师", "8001-10000", "不限", "深圳", "", " 岗位职责： 负责棋牌游戏前台开发工作。  任职资格： 1、计算机或相关专业，一年以上经验； 2、良好的C++基础，熟悉Cocos2d-x游戏引擎； 3、有开发经验(独自或参与开发ios的游戏)的优先。 4、具有良好的团队合作精神，理解和表达能力强。", "深圳市禅游科技股份有限公司", "100-499人", "民营", "计算机软件,互联网", "", "6"
"智联", "COCOS2D-X", "cocos2d-x开发工程师", "15001-20000", "大专", "北京", "1-3年", " 这里是联众游戏     ——  1998 年创立， 18 年棋牌文化的传承与发扬    ——  2014 年 6 月 30 日，香港联交所主板公开上市 ( 股票代码 06899.HK ）    ——   产品线涵盖客户端、网页、移动端，并基于云计算实现跨平台完美互通    ——   智力运动产业，...", "联众游戏", "500-999人", "股份制企业", "金融/投资/证券    ", "", "2"
"智联", "COCOS2D-X", "Cocos2d-X资深主程", "15001-20000", "不限", "深圳", "3-5年", " 工作内容: 岗位职责： 1.负责平台移动客户端(android/ios)开发与维护工作； 2.参与产品设计阶段讨论,充分理解产品功能设计目的与需求,进行可行性分析并制定出实现方案； 3.带领团队成员共同完成项目开发任务； 4.开发文档的规范制定与撰写。  职位要求: 岗位要求： 1.熟练掌握jav...", "深圳巨全网络技术有限公司", "20-99人", "民营", "交通/运输/物流    ", "", "1"
"智联", "COCOS2D-X", "C/C++、cocos2d-x游戏前端程序员", "6001-8000", "大专", "青岛 - 崂山区", "1-3年", " 职位描述    1.热爱游戏事业，计算机或相关专业； 2.熟练掌握C/C++语言，两年或以上C/C++开发经验。 3.具备扎实的软件编程基础，有良好的编程习惯，能够编写高质量的代码； 4.具备cocos2dx开发经验，并独立负责过重要模块，参与过网络手游研发的优先； 5.有极强的责任心，工作踏实，...", "北京博尧科技有限公司青岛分公司", "20-99人", "外商独资", "计算机软件,互联网", "", "7"
"智联", "COCOS2D-X", "游戏引擎cocos2d-x开发工程师", "6001-8000", "不限", "广州", "", " Cocos2d-x游戏引擎开发工程师  岗位职责：  1、使用cocos2d-x开发基于iOS/安卓平台手机游戏  2、参与讨论手游模块功能、操作流程及界面布局等客户端设计。    职位要求：  1、至少一年以上C++工作经验，或优秀的应届毕业生  2、精通C/C++编程语言，精通C++标准库  ...", "广州游爱网络技术有限公司", "500-999人", "上市公司", "计算机软件", "", "8"
"智联", "COCOS2D-X", "手游开发 cocos2d-x", "15001-20000", "不限", "北京", "", " 岗位职责：  1、 负责已上线网游新系统模块的开发；  2、 负责已上线游戏模块的维护；  3、 配合运营团队完成游戏的运营活动开发；     岗位要求：   1、 一年以上手机游戏开发经验；  2、 性格随和，热爱游戏，喜欢动漫；  3、 熟悉cocos2dx，最好也熟悉C/C++；  4、 熟...", "北京鼎新同人管理咨询有限公司", "500-999人", "民营", "", "", "14"
"智联", "COCOS2D-X", "Cocos2d-x程序员", "8001-10000", "本科", "福州", "1-3年", " 岗位职责：  1、负责大型网络游戏客户端逻辑开发；   2、负责开发游戏界面，客户端优化；   3、提供美术开发所需工具；   4、保证客户端稳定性和高效性。  任职要求：  1、熟悉Cocos2dx下的游戏开发；   2、3年以上工作经验，其中2年以上游戏客户端编程开发工作经验；   3、熟练掌...", "福建省万城数码股份有限公司", "100-499人", "民营", "互联网/电子商务    ", "", "7"
