"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "C++", "C/C++软件工程师", "4001-6000", "大专", "南昌 - 青山湖区", "1-3年", " 岗位职责：    1  根据软件设计要求，完成模块及程序的编写与自测；    2  与项目组成员配合完成模块间联合调试；    3  书写开发过程中所需的技术文档；    4  根据项目的新需求，完善原有程序或开发新的程序。    5、进行编制项目文档和质量记录的工作；  6、维护软件使之保持可用...", "南昌铭琅航空科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "8"
"智联", "C++", "Linux C/C++ 研发工程师", "4001-6000", "本科", "郑州", "1-3年", " 岗位职责：            1  、协助或负责项目的架构设计；        2  、负责项目的技术难题的研究攻关；        3  、协助和配合项目的编码、测试和部署。         任职要求：            1、连续1年以上 Linux 环境下 C/C++ 开发，熟练掌握嵌...", "河南紫光物联技术有限公司", "100-499人", "民营", "互联网/电子商务    ", "", "15"
"智联", "C++", "c++/软件开发实习生", "4000-8000", "硕士", "北京 - 海淀区", "", " 岗位职责：  1. 参与项目需求分析和设计讨论；  2. 参与公司软件产品的开发与设计；  3. 按照规范编写相关开发文档。     岗位要求：   1)   在校研究生  及以上学历，勘探地球物理、信号与信息处理、软件工程、电子信息技术等相关专业；    2) 了解C++，面向对象编程技术；  ...", "北京天工新源科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "5"
"智联", "C++", "C++软件开发工程师(应届生可投）", "3000-6000", "大专", "济南 - 高新区", "", " 注：欢迎优秀应届毕业生或学习力强者加入  岗位职责：  1、负责安防综合管理平台各个模块，包括界面的开发与测试；  2 、协助工程管理人保证项目的质量；  3 、负责工程中定制功能的代码实现；  4 、解决工程中的关键问题和技术难题；     岗位要求：  1、熟悉C++，熟悉Oracle或者SQ...", "济南拓能科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "13"
"智联", "C++", "C/c++软件工程师", "9000-18000", "本科", "成都", "3-5年", " 岗位要求：    1、计算机相关专业本科及以上学历（只接受211 985类院校毕业生），2年以上相关行业工作经验；  2、扎实的编程基础，熟悉C语言程序开发；  3、良好的团队合作意识，工作积极主动，能承受较大压力；  4、做事严谨踏实，责任心强，条理清楚，善于学习总结，有良好的团队合作精神和沟通...", "成都信升斯科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "14"
"智联", "C++", "高级C++软件工程师", "8001-10000", "大专", "济南 - 高新区", "3-5年", " 岗位职责：  1、参与安防综合管理平台的规划和设计；   2、负责并组织平台各个模块，包括界面的开发与测试； 3 、协助工程管理人保证项目的质量；  4 、负责工程中定制功能的代码实现；  5 、解决工程中的关键问题和技术难题；      福利待遇：          工资+午餐补助＋交通补助＋项...", "济南拓能科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "10"
"智联", "C++", "C++视频分析(产品)技术经理", "10001-15000", "本科", "北京", "3-5年", " 岗位薪资根据实际工作能力面议！  基本要求：  ★ 正规公立院校毕业，计算机相关专业，本科及以上学历！3年以上工作经验！  ★ 有产品思维，能接受新鲜事物，锐意进取。善于创新、思维敏捷、精力充沛！  ★ 文档编写能力强！具有良好的软件工程意识，深刻理解软件系统架构，精通面向对象分析设计方法，熟练掌...", "北京丰华联合科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "5"
"智联", "C++", "C++软件工程师", "4001-6000", "大专", "济南", "1-3年", " 岗位职责：  1、负责安防综合管理平台各个模块，包括界面的开发与测试；  2 、协助工程管理人保证项目的质量；  3 、负责工程中定制功能的代码实现；  4 、解决工程中的关键问题和技术难题；     福利待遇：        工资+午餐补助＋交通补助＋项目提成+项目奖金+社会保险+定期培训+集体...", "济南拓能科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "3"
"智联", "C++", "高级C++开发工程师", "15001-20000", "大专", "北京 - 海淀区", "5-10年", " 岗位职责：  1. 根据项目/产品需求编写并维护设计文档，保持产品技术文档的完整性、连续性和可追溯性；  2. 及时处理、指导、协调和解决开发过程中出现的技术问题，确保开发工作的顺利进行；  3、参与项目的需求分析，制定相应的解决方案；  4、负责公司现有平台的开发与维护；  5、负责程序开发与代...", "北京尚水信息技术股份有限公司", "100-499人", "股份制企业", "互联网/电子商务", "", "9"
"智联", "C++", "C++软件工程师", "6001-8000", "本科", "南京 - 栖霞区", "1-3年", " 岗位职责：  负责使用Visual C++进行应用程序或模块的编制。     职位要求：  1) 熟练掌握C/C++语言，有两年或两年以上 2) 熟悉Windows和Visual C++/MFC编程技术 3) 具备较强的学习能力及应对挑战的信心与实力 4) 有使用OpenGL，OpenGVS或Ve...", "北京尚水信息技术股份有限公司", "100-499人", "股份制企业", "互联网/电子商务", "", "7"
