"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "C#", "C#开发工程师", "6000-10000", "不限", "无锡", "", " 岗位职责：  1、深刻理解C#语言，有扎实的代码功底和良好的编码习惯；  2、了解Mysql数据库相关编程技术，熟悉索引、视图、存储过程等概念；  3、了解异步编程、多线程、Web Service、Windows服务；  4、具备需求分析和系统设计能力，以及较强的逻辑分析和独立解决问...", "无锡新格尔软件有限公司", "20-99人", "民营", "计算机软件", "", "13"
"智联", "C#", ".Net C#研发工程师（区卫）", "4001-6000", "大专", "重庆", "1-3年", "...C#、.NET  3、具备较强的数据库开发功底，熟悉Oracle或是其他数据库；  4、业务理解力强；   5、具备较强的沟通和交流能力，清晰的逻辑思维能力；  6、具备高度的敬业和团队合作精神，有较强的责任心，工作细致负责。  优先条件：  1、有医疗卫生信息化行业经验优先； ...", "重庆中联信息产业有限责任公司", "500-999人", "民营", "计算机软件", "", "10"
"智联", "C#", "C#开发工程师", "5000-10000", "本科", "西安 - 高新技术产业开发区", "1-3年", " 岗位职责：   1. 负责扫描识别系统（包括图像切割功能）的开发和维护工作；  2. 面向客户和技术支持的技术咨询支持、现场问题处理支持及提供解决方案；  3. 开发文档和用户文档的制作及维护；   任职要求：   1. 熟悉C# WinForm程序设计和开发，一年以上WinForm...", "西安博冠信息科技股份有限公司", "100-499人", "民营", "计算机软件,互联网", "", "7"
"智联", "C#", "高级程序员  .NET(C#/VB)软件工程师", "6001-8000", "大专", "常州", "1-3年", " 岗位职责：  主要从事日文Windows系统环境下应用程序软件和开发，以.NET和C#语言为主。    任职要求：  1, 精通c# vb相关技术；   2, 熟悉.NET开发平台和C#语言；  3, 熟悉JS类脚本；   4, 计算机技术，信息技术或者相...", "常州正道信息咨询有限公司", "20人以下", "民营", "互联网/电子商务", "", "3"
"智联", "C#", "C# 实习生", "2001-4000", "大专", "呼和浩特", "", " 岗位职责：c#  实习生  ，正规院校毕业，计算机或数学专业优先。", "内蒙古仙丽网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "5"
"智联", "C#", "C#软件工程师", "10001-15000", "本科", "北京", "3-5年", "...c#)以及webform系统开发，精通web service、jquery、mvc等相关技术，熟悉HTTP等通信协议； 4、熟悉使用SQLServer、ORACLE等至少一种数据库，并熟悉SQL调优； 5、能承受工作压力，具有较强责任心，较强的沟通能力和技术文档撰写能力； 具有良...", "北京科麦信息技术有限公司", "20人以下", "民营", "专业服务(咨询、人力资源、财会)", "", "14"
"智联", "C#", "ERP软件C#开发工程师", "6001-8000", "大专", "广州", "", " ERP软件开发工程师  职位描述：  1. 具有2年以上.Net平台开发经验，熟悉MS SQLServer/ORACLE数据库。  2. 熟悉C#编程语言，对ERP有一定的了解。  3. 熟悉工作流编程及ERP原理，熟悉制造、化工行业的生产管理流程。  4.高度的敬业精神，工作踏实，...", "广州欧泊计算机科技有限公司", "20人以下", "股份制企业", "计算机软件,互联网", "", "7"
"智联", "C#", "C#(B/S)软件工程师", "8000-15000", "大专", "北京", "1-3年", "...C#和ASP.NET开发经验，熟悉C/S和B/S开发；  熟练运用sqlserver，写出满足需求的高效sql语句。  熟悉T-Sql、存储过程、函数、触发器、作业；  熟练 jQuery, ajax, svn代管管理工具;  熟悉 DIV+CSS，web services；  ...", "北京兰雅迪公关策划有限公司", "100-499人", "民营", "影视/媒体/艺术/文化传播    ", "", "7"
"智联", "C#", "C#开发工程师", "10001-15000", "大专", "北京", "1-3年", "...C#  开发经验；    2  、熟练掌握  C#  语言，  开发  C/S  、  B/S  结构软件；    3  、熟练掌握  Oracle/MySQL  中一种或多种数据库，扎实的数据库基础知识，优秀的数据库设计能力；    4  、熟练掌握  Windo...", "北京德馨同创科技发展有限责任公司", "20-99人", "股份制企业", "计算机软件,互联网", "", "15"
"智联", "C#", "C#软件开发工程师", "3000-6000", "本科", "济南", "1-3年", " 岗位要求:   1、本科及以上学历，计算机、软件开发等相关专业，一年以上实际开发经验；  2、精通.NET开发及应用框架，熟练使用.Net MVC、Web API、WCF、ADO.NET、Entity Framework等技术；  3、熟练掌握.net下C#开发语言、SqlServe...", "山东顺国电子科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "5"
