"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Delphi", "delphi软件开发工程师", "6001-8000", "不限", "连云港", "", " 待遇：4500~8000  负责公司软件产品开发，熟练使用DELPHI、C#、C、C++、JAVA其中一种开发工具，有过至少一个产品开发的经验，熟练使用SQL SERVER 等关系数据库，能够熟练编写存储过程和触发器，至少有二年开发经验。", "北京九九归一科技有限公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "3"
"智联", "Delphi", "软件开发工程师C#/.Net/Delphi", "6001-8000", "不限", "郑州 - 郑东新区", "", "...DELPHI和NET都熟悉的优先                 任职要求：  1、负责项目相关模块的开发、维护工作； 2、进行程序单元、功能的测试，查出软件存在的缺陷并保证其质量； 3、能独立分析并解决问题； 4、协助项目经理完成详细设计文档完善； 5、根据数据库设计文档完成项...", "上海瑞星软件有限公司", "100-499人", "外商独资", "互联网/电子商务", "", "15"
"智联", "Delphi", "NET、Delphi 软件开发工程师", "4001-6000", "大专", "成都 - 金牛区", "", " 职位描述：    1) C/S应用系统（Delphi）高级程序员、程序员8-10名；   2) B/S应用系统（.NET）高级程序员、程序员2-3名；   3) 工作地点：成都市金牛区一环路北三段；   4) 全职  职位要求：  1) 计算机软件相关专业专科以上学历，有工作经验者优...", "四川省宏业建设软件有限责任公司", "100-499人", "民营", "通信/电信运营、增值服务", "", "8"
"智联", "Delphi", "软件开发工程师（delphi方向）", "4001-6000", "本科", "济南 - 高新区", "", " 岗位描述： 主要负责公司桌面软件开发工作，使用的开发工具为：delphi。   岗位要求： 1、性格开朗、品行端正，有较强的责任心及敬业精神。 2、正规全日制本科院校毕业，自动化相关专业。     3、做事认真，善于沟通，具有良好的代码设计开发规范及团结协作能力，热爱软件设计工作。 ...", "山东博硕电子有限公司", "100-499人", "民营", "通信/电信运营、增值服务    ", "", "8"
"智联", "Delphi", "Delphi软件开发工程师（西安）", "6001-8000", "大专", "西安", "3-5年", "...Delphi数据库编程、VCL类库及网络编程；    6、精通SQL SERVER、Oracle或其它大型数据库编程；    7、积极的学习态度，乐于面对挑战性课题；    8、有财务软件、企业管理软件及医疗行业软件开发经验者优先。          岗位职责：     1、负责...", "深圳市坐标软件开发有限公司", "100-499人", "民营", "互联网/电子商务    ", "", "11"
"智联", "Delphi", "delphi开发工程师", "8001-10000", "本科", "北京", "1-3年", " 岗位职责：  1、参与基于Delphi技术的应用系统开发、维护；  2、根据开发规范与流程完成系统设计、编码以及相关文档的编写。     任职要求：  1、本科及以上学历；  2、1年以上Delphi项目编程经验；  3、熟练掌握Delphi语言以及...", "北京好价网络科技有限公司", "100-499人", "外商独资", "计算机软件,互联网", "", "5"
"智联", "Delphi", "delphi中高级软件工程师", "6001-8000", "本科", "济南", "3-5年", " 岗位职责：     1. 模块需求分析、设计；    2. 模块编码、编写单元测试代码；    3. 开发文档的编写、上报、归档；    4、其他软件开发相关工作。    任职要求：     1. 国家统招本科及以上学位，计算机科学与技术相关专业，1年以上软件开发经验；     2. 熟练掌握", "北京辰森世纪科技股份有限公司济南分公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "1"
"智联", "Delphi", "Delphi软件开发", "6000-10000", "本科", "深圳 - 福田区", "1-3年", " 【岗位职责】  1、专责项目产品的技术编程设计开发。根据设计及编码规范完成编码，独立处理和解决所负责的任务；  2、根据开发进度和计划任务分配，解决技术难点，保证开发进度及产品品质，完成相应模块软件的设计、开发、编程任务；  3、根据项目任务计划按时完成软件编码和单元测试工作，配合测试人员进行系统...", "深圳市采集科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "4"
"智联", "Delphi", "DELPHI开发人员", "3000-6000", "不限", "长沙", "1-3年", " 岗位职责：   1、在Delphi环境下进行软件系统的设计、开发及测试工作；  2、规范编写相关技术文档、项目文档、测试用例等。  任职要求：  学习能力强，坐得住；  熟悉面向对象开发、了解常用设计模式；  DELPHI一年以上经验。  待遇：  保险，交通、午餐补助...", "长沙仁瑞信息技术有限公司", "20-99人", "股份制企业", "计算机软件", "", "10"
"智联", "Delphi", "delphi程序员", "6001-8000", "大专", "中山", "1-3年", " 岗位职责：  1、负责公司软件完善、开发；  2、根据客户需求定制开发系统；  3、编写软件开发各类文档；   任职要求：  1、精通delphi7；  2、精通SQL SERVER；  3、精通存储过程、触发器等；  4、精通Midas；  5、熟悉ERP系统优先；  6、熟悉工厂...", "中山市镕浩软件科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "6"
