"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Flash", "flash特效师", "8000-15000", "不限", "厦门", "3-5年", " 1.需擅长手绘,3年以上工作经验     2.热爱游戏，并具备良好的审美、想象力、创造性思维以及领悟力；", "厦门赛游信息科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "5"
"智联", "Flash", "FLASH动画师", "6001-8000", "大专", "北京", "1-3年", " 岗位职责：    1.根据课件功能需求，完成课程框架的搭建，实现课程互动。  2.根据产品风格，制作高品质、生动、灵动的动画课件；  3.对项目整体架构的确定提出合理化建议，如：整体风格、情景设置、美术风格等；  4.根据需求完成相关剪辑工作。  任职要求：  1. 能够熟练使用PS/AI/...", "北京菲尔德国际教育咨询有限公司", "100-499人", "合资", "计算机软件    ", "", "4"
"智联", "Flash", "月6K+Flash设计/开发可实习(五险一金)双休食宿", "6001-8000", "不限", "郑州", "", " 任职要求：         1、  18-28周岁,条件优秀者可以放宽  ；      2、学习能力强，可塑性强，热爱技术。      3、工作作风踏实，能吃苦耐劳，学习精神强，良好的团队协作精神。      岗位职责：             1、根据公司相关要求，在直接主管的带领下完成动画设计...", "郑州九龙合电子科技有限公司", "100-499人", "上市公司", "计算机软件,互联网", "", "10"
"智联", "Flash", "flash动画师", "4001-6000", "大专", "南京 - 秦淮区", "", " 职位要求：  1、大专以上学历，能力强可不受此限制；  2、精通FLASH，动画制作水平强，会使用Spine优先考虑；  3、熟练运用数绘板，有一定的美术基础，懂得动画运动规律，对人体结构有一定的理解；  4、可独立进行人物设定、场景设定更佳；  5、有丰富的想象力和较强的创意能力，...", "南京艺动律网络科技有限公司", "20-99人", "合资", "计算机软件,互联网", "", "11"
"智联", "Flash", "FLASH动画师", "4001-6000", "不限", "成都", "", " 岗位职责：能与团队一起完成FLASH动画小短片、宣传动画（如飞碟说等）。       一年以上同行工作经验优先。     任职要求：1、视觉艺术设计或美术相关设计专业毕业，大专及以上学历； 2、.拥有扎实的绘画基础和熟练的动画专业技巧，多样的绘画风格以及丰富的想象力； 3、熟悉动画制...", "成都乐梵文化传播有限公司", "20人以下", "民营", "计算机软件    ", "", "2"
"智联", "Flash", "Flash动画师", "5000-8000", "大专", "上海", "", " 岗位职责：  1、美术功底扎实，能独立完成形象及场景绘制，FLASH剧情动画及MG动画。  2、能够准确理解剧本内容，具有一定的分镜脚本能力，对该部分完成时间和质量负责。  3、参与团队创意分享、提供创意内容。  4、配合完成整体动画调整。  5、配合完成客户植入、宣传动画内容的制作...", "上海十二栋文化传播有限公司", "20-99人", "股份制企业", "计算机服务(系统、数据服务、维修)    ", "", "15"
"智联", "Flash", "Flash/动画实习生/包吃住/朝九晚五/周末双休", "3000-5000", "不限", "重庆", "", " 工作内容：     -根据产品特性，了解消费者市场完成初步设计文案     -根据公司要求制定设计风格完成前期的动画设计     -配合推广部门、根据他们的需求完成相应的设计修改以及设计支持     -规定时间内团队完成公司下达的设计任务           任职要求     -大专学历及以上（大...", "重庆地纵科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "12"
"智联", "Flash", "Flash动画制作师", "2001-4000", "不限", "广州", "", " 岗位职责：  1、主要负责flash动画,flash人物场景动画等多媒体动画制作工作。  2、扎实的手绘和软件基础，能根据文案制作动画，有很强的实操能力.  任职要求：  1.相关多媒体、动画动漫设计专业毕业，专业精熟，精通photoshop、flash等...", "广州咏赞数码科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "9"
"智联", "Flash", "FLASH动画设计师", "6001-8000", "大专", "北京", "1-3年", " 职位描述：  1  负责课程开发过程中的flash动画设计工作；   2. 与教研员保持密切合作，根据教案描述内容设计出符合课程需要的角色，背景，道具，特效等；    3. 按照课程开发进度按时按质完成工作；   4. 配和公司市场活动需要的其他平面设计。   任职要求：   1．正...", "北京汉高天泓文化艺术发展有限公司", "20-99人", "民营", "互联网/电子商务", "", "8"
"智联", "Flash", "Flash动画设计师(课件制作)", "5000-7000", "大专", "北京", "1-3年", " 工作职责：  1. 根据课程设计要求，熟练运用Flash等多媒体工具完成二维多媒体课件制作； 2. 根据所提供的文字脚本和语音，完成文字的排版及多媒体化； 3. 负责项目需求的美术资源整理和制作  任职资格：  1. 能熟练运用多媒体设计制作工具，如：Flash，PS，...", "北京可可网络科技有限公司", "20-99人", "股份制企业", "计算机软件,互联网", "", "13"
