"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Hadoop", "hadoop", "10001-15000", "不限", "济南 - 高新区", "", " 岗位职责：  1. 负责海量数据的分析处理和数据统计系统的研发 2.  Hadoop环境的维护、调优以及搭建 3、开发基于Hadoop、Hive、Hbase的项目系统 4. 大规模分布式计算与存储的设计与开发； 5. 对现有系统进行重构、维护及二次开发   岗位要求： ...", "鼎讯科技控股集团", "500-999人", "股份制企业", "计算机软件,互联网", "", "10"
"智联", "Hadoop", "hadoop工程师（LTSY）", "4000-8000", "本科", "南昌", "1-3年", " 岗位职责：  Hadoop工程师 （招聘3人）：   1、参与大数据相关系统的需求调研和需求分析，撰写相关技术文档；   2、项目概要设计、详细设计、开发计划等的编制并实施；   3、搭建大数据相关系统开发环境，完成Hadoop、Hive、Hbase、Storm、Spa...", "北京东方国信科技股份有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "6"
"智联", "Hadoop", "Hadoop开发工程师", "12000-18000", "本科", "广州 - 天河区", "3-5年", " 岗位职责：  1、负责大数据平台的搭建、调优；  2、负责基于hadoop相关技术的海量数据处理、分析、统计、挖掘工作。     任职要求：  1、精通Java研发，熟悉Java开发环境和工具；  2．对集群有着深刻的了解，能深入了解hadoop集群及它的生态圈的相关技...", "广东万丈金数信息技术股份有限公司", "100-499人", "股份制企业", "服装/纺织/皮革    ", "", "2"
"智联", "Hadoop", "hadoop工程师", "15001-20000", "本科", "杭州 - 下沙", "3-5年", " [职位描述]  1.        负责Hadoop大数据平台(股票/现货/外汇/期货等金融类产品)架构设计，性能优化与开发工作，熟练Hadoop平台的部署，调优，故障诊断，运行维护的方法和工具。  2.        在迭代码周期内完成功能需求开发，自测以及BUG修复...", "杭州众基网络科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "5"
"智联", "Hadoop", "大数据研发总监（Hadoop平台方向）", "20000-40000", "本科", "北京 - 海淀区", "5-10年", " 岗位职责     1  、  能够带领技术人员基于 hadoop  平台进行海量数据应用系统开发     2  、  负责结构化和非结构化数据的解析和清洗 ,  海量数据查询和报表展现     3  、  负责超大规模数据平台的搭建、维护和优化     4  、  负责大数据采集、存...", "北京东方金信科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "7"
"智联", "Hadoop", "大数据平台开发工程师(Hadoop)", "8001-10000", "本科", "北京 - 海淀区", "", " 岗位职责   1、基于hadoop、hive等构建数据分析平台，进行数据平台架构设计、开发分布式计算业务；  2、应用大数据、数据挖掘、分析建模等技术，对海量数据进行挖掘，发现其潜在的关联规则；  3、撰写脚本实现大数据平台上的自动化数据分析；  4、设计和开发与云计算、云存储、分布...", "北京东方金信科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "11"
"智联", "Hadoop", "Hadoop工程师", "8001-10000", "大专", "北京 - 朝阳区", "", " 岗位职责：  1、负责公司现有Hadoop集群的运维工作,保证其高可用和稳定性；  2、负责为业务系统提供稳定的数据访问服务，包括开发新接口和维护现有系统；  3、负责设计实现可支撑公司Hadoop集群的运维平台与工具  4、负责公司Hadoop集群的业务...", "北京源信创想信息技术有限公司", "100-499人", "民营", "电子技术/半导体/集成电路    ", "", "3"
"智联", "Hadoop", "Hadoop工程师", "8001-10000", "本科", "成都", "", "...Hadoop、HDFS、Hbase、Hive、Spark、Storm等分布式计算框架；  4、熟悉oracle、mysql等数据库技术优先；  5、有两个以上Java项目经验或大数据项目经验；  5、对大数据分析处理有强烈兴趣，乐于接收挑战，自学和独立工作能力强，勤奋肯干，有责任...", "成都数联易康科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "9"
"智联", "Hadoop", "中级软件工程师（Hadoop）", "10001-15000", "不限", "北京", "", " 岗位职责：  1. 参与软件系统的开发、测试；  2. 能根据模块或功能说明书编写详细设计说明书；  3. 独立承担技术支持与开发服务工作；  4.负责分析、设计核心功能模块，并能够编写核心代码以及难点技术攻关等工作。  任职要求：  1. 熟悉hadoop，python，熟悉C/C...", "中城泰信(北京)信息技术有限公司", "20-99人", "股份制企业", "计算机软件    ", "", "14"
"智联", "Hadoop", "（大数据）Hadoop研发工程师", "10000-20000", "本科", "深圳 - 南山区", "1-3年", " （熟悉Linux，熟悉Hadoop、HBase、Hive、MapReduce或有一定实践经验） -------------------------------- 岗位描述： 1、负责公司大数据平台和大数据系统产品的设计和开发。 2、针对公司大数据业务进行大数据平台、数据分析、挖掘软件...", "深圳市傲天科技股份有限公司", "100-499人", "上市公司", "计算机软件,互联网", "", "3"
"智联", "Hadoop", "Hadoop大数据开发支持顾问", "8000-16000", "大专", "无锡", "", "...Hadoop项目经验，熟悉Java开发语言；  3.熟悉R语言或Python语言优先考虑，熟悉No SQL优先考虑；  4.善于沟通，抗压能力强，能够适应快节奏的工作内容；  5.热爱技术，对微软的产品技术感兴趣", "上海微创软件股份有限公司", "1000-9999人", "合资", "计算机软件    ", "", "13"
"智联", "Hadoop", "Hadoop数据库工程师", "8001-10000", "不限", "深圳 - 罗湖区", "", " 岗位职责：  1、大数据平台开发，包括部署、实施；  2、大数据平台运行性能、可用性、扩展性等监控与优化调控；  3、负责基于Hadoop/Spark生态系统的研发；  4、负责基于基于spark的计算和挖掘研发。  任职要求：  1、有hadoop开发经验，计算机相关...", "深圳华策辉弘科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "1"
"智联", "Hadoop", "Hadoop/ 大数据工程师", "20001-30000", "不限", "北京 - 朝阳区", "5-10年", " 职位描述：物联网项目，将发动机中的数据提取整合到微软Azure平台上进行存储以及相应的分析计算。     职位要求：  1. 5年以上Java开发经验，有大数据经验或者微软Azure工作经验；  2. 熟悉软件生命周期流程，熟悉Agile环境（有Scrum或者Kanban经验优先）；  3.3年以...", "塔塔信息技术(中国)股份有限公司", "100-499人", "外商独资", "贸易/进出口    ", "", "15"
"智联", "Hadoop", "大数据开发工程师-Hadoop", "15001-20000", "不限", "上海", "", " 岗位职责：  1.负责Hadoop大数据解决方案设计和实施；  2.负责大数据平台基础建设，大数据环境下的软件开发，尤其是安全体系的搭建；  岗位要求：  1. 计算机相关专业本科，2年以上Hadoop开发经验；  2. 熟悉掌握Java，Hive，Hbase，Kafk...", "上海拍拍贷金融信息服务有限公司", "1000-9999人", "民营", "计算机软件", "", "2"
"智联", "Hadoop", "Hadoop", "15001-20000", "本科", "北京 - 大兴区", "3-5年", " 岗位职责：  1.负责大规模数据存储、高性能离线/在线计算框架的研发。理解和分析数据需求和数据特点，优化存储和计算架构的性能；  2.提供核心大数据技术，建设大数据基础设施，推动数据处理体系的升级，包括但不限于离线/实时计算、批处理SQL引擎和计算框架、数据挖掘平台等；  3.综合解决公司的  4...", "北京汇商融通信息技术有限公司", "100-499人", "民营", "快速消费品(食品、饮料、化妆品)    ", "", "10"
"智联", "Hadoop", "BI工程师(Hadoop/大数据)", "18000-25000", "本科", "北京", "3-5年", " 工作内容：  1 与业务部门交流，参与开发需求讨论与制定  2 负责Hadoop，Hbase，Hive，Zookeeper集群维护  3 负责公司hadoop生态环境项目架构制定，研发和部署  4 负责公司Spark生态环境项目架构制定，研发和部署  5 负责用户画像与...", "北京易天新动网络科技有限公司", "100-499人", "合资", "计算机软件,互联网", "", "2"
"智联", "Hadoop", "hadoop开发工程师", "10001-15000", "本科", "北京 - 丰台区", "3-5年", " 1、大学本科以上学历，计算机或金融相关专业。  2、熟练使用Java语言，熟练使用eclipse等开发工具，3年的JAVA或hadoop开发经验。  3、熟悉SQL数据库操作（Oracle、MySQL等）,熟悉PostgreSQL的优先。  4、精通Hadoop1.0、...", "黑龙江邮政易通信息网络有限公司", "100-499人", "国企", "互联网/电子商务", "", "9"
"智联", "Hadoop", "Hadoop工程师（安装部署）", "4001-6000", "本科", "郑州", "1-3年", " 岗位职责：   1、大数据平台软件的项目实施、安装部署。主要是在客户业务场景下验证我们产品的功能以及性能。  2、参与解决方案编写；  3、产品部署实施。   任职要求： 1、计算机或相关专业本科（或以上）学历 2、熟练Linux 、shell或SQL 语言 3、熟悉Java语言 4、了解H...", "河南智云数据信息技术股份有限公司", "20-99人", "民营", "互联网/电子商务", "", "2"
"智联", "Hadoop", "Hadoop初级工程师", "4001-6000", "大专", "厦门", "", " 岗位职责：1、根据开发进度和任务分配，完成基于Hadoop平台大数据项目系统相应模块的开发、编程任务； 2、负责程序单元、功能的测试工作，查找软件存在的缺陷并改进； 3、负责编制项目文档和质量记录的工作； 4、负责大数据平台日常维护工作，保证平台稳定运行；      任职要求：  1...", "科技谷(厦门)信息技术有限公司", "20-99人", "合资", "计算机软件,互联网", "", "3"
"智联", "Hadoop", "Hadoop中级工程师", "8001-10000", "本科", "厦门", "1-3年", " 岗位职责：1、负责开发基于Hadoop平台大数据项目系统； 2、独立负责部分据应用平台和产品的设计与研发； 3、参与大数据系统运维，对大数据平台持续优化； 4、能够及时跟踪开源社区新技术的发展、研究和学习；      任职要求：1、计算机科学技术或计算机相关专业，本科以上学历。有较好...", "科技谷(厦门)信息技术有限公司", "20-99人", "合资", "计算机软件,互联网", "", "3"
"智联", "Hadoop", "架构师（HADOOP方向）", "8001-10000", "本科", "哈尔滨 - 香坊区", "5-10年", " 岗位职责：  1. 负责Hadoop集群的开发、调优、监控等工作；为Hadoop集群使用用户提供技术支持； 2. 对Hadoop平台不断优化，提升数据产品的质量和响应速度； 3. 开发各种Hadoop大数据自动化运维与监控工具； 4. 根据开...", "哈尔滨乐辰科技有限责任公司", "100-499人", "民营", "计算机软件,互联网", "", "9"
"智联", "Hadoop", "Hadoop高级工程师", "15001-20000", "本科", "厦门", "3-5年", " 岗位职责：1、负责调研、分析客户需求，分解、指派工程师完成基于Hadoop的应用开发工作； 2、负责大数据应用体系搭建与运维； 3、把握复杂分布式系统的设计、开发、维护全过程，不断进行系统优化 ； 4、指导初中级工程师完成编程工作，培训并提高初中级工程师编程能力； 5、主导维护和管理...", "科技谷(厦门)信息技术有限公司", "20-99人", "合资", "计算机软件,互联网", "", "4"
"智联", "Hadoop", "hadoop工程师（非外包）", "10000-17000", "本科", "南京 - 雨花台区", "1-3年", " 工作职责：   1. 参与hadoop产品开发、设计和项目上线；  2.负责技术难题攻关，重构系统，确保系统质量及稳定性；  3.能够在团队中完成Code Review的任务，确保相关代码的有效性和正确性，并能够通过Code Review提供相关性能以及安全的建议。   任职要求： ...", "上海麦杰环境科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "2"
"智联", "Hadoop", "Hadoop软件工程师", "8001-10000", "本科", "武汉", "3-5年", " 1、  熟悉 Linux 操作系统，有良好的编程能力，以及较强的动手和学习能力；  2、  熟悉 Java、Scala等其中一种编程语言；  3、  有从事分布式数据存储与计算平台应用开发经验，熟悉 Kafka, Storm,Hadoop, HBase, Hive等相关技术；  4、...", "武汉电动汽车技术开发有限公司", "20-99人", "合资", "餐饮业    ", "", "6"
"智联", "Hadoop", "Hadoop开发工程师", "10001-15000", "本科", "合肥 - 高新区", "", " 职位描述  1、熟悉Linux操作系统的基本概念和应用，熟练使用BASH或Python中的至少一种进行数据文件分析；  2、熟悉Java开发，熟练掌握Java集合类、IO、并发变成，并熟悉Jvm原理及内存管理；  3、熟悉海量数据分析相关的数据结构和算法；  4、熟悉Hadoop、P...", "北京浩瀚深度信息技术股份有限公司", "500-999人", "股份制企业", "计算机硬件", "", "11"
"智联", "Hadoop", "spark/Hadoop工程师", "10001-15000", "硕士", "上海 - 浦东新区", "", "...Hadoop、Hive、Storm、Spark、Hbase、zookeeper、Kafka、Flume等分布式框架  •   熟悉常用开源分布式系统，Hadoop/Hive/Spark/Yarn，精通源代码尤佳   •   熟练使用spark机器学习算法包     ...", "上海坤雁数据服务有限公司", "20-99人", "民营", "互联网/电子商务    ", "", "10"
"智联", "Hadoop", "Hadoop研发工程师", "8001-10000", "本科", "济南", "", " 岗位职责：  职位描述：基于Hadoop/HDFS、HBase开发，完成业务部门的各种搜索业务和数据的需求，完成需求评估到上线的一系列开发流程，能解决实际线上生产系统（Hadoop/HDFS，HBase开发）的各种问题；维护线上任务的稳定产出；跟踪hadoop", "济南观澜数据技术有限公司", "20-99人", "股份制企业", "交通/运输/物流    ", "", "3"
"智联", "Hadoop", "hadoop研发工程师", "8000-15000", "本科", "成都", "3-5年", " 我们需要你：  1.基于hadoop的海量数据分析系统研发  2.基于hadoop集群的MapReduce程序的开发、测试及优化     我们希望你：  1.对Linux操作系统熟练掌握，熟悉shell等脚本编程  2.扎实的java基础，两年以上java实际开发经验 ...", "成都达拓智通科技有限公司", "20-99人", "股份制企业", "计算机软件,互联网", "", "11"
"智联", "Hadoop", "hadoop大数据开发工程师（银行金融）", "10001-15000", "本科", "上海", "1-3年", " 岗位职责：  1、负责搭建hadoop集群，并维护与管理；  2、负责hadoop平台上的数据存储，数据维护和优化；  3、负责进行Hadoop、Hive、Hbase项目开发；  4、负责平台数据提取、数据挖掘及数据分析，具有良好的商业敏感度和优秀的数据分...", "上海华腾软件系统有限公司", "10000人以上", "合资", "交通/运输/物流    ", "", "4"
"智联", "Hadoop", "Hadoop初级工程师", "4001-6000", "大专", "厦门", "", " 岗位职责：1、根据开发进度和任务分配，完成基于Hadoop平台大数据项目系统相应模块的开发、编程任务； 2、负责程序单元、功能的测试工作，查找软件存在的缺陷并改进； 3、负责编制项目文档和质量记录的工作； 4、负责大数据平台日常维护工作，保证平台稳定运行；      任职要求：  1...", "科技谷(厦门)信息技术有限公司", "20-99人", "合资", "计算机软件,互联网", "", "11"
"智联", "Hadoop", "Hadoop开发工程师", "15000-30000", "本科", "北京", "", "...hadoop、hive、hbase、spark、storm、kafka、zookeeper、flume组件的4种以上，具有M/R程序开发经验、具备分布式数据计算平台搭建相关实践经验，具有一定的平台调优能力；      5.具备优秀的业务理解能力，对数字敏感，有较强的逻辑分析能力 ...", "北京起源财富网络科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "11"
"智联", "Hadoop", "HADOOP架构师", "8001-10000", "大专", "郑州 - 高新区", "", " 岗位职责： 1、基于Hadoop平台进行相关架构设计与产品研发；  2、负责大数据处理和分析平台架构的设计、开发与测试；通过Hadoop相关技术解决海量数据的分析处理问题、数据统计系统的研发；  3、设计和规划Hadoop集群，提升集群高可用性、高性能和高...", "郑州双杰科技股份有限公司", "20-99人", "股份制企业", "计算机软件,互联网", "", "5"
"智联", "Hadoop", "hadoop高级工程师", "15001-20000", "大专", "上海", "3-5年", " 岗位职责：  1、参与数据平台架构设计和开发；  2、进行大数据相关技术的基础研究工作，承担并独立完成所分配的开发任务，并对交付代码质量负责；  3、完成数据处理系统的开发和技术文档的编写；  4、辅助管理Hadoop集群。     任职要求：  1、计算机或相关专业本科及以上学历，...", "上海势航网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "11"
"智联", "Hadoop", "Hadoop大数据工程师", "10001-15000", "不限", "深圳", "3-5年", " 岗位要求：  * 大学本科及同等学历，具有1年及以上hadoop大数据平台开发或运维相关工作经验；  * 熟悉hadoop、mapreduce基本框架，了解sqoop、hive、oozie等组件，有金融行业大数据项目开发经验优先；  * 了解kafka、flume、pi...", "深圳市长亮科技股份有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "10"
"智联", "Hadoop", "Hadoop高级工程师", "15001-20000", "本科", "北京", "3-5年", " 岗位职责：  1、分布式计算框架如hadoop、hive群集环境的部署、开发和管理；  2、对数据进行加工，处理，分析，并从中挖掘商业价值；  3、对数据类的产品进行调研，研究，并形成数据产品；  4、负责为业务系统提供稳定的数据访问服务，包括开发新接口和维护原有系统；  5、为业务...", "北京科瑞明软件有限公司", "100-499人", "民营", "互联网/电子商务    ", "", "11"
"智联", "Hadoop", "北京分公司--架构师（HADOOP方向）", "30001-50000", "本科", "北京 - 朝阳区", "5-10年", " 岗位职责：  1. 负责Hadoop集群的开发、调优、监控等工作；为Hadoop集群使用用户提供技术支持； 2. 对Hadoop平台不断优化，提升数据产品的质量和响应速度； 3. 开发各种Hadoop大数据自动化运维与监控工具； 4. 根据开...", "哈尔滨乐辰科技有限责任公司", "100-499人", "民营", "计算机软件,互联网", "", "11"
"智联", "Hadoop", "hadoop开发", "5000-10000", "大专", "郑州", "", " 岗位职责：  1、负责搭建hadoop集群，并维护、调优与管理； 2、负责hadoop平台上的数据存储，数据维护和优化； 3、负责进行Hadoop、Hive、Hbase项目开发； 4、负责平台数据提取、整合、建模、分析，能够解决各类的数据问题; 5、根据项...", "上海陆鹰实业有限公司", "100-499人", "合资", "计算机软件    ", "", "10"
"智联", "Hadoop", "Hadoop高级工程师", "15001-20000", "本科", "厦门", "3-5年", " 岗位职责：  1、负责调研、分析客户需求，分解、指派工程师完成基于Hadoop的应用开发工作； 2、负责大数据应用体系搭建与运维； 3、把握复杂分布式系统的设计、开发、维护全过程，不断进行系统优化 ； 4、指导初中级工程师完成编程工作，培训并提高初中级工程师编程能力； 5、主导维护和...", "科技谷(厦门)信息技术有限公司", "20-99人", "合资", "计算机软件,互联网", "", "10"
"智联", "Hadoop", "Hadoop运维工程师", "5000-10000", "不限", "郑州", "", " 岗位职责：1、负责非结构化数据的处理；  2、负责hadoop平台的运维工作；  3、使用hive 对数据的处理工作；  4、编写mapReduce对业务功能的处理工作。 岗位要求： 1、熟悉Hadoop生态系统，熟悉MapReduce、HBase，具备一年以上相关开发...", "上海陆鹰实业有限公司", "100-499人", "合资", "计算机软件    ", "", "12"
"智联", "Hadoop", "初级大数据（Hadoop）开发工程师", "8001-10000", "不限", "上海", "", "...hadoop集群部署和开发经验者优先；  8、熟悉hadoop、hive、impala、kafka、flume等，对hive、impala开发有实际经验者优先；", "上海华腾软件系统有限公司", "10000人以上", "合资", "交通/运输/物流    ", "", "7"
"智联", "Hadoop", "Hadoop工程师", "10000-16000", "大专", "北京 - 朝阳区", "1-3年", " 岗位职责：   1、基于Hadoop平台进行广告数据计算平台的设计、开发、测试和部署； 2、提供网站海量数据存储、分布并行计算、用户行为数据挖掘展现；   任职要求：   1、计算机或者相关专业本科及以上学历，二年以上海量数据分布式处理系统的设计开发工作经验； 2、熟悉java开发，...", "北京力美传媒科技股份有限公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "12"
"智联", "Hadoop", "Hadoop开发工程师", "6000-10000", "本科", "济南", "", "...Hadoop  分布式系统架构，了解分布式文件存储，了解  Hive  、  HBASE  、  Zookeeper  、  Storm  、  Spark  等原理且具有实际安装、配置、调优、管理及应用开发经验      熟悉至少一种主流数据库系统（如  Oracle/Mysq...", "山东九州信泰信息科技股份有限公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "11"
"智联", "Hadoop", "hadoop工程师", "8001-10000", "本科", "贵阳", "3-5年", "...Hadoop/MapReduce、HBase、Hive等系统开发；    4、熟悉关系型数据库、半结构化数据存储理论，具有实践经验；    5、熟悉Linux开发环境；    6、有一定的数学建模和分布系统功底或获得过相关竞赛奖项者优先。        【福利待遇】      1...", "中科恒运软件科技股份有限公司贵阳分公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "15"
"智联", "Hadoop", "Hadoop工程师", "面议", "不限", "上海 - 虹口区", "1-3年", "...Hadoop，熟悉Pig源代码，能熟练编写Pig脚本；  5、有统计学，计算广告学等相关背景或项目经验优先。", "北京力美传媒科技股份有限公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "2"
"智联", "Hadoop", "hadoop大数据开发工程师", "15001-20000", "本科", "上海 - 徐汇区", "1-3年", " 岗位职责：  1、负责搭建hadoop集群，并维护与管理；  2、负责hadoop平台上的数据存储，数据维护和优化；  3、负责进行Hadoop、Hive、Hbase项目开发；  4、负责平台数据提取、数据挖掘及数据分析，具有良好的商业敏感度和优秀的数据分...", "上海华腾软件系统有限公司", "10000人以上", "合资", "交通/运输/物流    ", "", "12"
