"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "武汉", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "9"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "哈尔滨", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "7"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "南昌", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "14"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "合肥", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "9"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "沈阳", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "1"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "济南", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "5"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "长沙", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "2"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "石家庄", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "4"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "郑州", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "14"
"智联", "iOS", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "长春", "", "...IOS开发定岗委培工程师                进入移动互联网开发的最高薪资殿堂！ -——唯有IOS开发工程师         IOS简介            IOS成为移动互联网市场上高端领域的唯一品牌，虽然目前各种品牌的An...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "多元化业务集团公司    ", "", "7"
"智联", "iOS", "IOS手机软件开发工程师【底薪8000+绩效+奖金+双休+享公寓食宿】", "15001-20000", "大专", "北京 - 大兴区", "", " 岗位职责：   1. 参与客户端产品的技术实现讨论，框架设计；  2. 负责各个模块代码实现和适配、新功能研发及debug；  3. 参与产品需求分析并制定技术实施方案；  4. 参与制定设计及实现规范；  5. 负责解决产品开发中的技术难题。      任职资格：   1. 大专及以上学历，计算...", "上海振田贸易有限公司", "500-999人", "合资", "计算机软件    ", "", "8"
"智联", "iOS", "IOS软件工程师", "6001-8000", "不限", "太原", "", " 岗位职责：  1、负责IOS移动客户端软件的设计和研发；  2、负责根据UI设计图进行IOS移动客户端软件的封装；  3、负责根据其他开发组提供的数据接口进行数据交互；  4、负责客户端产品的架构设计，分析和发现系统的优化点；  5、负责软件代码的编写、调试及后期维护；...", "山西米可科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "6"
"智联", "iOS", "IOS开发工程师", "10001-15000", "大专", "北京", "1-3年", " 技术能力：熟练掌握iOS平台的GUI、基本组件、Socket/HTTP编程、线程、进程间通信机制等；  熟悉XMPP即时通讯协议，有类似产品经验优先考虑；熟悉Hybrid Apps开发框架；  拥有很好的设计模式和思维，熟悉面向对象编程，熟练的图形界面开发；  理解内存管理 , 有丰...", "华软国创(北京)科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "8"
"智联", "iOS", "IOS工程师", "10001-15000", "不限", "北京", "", " 岗位职责：  1、独立完成iOS手机应用开发；  2、参与项目技术方案的制定，规范文档的编写、维护；   3、负责iOS手机应用软件相关技术的调研、实现；   4、与UI设计团队配合，完成手机应用开发；   5、负责对应用产品长期迭代优化并上线。   工作经验要求：  ...", "上海华腾软件系统有限公司", "10000人以上", "合资", "环保    ", "", "1"
"智联", "iOS", "iOS", "10001-15000", "本科", "北京", "3-5年", " 技术能力：熟练掌握iOS平台的GUI、基本组件、Socket/HTTP编程、线程、进程间通信机制等；  熟悉XMPP即时通讯协议，有类似产品经验优先考虑；熟悉Hybrid Apps开发框架；  拥有很好的设计模式和思维，熟悉面向对象编程，熟练的图形界面开发；  理解内存管理 , 有丰...", "华软国创(北京)科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "4"
"智联", "iOS", "聘安卓JAVA/IOS软件开发实习生+零基础+免费培训+ 生活补助", "4001-6000", "大专", "新乡", "无经验", " Java/ios/安卓软件开发，凭借雄厚的师资力量和诚信的经营理念，无任何编程基础，2-4天可熟练掌握OC语言，加入我们的集训，帮助你成为一个出色的软件开发者，欢迎感兴趣的小伙伴们加入！！！学就学有用的！高端前沿大气的!       任职资格:      1、无项目开发经验的求职人员...", "郑州昂那克软件科技有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "2"
"智联", "iOS", "聘安卓JAVA/IOS软件开发实习生+零基础+免费培训+ 生活补助", "4001-6000", "大专", "郑州", "无经验", " Java/ios/安卓软件开发，凭借雄厚的师资力量和诚信的经营理念，无任何编程基础，2-4天可熟练掌握OC语言，加入我们的集训，帮助你成为一个出色的软件开发者，欢迎感兴趣的小伙伴们加入！！！学就学有用的！高端前沿大气的!       任职资格:      1、无项目开发经验的求职人员...", "郑州昂那克软件科技有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "2"
"智联", "iOS", "iOS开发工程师（DXSY）", "6500-9500", "本科", "西安", "1-3年", "...iOS开发平台及框架原理，能根据产品设计独立进行应用程序开发、移植和发布   3.3年以上相关开发工作经验，有1个以上独立负责、设计、开发的应用   4.熟悉iOS SDK及相关开发、调试、优化工具   5.逻辑思维清晰，理解能力强，具有很强的学习能力、分析能力、解...", "北京东方国信科技股份有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "4"
"智联", "iOS", "IOS开发", "2001-4000", "中专", "成都", "", " 岗位职责： 1、参与iOS应用系统的开发、编码以及单元测试工作； 2、参与iOS应用系统开发过程中产出文档的编写； 3、进行iOS验证和和修正测试中发现的问题；  4、对 iOS 平台开发技术进行研究,根据开发过程中的体验对产品提出改进建议。...", "成都奇佳科技有限公司自贡分公司", "10000人以上", "上市公司", "计算机软件,互联网", "", "11"
"智联", "iOS", "IOS开发", "2001-4000", "中专", "成都", "", " 岗位职责： 1、参与iOS应用系统的开发、编码以及单元测试工作； 2、参与iOS应用系统开发过程中产出文档的编写； 3、进行iOS验证和和修正测试中发现的问题；  4、对 iOS 平台开发技术进行研究,根据开发过程中的体验对产品提出改进建议。...", "四川动听音乐文化传播有限公司", "20-99人", "民营", "通信/电信运营、增值服务    ", "", "13"
"智联", "iOS", "IOS开发工程师", "8000-16000", "大专", "上海", "", " 岗位职责：  1、 根据需求与设计文档独立完成 iOS 系统的开发、测试和维护；  2、 规范文档的编写、维护，以及其他与项目相关工作；  3、 按照项目计划，按时提交高质量代码，完成开发任务；  完成IOS产品的技术攻关与实现；  任职要求：  1、3年或以上iPho...", "上海缘心投资咨询有限公司", "20-99人", "合资", "电子技术/半导体/集成电路", "", "15"
"智联", "iOS", "金融/烟草/土木工程+Android/ios/java软件开发学徒", "4001-6000", "大专", "郑州", "", " Java/ios/安卓软件开发，凭借雄厚的师资力量和诚信的经营理念，无任何编程基础，2-4天可熟练掌握OC语言，加入我们的集训，帮助你成为一个出色的软件开发者，可免费试听。欢迎感兴趣的小伙伴们加入！！！学就学有用的！高端前沿大气的!       任职资格:      1、无项目开发经...", "郑州昂那克软件科技有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "9"
"智联", "iOS", "金融/烟草/土木工程+Android/ios/java软件开发学徒", "4001-6000", "大专", "洛阳", "", " Java/ios/安卓软件开发，凭借雄厚的师资力量和诚信的经营理念，无任何编程基础，2-4天可熟练掌握OC语言，加入我们的集训，帮助你成为一个出色的软件开发者，可免费试听。欢迎感兴趣的小伙伴们加入！！！学就学有用的！高端前沿大气的!       任职资格:      1、无项目开发经...", "郑州昂那克软件科技有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "4"
"智联", "iOS", "聘安卓JAVA/IOS软件开发实习生+零基础+免费培训+ 生活补助", "6001-8000", "大专", "开封", "", " Java/ios/安卓软件开发，凭借雄厚的师资力量和诚信的经营理念，无任何编程基础，2-4天可熟练掌握OC语言，加入我们的集训，帮助你成为一个出色的软件开发者，可免费试听。欢迎感兴趣的小伙伴们加入！！！学就学有用的！高端前沿大气的!     任职资格:   1、无项目开发经验的求职人...", "郑州昂那克软件科技有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "3"
"智联", "iOS", "聘安卓JAVA/IOS软件开发实习生+零基础+免费培训+ 生活补助", "6001-8000", "大专", "郑州 - 金水区", "", " Java/ios/安卓软件开发，凭借雄厚的师资力量和诚信的经营理念，无任何编程基础，2-4天可熟练掌握OC语言，加入我们的集训，帮助你成为一个出色的软件开发者，可免费试听。欢迎感兴趣的小伙伴们加入！！！学就学有用的！高端前沿大气的!     任职资格:   1、无项目开发经验的求职人...", "郑州昂那克软件科技有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "7"
"智联", "iOS", "IOS研发工程师", "5000-8000", "大专", "天津", "1-3年", " 职位描述： 1. 根据需求进行iOS平台客户端app的设计、开发和维护； 2. 与项目相关人员配合共同完成应用软件的开发设计工作； 3. 遵循软件开发流程，进行应用及人机界面软件模块的设计和实现； 4. 按照项目工作计划在保证质量的前提下，按时完成开发任务； 5. 负责服务器端调试，...", "天津环融集团有限公司", "500-999人", "民营", "通信/电信/网络设备", "", "9"
"智联", "iOS", "乐视诚聘IOS开发工程师", "10001-15000", "本科", "北京 - 朝阳区", "3-5年", " 我公司为乐视代出聘IOS开发工程师  岗位描述： 1.  按照需求说明书，完成iOS平台的应用软件开发，包括iPhone、iPad；  2、编写项目设计，实现和测试文档；  3、编写和执行项目的单元测试和质量控制。 岗位要求： 1、本科或以上学历，3年以上iOS", "猎思奇(北京)科技有限公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "12"
"智联", "iOS", "百度业务线-ios开发实习生", "4000-5000", "大专", "南京", "", " 快速求职通道-----请点击屏幕右下方“联系人”位置，公司在线人事随时等待为您登记,或直接加55159643详细咨询，或直接骚扰电话02585996710转接人力资源部，我们waiting你！   中软国际成立于2000年，为香港主板上市公司。与国内知名it企业阿里巴巴、华为、IBM、中国移动、雅...", "中软国际有限公司", "10000人以上", "上市公司", "互联网/电子商务", "", "8"
"智联", "iOS", "高级ios开发工程师", "10000-20000", "本科", "北京 - 大兴区", "3-5年", " 岗位职责：  1.负责本公司ios平台上支付相关产品的设计和开发；  2.根据产品需求完成架构设计、模块设计、编码、测试等工作；  3.能够依据项目计划独立按时完成高质量编码和测试工作；  4.依据规范完成相关文档的编写、维护，以及其他相关工作；  5.解决App运行中出现的故障和问...", "中金支付有限公司", "100-499人", "国企", "计算机软件", "", "11"
"智联", "iOS", "iOS开发工程师", "8000-15000", "本科", "北京", "3-5年", " 岗位职责：     1  、完成客户端模块的开发以及测试；  2、对上线客户端的日常维护和升级；  3、参与需求的讨论；    4  、按要求完成文档的编写；    任职要求：        1、一年以上iOS开发经验，熟练掌握objective c和iOS SDK； ...", "北京中投视讯文化传媒股份有限公司", "500-999人", "股份制企业", "计算机软件", "", "10"
"智联", "iOS", "百度业务线-ios开发实习生", "4000-5000", "大专", "南京", "", "...iOS相关应用程序的研发，配合工程师进行项目的开发和测试； 2、根据需求协助主管进行IOS客户端的设计、开发、测试和维护； 3、协助项目经理优化代码和产品，持续提高APP用户体验； 4、负责跟进收集应用技术发展。     四、后期发展方向：  开发助理、开发工程师、...", "中软国际科技有限公司南京分公司", "10000人以上", "上市公司", "计算机软件,互联网", "", "8"
