"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Java", "东软集团直招 Java开发实习生 转正后4K起 双休", "4001-6000", "不限", "天津", "", " 岗位要求：     1、大专以上学历、应届生优先，如技术优秀可适当降低学历要求     2、理工科，有志于在IT行业发展；计算机网络、电子信息、软件工程、电气自动化、测控、生仪、机电等专业，其他专业可进行人才培养及储备；     3、有计算机语言基础者优先，如：C\\\\C++、Java、...", "天津东软睿道教育信息技术有限公司", "1000-9999人", "民营", "外包服务    ", "", "2"
"智联", "Java", "java软件工程师", "6000-10000", "大专", "兰州", "", " 岗位职责：1、完成软件系统代码的实现，编写代码注释和开发文档； 2、根据设计文档或需求说明完成代码编写，调试，测试和维护； 3、分析并解决软件开发过程中的问题； 4、协助测试工程师制定测试计划，定位发现的问题； 5、配合项目经理完成相关任务目标。     任职要求：  1、1年以上java", "甘肃国悦信息技术有限公司", "20人以下", "其它", "计算机软件    ", "", "4"
"智联", "Java", "JAVA高级开发工程师(加油站软件业务 急聘)", "12001-15000", "大专", "济南", "3-5年", "...Java  ===========================  1、掌握J2EE架构；  2、理解Java的设计模式，了解其实现方式；  3、熟练使用Eclipse、MyEclipse工具进行Java编程；  4、熟练使用ORM框架、jav...", "普联软件股份有限公司", "1000-9999人", "股份制企业", "外包服务    ", "", "1"
"智联", "Java", "JAVA中级工程师", "8001-10000", "大专", "西安", "3-5年", " 职位描述：    1、计算机相关专业毕业；    2、 熟悉java语言，相关技术过硬，善于钻研新技术，接触新知识；    3、工作责任心强、性格开朗、善于沟通、工作细心、做事有条理、善于在工作中学习与总结；    4、对新技术有较强的好奇心，善于钻研新技术，有做过开源框架者优先。 ...", "北京北信源软件股份有限公司西安分公司", "100-499人", "股份制企业", "计算机软件    ", "", "9"
"智联", "Java", "Java开发（1-3年经验）（急聘！）", "6001-8000", "本科", "济南", "1-3年", " 一、工作职责    .  掌握公司平台架构下的软件开发规范    .  根据系统需求，完成系统的开发工作（包括设计、编码与测试）    .  配合系统实施及支持人员编写用户手册    .  解答系统实施及支持人员提出的问题       二、岗位要求    1.         Java", "普联软件股份有限公司", "1000-9999人", "股份制企业", "外包服务    ", "", "4"
"智联", "Java", "国企招聘JAVA实训生", "2001-4000", "大专", "青岛", "", " 一、公司介绍：  中软国际成立于2000年，为香港主板上市公司，股票代码354。中软国际是中国大型综合性软件与信息服务企业，提供从IT咨询服务、IT技术服务、IT外包服务到IT培训的“端到端”软件及信息服务，涉及政府、制造、金融、电信与高科技等主要信息技术行业。目前员工规模40000人，在中国38...", "中软国际有限公司", "10000人以上", "上市公司", "计算机服务(系统、数据服务、维修)    ", "", "12"
"智联", "Java", "Java实习生 双休+五险一金", "4001-6000", "中专", "广州 - 天河区", "", " 一、岗位职责：  1、根据系统设计和开发规范编写代码；  2、负责软件的维护工作和对实施工程师的技术支持；  3、编写相应的开发文档；  4、一定的java开发及前端JS开发能力；  5、良好的学习能力，刻苦钻研精神；     薪资待遇：  试用期：3000-5000元底薪+业绩提成...", "中软国际（广州）信息技术有限公司", "10000人以上", "上市公司", "计算机软件", "", "1"
"智联", "Java", "java软件开发工程师学徒，五险一金，双休", "4001-6000", "中专", "深圳", "", " 岗位职责：     \  1   、理工类专业 \    2   、热爱软件开发工作 \    3   、热情，敬业，踏实，肯干 \    4   、能掌握一定的软件理论和工具，方法 \    5   、提供住宿。     \     公...", "深圳市中软卓越教育科技有限公司", "10000人以上", "外商独资", "计算机软件,互联网", "", "1"
"智联", "Java", "高级软件工程师，JAVA软件工程师", "15001-20000", "不限", "上海", "", " 岗位职责：  1.能够根据要求开发功能性模块，完成基于Java语言的软件开发任务；   2.深入理解C/S、B/S架构的网络模式，并能够完成C/S、B/S架构的功能软件开发；   3.根据客户需求，编写相应项目文档，并根据文档进行项目开发 ；        任职要求：  1有责任心、...", "上海众开信息科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "8"
"智联", "Java", "Java开发工程师", "5000-10000", "大专", "北京", "", " 岗位职责：  1、 参与系统的需求调研和需求分析；  2、 参与系统设计；  3、 java代码编写。     任职要求：  1、 熟练使用J2EE编程，能够应用常用设计模式编写代码，有良好编程习惯；  2、 SQL基础扎实，能够熟练编写常用sql（会Oracle者优先）；  3、 ...", "中科软科技股份有限公司", "1000-9999人", "股份制企业", "计算机软件,互联网", "", "7"
