"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "JavaScript", "web前端开发工程师（HTML CSS javascript）", "8001-10000", "大专", "广州", "1-3年", " 岗位职责：  1、负责系统前端开发工作，协调界面设计师和开发人员的工作；  2、优化网站前端功能设计，解决各种浏览器的兼容性问题；  3、JavaScript程序模块开发，通用类库、框架编写；  4、Web前端表现层及与后端交互的设计和开发；  5、通过各种前端技术手段，提高用户体验...", "广州飞卓科汇信息科技有限公司", "100-499人", "外商独资", "计算机软件,互联网", "", "1"
"智联", "JavaScript", "JavaScript工程师", "8000-12000", "不限", "武汉 - 洪山区", "", "...JavaScript等技术，精通canvas操作；  2 精通原生JS编码，能熟练使用JavaScript开源库，并精通其中一种以上；  3 熟悉HTTP、WebSocket、Ajax等网络/服务协议；  4 熟悉W3C标准及规范，熟悉浏览器内部工作模式，对跨浏览器...", "睿佳(武汉)软件科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "8"
"智联", "JavaScript", "HTML5（WEB前端语言侧重会HTML5，对CSS和Javascript要了解）", "10001-15000", "本科", "上海", "1-3年", "...Javascript熟练、准确地进行代码构建，实现产品所需的动画效果以及交互效果；  3、精通Javascript，能够独立开发JS模块 ,熟悉常用的JavaScript框架、类库，如jQuery、EXT JS、YUI、JS、DOM、ajax等；  4...", "上海炎武金融信息服务有限公司", "20-99人", "民营", "贸易/进出口", "", "12"
"智联", "JavaScript", "Web前端（javascript）", "10001-15000", "不限", "北京", "1-3年", " 岗位职责: 1、 前端Web框架组件开发； 2、 Javascript组件开发； 3、 Ajax交互组件、Web接口的设计与开发； 4、 Web前沿技术研究。  任职资格: 1、有PC或mobile Web前端开发经验2年或以上； 2、精通JavaScript、Ajax...", "北京雄文海略电子商务有限责任公司", "20-99人", "民营", "计算机软件", "", "3"
"智联", "JavaScript", "JavaScript开发工程师", "6001-8000", "大专", "长沙 - 岳麓区", "3-5年", "...Javascript相关开发经验  2、精通Web前端技术（HTML，CSS，JavaScript），熟悉WEB标准，了解CSS/JS跨浏览器端的兼容性。  3、熟练掌握JavaScript面向对象编程方法；有基于Ajax应用开发经验；熟练使用至少一种...", "长沙泽元软件有限公司", "20-99人", "民营", "计算机服务(系统、数据服务、维修)", "", "3"
"智联", "JavaScript", "高级前端开发工程师（Javascript / html5)", "8001-10000", "大专", "合肥 - 高新区", "1-3年", " 岗位职责：    1、熟练掌握JavaScript语言核心技术DOM、BOM、Ajax、JSON等；    2、熟练掌握各种前端技术JavaScript、Ajax、jquery等，熟悉Web/RIA开发模式；  3、理解Prototype/jQuery/YUI/Extj...", "合肥启云软件有限公司", "20-99人", "民营", "计算机软件", "", "3"
"智联", "JavaScript", "javascript前端工程师", "8001-10000", "大专", "长沙", "1-3年", " 岗位职责：  1.在静态页面基础上，加入数据交互与动态效果  2. JavaScript程序模块开发，通用类库、框架编写、插件编写     任职要求：  1、计算机信息技术相关专业毕业；  2、精通Javascript，熟练使用jQuery框架，有其它JS框架使用经验优...", "湖南视拓信息技术股份有限公司", "100-499人", "民营", "电子技术/半导体/集成电路    ", "", "7"
"智联", "JavaScript", "前端开发（熟悉javascript）", "5000-10000", "大专", "广州", "1-3年", " 职责  1、负责ios、Android平台客户端开发工作；  2、协助产品项目测试、系统交付工作；  3、协助ios、Android平台应用发布；   4、学习和研究新技术,提高产品质量与开发速度 。  要求  1、专科以上学历，计算机相关专业毕业，1年以上开发经验；  2、熟悉HTML5、...", "广州市乐商软件科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "8"
"智联", "JavaScript", "Web前端工程师(html5/Javascript)", "6001-8000", "大专", "合肥 - 高新区", "1-3年", " 岗位职责：     1、掌握  javascript  、  html5  、  css3  等前端开发技术；     2、能熟练运用一种常见  JS  开发框架，如  JQuery  、  ExtJS  等，参与或者开发过某种  JS  框架者尤佳；    3、具有模块化编程思想、...", "合肥启云软件有限公司", "20-99人", "民营", "计算机软件", "", "10"
"智联", "JavaScript", "Java/JavaScript/WEB前端开发工程师实习生", "6001-8000", "大专", "郑州 - 金水区", "1年以下", " 岗位职责:    1、解决公司软件系统的开发、测试及维护工作； 2、参与公司软件系统的架构设计及分析工作； 3、根据公司要求规范，编写相应的技术文档； 4、掌握产品技术实现细节，负责解决项目开发中的技术问题； 5、对已有系统提供必要的技术支持，并承担相关功能改进任务。   岗位要求：  1.相关专...", "河南奇酷信息技术有限公司", "100-499人", "民营", "计算机服务(系统、数据服务、维修)    ", "", "12"
"智联", "JavaScript", "Cocos2d软件开发工程师(Java/C++/Javascript)", "6001-8000", "大专", "合肥 - 高新区", "1-3年", "...javascript优先；  3、具备优良的编码习惯，对数据结构与算法有深入理解；  4、热爱游戏开发，有独立分析和解决问题的能力，思路开阔，乐于学习，能快速掌握新技术。       公司提供福利   ： 住房公积金，   养老、医疗、失业、工伤和生育保险，周末双休。技能优秀的员...", "合肥启云软件有限公司", "20-99人", "民营", "计算机软件", "", "12"
"智联", "JavaScript", "JavaScript开发工程师", "10000-20000", "本科", "上海", "1-3年", " 工作内容：  负责电子商务领域的网站及移动端Web前端开发工作。     职位要求：  1、本科以上学历，丰富的前端开发经验； 2、精通Javascript、HTML/HTML5、CSS/CSS3、Ajax等前端开发技术，熟练使用AMD模块化编程技术，对SPA(Single-page...", "上海凌隆服装辅料有限公司", "100-499人", "民营", "快速消费品(食品、饮料、化妆品)", "", "15"
