"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Node.js", "Node.JS开发工程师", "8001-10000", "不限", "大连", "", " 岗位职责：  工作职责：  1.  负责node.js开发；  2.  负责项目的设计、编码、调优、测试及bug处理。     职位要求：  1.本科及以上学历；  2.三年以上工作经验，两年以上Node.JS项目开发工作经验  3.熟练使用，熟悉MVC，熟悉expre...", "大连展锋信息技术咨询有限公司", "100-499人", "民营", "多元化业务集团公司    ", "", "13"
"智联", "Node.js", "Node.js全栈工程师", "10000-20000", "本科", "苏州", "1-3年", " 岗位职责：  负责SaaS产品的前端及后端开发维护工作。     任职要求：  1.精通各种Web前端技术，包括HTML/CSS/Javascript,熟悉React或Angular  2.熟悉Nodejs,熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket  3.了解...", "无锡夸微科技有限公司", "20-99人", "其它", "计算机软件,互联网", "", "1"
"智联", "Node.js", "Node.js全栈工程师", "10000-20000", "本科", "江阴", "1-3年", " 岗位职责：  负责SaaS产品的前端及后端开发维护工作。     任职要求：  1.精通各种Web前端技术，包括HTML/CSS/Javascript,熟悉React或Angular  2.熟悉Nodejs,熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket  3.了解...", "无锡夸微科技有限公司", "20-99人", "其它", "计算机软件,互联网", "", "3"
"智联", "Node.js", "Node.js全栈工程师", "10000-20000", "本科", "杭州", "1-3年", " 岗位职责：  负责SaaS产品的前端及后端开发维护工作。     任职要求：  1.精通各种Web前端技术，包括HTML/CSS/Javascript,熟悉React或Angular  2.熟悉Nodejs,熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket  3.了解...", "无锡夸微科技有限公司", "20-99人", "其它", "计算机软件,互联网", "", "9"
"智联", "Node.js", "Node.js全栈工程师", "10000-20000", "本科", "上海", "1-3年", " 岗位职责：  负责SaaS产品的前端及后端开发维护工作。     任职要求：  1.精通各种Web前端技术，包括HTML/CSS/Javascript,熟悉React或Angular  2.熟悉Nodejs,熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket  3.了解...", "无锡夸微科技有限公司", "20-99人", "其它", "计算机软件,互联网", "", "10"
"智联", "Node.js", "Node.js全栈工程师", "10000-20000", "本科", "无锡", "1-3年", " 岗位职责：  负责SaaS产品的前端及后端开发维护工作。     任职要求：  1.精通各种Web前端技术，包括HTML/CSS/Javascript,熟悉React或Angular  2.熟悉Nodejs,熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket  3.了解...", "无锡夸微科技有限公司", "20-99人", "其它", "计算机软件,互联网", "", "14"
"智联", "Node.js", "Node.js开发工程师", "20001-30000", "不限", "北京", "3-5年", "...Node.js开发经验；  3.对服务器框架的机制，框架的设计模式，数据库的优化有了解优先；", "北京医方科技有限公司", "20-99人", "股份制企业", "计算机软件,互联网", "", "7"
"智联", "Node.js", "Node.js全栈工程师", "10000-20000", "本科", "无锡 - 江阴市", "1-3年", " 岗位职责：  负责SaaS产品的前端及后端开发维护工作。     职位要求  1.精通各种Web前端技术，包括HTML/CSS/Javascript,熟悉React或Angular  2.熟悉Nodejs,熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket  3.了解多...", "无锡夸微科技有限公司", "20-99人", "其它", "计算机软件,互联网", "", "13"
"智联", "Node.js", "Node.js全栈工程师", "10000-20000", "本科", "无锡", "1-3年", " 岗位职责：  负责SaaS产品的前端及后端开发维护工作。     任职要求：   1.精通各种Web前端技术，包括HTML/CSS/Javascript,熟悉React或Angular    2.熟悉Nodejs,熟悉express/koa等后端框架，熟悉ES6等新语言特性，了解socket  3...", "无锡夸微科技有限公司", "20-99人", "其它", "计算机软件,互联网", "", "3"
"智联", "Node.js", "WEB后端开发工程师(node.js mongodb 方向)", "8001-10000", "不限", "深圳 - 罗湖区", "", " 岗位职责：  1、负责公司物联网云平台系统的设计开发。   2、Web以及移动端产品后台系统开发。     岗位任职要求：   1、本科及以上学历；  2、熟悉Linux/Unix、C语言、Javascript、Node.js、ExpressJS和Mongodb；  3、熟悉JSon...", "深圳市动态数据技术有限公司", "20-99人", "民营", "计算机服务(系统、数据服务、维修)    ", "", "11"
"智联", "Node.js", "软件工程师  （Node.js 方向）", "6001-8000", "大专", "广州", "", " 职位描述:    负责公司合作项目开放平台服务端的设计和开发。  岗位要求：  1、专科或以上学历，计算机或相关专业大四学生。  2、对Node.js以及其他新技术充满热情。  3、熟练掌握Javascript语言编程，熟悉Node.js标准库的使用，掌握对应技术的设计...", "万方数据股份有限公司", "500-999人", "国企", "租赁服务    ", "", "1"
"智联", "Node.js", "JAVA(Node.js)开发工程师", "2001-4000", "不限", "珠海", "", " 岗位职责：   1.有较强的沟通以及团队协作能力   2.能协助上级及时主动的完成工作任务   3.自学能力强，能独立解决处理所负责的工作任务   4.工作责任心强，性格外向开朗，细致，耐心。      任职要求：   1.有1-2年以上java工作经验(优秀应届毕业生亦可)    2.熟悉B/S...", "珠海瀛海企业策划有限公司", "20-99人", "民营", "快速消费品(食品、饮料、化妆品)", "", "11"
"智联", "Node.js", "Node.js开发", "15001-20000", "不限", "北京", "3-5年", "...Node.js开发经验；  3.对服务器框架的机制，框架的设计模式，数据库的优化有了解优先；", "北京医方科技有限公司", "20-99人", "股份制企业", "计算机软件,互联网", "", "15"
"智联", "Node.js", "node.js开发工程师", "18000-28000", "大专", "上海", "1-3年", " 岗位职责  1.编写 nodejs前置机服务器，通过与后端服务进行数据整合与安全校验提供给用户所需的数据  2.编写 nodejs的websocket 长连接处理 即使的用户行为管理和通知  3.编写 nodejs 独立的游戏服务器  4.编写 nodejs 与C++ 游戏媒介服务器，分担负载  ...", "上海迪祥信息技术有限公司", "20-99人", "股份制企业", "计算机软件", "", "1"
"智联", "Node.js", "node.js工程师", "10001-15000", "大专", "北京", "3-5年", " 1、前端3年以上经验  2、node.js经验  3、工作认真好学", "北京化蝶科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "14"
"智联", "Node.js", "Node.js 后端攻城狮", "12000-18000", "本科", "上海 - 长宁区", "1-3年", "...Node.js/JavaScript/Express.js/Nginx，对常用框架和 Node.js 的 events/stream/net 等内部模块有实战经验；  能独立完成新功能模块的接口设计和开发工作；  熟悉 MySQL 数据库的脚本编写及性能调优；  熟...", "上海凯洛格信息科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "11"
"智联", "Node.js", "Node.js开发工程师", "10001-15000", "不限", "厦门", "", " 岗位职责：     *  负责  Node.js 、 MongoDB  功能模块实现；  *  分析项目需求，能给出良好的解决方案；            岗位要求：       * 有扎实的计算机基础知识；    * 良好的学习能力和沟通能力，编码稳健严谨，对问题有探究精神。", "厦门道拓科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "1"
"智联", "Node.js", "node.js开发工程师/node.js服务端开发/游戏后端逻辑开发", "8000-15000", "大专", "郑州", "1-3年", " 工作地点在河南郑州。      岗位要求：     1.熟悉node.js；    2.JavaScript基本功扎实，对闭包、事件和异步有独到的见解；    3.熟悉Redis，MySQL等的一种或多种；    4.经历过1个以上的项目开发；    5.良好的编码风格，有自主学习能...", "郑州三生石科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "12"
"智联", "Node.js", "急聘Node.js实习岗（C#/.net/php皆可)", "4001-6000", "大专", "武汉", "", " 岗位要求：(如无Node.JS经验者，公司可培养学习Node.JS）  1. 计算机专业本科或以上学历(应届生也可）  2. 1-3年以上基于Node.JS进行服务端的设计、开发；有电子商务平台开发经验者优先  3. 具备良好文档书写能力优先     技术...", "武汉大拓科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "2"
"智联", "Node.js", "Node.js开发工程师", "8001-10000", "本科", "北京", "", "...Node.js经验； 11、计算机或通信相关专业本科、硕士毕业以上", "北京科迈网通讯技术有限公司", "100-499人", "民营", "计算机软件    ", "", "5"
"智联", "Node.js", "Node.js工程师", "6001-8000", "本科", "广州", "1-3年", " 职位描述：  我们需要这样的你——  痴迷技术，强迫症，抠门，有代码洁癖，具备社交属性，审美观正常  使用js做web游戏前端开发，使用node.js做后端开发。     任职资格  1.计算机科学与技术相关专业，大学本科及以上学历；  2.1年以上Node.js开发工...", "广州学创软件科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "4"
"智联", "Node.js", "后端开发工程师（node.js/PHP/.NET/Java）", "10001-15000", "大专", "上海", "1-3年", "...Node.js/PHP/.NET/JAVA等,   Node.js优先考虑  )，或愿意对Node.js投入大量精力学习，；  4、参与过大型互联网项目设计、具备架构选型经验，熟悉服务器管理，系统部署；  5、至少精通一种数据库开发、配置、维护、性能优...", "迪彩(上海)投资管理咨询有限公司", "100-499人", "外商独资", "互联网/电子商务", "", "12"
"智联", "Node.js", "Node.js开发工程师", "13000-25000", "本科", "杭州", "5-10年", "...node.js,StrongLoop,C++,C#)；精通Linux、Git等基本技能  熟悉多种数据库（MsSQL，MySQL，NoSQL）  熟悉缓存，分布式系统   熟悉开发环境及部署环境，熟悉CI/CD流程   熟悉自动化，会利用工具提升效率   有良好的代码习惯   爱...", "杭州当堂信息技术有限公司", "100-499人", "民营", "美容/保健", "", "9"
"智联", "Node.js", "node.js开发工程师", "20000-30000", "大专", "北京 - 海淀区", "1-3年", "...node.js、Express，熟悉Liunx、Windows常用命令； 4.熟悉Redis，MySQL，Mongodb等数据库； 5.JavaScript基本功扎实，对闭包、事件和异步有独到的见解； 5.良好的编码风格，有自主学习能力，良好的团队合作意识及积极的心态。", "掌游天下(北京)信息技术股份有限公司", "100-499人", "民营", "家具/家电/玩具/礼品    ", "", "9"
