"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Perl", "Perl Developer", "面议", "本科", "上海", "1-3年", " Perl Developer   Job Overview:   The Software Development function sits within Enterprise Infrastructure Services (EIS) and provides expertise...", "华尔特人才咨询(上海)有限公司", "100-499人", "外商独资", "环保    ", "", "6"
"智联", "Perl", "Hadoop、Spark、Perl工程师", "8001-10000", "不限", "青岛 - 青岛高新技术产业开发区", "1-3年", " 岗位职责：  参与大数据产品的技术方案制定和设计，负责海量数据存储及分析系统开发，负责搭建、维护和优化。  任职要求：  Hadoop/Spark/Perl任意一种，有实际开发经验，熟悉NoSQL数据库技术，熟悉Linux操作系统  邮箱：gexiaonan@gtcom.com.cn", "中译语通科技（青岛）有限公司", "20-99人", "国企", "计算机软件,互联网", "", "11"
"智联", "Perl", "Perl工程师", "8001-10000", "不限", "北京", "1-3年", " 职位描述：     1. 负责Perl脚本开发，开发本部自主研发产品，包括数据抓取及搜索  2. 使用 Perl, Shell 等脚本语言，完成部分服务器维护任务  3. 分析并处理采集程序在实际使用过程中的任何问题     职位要求：  1. 熟悉 Perl", "北京东方金信科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "10"
"智联", "Perl", "perl研发工程师", "10001-15000", "本科", "北京", "3-5年", "...perl语言进行程序开发。", "北京中奥通宇科贸有限公司", "100-499人", "股份制企业", "计算机软件    ", "", "14"
"智联", "Perl", "Perl工程师", "6001-8000", "本科", "无锡", "1-3年", " 职位描述  工作职责:  1.Perl脚本编写 2.帮助编辑解决所遇到的问题。  任职要求:  1.计算机本科相关专业，2年以上工作经验。 2.熟悉Perl开发语言，熟悉Perl正则表达式，内置函数的使用，熟悉Html语言。 3.熟悉MySQL数据库应用开...", "无锡城安信息科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "4"
"智联", "Perl", "邮件系统Perl研发工程师：2人", "8000-12000", "本科", "北京", "", " 岗位要求：   计算机相关专业大专以上学历；    熟悉C、C++、VC++、Perl、语言，有项目软件开发经验；    对Linux/Unix操作系统、数据库、网络协议有一定的了解；    熟悉面向对象思想，精通编程，调试和相关技术；    具备需求分析和系统设计能力， 以及较强的...", "北京玉笛信息技术有限责任公司", "20-99人", "股份制企业", "快速消费品(食品、饮料、化妆品)    ", "", "11"
"智联", "Perl", "【高薪诚聘】perl研发工程师", "9000-12000", "大专", "北京 - 海淀区", "", "...Perl、Java、PHP、Node.js 等；  3. 懂perl者优先考虑；  4. 熟悉 web 开发相关技术，如 web 框架、HTTP 协议、web 安全、单元测试等；  5. 掌握关系数据库及 SQL 相关知识，了解基本优化和设计原则；  6. 良好的编...", "北京玉笛信息技术有限责任公司", "20-99人", "股份制企业", "快速消费品(食品、饮料、化妆品)    ", "", "1"
"智联", "Perl", "perl服务端开发", "6001-8000", "不限", "福州", "", " 工作简介：  1、根据产品需求，进行服务端开发工作； 2、参与讨论产品逻辑模块功能、操作流程等服务端设计； 3、根据需求和分配的工作，完成程序的编码、调试、配置等工作； 4、程序维护，解决技术故障和消除系统中的缺陷。   任职要求：  1、本科及以上学历，计算机、软件、通信、电子等相关专业；  2...", "福州禾火网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "15"
"智联", "Perl", "Product Validation Engineer_ICC/Perl/TCL", "面议", "本科", "上海", "1-3年", " *Job Description and Requirements         Responsible for designing, developing, troubleshooting, or debugging software programs. Develops software t...", "新思科技(上海)有限公司", "500-999人", "外商独资", "计算机软件,互联网", "", "11"
"智联", "Perl", "Synopsys Product Validation Engineer_perl/Shell/模拟仿真", "面议", "本科", "上海", "3-5年", "...Perl/shell scripts,  Good English communication skill , both oral and writing skills  Passion,good team player and strong desire to learn ne...", "新思科技(上海)有限公司", "500-999人", "外商独资", "计算机软件,互联网", "", "2"
