"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "武汉", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "12"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "哈尔滨", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "5"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "南昌", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "14"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "合肥", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "7"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "济南", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "4"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "沈阳", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "14"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "长沙", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "8"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "石家庄", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "8"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "郑州", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "10"
"智联", "PHP", "IOS PHP软件工程师定岗生（国企岗前内训）", "6001-8000", "大专", "长春", "", "...PHP开发定岗委培工程师                    应用最为广泛、最简便的 Web开发语言                       ——非PHP莫属         PHP简介               互联网发展迅速、不断创新的特点...", "润斯顿中关村软件人才中心", "500-999人", "事业单位", "互联网/电子商务", "", "10"
