"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Python", "Python开发工程师", "10000-20000", "本科", "上海 - 徐汇区", "3-5年", " 职位描述：  1、必不可少的要求：聪明，喜欢学习，善于分析和解决问题，勇于与困难死磕到底；  2、负责云计算或NAAS、SDN平台的研发  3、根据需要进行快速开发，快速迭代，和团队一起交付各种创新功能；  任职要求：  1、至少2年 Python的开发经验；  2、精通Pyt...", "犀思(上海)云计算科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "7"
"智联", "Python", "Python开发工程师", "15000-25000", "本科", "上海 - 徐汇区", "5-10年", " 职位描述    1、必不可少的要求：聪明，喜欢学习，善于分析和解决问题，勇于与困难死磕到底；  2、负责云计算或NAAS、SDN平台的研发  3、根据需要进行快速开发，快速迭代，和团队一起交付各种创新功能；  任职要求：  1、至少2年 Python的开发经验；  2、精通Py...", "犀思(上海)云计算科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "1"
"智联", "Python", "Python工程师", "8001-10000", "大专", "郑州", "3-5年", " 岗位职责：     1、根据数据结口，配合前端工程师，开发WEB项目；  2、向开发、设计数据接口方向发展，需要考虑安全、加密、控制、统计等细节。    任职要求：     1、两年以上Python开发经验，熟悉python语言服务端开发；  2、熟悉django/to...", "河南春秋网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "4"
"智联", "Python", "Python工程师", "4001-6000", "本科", "深圳", "1-3年", "...Python开发，并具备良好的编程风格，能够编写基本的技术文档；  3、熟悉java、c等开发语言优先；  4、熟悉Linux操作系统及常用命令，熟练使用Oracle、MySql、DB2等数据库；  5、具备良好的团队协作能力，同时具备较强的独立解决问题能力；  6、能接受出差。", "赞同科技发展有限公司", "1000-9999人", "民营", "计算机软件,互联网", "", "13"
"智联", "Python", "Python开发工程师", "10001-15000", "本科", "北京 - 海淀区", "", " 主要职责：    1、负责按照架构师选定的技术路线，用Python编程实现大数据系统服务器端的业务流程；    2、负责与前端开发人员合作，完成大数据系统前、后端通信的API设计和开发实现。         职位要求：    1、熟悉Python语言及基于Pyth...", "北京东方金信科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "3"
"智联", "Python", "Python", "15000-30000", "不限", "北京", "", "...Python、C++、Java等  熟悉基于Linux平台上编程  优秀的架构设计能力  优秀的分析与解决问题能力  熟悉通用设计模式，能独立进行软件开发  有较强的学习和沟通能力，以及团队合作精神  诚实、踏实、积极主动、抗压能力强，喜欢挑战困难     【加分项】  有云计算...", "玛蒂尔德(北京)科技有限公司", "20-99人", "合资", "计算机软件,互联网", "", "13"
"智联", "Python", "python开发工程师", "10001-15000", "不限", "北京", "", " 职位描述：  1、提供基础旅游产品数据支持；  2、网页结构分析，网页信息提取等技术开发；  3、优化抓取策略和算法。提升爬虫的抓取效果；  4、开发自动化工具。  任职要求：   1. 熟悉Python语言、掌握Django；  2. 熟练运用Nginx、Mysql、Redis、M...", "乐飞天下信息技术(北京)有限公司", "20-99人", "民营", "互联网/电子商务", "", "3"
"智联", "Python", "Python开发工程师", "15001-20000", "大专", "北京 - 朝阳区", "3-5年", " 岗位职责   1、负责公司在线业务系统的研发和维护工作；  2、与业务合作方进行系统 API 的对接；   3、优化抓取策略和算法，提升爬虫的抓取效果；  4、负责相关运营后台系统研发工作；     任职要求   1、熟悉Linux平台开发，三年以上Python开发经验，有分布式系统...", "乐飞天下信息技术(北京)有限公司", "20-99人", "民营", "互联网/电子商务", "", "4"
"智联", "Python", "Python开发工程师", "8001-10000", "本科", "北京 - 海淀区", "1-3年", " 职位描述：   1. 负责 Python 相关软件、后台服务程序开发   2. 建立和完善开发文档；   3. 协助对所开发的功能进行测试，协助产品部署。       任职资格：   1. 学历要求：     - 毕业于 211 或 985 院校、统招本科及以上学历，或有海外留学经历...", "北京捷通华声科技股份有限公司", "100-499人", "民营", "计算机软件,互联网", "", "7"
"智联", "Python", "python工程师", "4001-6000", "大专", "厦门 - 思明区", "", " 【岗位职责】：    1、负责游戏服务端功能的设计和开发     【任职要求】：  1、大专以上学历，计算机相关专业者优先；  2、精通python语言，熟练使用python开发程序  3、足够聪明，抗压能力强，责任心强，工作积极", "厦门简创网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "7"
