"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "Ruby", "Ruby全栈工程师", "15001-20000", "本科", "北京", "1-3年", " 岗位职责：  1、负责设计Web产品的架构、开发；     2、完成模块的代码编写和研发测试；     3、负责产品的维护和改进工作；  任职要求：  1.良好的 Ruby 语言基础及开发/重构能力;   2.熟练使用 Ruby On Rails, Sinatra 等 ...", "北京数字天域科技有限责任公司", "100-499人", "民营", "计算机软件,互联网", "", "2"
"智联", "Ruby", "Ruby工程师", "15001-20000", "不限", "北京", "1-3年", " ruby后端开发工程师        熟悉Ruby语言编程，具备良好的代码书写规范；   熟悉Ruby on Rails框架，1年以上Ruby on Rails项目开发经验；   有Web系统的开发经验；   熟悉Redis、MemCache...", "北京宝信志成科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "4"
"智联", "Ruby", "Ruby开发工程师", "4000-8000", "不限", "石家庄", "1-3年", " 岗位职责：  1.后端业务逻辑实现；  2.与前端工程师合作完成页面渲染； 3.使用Ruby on Rails完成Web项目；  4.配合App工程师实现数据接口。   技能要求：    1.熟悉Ruby语言及Rails框架；    2.有Java等其他语言开发经验，且...", "河北思捷电子有限公司", "20人以下", "民营", "互联网/电子商务    ", "", "9"
"智联", "Ruby", "Ruby工程师", "8000-15000", "本科", "杭州", "1-3年", " 岗位职责： 1.对一个项目承担起责任，推动项目发展，与产品经理和其他工程师一起，分析项目需求； 2.制定开发方案，参与编码和测试工作，维护项目稳定； 3.设计API接口，提供给客户端、网页调用； 4.与其他公司进行API对接。  任职要求： 1.熟悉Ruby和JavaScript编程...", "浙江数联云集团有限公司", "100-499人", "民营", "互联网/电子商务    ", "", "3"
"智联", "Ruby", "Ruby开发工程师", "10001-15000", "不限", "郑州", "", " 任职要求：       1 两年以上Ruby on Rails 开发经验。 2 熟练掌握 Bootstrap，jQuery 等前端技术。 3 熟悉linux环境，熟练使用git。 4 熟悉单元测试流程。 5 具有良好的团队精神，优秀的沟通技巧，能适应快节奏的工作环境。  有电商、ER...", "民生集团河南医药有限公司", "10000人以上", "民营", "互联网/电子商务    ", "", "14"
"智联", "Ruby", "Ruby实习生", "2001-4000", "大专", "武汉", "", " 任职要求：    熟悉 Web 开发，有至少一种语言的 Web 开发经验。熟悉 DOM,      jQuery, HTML5, CSS3。有学习热情，乐于学习新技术和理念。良好的英语读写能力，团队协作能力。熟悉在      Linux/Unix 平台下的开发。        团队将有专人一对一进...", "北京盛安德科技发展有限公司武汉分公司", "20-99人", "民营", "计算机软件,互联网", "", "2"
"智联", "Ruby", "Ruby 开发工程师", "5000-8000", "大专", "重庆", "", " 岗位职责：  使用ruby on rails开发web应用及移动端后台服务。  任职要求： 1. 计算机科学或相关专业，专科或以上学历，具有扎实的计算机专业基础知识； 2. 一年以上Ruby/Rails项目经验，了解项目架构； 2. 熟悉linux系统，mysql数据库...", "重庆意非网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "4"
"智联", "Ruby", "赴日Ruby开发工程师", "15001-20000", "不限", "大连", "", " 职位要求：    1.  计算机专业出身  2.  累计3年以上开发经验，有对日项目经验  3.  Ruby开发经验1年以上  4.  日语二级以上，可以工作交流  5.  思路清晰、工作规范、良好的沟通能力，较强的团队协作精神，敬业、责任心强，良好的学习能力     公司提供：宿舍...", "大连东邦思创科技发展有限公司", "100-499人", "股份制企业", "计算机软件,互联网", "", "11"
"智联", "Ruby", "ruby开发工程师", "10001-15000", "本科", "上海", "1-3年", " 任职条件：  1、熟练掌握 Ruby, Rails, DB, HTTP, Javascript 等基础知识；  2、熟练掌握 Linux Git 等系统、工具；  3、有2～3年实际项目经验；  4、良好的代码习惯，较强的英语阅读能力。     加分项：  1、熟悉前端 JS 框架；...", "上海微客来软件技术有限公司", "100-499人", "民营", "计算机软件", "", "15"
"智联", "Ruby", "ruby 开发工程师", "10001-15000", "本科", "上海 - 虹口区", "1-3年", " 岗位职责：  1. 编写详细设计说明书；  2. 根据设计说明书进行编码实现；  3. 配合测试人员完成版本测试，协调部署，保证项目按节点发布版本。 任职要求： 1、计算机、通信相关专业本科以上学历 2、3年以上软件开发经验，1年以上Ruby应用开发经验； 3、精通至少一门Ru...", "酷景传媒(上海)有限公司", "20-99人", "合资", "互联网/电子商务    ", "", "15"
