"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "数据挖掘", "数据挖掘工程师", "30000-60000", "本科", "北京", "3-5年", " 岗位职责：   1.运用机器学习/数据挖掘的理论和方法，从海量日志数据中发掘有价值的信息，建立和优化业务模型。  2.结合业务需求，对数据进行深度分析，为运营和决策提供有质量的数据支持  3.建立策略效果评估机制和监控体系，持续对策略/框架做出合理地调整或改进。     岗位要求： ...", "北京和光人才服务有限公司", "20人以下", "民营", "教育/培训/院校    ", "", "9"
"智联", "数据挖掘", "算法与数据挖掘工程师", "15000-18000", "本科", "广州 - 天河区", "3-5年", " 职位描述：  1、负责标签系统和用户画像体系的设计与建立；  2、应用机器学习，语义分析，统计预测建模等前沿技术分析和挖掘海量内容和行为数据；  3、参与大数据预测模型的产品设计，技术架构设计，搭建与开发；  4、进行语义理解，信息抽取，统计，分类，检索和推荐系统等产品的研发。     职位要求：...", "广东万丈金数信息技术股份有限公司", "100-499人", "股份制企业", "通信/电信/网络设备", "", "12"
"智联", "数据挖掘", "【链家互联网平台】数据分析专员（数据挖掘、数据处理、统计）", "4001-6000", "本科", "青岛", "1-3年", " 你的工作是这样的：        1  、  梳理  业务运营中产生的  数据信息  ，多维度  分析业务转化效率  ，寻找各环节业务瓶颈，研究业务转化漏斗；        2  、分析集团各城市房地产数据变化，  推演市场变化趋势  ，并反馈支持运营作业；        3  、将数据分析与 I...", "青岛链家兴业房地产经纪有限公司 ", "1000-9999人", "民营", "互联网/电子商务    ", "", "13"
"智联", "数据挖掘", "数据挖掘算法实习生", "4001-6000", "硕士", "北京 - 朝阳区", "", "...数据挖掘等之一的实践经验优先；   4 具有搜索，广告等行业相关实践背景优先。  公司福利：  1 年薪制，一年15薪-17薪  2 六险一金，社保、公积金全额缴纳；  3 弹性工作制，上班时间9：00-10：00，下班时间18：00-19：00；  4 自有大厦，世外桃源，景色...", "北京亿玛在线科技有限公司", "500-999人", "合资", "计算机软件,互联网", "", "14"
"智联", "数据挖掘", "数据挖掘助理", "3000-6000", "本科", "上海", "", " 岗位职责：  1. 协助数据挖掘团队进行数据清洗工作  2. 学习数据挖掘所需相关技能     职位要求：  1. 计算机、数学、统计专业。大三及以上。  2. 学习能力强，逻辑思维能力强。  3. 具备一定的抗压能力。  4. 具备良好沟通能力，有团队协作精神。  5...", "上海凭安征信服务有限公司", "20-99人", "民营", "计算机软件    ", "", "5"
"智联", "数据挖掘", "数据分析/挖掘", "15001-20000", "硕士", "北京 - 西城区", "1-3年", " 岗位职责：   1、      深入了解房地产相关数据类型，通过数据分析找到数据中的市场价值。    2、      通过了解客户的工作场景，分析客户对于数据的需求，精准形成针对于每一类客户的数据提供方案。    3、      通过数据挖掘算法及对用户行为分析结果，形成标准化数据产...", "北京云房数据技术有限责任公司", "100-499人", "民营", "计算机软件", "", "11"
"智联", "数据挖掘", "数据挖掘工程师", "15000-25000", "本科", "成都", "3-5年", "...数据挖掘,风控系统,移动端数据分析等大数据相关产品工作经验优先。", "成都品果科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "2"
"智联", "数据挖掘", "数据挖掘工程师", "10001-15000", "本科", "北京 - 大兴区", "1-3年", " 岗位职责：  1、对公司和行业相关数据进行数据采集、特征提取，模型建立与调试、模型输出结果分析与展示、模型部署等工作  2、对公司业务，竞争对手，行业相关数据进行研究分析  3、协助进行数据仓库的创建和管理，协助完成ETL相关工作  4、设计开发数据相关产品,设计数据可视化方案     任职要求：...", "北京云乔管理咨询有限公司", "100-499人", "民营", "交通/运输/物流    ", "", "13"
"智联", "数据挖掘", "大数据挖掘研究工程师", "15001-20000", "本科", "北京 - 海淀区", "1-3年", " 职位描述：  1.负责产品数据分析,数据挖掘相关的算法、应用的设计与开发；  2.负责公司产品各阶段数据的整理、分析及提交数据报告，重点对用户行为数据进行分析和挖掘，利用数据分析结论推动产品的优化；  3.对海量业务数据进行整合、分析挖掘，挖掘产品以及用户潜在信息，为营销、运营及决策...", "北京捷通华声科技股份有限公司", "100-499人", "民营", "计算机软件,互联网", "", "2"
"智联", "数据挖掘", "数据挖掘工程师（开发工程师）-数据软件", "10001-15000", "本科", "北京 - 海淀区", "1-3年", " 岗位职责：  1、负责电信大数据分析,数据挖掘相关的算法、应用的设计与开发； 2、负责电信大数据的整理、分析及提交数据报告，重点对电信用户行为数据进行分析和挖掘； 3、对海量业务数据进行整合、分析挖掘，挖掘用户潜在信息，为营销、运营及决策提供业务分析及数据支持； 4、负责项目中模型建...", "北京合力亿捷科技股份有限公司", "100-499人", "上市公司", "计算机软件,互联网", "", "9"
