"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "U3D", "U3D游戏开发/VR虚拟现实（学徒、可实习、可转岗）", "4001-6000", "大专", "石家庄", "", " 岗位要求：  •相关专业大专以上学历优先；  •热爱软件开发工作，对程序开发有浓厚兴趣；  •计算机（网络）、电子信息、软件工程、（电气）自动化、机电等专业优先；  •有较强的学习能力，善于分析总结，不断优化自己的工作流程和方法；  •接受岗前实训，开始实训前即签订就业协议，实训期间不用支付任何费...", "河北奇酷信息技术有限公司", "100-499人", "其它", "计算机软件    ", "", "11"
"智联", "U3D", "U3D讲师", "15000-25000", "大专", "北京 - 海淀区", "", " 岗位职责：  1、根据Unity的教学要求设计教学计划、项目案例； 2、积极参与公司内部交流学习，保持技术先进性； 3、指导学员完成求职项目作品；  4、积极参与研发公司新项目。     任职要求：  1、3年以上Unity3D开发经验；  2、掌握3D图形学基础，掌握3D数学基础； 3、了解Un...", "达内时代科技集团有限公司", "1000-9999人", "上市公司", "计算机软件,互联网", "", "3"
"智联", "U3D", "U3D工程师", "4000-8000", "本科", "西安", "1-3年", " 岗位职责： 1.       熟悉Unity3D相关插件，制定完善相关的开发流程 2.       进行技术难点攻关，进行各项测试，优化软件性能 3.       快速准确理解项目策划案，进行任务细分和工作量预估 4.       较强的沟通能力，能够快速准确理解策划案   任职要求： 1.   ...", "陕西百益软件有限公司", "20-99人", "股份制企业", "互联网/电子商务    ", "", "8"
"智联", "U3D", "U3D场景/关卡编辑", "15001-20000", "不限", "广州", "3-5年", " 岗位职责：  1、配合产品美术总监制定游戏场景风格，输出场景/关卡编辑制作模版和规范；  2、参与具体场景/关卡编辑制作任务，熟练使用unity引擎，T4M插件制作地表，打光烘培。  任职要求：  1、热爱游戏，关注游戏体验，结合本岗位工作配合产品改进游戏体验；  2、有unity引擎制作经验者优...", "广州简乐网络科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "3"
"智联", "U3D", "U3d（shader）", "15000-30000", "不限", "北京 - 东城区", "3-5年", " 岗位职责：  根据产品策划需求完成相应shader制作。     任职资格：  1、有过完整3d游戏开发经验的优先；  2、2年及以上Unity shader开发 、GPU编程工作经验，有美术相关经验基础；  3、具备良好的沟通能力、学习能力、团队合作精神。", "北京热锋互动网络科技有限公司", "20-99人", "上市公司", "计算机软件,互联网", "", "13"
"智联", "U3D", "U3d前端开发（GUI）", "15001-20000", "不限", "北京 - 东城区", "1-3年", " 1、有过UGUI或者NGUI完整上线项目经验(必选) 2、熟悉Tween和Animator的使用(可选) 3、熟悉sdk接入(可选) 4、会UGUI优先 5、会lua优先 6、有过IOS打包经验优先", "北京热锋互动网络科技有限公司", "20-99人", "上市公司", "计算机软件,互联网", "", "5"
"智联", "U3D", "U3D场景美术", "5000-8000", "不限", "上海 - 嘉定区", "", " 岗位职责：    1.通过分析阅读设计提供的文档和原画气氛图来了解环境结构，功能性，场景氛围，故事以及艺术风格。    2.利用地图编辑器创建当前场景所需要的美术基础内容（环境，大气，照明，风格，等）    3.将成品的模型，贴图，特效资源进行有效的整理，配合灯光照明元素放置到场景以达到当初设想的...", "上海心勍信息科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "3"
"智联", "U3D", "Unity3D引擎U3D开发主程", "15000-25000", "本科", "广州 - 天河区", "3-5年", " 工作职责：  负责游戏的前端开发；  根据产品需求，使用u3d引擎开发移动端游戏项目  负责游戏特性开发与系统优化，及前端底层开发工作  与策划、服务器开发、美术及QA完美合作，完成联调；  快速准确的理解游戏策划案，进行任务细分和工作量预估；  能快速编写客户端系统设计文档并实现相...", "广州云火信息科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "14"
"智联", "U3D", "U3D地编", "10000-20000", "不限", "广州", "1-3年", "...u3d手游rpg项目场景制作经验者优先；  6、能够独立完成场景设计并且有良好的沟通表达能力；  7、团队协作能力强，思维灵活、追求卓越且责任感强。     员工福利：  1、工作时间  每周上班时间09：30-18:30，公司采用弹性上班时间，迟到30分钟内不计迟到，须延迟30...", "广州启灵网络科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "13"
"智联", "U3D", "移动APP开发工程师 U3D Unity3D", "10001-15000", "大专", "杭州 - 滨江区", "3-5年", " 岗位职责：  1、负责手机游戏客户端的开发工作。        任职要求：  1、有经验：1年以上U3D开发经验，至少完整参与过一款U3D游戏项目；对U3D引擎性能优化有一定了解；熟悉UGUI；  2、有热情：对客户端逻辑框架，逻辑开发有强烈的意愿；  3...", "杭州百趣科技有限公司", "20-99人", "股份制企业", "计算机软件,互联网", "", "13"
