"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "web前端", "零基础 WEB前端开发实习生", "3000-5000", "不限", "深圳", "", " 1、高中以上学历（包含高中），计算机专业优先；      2、能够尽快入职，长期稳定的工作；      3、良好的团队合作能力和学习能力；      4、年龄18-28岁；      5、经验不限，提供岗前培训；      6、条件优秀者可相应放宽。不符合条件者勿扰（非中介，非保险）      7...", "深圳市恩泽汇科技开发有限公司", "100-499人", "民营", "计算机软件,互联网", "", "13"
"智联", "web前端", "Web前端开发实习生/学徒", "4001-6000", "中专", "广州 - 天河区", "", " 任职要求  1、喜欢从事IT技术类工作，对互联网移动端开发有浓厚兴趣；  2、有团队精神，愿意虚心学习，能够协助工程师完成项目开发工作；  4、吃苦耐劳，有一定的自我约束和控制能力，意志力坚强；     岗位职责  1、负责协助工程师进行移动端应用程序开发；  2、服从公司的发展要求，认真学习和全...", "中软国际（广州）信息技术有限公司", "10000人以上", "上市公司", "广告", "", "4"
"智联", "web前端", "web前端开发工程师", "4001-6000", "中专", "广州 - 天河区", "", " 岗位职责：  1.参与网站页面前端开发制作  2.根据产品需求，分析并给出最优的页面前端结构解决方案  3.与设计师合作完成网站页面前端的特效和最新的应用  4.配合后台开发人员实现网站界面和功能  任职要求：  1.计算机、软件工程等专业优先考虑，大专及以上学历，优秀者可放宽学历  2.经验不限...", "中软国际（广州）信息技术有限公司", "10000人以上", "上市公司", "广告", "", "15"
"智联", "web前端", "Web前端开发实习生/学徒", "4001-6000", "中专", "深圳", "", " 任职要求     1   、喜欢从事   IT   技术类工作，对互联网移动端开发有浓厚兴趣；     2   、有团队精神，愿意虚心学习，能够协助工程师完成项目开发工作；     4   、吃苦耐劳，有一定的自我约束和控制能力，意志力坚强；     \     岗位职责     1  ...", "深圳市中软卓越教育科技有限公司", "10000人以上", "外商独资", "计算机软件,互联网", "", "10"
"智联", "web前端", "WEB前端开发【底薪8000+提成+绩效+奖金+多项补助+弹性打卡双休】", "15001-20000", "大专", "北京 - 大兴区", "", "...WEB前端开发经验或手机前端开发经验者亦可；  2、精通web前端相关技术，如HTML(4/5)、XML、CSS、Javascript、Ajax等；熟悉主流Javascript框架，如jquery，ext等；熟悉Hybrid App开发相关技术，如Apache Co...", "上海振田贸易有限公司", "500-999人", "合资", "互联网/电子商务    ", "", "10"
"智联", "web前端", "web前端工程师", "4500-9000", "大专", "深圳", "", " 岗位职责：    1.负责项目页面前端HTML+CSS的开发；    2.能够根据产品需求，运用 HTML,CSS,HTML 产出兼容于目前主流浏览器的前端页面；    负责相关产品的需求以及前端程序的实现。   任职要求：   1.对 HTML 及css有一定了解，使用html搭建前端页面。  ...", "深圳量信科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "2"
"智联", "web前端", "web前端实习", "2001-4000", "大专", "深圳", "", " 岗位职责  维护现有项目的更新；  先有项目新需求的开发；  任职要求：   1.对HTML及css有一定了解，使用html搭建前端页面。  2.了解HTML及css，兼容各种浏览器。  3.具备良好的编程习惯,良好的服务意识、责任心、优秀的团队沟通与协作能力。  4.大专以上学历  5.计算机相...", "深圳量信科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "13"
"智联", "web前端", "web前端工程师", "10001-15000", "本科", "上海", "1-3年", "...Web前端技术有强烈兴趣，有良好的学习能力和强烈的进取心；  6.富有耐心，有良好的团队协作意识，能够承受一定的工作压力。  7.全日制本科及以上学历", "上海艾融软件股份有限公司", "100-499人", "民营", "互联网/电子商务", "", "6"
"智联", "web前端", "Web前端工程师", "5000-8000", "不限", "北京 - 朝阳区", "1-3年", " 岗位职责：  1. 负责网站PC、手机端的网页版本网络应用开发、维护  2. 负责前端UI与交互开发，确保在不同平台、设备、浏览器上均拥有优质的用户体验        任职要求：  1. 2年以上的Web前端开发经验  2. 具有良好的代码风格、接口设计与编程习惯  3. 扎实的Ja...", "北京金信网银金融信息服务有限公司", "500-999人", "民营", "计算机软件", "", "2"
"智联", "web前端", "[急招]初级WEB前端开发工程师、可包住", "2001-4000", "大专", "深圳", "", " 岗位职责：  1、大专及以上学历，无项目开发经验的求职人员，可带薪实训后上岗；  2、可接受转行求职人员，由项目负责人带领实训，但要求勤奋好学，积极主动；  3、热爱软件开发工作，对程序开发有浓厚兴趣，看好IT行业者优先；  4、思路清楚，有基本的编程素质， 有良好的表达与沟通能力 ；  5、计算...", "深圳云和数据信息技术有限公司", "20-99人", "民营", "交通/运输/物流    ", "", "13"
"智联", "web前端", "WEB前端开发工程师/实习助理[急招]", "6001-8000", "不限", "深圳", "", " 岗位职责：  1. 负责前端辅助开发工作； 2. 良好的逻辑思维能力；  3、对计算机感兴趣，有志于长期从事开发； 4、利用HTML5相关技术实现各类移动端平台应用研发  5、负责前台脚本程序开发，如动态特效等用户体验的前端效果；通过技术提升网站的用户体验和可用性。 6、学习能力强，有良好的沟通能...", "深圳云和数据信息技术有限公司", "20-99人", "民营", "交通/运输/物流    ", "", "7"
"智联", "web前端", "[急招]初级html5/web前端开发工程师", "4001-6000", "大专", "深圳", "", " 岗位职责：  1、大专及以上学历，无项目开发经验的求职人员，可带薪实训后上岗；  2、可接受转行求职人员，由项目负责人带领实训，但要求勤奋好学，积极主动；  3、热爱软件开发工作，对程序开发有浓厚兴趣，看好IT行业者优先；  4、思路清楚，有基本的编程素质， 有良好的表达与沟通能力 ；  5、计算...", "深圳云和数据信息技术有限公司", "20-99人", "民营", "交通/运输/物流    ", "", "9"
"智联", "web前端", "急招WEB/HTML5前端开发工程师[包住]", "6001-8000", "大专", "深圳", "", " 岗位职责：  1、大专及以上学历，无项目开发经验的求职人员，可带薪实训后上岗；  2、可接受转行求职人员，由项目负责人带领实训，但要求勤奋好学，积极主动；  3、热爱软件开发工作，对程序开发有浓厚兴趣，看好IT行业者优先；  4、思路清楚，有基本的编程素质， 有良好的表达与沟通能力 ；  5、计算...", "深圳云和数据信息技术有限公司", "20-99人", "民营", "交通/运输/物流    ", "", "1"
