"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "WP", "wp开发工程师", "8001-10000", "大专", "广州 - 萝岗区", "1-3年", " 岗位职责：   1、负责本平台产品的日常研发工作； 2、维护、优化和重构现有代码； 3、能够较精准理解需求，根据需求细化成可实施的代码架构，并能高效、稳定的完成开发； 4、能够指出逻辑中不合理的地方，并能提出切实可行的解决方案。  任职要求： 1、计算机及相关专业本科或以上学历； 2、精通C#，有...", "广东乐源数字技术有限公司", "100-499人", "民营", "计算机服务(系统、数据服务、维修)", "", "2"
"智联", "WP", "电梯维修工WP", "10001-15000", "不限", "北京", "1-3年", " 新加坡某大型电梯公司   诚聘   电梯维修工      工作地点：新加坡     岗位职责：  1. 负责电梯/扶梯的定期维护，维修，解决技术问题和排除故障  2. 电梯/自动扶梯发生故障时，必须立即到现场排除故障和抢救受困的搭客  3. 遵循维修时间表和程序  4. 主管安排的其它职务    ...", "中国成套设备进出口（集团）总公司", "100-499人", "国企", "互联网/电子商务    ", "", "15"
"智联", "WP", "WP47-产品行销专员（手机）", "8001-10000", "大专", "深圳", "", " 工作职责： 1. 手机、穿戴式产品客户开发、维护 2. 其他市场开发    任职资格： 1. 电子专业本科毕业 2. 有三年以上业务工作经验 3. 有被动器件销售经验，熟悉SAW、保护器件者佳 4. 熟悉手机、穿戴市场佳", "大联大商贸（深圳）有限公司", "1000-9999人", "外商独资", "外包服务    ", "", "11"
"智联", "WP", "WP41-产品行销专员（Sandisk）", "8001-10000", "大专", "深圳", "", " 工作职责： 1、Memory， 技术从业经验3年以上，市场推广能力强。 2、负责MCU以及2.4G或Memory 產品产品线推广； 3、辅助销售工作，搭建协调原厂以及业务的桥梁，协助业务团队完成销售目标；  任职资格： 1、全日制大学专科以上学历；英语读写流利 2、电子行业3年以上PM相关工作经验...", "大联大商贸（深圳）有限公司", "1000-9999人", "外商独资", "外包服务    ", "", "3"
"智联", "WP", "WP44-产品行销专员（Memory）", "10001-15000", "大专", "深圳", "", " 工作职责： 负责Memory类产品的推广  任职资格： 1、本科或以上学历，电子工程、电子信息科学等相关专业； 2、英文良好； 3、思维开阔，思路清晰，有良好的沟通及表达能力。 4、身体健康，工作积极，能适应出差及高强度的工作压力。 5、有代理商原厂工作经验者优先。 此岗位所属集团：世平", "大联大商贸（深圳）有限公司", "1000-9999人", "外商独资", "外包服务    ", "", "2"
"智联", "WP", "网络建站wp", "1000-2000", "大专", "新乡", "1-3年", " 岗位职责： 要求熟悉掌握 wordpress (wp) 建站, 仿站。 或 有一定php基础，wp基础的应届毕业大学生。 任职资格：要求熟悉掌握 wordpress (wp) 建站, 仿站。 或 有一定php基础，wp基础的应届毕业大学生。 ...", "新乡市德工机械有限公司", "20-99人", "其它", "电子技术/半导体/集成电路    ", "", "6"
"智联", "WP", "网站运营B2B WP", "1000-2000", "大专", "新乡", "1-3年", " 岗位职责： 工作内容： 负责公司的平台账户运营（国际版阿里巴巴 或 国内版1688 平台） 任职资格： 1. 具有，国际版alibaba 或 国内版1688 平台，运营经验。 2. 具有团队精神，善于沟通配合。  工作时间：周一至周五上午8:30-12:00下午13:30-18:00周六上午8:3...", "新乡市德工机械有限公司", "20-99人", "其它", "电子技术/半导体/集成电路    ", "", "5"
"智联", "WP", "Android/IOS/WP/APP开发实习生+月薪4000+节假日福利", "4001-6000", "大专", "西安 - 碑林区", "无经验", " 任职资格:  1、计算机或相关专业；   2、了解java/C++，具备常用数据结构与算法和设计能力；   3、熟练掌握面向对象设计技能，有良好的代码习惯；   4、有开发过安卓小游戏的优先录取；   5、熟悉Android开发平台及框架原理，有android实际开发经验优先录取。  备注：   ...", "达内集团西安软件人才中心", "1000-9999人", "上市公司", "计算机软件", "", "11"
"智联", "WP", "WP-WJX-产品专员（东芝）", "6001-8000", "大专", "上海 - 嘉定区", "1年以下", " 工作职责： 1、东芝产品的推广主要以DLIMS为主； 2、负责Industry, LED Lighting Power , Mobile Phone等市場； 3、业务区域涉及上海、苏州、无锡等长三角地区。    任职资格： 1、大学本科学历，电子类相关专业毕业； 2、电子行业销售一年以上工作经验；...", "大联大商贸有限公司", "500-999人", "外商独资", "互联网/电子商务    ", "", "11"
"智联", "WP", "WP-CWX-产品经理（非手机）", "8001-10000", "本科", "北京", "3-5年", " 岗位职责：  1.负责OV non-mobile- 安防,車載,非手機市場，   2. Card payment market,  3.小米,聯想終端客戶的案子掌握,  4.同时 門鎖, Car Key market RK -IOT, IPTV, 廣告機, 行業客戶     任职要求：  1.电子...", "大联大商贸有限公司", "500-999人", "外商独资", "互联网/电子商务    ", "", "3"
"智联", "WP", "WP-嵌入式单板软硬件工程师", "10001-15000", "本科", "西安", "1-3年", " 工作职责：  1.负责设计电力电子系统中的控制单板（包含驱动、电源、检测、接口和控制等）设计；  2.负责风能变流器产品中核心FPGA程序的设计,能够进行时序仿真分析；  3.解决上述电路中出现的开发调测，市场问题分析，以及测试实验中存在的各种问题。  职位要求：  1.本科及其以上学历，包括但不...", "艾默生网络能源有限公司", "1000-9999人", "外商独资", "互联网/电子商务", "", "14"
"智联", "WP", "Engineering Manager-WP1606-01#-金属切削/冷镦/机加工", "20001-30000", "本科", "无锡", "10年以上", " Duties  To manage the following areas ensuring that suitable staffing levels are maintained and that directly responsible staff are correctly chosen,...", "无锡凯普仕企业管理咨询有限公司", "20人以下", "其它", "多元化业务集团公司    ", "", "12"
"智联", "WP", "Quality Manager-金属切削/冷墩/机加工-WP150402#", "20001-30000", "本科", "无锡", "10年以上", " Position    Quality Manager    Department  Quality Department  Report to   General Manager      Responsibilities   1.  Responsible for establishment,...", "无锡凯普仕企业管理咨询有限公司", "20人以下", "其它", "多元化业务集团公司    ", "", "2"
"智联", "WP", "Windows Phone/WP8 开发支持工程师", "6000-9000", "大专", "无锡", "", " 岗位职责：  该职位主要为欧美客户提供Windows全平台开发问题的咨询与支持，负责为开发人员通过网络论坛和电子邮件等方式提供代码建议及解决方案。  任职要求：  ·  英语通过CET-4及以上，英语读写良好，能看懂英文技术文档、技术资料；  ·  计算机相关专业，熟悉以下至少...", "上海微创软件股份有限公司", "1000-9999人", "合资", "互联网/电子商务    ", "", "3"
"智联", "WP", "WP—系统硬件测试工程师", "10001-15000", "本科", "西安", "1-3年", " 工作职责：    1.负责风能产品硬件系统测试；  2.针对提出的项目需求，进行需求理解、澄清、拆分；  3.根据项目需求编写测试用例；  4.根据测试用例进行测试，包括手工测试，自动化测试；  5.编写相关测试文档，并对测试数据进行分析，提供改进意见；  6.测试技术平台开发。  职位要求：  ...", "艾默生网络能源有限公司", "1000-9999人", "外商独资", "互联网/电子商务", "", "13"
