"fromsite", "positionType", "positionName", "salary", "education", "city", "workYear", "jobDes", "company", "companySize", "financeStage", "industryField", "rate", "number"
"智联", "自然语言处理", "微信自然语言处理研发工程师（北京）", "面议", "本科", "北京", "1-3年", " 工作职责：  负责微信相关文本检索、语义理解系统的算法研发工作； 负责微信相关自然语言处理、数据挖掘算法的研究工作。  工作要求：  计算机相关专业硕士及以上学历 两年以上的互联网工作经验； 熟练掌握C/C++开发，熟练使用linux环境； 熟悉常用的自然语言处理、机器...", "深圳腾讯计算机系统有限公司 ", "10000人以上", "民营", "计算机软件    ", "", "12"
"智联", "自然语言处理", "自然语言处理研发工程师", "20001-30000", "本科", "北京", "3-5年", " 工作内容:  1.负责文章内容的分析与挖掘，实现文章分类、质量评估、标签提取、主题分析、聚类等。  任职资格:   1.计算机相关专业本科及以上学历，具备扎实的数据结构和算法基础；   2.精通Java或Python，能熟练编写规范代码；   3.熟悉自然语言处理领域相关算法，具有2...", "北京职优创智管理咨询有限公司", "20人以下", "民营", "互联网/电子商务", "", "12"
"智联", "自然语言处理", "自然语言处理工程师", "15000-20000", "本科", "北京 - 朝阳区", "1-3年", " 岗位职责：  1、研究自然语言处理领域前沿技术，利用常用理论和方法解决实际问题；  2、技术深度优化，包括用户标签，文本分类和聚类，拼写纠错，term重要度，中心词提取，分词及标注等；  3、讯飞、灵云等平台二次开发，熟悉多麦克阵列在机器人上的应用。     任职要求：  1、...", "北京帕罗奥图科技有限公司", "20-99人", "其它", "计算机软件,互联网", "", "14"
"智联", "自然语言处理", "自然语言处理程序员", "6001-8000", "本科", "杭州", "", " 岗位职责：  1.开发与智能搜索引擎相关的互联网应用;  2.协助团队完成相关项目。     任职要求：  1.两年以上自然语言处理经验;  2.精通文本分类、聚类、自动文摘等算法及优化;  3.对中文分词、数据挖掘、机器学习等有深入了解;  4.精通C++或Java;  5.有锲而...", "嘉兴亿言堂信息科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "14"
"智联", "自然语言处理", "自然语言处理程序员", "6001-8000", "本科", "嘉兴", "", " 岗位职责：  1.开发与智能搜索引擎相关的互联网应用;  2.协助团队完成相关项目。     任职要求：  1.两年以上自然语言处理经验;  2.精通文本分类、聚类、自动文摘等算法及优化;  3.对中文分词、数据挖掘、机器学习等有深入了解;  4.精通C++或Java;  5.有锲而...", "嘉兴亿言堂信息科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "7"
"智联", "自然语言处理", "自然语言处理研究员", "10001-15000", "硕士", "北京", "", " 【职位名称】自然语言处理研究员  【工作内容】自然语言处理相关技术的研究开发  【任职要求】  （1）理解自然语言处理领域的基础理论和方法；熟悉数据清洗，关联数据，知识挖掘等相关算法。  （2）有较强的动手能力，熟练使用java，python  （3）有较...", "富士通研究开发中心有限公司", "100-499人", "外商独资", "互联网/电子商务", "", "12"
"智联", "自然语言处理", "21326-自然语言处理研究员（深圳）", "面议", "本科", "深圳", "1-3年", " 工作职责：  负责词法分析、自动对话、语义挖掘和语言逻辑等相关研究工作； 负责NLP前沿问题的研究，结合未来实际应用场景，提供技术解决方案。  工作要求：  全球顶级名校计算机科学、机器学习、人工智能等专业博士； 有自然语言处理、机器翻译、计算机视觉、语音识别等领域全球领先企业的工作...", "深圳腾讯计算机系统有限公司 ", "10000人以上", "民营", "计算机软件    ", "", "9"
"智联", "自然语言处理", "MIG15-自然语言处理专家", "面议", "硕士", "北京", "1-3年", " 工作职责：  1、中文自然语言处理的研究，包括但不限于语义分析、意图识别，海量数据挖掘、实体和实体关系抽取、知识库建设； 2、负责项目的架构设计以及理论的指导； 3、带领团队在NLP相关的项目上取得成功；  工作要求：  1、硕士及以上学历，博士优先。扎实的数学基础，机器学习基础，", "深圳腾讯计算机系统有限公司 ", "10000人以上", "民营", "计算机软件    ", "", "12"
"智联", "自然语言处理", "自然语言处理高级工程师/自然语言处理研究员", "15001-20000", "本科", "北京 - 丰台区", "1-3年", " 岗位职责：  1、负责语料库建设，不断增加数据量、优化数据质量、数据结构化处理为目标；  2、负责语料库数据的维护、处理和分析；  3、负责语料数据库相关软件的项目和软件技术研究；  4、负责多语文库网站的建设、维护和数据运营；  5、负责自然语言处理领域的技术研究；  6、负责机器...", "比美特医护在线(北京)科技有限公司", "20-99人", "民营", "计算机软件,互联网", "", "3"
"智联", "自然语言处理", "自然语言处理", "10001-15000", "硕士", "上海 - 浦东新区", "", " 职位描述  我们在寻找并肩战斗的小伙伴，我们需要你：  •   文本分析项目构建股票的知识图谱  •   抽取金融事件， 财经文本分类，财经文本情感分析  •   财经术语相关的新词、同义词发现     我们希望你：  •   充满好奇心，享受coding，学习能力强，有代码洁癖  •   技术全...", "上海坤雁数据服务有限公司", "20-99人", "民营", "互联网/电子商务", "", "5"
"智联", "自然语言处理", "数据挖掘/机器学习/自然语言处理/NLP", "10000-20000", "硕士", "深圳", "1-3年", " 岗位职责：  负责智能聊天系统的设计和开发。  任职要求：  1.熟悉分词，语义分析，信息抽取等自然语言处理基础算法和应用；  2.熟悉分类，聚类，情感分析，关联规则挖掘，协同过滤等常用机器学习和数据挖掘算法；  3.对搜索引擎有一定了解；  4.熟悉hadoop,spark，hiv...", "深圳市哎吖科技有限公司", "20人以下", "民营", "计算机软件,互联网", "", "1"
"智联", "自然语言处理", "自然语言处理工程师 爬虫 人工智能 生物工程 算法工程师", "面议", "本科", "深圳 - 南山区", "", " 岗位职责：  1.NLP系统基础算法研发（包括但不局限于分词、词性标注、实体识别、语义分析等）。  2.利用NLP技术来构建领域知识库，并基于知识图谱开发问答和对话系统。  3.中文自然语言处理的研发，包括海量数据挖掘、实体和实体关系抽取、n-gram分析、新词发现、热点发现、分词、...", "深圳狗尾草智能科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "12"
"智联", "自然语言处理", "高级机器学习工程师 自然语言处理 算法工程师 NLP", "18000-25000", "硕士", "深圳 - 南山区", "3-5年", " 岗位职责：  1. 构建细粒度分类器，用于意图识别、话题识别和场景识别 2. 设计深度网络和参数优化方法，训练对话模型 3. 开发适用于文本挖掘与自然语言理解的机器学习基础框架  任职要求：  1. 精通Python/C++/Java三种编程语言中的至少一种； 2. 精通分类、聚类、关联规则等经典...", "深圳狗尾草智能科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "15"
"智联", "自然语言处理", "算法工程师 数据库工程师 自然语言处理 爬虫", "面议", "本科", "深圳 - 南山区", "1-3年", " 岗位职责：  1.计算机专业、机器学习专业、自然语言处理或相关专业，硕士或者博士优先。 2.良好的逻辑思维能力，能够从海量数据中发现有价值的规律。 3.熟悉C/C++、Java、   Python等编程语言，对数据结构和算法设计有较为深刻的理解。 4.熟悉大规模数据挖掘、机器学习、", "深圳狗尾草智能科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "3"
"智联", "自然语言处理", "爬虫工程师 算法工程师 数据库 自然语言处理 人工智能 网络爬虫", "面议", "本科", "上海 - 静安区", "", "...自然语言处理，生物工程，人工智能，统计学相关专业，硕士或者博士优先。", "深圳狗尾草智能科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "1"
"智联", "自然语言处理", "数据库工程师 算法工程师 爬虫 人工智能 自然语言处理", "面议", "本科", "深圳 - 南山区", "", "...自然语言处理，生物工程，人工智能，统计学相关专业，硕士或者博士优先。", "深圳狗尾草智能科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "1"
"智联", "自然语言处理", "高级自然语言处理工程师  算法工程师 编程 NLP 数据库开发工程师", "18000-25000", "硕士", "深圳 - 南山区", "3-5年", "...自然语言处理的经验； 4. 有基于Seq2Seq, EncoderDecoder和Memory Network等技术进行问答系统和对话系统开发经验者优先； 5. 熟悉句法分析和信息抽取常用算法，有独立研发关系抽取、事件抽取工具的经验", "深圳狗尾草智能科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "7"
"智联", "自然语言处理", "自然语言处理工程师 爬虫 人工智能 生物工程 算法工程师", "面议", "本科", "上海 - 静安区", "", " 岗位职责：  1.NLP系统基础算法研发（包括但不局限于分词、词性标注、实体识别、语义分析等）。  2.利用NLP技术来构建领域知识库，并基于知识图谱开发问答和对话系统。  3.中文自然语言处理的研发，包括海量数据挖掘、实体和实体关系抽取、n-gram分析、新词发现、热点发现、分词、...", "深圳狗尾草智能科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "4"
"智联", "自然语言处理", "自然语言处理", "15001-20000", "大专", "深圳", "", " 岗位职责：   1、 计算机及相关专业    2、 从事自然语言相关的技术开发1年及以上 3、 掌握机器学习和自然语言处理相关技术 4、 熟练掌握java, C++，python或perl  任职要求：  1、具备调研跟踪自然语言处理前沿技术的能力； 2、具备较强的学习...", "深圳才易宝技术有限公司", "100-499人", "民营", "电子技术/半导体/集成电路    ", "", "13"
"智联", "自然语言处理", "爬虫工程师 算法工程师 数据库 自然语言处理 人工智能 网络爬虫", "面议", "本科", "深圳 - 南山区", "", "...自然语言处理，生物工程，人工智能，统计学相关专业，硕士或者博士优先。", "深圳狗尾草智能科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "10"
"智联", "自然语言处理", "数据挖掘/自然语言处理/NLP工程师", "15001-20000", "本科", "上海", "", " 职责：  1. 针对海量文本内容进行中文分词、语义识别、词性标注、自动文本聚类等相关文本挖掘算法的研究与开发；  2. 基于现有业务的文本数据，进行非结构化文本的特征提取，建立、测试、调优分析模型，识别文本的语言内容，文本间的相关度等研究。  3. 相关数据产品算法设计、实现及优化。  4. 实施...", "上海觅邦信息科技有限公司", "100-499人", "民营", "计算机软件,互联网", "", "14"
